Point,Description,ExtendedID
OSU_RTS.MDBUS_C1.053_CDT,MCPHERSON LAB CW DELTA T,053_CDT
OSU_RTS.MDBUS_C1.053_CHF,MCPHERSON ÿCW HEAT FLOW,053_CHF
OSU_RTS.MDBUS_C1.053_CHT,MCPHERSON CW HEAT CONS,053_CHT
OSU_RTS.MDBUS_C1.053_CRWT,MCPHERSON CW RET TEMP,053_CRWT
OSU_RTS.MDBUS_C1.053_CSWT,MCPHERSON CW SUP TEMP,053_CSWT
OSU_RTS.MDBUS_C1.053_CVF,MCPHERSON CW VOL FLOW,053_CVF
OSU_RTS.MDBUS_C1.053_HF,MCPHERSON CW HEAT FLOW,053_HF
OSU_RTS.MDBUS_C1.053_HGT,MCPHERSON CW HEAT GRAND,053_HGT
OSU_RTS.MDBUS_E1.053E1,McPherson E1,5.30E+02
OSU_RTS.MDBUS_E1.053E1_L,MCPHERSON ELEC LOAD 1,053E1_L
OSU_RTS.MDBUS_E1.053E2,McPherson E2 low order,
OSU_RTS.MDBUS_E1.053E2C,McPherson E2 high order,
OSU_RTS.MDBUS_EC.053E1,MCPHERSON ELEC CONS 1,
OSU_RTS.MDBUS_EC.053E2,MCPHERSON ELEC CONS 2,
OSU_RTS.MDBUS_G1.053_GBV,MCPHERSON BATTERY VOLTS,053_GBV
OSU_RTS.MDBUS_G1.053_GCV,MCPHERSON CORRRCT VOL,053_GCV
OSU_RTS.MDBUS_G1.053_GUV,MCPHERSON UNCORR.VOL.,053_GUV
OSU_RTS.MDBUS_RT.053S_C,MCPHERSON STEAM CONS,053S_C
OSU_RTS.MDBUS_RT.053S_HF,MCPHERSON ST HEAT FLOW,053S_HF
OSU_RTS.MDBUS_RT.053S_HGT,MCPHERSON ST HEAT GRAND,053S_HGT
OSU_RTS.MDBUS_RT.053S_I,MCPHERSON STEAM FLOW,053S_I
OSU_RTS.MDBUS_RT.053S_P,MCPHERSON STEAM PRES,053S_P
OSU_RTS.MDBUS_RT.053S_T,MCPHERSON STEAM TEMP,053S_T
OSU_RTS.MDBUS_S1.053S_EC,McPherson Error Code,
OSU_RTS.MDBUS_S1.053S_SSD,McPherson SS Down,
OSU_RTS.MDBUS_S1.053S_SSU,McPherson SS Up,
OSU_RTS.MDBUS_S1.053S_VEL,McPherson Steam Velocity,
