OSU_RTS.MDBUS_E1.356E_1 Time [SNAP],OSU_RTS.MDBUS_E1.356E_1 Value [SNAP],OSU_RTS.MDBUS_E1.356E_1 Status [SNAP],OSU_RTS.MDBUS_E1.356E_2 Time [SNAP],OSU_RTS.MDBUS_E1.356E_2 Value [SNAP],OSU_RTS.MDBUS_E1.356E_2 Status [SNAP],OSU_RTS.MDBUS_RT.356S_C Time [SNAP],OSU_RTS.MDBUS_RT.356S_C Value [SNAP],OSU_RTS.MDBUS_RT.356S_C Status [SNAP],OSU_RTS.MDBUS_RT.356S_HF Time [SNAP],OSU_RTS.MDBUS_RT.356S_HF Value [SNAP],OSU_RTS.MDBUS_RT.356S_HF Status [SNAP],OSU_RTS.MDBUS_RT.356S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.356S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.356S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.356S_I Time [SNAP],OSU_RTS.MDBUS_RT.356S_I Value [SNAP],OSU_RTS.MDBUS_RT.356S_I Status [SNAP],OSU_RTS.MDBUS_RT.356S_P Time [SNAP],OSU_RTS.MDBUS_RT.356S_P Value [SNAP],OSU_RTS.MDBUS_RT.356S_P Status [SNAP],OSU_RTS.MDBUS_RT.356S_T Time [SNAP],OSU_RTS.MDBUS_RT.356S_T Value [SNAP],OSU_RTS.MDBUS_RT.356S_T Status [SNAP],Comments
10/15/18 0:00,6111283,OK,10/15/18 0:00,10203726,OK,10/15/18 0:00,20699.64063,OK,10/15/18 0:00,1042.790771,OK,10/15/18 0:00,25331038,OK,10/15/18 0:00,0.876536133,OK,10/15/18 0:00,100.7549362,OK,10/15/18 0:00,323.6236572,OK,
10/15/18 0:15,6111312,OK,10/15/18 0:15,10203815,OK,10/15/18 0:15,20699.86328,OK,10/15/18 0:15,1051.05896,OK,10/15/18 0:15,25331302,OK,10/15/18 0:15,0.883066589,OK,10/15/18 0:15,104.5467224,OK,10/15/18 0:15,323.2926636,OK,
10/15/18 0:30,6111341,OK,10/15/18 0:30,10203904,OK,10/15/18 0:30,20700.08398,OK,10/15/18 0:30,1053.157227,OK,10/15/18 0:30,25331564,OK,10/15/18 0:30,0.885119202,OK,10/15/18 0:30,101.8525238,OK,10/15/18 0:30,322.8648071,OK,
10/15/18 0:45,6111371,OK,10/15/18 0:45,10203994,OK,10/15/18 0:45,20700.30078,OK,10/15/18 0:45,1068.243652,OK,10/15/18 0:45,25331822,OK,10/15/18 0:45,0.896913391,OK,10/15/18 0:45,110.0870361,OK,10/15/18 0:45,322.1147156,OK,
10/15/18 1:00,6111400,OK,10/15/18 1:00,10204084,OK,10/15/18 1:00,20700.53125,OK,10/15/18 1:00,1085.530762,OK,10/15/18 1:00,25332096,OK,10/15/18 1:00,0.911297668,OK,10/15/18 1:00,111.3959045,OK,10/15/18 1:00,322.4095154,OK,
10/15/18 1:15,6111429,OK,10/15/18 1:15,10204173,OK,10/15/18 1:15,20700.75,OK,10/15/18 1:15,1007.620728,OK,10/15/18 1:15,25332358,OK,10/15/18 1:15,0.847485107,OK,10/15/18 1:15,95.75946045,OK,10/15/18 1:15,322.1835938,OK,
10/15/18 1:30,6111458,OK,10/15/18 1:30,10204263,OK,10/15/18 1:30,20700.9668,OK,10/15/18 1:30,1058.181641,OK,10/15/18 1:30,25332616,OK,10/15/18 1:30,0.889012634,OK,10/15/18 1:30,104.6163788,OK,10/15/18 1:30,321.7287903,OK,
10/15/18 1:45,6111487,OK,10/15/18 1:45,10204353,OK,10/15/18 1:45,20701.1875,OK,10/15/18 1:45,1045.240479,OK,10/15/18 1:45,25332878,OK,10/15/18 1:45,0.878370911,OK,10/15/18 1:45,102.6539917,OK,10/15/18 1:45,321.5664368,OK,
10/15/18 2:00,6111516,OK,10/15/18 2:00,10204443,OK,10/15/18 2:00,20701.4082,OK,10/15/18 2:00,1052.655762,OK,10/15/18 2:00,25333140,OK,10/15/18 2:00,0.884928284,OK,10/15/18 2:00,99.85929871,OK,10/15/18 2:00,321.4681396,OK,
10/15/18 2:15,6111546,OK,10/15/18 2:15,10204532,OK,10/15/18 2:15,20701.63672,OK,10/15/18 2:15,1091.524292,OK,10/15/18 2:15,25333414,OK,10/15/18 2:15,0.916327759,OK,10/15/18 2:15,111.412262,OK,10/15/18 2:15,321.8722534,OK,
