OSU_RTS.MDBUS_E3.003E_1C Time [SNAP],OSU_RTS.MDBUS_E3.003E_1C Value [SNAP],OSU_RTS.MDBUS_E3.003E_1C Status [SNAP],OSU_RTS.MDBUS_RT.003S_C Time [SNAP],OSU_RTS.MDBUS_RT.003S_C Value [SNAP],OSU_RTS.MDBUS_RT.003S_C Status [SNAP],OSU_RTS.MDBUS_RT.003S_HF Time [SNAP],OSU_RTS.MDBUS_RT.003S_HF Value [SNAP],OSU_RTS.MDBUS_RT.003S_HF Status [SNAP],OSU_RTS.MDBUS_RT.003S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.003S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.003S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.003S_I Time [SNAP],OSU_RTS.MDBUS_RT.003S_I Value [SNAP],OSU_RTS.MDBUS_RT.003S_I Status [SNAP],OSU_RTS.MDBUS_RT.003S_P Time [SNAP],OSU_RTS.MDBUS_RT.003S_P Value [SNAP],OSU_RTS.MDBUS_RT.003S_P Status [SNAP],OSU_RTS.MDBUS_RT.003S_T Time [SNAP],OSU_RTS.MDBUS_RT.003S_T Value [SNAP],OSU_RTS.MDBUS_RT.003S_T Status [SNAP],Comments
10/15/18 0:00,3433947,OK,10/15/18 0:00,35856.64453,OK,10/15/18 0:00,735.1970077,OK,10/15/18 0:00,43291.35547,OK,10/15/18 0:00,0.613670837,OK,10/15/18 0:00,181.4716339,OK,10/15/18 0:00,379.9405823,OK,
10/15/18 0:15,3433980,OK,10/15/18 0:15,35856.80078,OK,10/15/18 0:15,732.5506806,OK,10/15/18 0:15,43291.54297,OK,10/15/18 0:15,0.611477112,OK,10/15/18 0:15,181.0380402,OK,10/15/18 0:15,380.06604,OK,
10/15/18 0:30,3434013,OK,10/15/18 0:30,35856.96094,OK,10/15/18 0:30,705.1751018,OK,10/15/18 0:30,43291.73438,OK,10/15/18 0:30,0.588615479,OK,10/15/18 0:30,181.3587189,OK,10/15/18 0:30,379.7565613,OK,
10/15/18 0:45,3434045,OK,10/15/18 0:45,35857.10938,OK,10/15/18 0:45,782.4075222,OK,10/15/18 0:45,43291.91406,OK,10/15/18 0:45,0.65311615,OK,10/15/18 0:45,180.4607239,OK,10/15/18 0:45,379.5791626,OK,
10/15/18 1:00,3434078,OK,10/15/18 1:00,35857.27734,OK,10/15/18 1:00,757.5842738,OK,10/15/18 1:00,43292.11328,OK,10/15/18 1:00,0.632364868,OK,10/15/18 1:00,181.2665253,OK,10/15/18 1:00,379.9144897,OK,
10/15/18 1:15,3434111,OK,10/15/18 1:15,35857.43359,OK,10/15/18 1:15,796.8433499,OK,10/15/18 1:15,43292.30469,OK,10/15/18 1:15,0.665110474,OK,10/15/18 1:15,181.8974457,OK,10/15/18 1:15,380.1923828,OK,
10/15/18 1:30,3434145,OK,10/15/18 1:30,35857.58984,OK,10/15/18 1:30,744.6706295,OK,10/15/18 1:30,43292.48828,OK,10/15/18 1:30,0.621604492,OK,10/15/18 1:30,180.7592316,OK,10/15/18 1:30,379.729187,OK,
10/15/18 1:45,3434176,OK,10/15/18 1:45,35857.73828,OK,10/15/18 1:45,736.5323901,OK,10/15/18 1:45,43292.66797,OK,10/15/18 1:45,0.614755371,OK,10/15/18 1:45,182.2918549,OK,10/15/18 1:45,380.4048157,OK,
10/15/18 2:00,3434210,OK,10/15/18 2:00,35857.89844,OK,10/15/18 2:00,796.3335514,OK,10/15/18 2:00,43292.85547,OK,10/15/18 2:00,0.664710571,OK,10/15/18 2:00,181.2577972,OK,10/15/18 2:00,379.8947754,OK,
10/15/18 2:15,3434243,OK,10/15/18 2:15,35858.05469,OK,10/15/18 2:15,765.0227547,OK,10/15/18 2:15,43293.04297,OK,10/15/18 2:15,0.638572266,OK,10/15/18 2:15,181.3057709,OK,10/15/18 2:15,380.194397,OK,
10/15/18 2:30,3434276,OK,10/15/18 2:30,35858.20313,OK,10/15/18 2:30,675.1784682,OK,10/15/18 2:30,43293.22656,OK,10/15/18 2:30,0.563571472,OK,10/15/18 2:30,181.5122833,OK,10/15/18 2:30,380.123291,OK,
10/15/18 2:45,3434309,OK,10/15/18 2:45,35858.35938,OK,10/15/18 2:45,880.7962537,OK,10/15/18 2:45,43293.41016,OK,10/15/18 2:45,0.735226868,OK,10/15/18 2:45,180.9047241,OK,10/15/18 2:45,379.8696289,OK,
10/15/18 3:00,3434344,OK,10/15/18 3:00,35858.52734,OK,10/15/18 3:00,718.8042402,OK,10/15/18 3:00,43293.61328,OK,10/15/18 3:00,0.59996875,OK,10/15/18 3:00,182.0102234,OK,10/15/18 3:00,380.31604,OK,
10/15/18 3:15,3434377,OK,10/15/18 3:15,35858.66797,OK,10/15/18 3:15,638.6007667,OK,10/15/18 3:15,43293.77734,OK,10/15/18 3:15,0.533067261,OK,10/15/18 3:15,180.6429901,OK,10/15/18 3:15,379.6300659,OK,
10/15/18 3:30,3434411,OK,10/15/18 3:30,35858.80859,OK,10/15/18 3:30,725.5004644,OK,10/15/18 3:30,43293.94922,OK,10/15/18 3:30,0.605576294,OK,10/15/18 3:30,181.4921875,OK,10/15/18 3:30,380.0032349,OK,
10/15/18 3:45,3434446,OK,10/15/18 3:45,35858.96484,OK,10/15/18 3:45,743.0222034,OK,10/15/18 3:45,43294.13672,OK,10/15/18 3:45,0.620192383,OK,10/15/18 3:45,181.7618561,OK,10/15/18 3:45,379.9092407,OK,
10/15/18 4:00,3434478,OK,10/15/18 4:00,35859.12109,OK,10/15/18 4:00,743.2028055,OK,10/15/18 4:00,43294.32031,OK,10/15/18 4:00,0.620365601,OK,10/15/18 4:00,181.1232605,OK,10/15/18 4:00,380.1065979,OK,
10/15/18 4:15,3434513,OK,10/15/18 4:15,35859.26563,OK,10/15/18 4:15,723.7562537,OK,10/15/18 4:15,43294.49609,OK,10/15/18 4:15,0.604167236,OK,10/15/18 4:15,180.1612701,OK,10/15/18 4:15,379.6339722,OK,
10/15/18 4:30,3434547,OK,10/15/18 4:30,35859.41797,OK,10/15/18 4:30,752.0162463,OK,10/15/18 4:30,43294.67969,OK,10/15/18 4:30,0.627707153,OK,10/15/18 4:30,181.5426178,OK,10/15/18 4:30,379.8640137,OK,
10/15/18 4:45,3434582,OK,10/15/18 4:45,35859.57813,OK,10/15/18 4:45,765.6031251,OK,10/15/18 4:45,43294.87109,OK,10/15/18 4:45,0.639079407,OK,10/15/18 4:45,180.7060394,OK,10/15/18 4:45,379.7823486,OK,
10/15/18 5:00,3434616,OK,10/15/18 5:00,35859.73047,OK,10/15/18 5:00,622.5491762,OK,10/15/18 5:00,43295.05469,OK,10/15/18 5:00,0.519645813,OK,10/15/18 5:00,181.3865509,OK,10/15/18 5:00,380.1676025,OK,
10/15/18 5:15,3434649,OK,10/15/18 5:15,35859.87109,OK,10/15/18 5:15,760.961175,OK,10/15/18 5:15,43295.22266,OK,10/15/18 5:15,0.635177795,OK,10/15/18 5:15,181.4206696,OK,10/15/18 5:15,380.0739136,OK,
10/15/18 5:30,3434684,OK,10/15/18 5:30,35860.02344,OK,10/15/18 5:30,700.8833289,OK,10/15/18 5:30,43295.40625,OK,10/15/18 5:30,0.585032898,OK,10/15/18 5:30,181.3559265,OK,10/15/18 5:30,379.8960266,OK,
10/15/18 5:45,3434719,OK,10/15/18 5:45,35860.16016,OK,10/15/18 5:45,207.8575343,OK,10/15/18 5:45,43295.57031,OK,10/15/18 5:45,0.173496124,OK,10/15/18 5:45,181.7745056,OK,10/15/18 5:45,379.9986877,OK,
10/15/18 6:00,3434753,OK,10/15/18 6:00,35860.19531,OK,10/15/18 6:00,74.25808907,OK,10/15/18 6:00,43295.60938,OK,10/15/18 6:00,0.061982342,OK,10/15/18 6:00,181.7656555,OK,10/15/18 6:00,380.2723999,OK,
10/15/18 6:15,3434787,OK,10/15/18 6:15,35860.23438,OK,10/15/18 6:15,80.04579693,OK,10/15/18 6:15,43295.65625,OK,10/15/18 6:15,0.066814201,OK,10/15/18 6:15,181.5292511,OK,10/15/18 6:15,380.0422974,OK,
10/15/18 6:30,3434820,OK,10/15/18 6:30,35860.27734,OK,10/15/18 6:30,66.82205945,OK,10/15/18 6:30,43295.70703,OK,10/15/18 6:30,0.055776615,OK,10/15/18 6:30,181.4487152,OK,10/15/18 6:30,379.9664001,OK,
10/15/18 6:45,3434855,OK,10/15/18 6:45,35860.32422,OK,10/15/18 6:45,88.56424689,OK,10/15/18 6:45,43295.76563,OK,10/15/18 6:45,0.073919296,OK,10/15/18 6:45,182.7442017,OK,10/15/18 6:45,380.6257019,OK,
10/15/18 7:00,3434891,OK,10/15/18 7:00,35860.37109,OK,10/15/18 7:00,78.37610692,OK,10/15/18 7:00,43295.82031,OK,10/15/18 7:00,0.065418129,OK,10/15/18 7:00,182.1511536,OK,10/15/18 7:00,380.3634033,OK,
10/15/18 7:15,3434928,OK,10/15/18 7:15,35860.41406,OK,10/15/18 7:15,99.28875417,OK,10/15/18 7:15,43295.87109,OK,10/15/18 7:15,0.082872643,OK,10/15/18 7:15,182.2810822,OK,10/15/18 7:15,380.3792114,OK,
10/15/18 7:30,3434967,OK,10/15/18 7:30,35860.46094,OK,10/15/18 7:30,169.868812,OK,10/15/18 7:30,43295.92969,OK,10/15/18 7:30,0.141784073,OK,10/15/18 7:30,182.1772614,OK,10/15/18 7:30,380.2192383,OK,
