OSU_RTS.CALC.1107_DW1 Time [SNAP],OSU_RTS.CALC.1107_DW1 Value [SNAP],OSU_RTS.CALC.1107_DW1 Status [SNAP],OSU_RTS.CALC.1107_DW2 Time [SNAP],OSU_RTS.CALC.1107_DW2 Value [SNAP],OSU_RTS.CALC.1107_DW2 Status [SNAP],OSU_RTS.MDBUS_RH.1107_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1107_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1107_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1107_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1107_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1107_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1107_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1107_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1107_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1107_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1107_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1107_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1107_CST Time [SNAP],OSU_RTS.MDBUS_RH.1107_CST Value [SNAP],OSU_RTS.MDBUS_RH.1107_CST Status [SNAP],OSU_RTS.MDBUS_RH.1107_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1107_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1107_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1107_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1107_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1107_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1107_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1107_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1107_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1107_D2H Time [SNAP],OSU_RTS.MDBUS_RH.1107_D2H Value [SNAP],OSU_RTS.MDBUS_RH.1107_D2H Status [SNAP],OSU_RTS.MDBUS_RH.1107_D2L Time [SNAP],OSU_RTS.MDBUS_RH.1107_D2L Value [SNAP],OSU_RTS.MDBUS_RH.1107_D2L Status [SNAP],OSU_RTS.MDBUS_RH.1107_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1107_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1107_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1107_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1107_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1107_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1107_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1107_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1107_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1107_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1107_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1107_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1107_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1107_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1107_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1107_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1107_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1107_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1107_EC Time [SNAP],OSU_RTS.MDBUS_RH.1107_EC Value [SNAP],OSU_RTS.MDBUS_RH.1107_EC Status [SNAP],OSU_RTS.MDBUS_RH.1107_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1107_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1107_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1107_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1107_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1107_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1107_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1107_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1107_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1107_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1107_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1107_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1107_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1107_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1107_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1107_HST Time [SNAP],OSU_RTS.MDBUS_RH.1107_HST Value [SNAP],OSU_RTS.MDBUS_RH.1107_HST Status [SNAP],OSU_RTS.MDBUS_RH.1107_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1107_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1107_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1107C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1107C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1107C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1107C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1107C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1107C_HG Status [SNAP],Comments
10/15/18 0:00,362657,OK,10/15/18 0:00,298098,OK,10/15/18 0:00,3.475100517,OK,10/15/18 0:00,6.974380493,OK,10/15/18 0:00,980930.375,OK,10/15/18 0:00,47.02392197,OK,10/15/18 0:00,43.5488205,OK,10/15/18 0:00,47.96331276,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,9.761489868,OK,10/15/18 0:00,660.1325073,OK,10/15/18 0:00,140.8697815,OK,10/15/18 0:00,150.6312561,OK,10/15/18 0:00,6101588,OK,10/15/18 0:00,151.7628261,OK,10/15/18 0:00,2145359,OK,10/15/18 0:00,4.144798279,OK,10/15/18 0:00,81.62580872,OK,10/15/18 0:00,5873039,OK,10/15/18 0:00,7726892.5,OK,10/15/18 0:00,107.6113434,OK,10/15/18 0:00,111.756134,OK,10/15/18 0:00,39.76299007,OK,10/15/18 0:00,83.69256592,OK,10/15/18 0:00,11771164.5,OK,
10/15/18 0:15,362673,OK,10/15/18 0:15,298106,OK,10/15/18 0:15,3.608425617,OK,10/15/18 0:15,7.278974056,OK,10/15/18 0:15,980932.1875,OK,10/15/18 0:15,47.08434296,OK,10/15/18 0:15,43.475914,OK,10/15/18 0:15,48.20843078,OK,,,,,,,,,,,,,10/15/18 0:15,2.295835018,OK,10/15/18 0:15,166.1061249,OK,10/15/18 0:15,148.572052,OK,10/15/18 0:15,150.8678894,OK,10/15/18 0:15,6101712.5,OK,10/15/18 0:15,162.3627554,OK,10/15/18 0:15,2145387,OK,10/15/18 0:15,4.569137096,OK,10/15/18 0:15,89.72202301,OK,10/15/18 0:15,5873072.5,OK,10/15/18 0:15,7726897.5,OK,10/15/18 0:15,106.7253113,OK,10/15/18 0:15,111.2944489,OK,10/15/18 0:15,39.64383078,OK,10/15/18 0:15,87.34768867,OK,10/15/18 0:15,11771186.25,OK,
10/15/18 0:30,362683,OK,10/15/18 0:30,298113,OK,10/15/18 0:30,3.900465488,OK,10/15/18 0:30,7.932402611,OK,10/15/18 0:30,980934.125,OK,10/15/18 0:30,47.27148438,OK,10/15/18 0:30,43.37101746,OK,10/15/18 0:30,48.687546,OK,,,,,,,,,,,,,10/15/18 0:30,2.831043243,OK,10/15/18 0:30,190.1852417,OK,10/15/18 0:30,143.8292389,OK,10/15/18 0:30,146.6602783,OK,10/15/18 0:30,6101757,OK,10/15/18 0:30,150.5598055,OK,10/15/18 0:30,2145413,OK,10/15/18 0:30,2.18259716,OK,10/15/18 0:30,42.09502411,OK,10/15/18 0:30,5873093.5,OK,10/15/18 0:30,7726902,OK,10/15/18 0:30,105.6166382,OK,10/15/18 0:30,107.7992401,OK,10/15/18 0:30,38.90501799,OK,10/15/18 0:30,95.18883133,OK,10/15/18 0:30,11771209.5,OK,
10/15/18 0:45,362693,OK,10/15/18 0:45,298121,OK,10/15/18 0:45,3.925771713,OK,10/15/18 0:45,7.578404903,OK,10/15/18 0:45,980936,OK,10/15/18 0:45,47.29191589,OK,10/15/18 0:45,43.36614227,OK,10/15/18 0:45,46.1361522,OK,,,,,,,,,,,,,10/15/18 0:45,4.99343586,OK,10/15/18 0:45,332.8849487,OK,10/15/18 0:45,140.7236328,OK,10/15/18 0:45,145.7170715,OK,10/15/18 0:45,6101808.5,OK,10/15/18 0:45,149.3987923,OK,10/15/18 0:45,2145437,OK,10/15/18 0:45,3.164119244,OK,10/15/18 0:45,62.28700256,OK,10/15/18 0:45,5873128,OK,10/15/18 0:45,7726907,OK,10/15/18 0:45,106.400116,OK,10/15/18 0:45,109.5642319,OK,10/15/18 0:45,39.72605899,OK,10/15/18 0:45,90.94085884,OK,10/15/18 0:45,11771232,OK,
10/15/18 1:00,362701,OK,10/15/18 1:00,298130,OK,10/15/18 1:00,3.824655294,OK,10/15/18 1:00,7.359400272,OK,10/15/18 1:00,980937.875,OK,10/15/18 1:00,47.17090607,OK,10/15/18 1:00,43.34625244,OK,10/15/18 1:00,46.01471829,OK,,,,,,,,,,,,,10/15/18 1:00,6.321547985,OK,10/15/18 1:00,391.5259399,OK,10/15/18 1:00,147.2373657,OK,10/15/18 1:00,153.5588989,OK,10/15/18 1:00,6101953.5,OK,10/15/18 1:00,139.116474,OK,10/15/18 1:00,2145462,OK,10/15/18 1:00,1.463891506,OK,10/15/18 1:00,28.45954895,OK,10/15/18 1:00,5873139.5,OK,10/15/18 1:00,7726912,OK,10/15/18 1:00,106.7049866,OK,10/15/18 1:00,108.168869,OK,10/15/18 1:00,39.21982735,OK,10/15/18 1:00,88.36953735,OK,10/15/18 1:00,11771254.5,OK,
10/15/18 1:15,362708,OK,10/15/18 1:15,298136,OK,10/15/18 1:15,3.710767031,OK,10/15/18 1:15,6.882570744,OK,10/15/18 1:15,980939.5625,OK,10/15/18 1:15,47.05304718,OK,10/15/18 1:15,43.34228134,OK,10/15/18 1:15,44.32367291,OK,,,,,,,,,,,,,10/15/18 1:15,3.555666447,OK,10/15/18 1:15,219.6221161,OK,10/15/18 1:15,146.2778625,OK,10/15/18 1:15,149.8335266,OK,10/15/18 1:15,6102010.5,OK,10/15/18 1:15,138.5661007,OK,10/15/18 1:15,2145487,OK,10/15/18 1:15,9.587621689,OK,10/15/18 1:15,187.2191772,OK,10/15/18 1:15,5873159.5,OK,10/15/18 1:15,7726917,OK,10/15/18 1:15,105.8197327,OK,10/15/18 1:15,115.4073563,OK,10/15/18 1:15,39.46188134,OK,10/15/18 1:15,82.59084892,OK,10/15/18 1:15,11771274.75,OK,
10/15/18 1:30,362714,OK,10/15/18 1:30,298140,OK,10/15/18 1:30,3.52750802,OK,10/15/18 1:30,7.09899807,OK,10/15/18 1:30,980941.375,OK,10/15/18 1:30,46.79254532,OK,10/15/18 1:30,43.26503754,OK,10/15/18 1:30,48.08641093,OK,,,,,,,,,,,,,10/15/18 1:30,3.824214697,OK,10/15/18 1:30,248.6399384,OK,10/15/18 1:30,143.6850281,OK,10/15/18 1:30,147.5092468,OK,10/15/18 1:30,6102072,OK,10/15/18 1:30,145.7540638,OK,10/15/18 1:30,2145512,OK,10/15/18 1:30,4.008561134,OK,10/15/18 1:30,78.46112823,OK,10/15/18 1:30,5873199,OK,10/15/18 1:30,7726922,OK,10/15/18 1:30,106.1285858,OK,10/15/18 1:30,110.137146,OK,10/15/18 1:30,39.50548573,OK,10/15/18 1:30,85.18797684,OK,10/15/18 1:30,11771296.5,OK,
10/15/18 1:45,362722,OK,10/15/18 1:45,298145,OK,10/15/18 1:45,3.688090563,OK,10/15/18 1:45,7.106163502,OK,10/15/18 1:45,980943.0625,OK,10/15/18 1:45,47.10591888,OK,10/15/18 1:45,43.41782761,OK,10/15/18 1:45,46.04686412,OK,,,,,,,,,,,,,10/15/18 1:45,3.154389381,OK,10/15/18 1:45,209.3184204,OK,10/15/18 1:45,141.6358337,OK,10/15/18 1:45,144.7902222,OK,10/15/18 1:45,6102130.5,OK,10/15/18 1:45,148.634804,OK,10/15/18 1:45,2145537,OK,10/15/18 1:45,1.480093598,OK,10/15/18 1:45,28.58005333,OK,10/15/18 1:45,5873214.5,OK,10/15/18 1:45,7726926.5,OK,10/15/18 1:45,105.4039154,OK,10/15/18 1:45,106.8840027,OK,10/15/18 1:45,38.94304366,OK,10/15/18 1:45,85.27396202,OK,10/15/18 1:45,11771316.75,OK,
10/15/18 2:00,362728,OK,10/15/18 2:00,298150,OK,10/15/18 2:00,3.546273708,OK,10/15/18 2:00,6.761786938,OK,10/15/18 2:00,980944.875,OK,10/15/18 2:00,47.07000732,OK,10/15/18 2:00,43.52373505,OK,10/15/18 2:00,45.56840403,OK,,,,,,,,,,,,,10/15/18 2:00,11.78171349,OK,10/15/18 2:00,771.107666,OK,10/15/18 2:00,142.2240601,OK,10/15/18 2:00,154.0057831,OK,10/15/18 2:00,6102240.5,OK,10/15/18 2:00,147.0303461,OK,10/15/18 2:00,2145559,OK,10/15/18 2:00,13.73086929,OK,10/15/18 2:00,270.4480591,OK,10/15/18 2:00,5873225,OK,10/15/18 2:00,7726931.5,OK,10/15/18 2:00,105.7041016,OK,10/15/18 2:00,119.434967,OK,10/15/18 2:00,39.84186534,OK,10/15/18 2:00,81.14144325,OK,10/15/18 2:00,11771338.5,OK,
10/15/18 2:15,362731,OK,10/15/18 2:15,298153,OK,10/15/18 2:15,3.625335217,OK,10/15/18 2:15,7.467491627,OK,10/15/18 2:15,980946.5625,OK,10/15/18 2:15,46.91889954,OK,10/15/18 2:15,43.29356384,OK,10/15/18 2:15,49.22052785,OK,,,,,,,,,,,,,10/15/18 2:15,4.433464527,OK,10/15/18 2:15,273.6887207,OK,10/15/18 2:15,148.0896149,OK,10/15/18 2:15,152.5230713,OK,10/15/18 2:15,6102343,OK,10/15/18 2:15,138.6039647,OK,10/15/18 2:15,2145581,OK,10/15/18 2:15,7.156506538,OK,10/15/18 2:15,143.2964478,OK,10/15/18 2:15,5873260.5,OK,10/15/18 2:15,7726936.5,OK,10/15/18 2:15,105.3661041,OK,10/15/18 2:15,112.5226135,OK,10/15/18 2:15,40.43645731,OK,10/15/18 2:15,89.60989952,OK,10/15/18 2:15,11771358.75,OK,
