OSU_RTS.CALC.1104_DWC Time [SNAP],OSU_RTS.CALC.1104_DWC Value [SNAP],OSU_RTS.CALC.1104_DWC Status [SNAP],OSU_RTS.MDBUS_RH.1104_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1104_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1104_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1104_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1104_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1104_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1104_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1104_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1104_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1104_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1104_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1104_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1104_CST Time [SNAP],OSU_RTS.MDBUS_RH.1104_CST Value [SNAP],OSU_RTS.MDBUS_RH.1104_CST Status [SNAP],OSU_RTS.MDBUS_RH.1104_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1104_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1104_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1104_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1104_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1104_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1104_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1104_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1104_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1104_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1104_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1104_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1104_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1104_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1104_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1104_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1104_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1104_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1104_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1104_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1104_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1104_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1104_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1104_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1104_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1104_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1104_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1104_DWC Time [SNAP],OSU_RTS.MDBUS_RH.1104_DWC Value [SNAP],OSU_RTS.MDBUS_RH.1104_DWC Status [SNAP],OSU_RTS.MDBUS_RH.1104_EC Time [SNAP],OSU_RTS.MDBUS_RH.1104_EC Value [SNAP],OSU_RTS.MDBUS_RH.1104_EC Status [SNAP],OSU_RTS.MDBUS_RH.1104_EL Time [SNAP],OSU_RTS.MDBUS_RH.1104_EL Value [SNAP],OSU_RTS.MDBUS_RH.1104_EL Status [SNAP],OSU_RTS.MDBUS_RH.1104_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1104_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1104_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1104_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1104_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1104_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1104_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1104_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1104_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1104_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1104_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1104_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1104_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1104_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1104_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1104_HST Time [SNAP],OSU_RTS.MDBUS_RH.1104_HST Value [SNAP],OSU_RTS.MDBUS_RH.1104_HST Status [SNAP],OSU_RTS.MDBUS_RH.1104_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1104_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1104_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1104C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1104C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1104C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1104C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1104C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1104C_HG Status [SNAP],Comments
10/15/18 0:00,14357411,OK,10/15/18 0:00,8.10213089,OK,10/15/18 0:00,9.502907753,OK,10/15/18 0:00,881165.3125,OK,10/15/18 0:00,53.50740814,OK,10/15/18 0:00,45.40528107,OK,10/15/18 0:00,28.07018013,OK,01/01/70 0:00,0,No Records.,10/15/18 0:00,5027,OK,10/15/18 0:00,22.04269028,OK,10/15/18 0:00,75.80529785,OK,10/15/18 0:00,126.3333893,OK,10/15/18 0:00,148.3760834,OK,10/15/18 0:00,1816093.75,OK,10/15/18 0:00,7.005117517,OK,10/15/18 0:00,50270,OK,10/15/18 0:00,2254519,OK,10/15/18 0:00,80.94519531,OK,10/15/18 0:00,-0.110895239,OK,10/15/18 0:00,0,OK,10/15/18 0:00,5895184,OK,10/15/18 0:00,1646506,OK,10/15/18 0:00,115.1097412,OK,10/15/18 0:00,114.998848,OK,10/15/18 0:00,100.8187644,OK,10/15/18 0:00,114.034893,OK,10/15/18 0:00,10573983.75,OK,
10/15/18 0:15,14357413,OK,10/15/18 0:15,8.341150284,OK,10/15/18 0:15,9.182747841,OK,10/15/18 0:15,881167.625,OK,10/15/18 0:15,53.61325836,OK,10/15/18 0:15,45.27210999,OK,10/15/18 0:15,26.34681395,OK,,,,10/15/18 0:15,5029,OK,10/15/18 0:15,22.30852318,OK,10/15/18 0:15,168.8116913,OK,10/15/18 0:15,126.306427,OK,10/15/18 0:15,148.6149445,OK,10/15/18 0:15,1816121.125,OK,10/15/18 0:15,15.41485602,OK,10/15/18 0:15,50290,OK,10/15/18 0:15,2254541,OK,10/15/18 0:15,84.64538281,OK,10/15/18 0:15,0.162025571,OK,10/15/18 0:15,0,OK,10/15/18 0:15,5895184,OK,10/15/18 0:15,1646518.625,OK,10/15/18 0:15,112.0284271,OK,10/15/18 0:15,112.1904449,OK,10/15/18 0:15,101.3148192,OK,10/15/18 0:15,110.1929741,OK,10/15/18 0:15,10574011.5,OK,
10/15/18 0:30,14357415,OK,10/15/18 0:30,8.145328522,OK,10/15/18 0:30,6.018185616,OK,10/15/18 0:30,881169.6875,OK,10/15/18 0:30,53.33363342,OK,10/15/18 0:30,45.1883049,OK,10/15/18 0:30,17.68064739,OK,,,,10/15/18 0:30,5031,OK,10/15/18 0:30,23.46405029,OK,10/15/18 0:30,95.39311981,OK,10/15/18 0:30,126.0879288,OK,10/15/18 0:30,149.5519867,OK,10/15/18 0:30,1816153.25,OK,10/15/18 0:30,8.283827579,OK,10/15/18 0:30,50310,OK,10/15/18 0:30,2254561,OK,10/15/18 0:30,77.77321094,OK,10/15/18 0:30,0.105334803,OK,10/15/18 0:30,0,OK,10/15/18 0:30,5895184,OK,10/15/18 0:30,1646531.125,OK,10/15/18 0:30,109.2632904,OK,10/15/18 0:30,109.3686218,OK,10/15/18 0:30,101.2427719,OK,10/15/18 0:30,72.21822739,OK,10/15/18 0:30,10574036.25,OK,
10/15/18 0:45,14357416,OK,10/15/18 0:45,8.381984711,OK,10/15/18 0:45,0,OK,10/15/18 0:45,881170.25,OK,10/15/18 0:45,53.73261261,OK,10/15/18 0:45,45.35063171,OK,10/15/18 0:45,0,OK,,,,10/15/18 0:45,5032,OK,10/15/18 0:45,23.79009247,OK,10/15/18 0:45,144.0554352,OK,10/15/18 0:45,125.8946152,OK,10/15/18 0:45,149.6847076,OK,10/15/18 0:45,1816183.75,OK,10/15/18 0:45,12.33869688,OK,10/15/18 0:45,50320,OK,10/15/18 0:45,2254580,OK,10/15/18 0:45,74.5803125,OK,10/15/18 0:45,3.300646782,OK,10/15/18 0:45,165.5240479,OK,10/15/18 0:45,5895184.5,OK,10/15/18 0:45,1646543.625,OK,10/15/18 0:45,106.6257477,OK,10/15/18 0:45,109.9264069,OK,10/15/18 0:45,101.2117573,OK,10/15/18 0:45,0,OK,10/15/18 0:45,10574043,OK,
10/15/18 1:00,14357417,OK,10/15/18 1:00,8.714715004,OK,10/15/18 1:00,7.699249744,OK,10/15/18 1:00,881170.625,OK,10/15/18 1:00,54.14601517,OK,10/15/18 1:00,45.43130112,OK,10/15/18 1:00,21.1488035,OK,,,,10/15/18 1:00,5033,OK,10/15/18 1:00,22.82191277,OK,10/15/18 1:00,33.46039963,OK,10/15/18 1:00,126.1719818,OK,10/15/18 1:00,148.9938965,OK,10/15/18 1:00,1816210.375,OK,10/15/18 1:00,2.986942011,OK,10/15/18 1:00,50330,OK,10/15/18 1:00,2254600,OK,10/15/18 1:00,85.355,OK,10/15/18 1:00,5.374243736,OK,10/15/18 1:00,269.5140381,OK,10/15/18 1:00,5895287.5,OK,10/15/18 1:00,1646556.25,OK,10/15/18 1:00,115.0740814,OK,10/15/18 1:00,120.4483337,OK,10/15/18 1:00,101.4663197,OK,10/15/18 1:00,92.39889336,OK,10/15/18 1:00,10574047.5,OK,
10/15/18 1:15,14357419,OK,10/15/18 1:15,8.420866013,OK,10/15/18 1:15,7.324919224,OK,10/15/18 1:15,881172.875,OK,10/15/18 1:15,55.24061584,OK,10/15/18 1:15,46.81974792,OK,10/15/18 1:15,20.82779488,OK,,,,10/15/18 1:15,5035,OK,10/15/18 1:15,21.68428802,OK,10/15/18 1:15,84.27903748,OK,10/15/18 1:15,126.9163361,OK,10/15/18 1:15,148.6006165,OK,10/15/18 1:15,1816237.625,OK,10/15/18 1:15,7.917268022,OK,10/15/18 1:15,50350,OK,10/15/18 1:15,2254619,OK,10/15/18 1:15,75.55402344,OK,10/15/18 1:15,-2.354762554,OK,10/15/18 1:15,0,OK,10/15/18 1:15,5895345,OK,10/15/18 1:15,1646568.75,OK,10/15/18 1:15,120.8620148,OK,10/15/18 1:15,118.5072479,OK,10/15/18 1:15,101.6319317,OK,10/15/18 1:15,87.89903069,OK,10/15/18 1:15,10574074.5,OK,
10/15/18 1:30,14357419,OK,10/15/18 1:30,9.138590813,OK,10/15/18 1:30,7.005401134,OK,10/15/18 1:30,881174.5,OK,10/15/18 1:30,55.24943924,OK,10/15/18 1:30,46.11084747,OK,10/15/18 1:30,18.35364669,OK,,,,10/15/18 1:30,5035,OK,10/15/18 1:30,21.62633705,OK,10/15/18 1:30,104.9670258,OK,10/15/18 1:30,127.0768661,OK,10/15/18 1:30,148.7032166,OK,10/15/18 1:30,1816260.25,OK,10/15/18 1:30,9.914370647,OK,10/15/18 1:30,50350,OK,10/15/18 1:30,2254637,OK,10/15/18 1:30,77.04092188,OK,10/15/18 1:30,-0.488724321,OK,10/15/18 1:30,0,OK,10/15/18 1:30,5895345,OK,10/15/18 1:30,1646581.375,OK,10/15/18 1:30,115.8978729,OK,10/15/18 1:30,115.4091492,OK,10/15/18 1:30,101.8942335,OK,10/15/18 1:30,84.06481361,OK,10/15/18 1:30,10574094,OK,
10/15/18 1:45,14357420,OK,10/15/18 1:45,7.239729881,OK,10/15/18 1:45,0,OK,10/15/18 1:45,881174.5625,OK,10/15/18 1:45,53.83841705,OK,10/15/18 1:45,46.59868622,OK,10/15/18 1:45,0,OK,,,,10/15/18 1:45,5036,OK,10/15/18 1:45,21.0812912,OK,10/15/18 1:45,104.3554382,OK,10/15/18 1:45,127.5887909,OK,10/15/18 1:45,148.6700897,OK,10/15/18 1:45,1816284.75,OK,10/15/18 1:45,10.08367844,OK,10/15/18 1:45,50360,OK,10/15/18 1:45,2254656,OK,10/15/18 1:45,75.24066406,OK,10/15/18 1:45,0.129042238,OK,10/15/18 1:45,0,OK,10/15/18 1:45,5895345,OK,10/15/18 1:45,1646593.875,OK,10/15/18 1:45,112.957901,OK,10/15/18 1:45,113.0869446,OK,10/15/18 1:45,100.8513741,OK,10/15/18 1:45,0,OK,10/15/18 1:45,10574094.75,OK,
10/15/18 2:00,14357421,OK,10/15/18 2:00,11.60451794,OK,10/15/18 2:00,17.27850723,OK,10/15/18 2:00,881176.5625,OK,10/15/18 2:00,57.98148346,OK,10/15/18 2:00,46.37696457,OK,10/15/18 2:00,35.66285924,OK,,,,10/15/18 2:00,5037,OK,10/15/18 2:00,21.23470306,OK,10/15/18 2:00,107.5664291,OK,10/15/18 2:00,127.3962097,OK,10/15/18 2:00,148.6309204,OK,10/15/18 2:00,1816309.875,OK,10/15/18 2:00,10.31880175,OK,10/15/18 2:00,50370,OK,10/15/18 2:00,2254675,OK,10/15/18 2:00,69.01738281,OK,10/15/18 2:00,0.142615497,OK,10/15/18 2:00,0,OK,10/15/18 2:00,5895345,OK,10/15/18 2:00,1646606.5,OK,10/15/18 2:00,110.3660965,OK,10/15/18 2:00,110.5087128,OK,10/15/18 2:00,101.7009598,OK,10/15/18 2:00,207.3420868,OK,10/15/18 2:00,10574118.75,OK,
10/15/18 2:15,14357422,OK,10/15/18 2:15,8.614762306,OK,10/15/18 2:15,8.482457161,OK,10/15/18 2:15,881179.6875,OK,10/15/18 2:15,54.7893219,OK,10/15/18 2:15,46.17456055,OK,10/15/18 2:15,23.57293442,OK,,,,10/15/18 2:15,5038,OK,10/15/18 2:15,20.08033752,OK,10/15/18 2:15,120.1335678,OK,10/15/18 2:15,128.3429565,OK,10/15/18 2:15,148.4232941,OK,10/15/18 2:15,1816332.75,OK,10/15/18 2:15,12.1860032,OK,10/15/18 2:15,50380,OK,10/15/18 2:15,2254693,OK,10/15/18 2:15,74.21142969,OK,10/15/18 2:15,0.021757346,OK,10/15/18 2:15,0,OK,10/15/18 2:15,5895345,OK,10/15/18 2:15,1646619.125,OK,10/15/18 2:15,107.9126129,OK,10/15/18 2:15,107.9343719,OK,10/15/18 2:15,101.4325055,OK,10/15/18 2:15,101.7894859,OK,10/15/18 2:15,10574156.25,OK,
