OSU_RTS.MDBUS_C1.001_CDT Time [SNAP],OSU_RTS.MDBUS_C1.001_CDT Value [SNAP],OSU_RTS.MDBUS_C1.001_CDT Status [SNAP],OSU_RTS.MDBUS_C1.001_CHF Time [SNAP],OSU_RTS.MDBUS_C1.001_CHF Value [SNAP],OSU_RTS.MDBUS_C1.001_CHF Status [SNAP],OSU_RTS.MDBUS_C1.001_CHT Time [SNAP],OSU_RTS.MDBUS_C1.001_CHT Value [SNAP],OSU_RTS.MDBUS_C1.001_CHT Status [SNAP],OSU_RTS.MDBUS_C1.001_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.001_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.001_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.001_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.001_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.001_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.001_CVF Time [SNAP],OSU_RTS.MDBUS_C1.001_CVF Value [SNAP],OSU_RTS.MDBUS_C1.001_CVF Status [SNAP],OSU_RTS.MDBUS_C1.001_HF Time [SNAP],OSU_RTS.MDBUS_C1.001_HF Value [SNAP],OSU_RTS.MDBUS_C1.001_HF Status [SNAP],OSU_RTS.MDBUS_C1.001_HGT Time [SNAP],OSU_RTS.MDBUS_C1.001_HGT Value [SNAP],OSU_RTS.MDBUS_C1.001_HGT Status [SNAP],OSU_RTS.MDBUS_CC.001_MHT Time [SNAP],OSU_RTS.MDBUS_CC.001_MHT Value [SNAP],OSU_RTS.MDBUS_CC.001_MHT Status [SNAP],OSU_RTS.MDBUS_CC.001_PHT Time [SNAP],OSU_RTS.MDBUS_CC.001_PHT Value [SNAP],OSU_RTS.MDBUS_CC.001_PHT Status [SNAP],OSU_RTS.MDBUS_E3.001_E01 Time [SNAP],OSU_RTS.MDBUS_E3.001_E01 Value [SNAP],OSU_RTS.MDBUS_E3.001_E01 Status [SNAP],OSU_RTS.MDBUS_RT.001S_C Time [SNAP],OSU_RTS.MDBUS_RT.001S_C Value [SNAP],OSU_RTS.MDBUS_RT.001S_C Status [SNAP],OSU_RTS.MDBUS_RT.001S_HF Time [SNAP],OSU_RTS.MDBUS_RT.001S_HF Value [SNAP],OSU_RTS.MDBUS_RT.001S_HF Status [SNAP],OSU_RTS.MDBUS_RT.001S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.001S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.001S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.001S_I Time [SNAP],OSU_RTS.MDBUS_RT.001S_I Value [SNAP],OSU_RTS.MDBUS_RT.001S_I Status [SNAP],OSU_RTS.MDBUS_RT.001S_P Time [SNAP],OSU_RTS.MDBUS_RT.001S_P Value [SNAP],OSU_RTS.MDBUS_RT.001S_P Status [SNAP],OSU_RTS.MDBUS_RT.001S_T Time [SNAP],OSU_RTS.MDBUS_RT.001S_T Value [SNAP],OSU_RTS.MDBUS_RT.001S_T Status [SNAP],Comments
10/15/18 0:00,-0.175095335,OK,10/15/18 0:00,0,OK,10/15/18 0:00,868030.625,OK,10/15/18 0:00,65.4743576,OK,10/15/18 0:00,65.64945221,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,10416367.5,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,719304,OK,10/15/18 0:00,14712.21582,OK,10/15/18 0:00,157.0940912,OK,10/15/18 0:00,18747.00586,OK,10/15/18 0:00,0.131105331,OK,10/15/18 0:00,184.2743988,OK,10/15/18 0:00,380.9254761,OK,
10/15/18 0:15,-0.03378541,OK,10/15/18 0:15,0,OK,10/15/18 0:15,868030.625,OK,10/15/18 0:15,65.86826324,OK,10/15/18 0:15,65.9020462,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,10416367.5,OK,,,,,,,10/15/18 0:15,719324,OK,10/15/18 0:15,14712.24414,OK,10/15/18 0:15,120.7369417,OK,10/15/18 0:15,18747.03906,OK,10/15/18 0:15,0.100769508,OK,10/15/18 0:15,183.1358185,OK,10/15/18 0:15,381.0838013,OK,
10/15/18 0:30,-0.094218038,OK,10/15/18 0:30,0,OK,10/15/18 0:30,868030.625,OK,10/15/18 0:30,66.11201477,OK,10/15/18 0:30,66.20623016,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,10416367.5,OK,,,,,,,10/15/18 0:30,719344,OK,10/15/18 0:30,14712.27539,OK,10/15/18 0:30,160.4696363,OK,10/15/18 0:30,18747.07617,OK,10/15/18 0:30,0.133925232,OK,10/15/18 0:30,183.9190216,OK,10/15/18 0:30,380.888916,OK,
10/15/18 0:45,0.048842147,OK,10/15/18 0:45,0,OK,10/15/18 0:45,868030.625,OK,10/15/18 0:45,66.43480682,OK,10/15/18 0:45,66.38596344,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,10416367.5,OK,,,,,,,10/15/18 0:45,719365,OK,10/15/18 0:45,14712.30273,OK,10/15/18 0:45,111.9288579,OK,10/15/18 0:45,18747.10938,OK,10/15/18 0:45,0.093418205,OK,10/15/18 0:45,183.1352997,OK,10/15/18 0:45,380.5043335,OK,
10/15/18 1:00,0.150336444,OK,10/15/18 1:00,0,OK,10/15/18 1:00,868030.625,OK,10/15/18 1:00,66.73739624,OK,10/15/18 1:00,66.58706665,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,10416367.5,OK,,,,,,,10/15/18 1:00,719385,OK,10/15/18 1:00,14712.33105,OK,10/15/18 1:00,148.8295346,OK,10/15/18 1:00,18747.14258,OK,10/15/18 1:00,0.124212158,OK,10/15/18 1:00,183.7057648,OK,10/15/18 1:00,380.9840698,OK,
10/15/18 1:15,0.163561612,OK,10/15/18 1:15,0,OK,10/15/18 1:15,868030.625,OK,10/15/18 1:15,66.96452332,OK,10/15/18 1:15,66.80096436,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,10416367.5,OK,,,,,,,10/15/18 1:15,719404,OK,10/15/18 1:15,14712.35742,OK,10/15/18 1:15,110.1635769,OK,10/15/18 1:15,18747.17383,OK,10/15/18 1:15,0.091938728,OK,10/15/18 1:15,184.2771454,OK,10/15/18 1:15,381.2207947,OK,
10/15/18 1:30,0.107052818,OK,10/15/18 1:30,0,OK,10/15/18 1:30,868030.625,OK,10/15/18 1:30,67.08462524,OK,10/15/18 1:30,66.97757721,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,10416367.5,OK,,,,,,,10/15/18 1:30,719424,OK,10/15/18 1:30,14712.38477,OK,10/15/18 1:30,129.874602,OK,10/15/18 1:30,18747.20703,OK,10/15/18 1:30,0.108395164,OK,10/15/18 1:30,183.2840424,OK,10/15/18 1:30,380.8068848,OK,
10/15/18 1:45,0.11828807,OK,10/15/18 1:45,0,OK,10/15/18 1:45,868030.625,OK,10/15/18 1:45,67.2960434,OK,10/15/18 1:45,67.17775726,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,10416367.5,OK,,,,,,,10/15/18 1:45,719445,OK,10/15/18 1:45,14712.41016,OK,10/15/18 1:45,124.7851253,OK,10/15/18 1:45,18747.23828,OK,10/15/18 1:45,0.104139511,OK,10/15/18 1:45,184.5834503,OK,10/15/18 1:45,381.4433289,OK,
10/15/18 2:00,0.194310814,OK,10/15/18 2:00,0,OK,10/15/18 2:00,868030.625,OK,10/15/18 2:00,67.54734802,OK,10/15/18 2:00,67.3530426,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,10416367.5,OK,,,,,,,10/15/18 2:00,719464,OK,10/15/18 2:00,14712.44141,OK,10/15/18 2:00,125.4491955,OK,10/15/18 2:00,18747.27539,OK,10/15/18 2:00,0.1046968,OK,10/15/18 2:00,184.0953522,OK,10/15/18 2:00,380.9620972,OK,
10/15/18 2:15,0.22886464,OK,10/15/18 2:15,0,OK,10/15/18 2:15,868030.625,OK,10/15/18 2:15,67.68575287,OK,10/15/18 2:15,67.45689392,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,10416367.5,OK,,,,,,,10/15/18 2:15,719484,OK,10/15/18 2:15,14712.46289,OK,10/15/18 2:15,109.4414741,OK,10/15/18 2:15,18747.30078,OK,10/15/18 2:15,0.091339058,OK,10/15/18 2:15,183.7185669,OK,10/15/18 2:15,381.1471863,OK,
