OSU_RTS.CALC.1105_DW1 Time [SNAP],OSU_RTS.CALC.1105_DW1 Value [SNAP],OSU_RTS.CALC.1105_DW1 Status [SNAP],OSU_RTS.CALC.1105_DW2 Time [SNAP],OSU_RTS.CALC.1105_DW2 Value [SNAP],OSU_RTS.CALC.1105_DW2 Status [SNAP],OSU_RTS.MDBUS_RH.1105_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1105_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1105_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1105_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1105_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1105_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1105_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1105_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1105_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1105_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1105_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1105_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1105_CST Time [SNAP],OSU_RTS.MDBUS_RH.1105_CST Value [SNAP],OSU_RTS.MDBUS_RH.1105_CST Status [SNAP],OSU_RTS.MDBUS_RH.1105_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1105_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1105_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1105_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1105_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1105_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1105_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1105_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1105_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1105_D2H Time [SNAP],OSU_RTS.MDBUS_RH.1105_D2H Value [SNAP],OSU_RTS.MDBUS_RH.1105_D2H Status [SNAP],OSU_RTS.MDBUS_RH.1105_D2L Time [SNAP],OSU_RTS.MDBUS_RH.1105_D2L Value [SNAP],OSU_RTS.MDBUS_RH.1105_D2L Status [SNAP],OSU_RTS.MDBUS_RH.1105_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1105_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1105_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1105_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1105_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1105_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1105_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1105_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1105_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1105_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1105_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1105_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1105_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1105_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1105_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1105_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1105_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1105_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1105_EC Time [SNAP],OSU_RTS.MDBUS_RH.1105_EC Value [SNAP],OSU_RTS.MDBUS_RH.1105_EC Status [SNAP],OSU_RTS.MDBUS_RH.1105_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1105_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1105_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1105_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1105_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1105_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1105_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1105_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1105_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1105_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1105_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1105_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1105_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1105_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1105_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1105_HST Time [SNAP],OSU_RTS.MDBUS_RH.1105_HST Value [SNAP],OSU_RTS.MDBUS_RH.1105_HST Status [SNAP],OSU_RTS.MDBUS_RH.1105_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1105_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1105_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1105C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1105C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1105C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1105C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1105C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1105C_HG Status [SNAP],Comments
10/15/18 0:00,503731,OK,10/15/18 0:00,270235,OK,10/15/18 0:00,6.092875957,OK,10/15/18 0:00,8.081853867,OK,10/15/18 0:00,997608.3125,OK,10/15/18 0:00,51.5078392,OK,10/15/18 0:00,45.41496277,OK,10/15/18 0:00,31.7423605,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,19.254879,OK,10/15/18 0:00,100.5127487,OK,10/15/18 0:00,147.1662292,OK,10/15/18 0:00,127.9113388,OK,10/15/18 0:00,85563.0625,OK,10/15/18 0:00,10.62944741,OK,10/15/18 0:00,1716208,OK,10/15/18 0:00,1.304192543,OK,10/15/18 0:00,39.04152679,OK,10/15/18 0:00,6236799.5,OK,10/15/18 0:00,1342187.875,OK,10/15/18 0:00,113.6839294,OK,10/15/18 0:00,114.9881287,OK,10/15/18 0:00,60.48929977,OK,10/15/18 0:00,96.9822464,OK,10/15/18 0:00,11971299.75,OK,
10/15/18 0:15,503742,OK,10/15/18 0:15,270243,OK,10/15/18 0:15,4.913405418,OK,10/15/18 0:15,7.503845692,OK,10/15/18 0:15,997610.1875,OK,10/15/18 0:15,50.20725632,OK,10/15/18 0:15,45.29385376,OK,10/15/18 0:15,36.54467619,OK,,,,,,,,,,,,,10/15/18 0:15,18.91750526,OK,10/15/18 0:15,62.43437576,OK,10/15/18 0:15,147.1844482,OK,10/15/18 0:15,128.2669373,OK,10/15/18 0:15,85585.78125,OK,10/15/18 0:15,6.720280582,OK,10/15/18 0:15,1716234,OK,10/15/18 0:15,1.165183544,OK,10/15/18 0:15,34.56370163,OK,10/15/18 0:15,6236803.5,OK,10/15/18 0:15,1342195.375,OK,10/15/18 0:15,110.9638672,OK,10/15/18 0:15,112.1290588,OK,10/15/18 0:15,59.89950526,OK,10/15/18 0:15,90.0461483,OK,10/15/18 0:15,11971322.25,OK,
10/15/18 0:30,503753,OK,10/15/18 0:30,270250,OK,10/15/18 0:30,6.005189896,OK,10/15/18 0:30,8.010834694,OK,10/15/18 0:30,997612.0625,OK,10/15/18 0:30,51.18783951,OK,10/15/18 0:30,45.18264771,OK,10/15/18 0:30,31.9198197,OK,,,,,,,,,,,,,10/15/18 0:30,20.24440384,OK,10/15/18 0:30,88.7170639,OK,10/15/18 0:30,148.1297302,OK,10/15/18 0:30,127.8853302,OK,10/15/18 0:30,85608.26563,OK,10/15/18 0:30,8.925633221,OK,10/15/18 0:30,1716258,OK,10/15/18 0:30,1.091899753,OK,10/15/18 0:30,31.26486397,OK,10/15/18 0:30,6236811.5,OK,10/15/18 0:30,1342202.75,OK,10/15/18 0:30,108.2427979,OK,10/15/18 0:30,109.3347015,OK,10/15/18 0:30,57.78083089,OK,10/15/18 0:30,96.13001633,OK,10/15/18 0:30,11971344.75,OK,
10/15/18 0:45,503765,OK,10/15/18 0:45,270258,OK,10/15/18 0:45,6.249867916,OK,10/15/18 0:45,0,OK,10/15/18 0:45,997612.9375,OK,10/15/18 0:45,51.70728302,OK,10/15/18 0:45,45.45742035,OK,10/15/18 0:45,0,OK,,,,,,,,,,,,,10/15/18 0:45,20.77167511,OK,10/15/18 0:45,93.82548523,OK,10/15/18 0:45,148.2320557,OK,10/15/18 0:45,127.4603806,OK,10/15/18 0:45,85634.98438,OK,10/15/18 0:45,9.20030709,OK,10/15/18 0:45,1716280,OK,10/15/18 0:45,4.239263535,OK,10/15/18 0:45,115.8552322,OK,10/15/18 0:45,6236818.5,OK,10/15/18 0:45,1342209.75,OK,10/15/18 0:45,105.678772,OK,10/15/18 0:45,109.9180374,OK,10/15/18 0:45,55.88628616,OK,10/15/18 0:45,0,OK,10/15/18 0:45,11971355.25,OK,
10/15/18 1:00,503771,OK,10/15/18 1:00,270262,OK,10/15/18 1:00,5.718241692,OK,10/15/18 1:00,9.763073921,OK,10/15/18 1:00,997613.4375,OK,10/15/18 1:00,51.16674805,OK,10/15/18 1:00,45.44850922,OK,10/15/18 1:00,40.85834075,OK,,,,,,,,,,,,,10/15/18 1:00,20.28734398,OK,10/15/18 1:00,88.06278992,OK,10/15/18 1:00,147.6157074,OK,10/15/18 1:00,127.3283691,OK,10/15/18 1:00,85660.46875,OK,10/15/18 1:00,8.840010374,OK,10/15/18 1:00,1716302,OK,10/15/18 1:00,13.96250057,OK,10/15/18 1:00,386.7012939,OK,10/15/18 1:00,6236907,OK,10/15/18 1:00,1342216.625,OK,10/15/18 1:00,106.4657898,OK,10/15/18 1:00,120.4282837,OK,10/15/18 1:00,56.0361915,OK,10/15/18 1:00,117.1568871,OK,10/15/18 1:00,11971361.25,OK,
10/15/18 1:15,503778,OK,10/15/18 1:15,270266,OK,10/15/18 1:15,3.860266447,OK,10/15/18 1:15,8.241398811,OK,10/15/18 1:15,997619.25,OK,10/15/18 1:15,50.6149292,OK,10/15/18 1:15,46.75466919,OK,10/15/18 1:15,51.09342501,OK,,,,,,,,,,,,,10/15/18 1:15,19.01527405,OK,10/15/18 1:15,89.25759125,OK,10/15/18 1:15,147.2519531,OK,10/15/18 1:15,128.2366943,OK,10/15/18 1:15,85685.21875,OK,10/15/18 1:15,9.558264078,OK,10/15/18 1:15,1716325,OK,10/15/18 1:15,8.266004562,OK,10/15/18 1:15,227.8884125,OK,10/15/18 1:15,6237003.5,OK,10/15/18 1:15,1342223.625,OK,10/15/18 1:15,110.2457428,OK,10/15/18 1:15,118.5117493,OK,10/15/18 1:15,55.75506202,OK,10/15/18 1:15,98.89678574,OK,10/15/18 1:15,11971431,OK,
10/15/18 1:30,503784,OK,10/15/18 1:30,270272,OK,10/15/18 1:30,4.505742073,OK,10/15/18 1:30,7.190138817,OK,10/15/18 1:30,997621,OK,10/15/18 1:30,50.65419388,OK,10/15/18 1:30,46.14845276,OK,10/15/18 1:30,38.20770994,OK,,,,,,,,,,,,,10/15/18 1:30,18.69604111,OK,10/15/18 1:30,86.1306076,OK,10/15/18 1:30,147.4346466,OK,10/15/18 1:30,128.7386169,OK,10/15/18 1:30,85707.10938,OK,10/15/18 1:30,9.381219929,OK,10/15/18 1:30,1716347,OK,10/15/18 1:30,2.363412857,OK,10/15/18 1:30,66.98184204,OK,10/15/18 1:30,6237034,OK,10/15/18 1:30,1342230.5,OK,10/15/18 1:30,113.064476,OK,10/15/18 1:30,115.427887,OK,10/15/18 1:30,57.27391971,OK,10/15/18 1:30,86.32348251,OK,10/15/18 1:30,11971452,OK,
10/15/18 1:45,503790,OK,10/15/18 1:45,270274,OK,10/15/18 1:45,4.59552002,OK,10/15/18 1:45,0,OK,10/15/18 1:45,997621.0625,OK,10/15/18 1:45,50.99373627,OK,10/15/18 1:45,46.39821625,OK,10/15/18 1:45,0,OK,,,,,,,,,,,,,10/15/18 1:45,18.15724754,OK,10/15/18 1:45,65.58599091,OK,10/15/18 1:45,147.039093,OK,10/15/18 1:45,128.8818359,OK,10/15/18 1:45,85727.39063,OK,10/15/18 1:45,7.354739987,OK,10/15/18 1:45,1716369,OK,10/15/18 1:45,1.19197011,OK,10/15/18 1:45,35.69169998,OK,10/15/18 1:45,6237043,OK,10/15/18 1:45,1342237.875,OK,10/15/18 1:45,111.9127808,OK,10/15/18 1:45,113.1047516,OK,10/15/18 1:45,60.47854109,OK,10/15/18 1:45,0,OK,10/15/18 1:45,11971452.75,OK,
10/15/18 2:00,503793,OK,10/15/18 2:00,270276,OK,10/15/18 2:00,3.306497097,OK,10/15/18 2:00,10.66996574,OK,10/15/18 2:00,997623.9375,OK,10/15/18 2:00,49.75069427,OK,10/15/18 2:00,46.44419861,OK,10/15/18 2:00,77.22708162,OK,,,,,,,,,,,,,10/15/18 2:00,17.89540863,OK,10/15/18 2:00,63.59235764,OK,10/15/18 2:00,146.8406219,OK,10/15/18 2:00,128.9452209,OK,10/15/18 2:00,85743.67188,OK,10/15/18 2:00,7.235147854,OK,10/15/18 2:00,1716390,OK,10/15/18 2:00,1.606560826,OK,10/15/18 2:00,46.85286331,OK,10/15/18 2:00,6237054,OK,10/15/18 2:00,1342245.25,OK,10/15/18 2:00,108.89328,OK,10/15/18 2:00,110.4998322,OK,10/15/18 2:00,58.86649306,OK,10/15/18 2:00,128.0395889,OK,10/15/18 2:00,11971487.25,OK,
10/15/18 2:15,503797,OK,10/15/18 2:15,270278,OK,10/15/18 2:15,4.427714348,OK,10/15/18 2:15,8.287168503,OK,10/15/18 2:15,997626.625,OK,10/15/18 2:15,50.64524841,OK,10/15/18 2:15,46.21753693,OK,10/15/18 2:15,44.67462801,OK,,,,,,,,,,,,,10/15/18 2:15,21.96529579,OK,10/15/18 2:15,95.67022705,OK,10/15/18 2:15,146.8191223,OK,10/15/18 2:15,124.8538208,OK,10/15/18 2:15,85761.32813,OK,10/15/18 2:15,8.905111774,OK,10/15/18 2:15,1716412,OK,10/15/18 2:15,1.48622632,OK,10/15/18 2:15,41.4367981,OK,10/15/18 2:15,6237065,OK,10/15/18 2:15,1342252.5,OK,10/15/18 2:15,106.4743347,OK,10/15/18 2:15,107.9605637,OK,10/15/18 2:15,56.24298682,OK,10/15/18 2:15,99.18635559,OK,10/15/18 2:15,11971519.5,OK,
