OSU_RTS.MDBUS_E3.077_E01 Time [SNAP],OSU_RTS.MDBUS_E3.077_E01 Value [SNAP],OSU_RTS.MDBUS_E3.077_E01 Status [SNAP],OSU_RTS.MDBUS_H1.077_HDT Time [SNAP],OSU_RTS.MDBUS_H1.077_HDT Value [SNAP],OSU_RTS.MDBUS_H1.077_HDT Status [SNAP],OSU_RTS.MDBUS_H1.077_HHF Time [SNAP],OSU_RTS.MDBUS_H1.077_HHF Value [SNAP],OSU_RTS.MDBUS_H1.077_HHF Status [SNAP],OSU_RTS.MDBUS_H1.077_HHT Time [SNAP],OSU_RTS.MDBUS_H1.077_HHT Value [SNAP],OSU_RTS.MDBUS_H1.077_HHT Status [SNAP],OSU_RTS.MDBUS_H1.077_HMT Time [SNAP],OSU_RTS.MDBUS_H1.077_HMT Value [SNAP],OSU_RTS.MDBUS_H1.077_HMT Status [SNAP],OSU_RTS.MDBUS_H1.077_HRWT Time [SNAP],OSU_RTS.MDBUS_H1.077_HRWT Value [SNAP],OSU_RTS.MDBUS_H1.077_HRWT Status [SNAP],OSU_RTS.MDBUS_H1.077_HSWT Time [SNAP],OSU_RTS.MDBUS_H1.077_HSWT Value [SNAP],OSU_RTS.MDBUS_H1.077_HSWT Status [SNAP],OSU_RTS.MDBUS_H1.077_HVF Time [SNAP],OSU_RTS.MDBUS_H1.077_HVF Value [SNAP],OSU_RTS.MDBUS_H1.077_HVF Status [SNAP],Comments
10/15/18 0:00,248946,OK,10/15/18 0:00,0.403657138,OK,10/15/18 0:00,0,OK,10/15/18 0:00,1041893.188,OK,10/15/18 0:00,738813184,OK,10/15/18 0:00,49.60762787,OK,10/15/18 0:00,49.20396805,OK,10/15/18 0:00,501.1412401,OK,
10/15/18 0:15,248954,OK,10/15/18 0:15,0.41267705,OK,10/15/18 0:15,0,OK,10/15/18 0:15,1041893.188,OK,10/15/18 0:15,738875904,OK,10/15/18 0:15,49.60077667,OK,10/15/18 0:15,49.18809891,OK,10/15/18 0:15,501.1806614,OK,
10/15/18 0:30,248961,OK,10/15/18 0:30,0.416938126,OK,10/15/18 0:30,0,OK,10/15/18 0:30,1041893.188,OK,10/15/18 0:30,738938624,OK,10/15/18 0:30,49.57468796,OK,10/15/18 0:30,49.15775299,OK,10/15/18 0:30,501.2035786,OK,
10/15/18 0:45,248968,OK,10/15/18 0:45,0.378057003,OK,10/15/18 0:45,0,OK,10/15/18 0:45,1041893.188,OK,10/15/18 0:45,739001344,OK,10/15/18 0:45,49.542099,OK,10/15/18 0:45,49.16404343,OK,10/15/18 0:45,501.170505,OK,
10/15/18 1:00,248975,OK,10/15/18 1:00,0.409260571,OK,10/15/18 1:00,0,OK,10/15/18 1:00,1041893.188,OK,10/15/18 1:00,739064064,OK,10/15/18 1:00,49.53495789,OK,10/15/18 1:00,49.1257019,OK,10/15/18 1:00,501.1719699,OK,
10/15/18 1:15,248982,OK,10/15/18 1:15,0.376062334,OK,10/15/18 1:15,0,OK,10/15/18 1:15,1041893.188,OK,10/15/18 1:15,739126784,OK,10/15/18 1:15,49.48989105,OK,10/15/18 1:15,49.11383057,OK,10/15/18 1:15,501.1811497,OK,
10/15/18 1:30,248989,OK,10/15/18 1:30,0.422611803,OK,10/15/18 1:30,0,OK,10/15/18 1:30,1041893.188,OK,10/15/18 1:30,739189504,OK,10/15/18 1:30,49.48916245,OK,10/15/18 1:30,49.06655121,OK,10/15/18 1:30,501.1917945,OK,
10/15/18 1:45,248996,OK,10/15/18 1:45,0.445061862,OK,10/15/18 1:45,0,OK,10/15/18 1:45,1041893.188,OK,10/15/18 1:45,739252160,OK,10/15/18 1:45,49.50004578,OK,10/15/18 1:45,49.05498505,OK,10/15/18 1:45,501.2662751,OK,
10/15/18 2:00,249003,OK,10/15/18 2:00,0.425750047,OK,10/15/18 2:00,0,OK,10/15/18 2:00,1041893.188,OK,10/15/18 2:00,739314944,OK,10/15/18 2:00,49.47766113,OK,10/15/18 2:00,49.05191422,OK,10/15/18 2:00,501.1827448,OK,
10/15/18 2:15,249010,OK,10/15/18 2:15,0.432122946,OK,10/15/18 2:15,0,OK,10/15/18 2:15,1041893.188,OK,10/15/18 2:15,739377664,OK,10/15/18 2:15,49.47376633,OK,10/15/18 2:15,49.04164505,OK,10/15/18 2:15,501.1941383,OK,
10/15/18 2:30,249017,OK,10/15/18 2:30,0.406477243,OK,10/15/18 2:30,0,OK,10/15/18 2:30,1041893.188,OK,10/15/18 2:30,739440384,OK,10/15/18 2:30,49.45609283,OK,10/15/18 2:30,49.04961395,OK,10/15/18 2:30,501.2326807,OK,
10/15/18 2:45,249024,OK,10/15/18 2:45,0.433828354,OK,10/15/18 2:45,0,OK,10/15/18 2:45,1041893.188,OK,10/15/18 2:45,739503104,OK,10/15/18 2:45,49.44685364,OK,10/15/18 2:45,49.01302338,OK,10/15/18 2:45,501.1972308,OK,
10/15/18 3:00,249031,OK,10/15/18 3:00,0.448854268,OK,10/15/18 3:00,0,OK,10/15/18 3:00,1041893.188,OK,10/15/18 3:00,739565824,OK,10/15/18 3:00,49.44849014,OK,10/15/18 3:00,48.99963379,OK,10/15/18 3:00,501.2276676,OK,
10/15/18 3:15,249038,OK,10/15/18 3:15,0.434641063,OK,10/15/18 3:15,0,OK,10/15/18 3:15,1041893.188,OK,10/15/18 3:15,739628544,OK,10/15/18 3:15,49.44644165,OK,10/15/18 3:15,49.01180267,OK,10/15/18 3:15,501.1754204,OK,
