OSU_RTS.CALC.1106_DW1 Time [SNAP],OSU_RTS.CALC.1106_DW1 Value [SNAP],OSU_RTS.CALC.1106_DW1 Status [SNAP],OSU_RTS.CALC.1106_DW2 Time [SNAP],OSU_RTS.CALC.1106_DW2 Value [SNAP],OSU_RTS.CALC.1106_DW2 Status [SNAP],OSU_RTS.CALC.1106_GPALARM Time [SNAP],OSU_RTS.CALC.1106_GPALARM Value [SNAP],OSU_RTS.CALC.1106_GPALARM Status [SNAP],OSU_RTS.MDBUS_RH.1106_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1106_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1106_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1106_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1106_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1106_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1106_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1106_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1106_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1106_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1106_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1106_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1106_CST Time [SNAP],OSU_RTS.MDBUS_RH.1106_CST Value [SNAP],OSU_RTS.MDBUS_RH.1106_CST Status [SNAP],OSU_RTS.MDBUS_RH.1106_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1106_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1106_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1106_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1106_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1106_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1106_D2L Time [SNAP],OSU_RTS.MDBUS_RH.1106_D2L Value [SNAP],OSU_RTS.MDBUS_RH.1106_D2L Status [SNAP],OSU_RTS.MDBUS_RH.1106_D2H Time [SNAP],OSU_RTS.MDBUS_RH.1106_D2H Value [SNAP],OSU_RTS.MDBUS_RH.1106_D2H Status [SNAP],OSU_RTS.MDBUS_RH.1106_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1106_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1106_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1106_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1106_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1106_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1106_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1106_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1106_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1106_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1106_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1106_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1106_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1106_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1106_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1106_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1106_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1106_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1106_DW1 Time [SNAP],OSU_RTS.MDBUS_RH.1106_DW1 Value [SNAP],OSU_RTS.MDBUS_RH.1106_DW1 Status [SNAP],OSU_RTS.MDBUS_RH.1106_DW2 Time [SNAP],OSU_RTS.MDBUS_RH.1106_DW2 Value [SNAP],OSU_RTS.MDBUS_RH.1106_DW2 Status [SNAP],OSU_RTS.MDBUS_RH.1106_EC Time [SNAP],OSU_RTS.MDBUS_RH.1106_EC Value [SNAP],OSU_RTS.MDBUS_RH.1106_EC Status [SNAP],OSU_RTS.MDBUS_RH.1106_GBV Time [SNAP],OSU_RTS.MDBUS_RH.1106_GBV Value [SNAP],OSU_RTS.MDBUS_RH.1106_GBV Status [SNAP],OSU_RTS.MDBUS_RH.1106_GCV Time [SNAP],OSU_RTS.MDBUS_RH.1106_GCV Value [SNAP],OSU_RTS.MDBUS_RH.1106_GCV Status [SNAP],OSU_RTS.MDBUS_RH.1106_GP Time [SNAP],OSU_RTS.MDBUS_RH.1106_GP Value [SNAP],OSU_RTS.MDBUS_RH.1106_GP Status [SNAP],OSU_RTS.MDBUS_RH.1106_GT Time [SNAP],OSU_RTS.MDBUS_RH.1106_GT Value [SNAP],OSU_RTS.MDBUS_RH.1106_GT Status [SNAP],OSU_RTS.MDBUS_RH.1106_GUV Time [SNAP],OSU_RTS.MDBUS_RH.1106_GUV Value [SNAP],OSU_RTS.MDBUS_RH.1106_GUV Status [SNAP],OSU_RTS.MDBUS_RH.1106_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1106_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1106_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1106_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1106_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1106_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1106_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1106_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1106_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1106_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1106_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1106_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1106_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1106_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1106_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1106_HST Time [SNAP],OSU_RTS.MDBUS_RH.1106_HST Value [SNAP],OSU_RTS.MDBUS_RH.1106_HST Status [SNAP],OSU_RTS.MDBUS_RH.1106_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1106_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1106_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1106C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1106C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1106C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1106C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1106C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1106C_HG Status [SNAP],Comments
10/15/18 0:00,19502,OK,10/15/18 0:00,393435,OK,10/15/18 0:00,0,OK,10/15/18 0:00,3.562861204,OK,10/15/18 0:00,0.697673321,OK,10/15/18 0:00,944039.625,OK,10/15/18 0:00,44.5763092,OK,10/15/18 0:00,41.01345062,OK,10/15/18 0:00,4.674188636,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,152.9812927,OK,10/15/18 0:00,72323.25,OK,10/15/18 0:00,7.938825053,OK,10/15/18 0:00,19502,OK,10/15/18 0:00,219,OK,10/15/18 0:00,2095208,OK,10/15/18 0:00,5.639999866,OK,10/15/18 0:00,209213,OK,10/15/18 0:00,5,OK,10/15/18 0:00,56.65999985,OK,10/15/18 0:00,1556218,OK,10/15/18 0:00,3.846431255,OK,10/15/18 0:00,151.6328583,OK,10/15/18 0:00,5531490.5,OK,10/15/18 0:00,55106116,OK,10/15/18 0:00,105.0903168,OK,10/15/18 0:00,108.9367523,OK,10/15/18 0:00,79.54310287,OK,10/15/18 0:00,8.372079849,OK,10/15/18 0:00,11328475.5,OK,
10/15/18 0:15,19502,OK,10/15/18 0:15,393449,OK,10/15/18 0:15,0,OK,10/15/18 0:15,3.573509693,OK,10/15/18 0:15,0,OK,10/15/18 0:15,944041.4375,OK,10/15/18 0:15,44.69667053,OK,10/15/18 0:15,41.12316132,OK,10/15/18 0:15,0,OK,,,,,,,,,,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,153.8247681,OK,10/15/18 0:15,72323.25,OK,10/15/18 0:15,5.992497065,OK,10/15/18 0:15,19502,OK,10/15/18 0:15,233,OK,10/15/18 0:15,2095227,OK,10/15/18 0:15,5.650000095,OK,10/15/18 0:15,209214,OK,10/15/18 0:15,5.25,OK,10/15/18 0:15,56.65999985,OK,10/15/18 0:15,1556225,OK,10/15/18 0:15,3.885832548,OK,10/15/18 0:15,154.2102203,OK,10/15/18 0:15,5531527.5,OK,10/15/18 0:15,55116100,OK,10/15/18 0:15,100.6208496,OK,10/15/18 0:15,104.5066833,OK,10/15/18 0:15,80.02447643,OK,10/15/18 0:15,0,OK,10/15/18 0:15,11328497.25,OK,
10/15/18 0:30,19502,OK,10/15/18 0:30,393456,OK,10/15/18 0:30,0,OK,10/15/18 0:30,7.491463661,OK,10/15/18 0:30,0,OK,10/15/18 0:30,944043.75,OK,10/15/18 0:30,48.4807663,OK,10/15/18 0:30,40.98930359,OK,10/15/18 0:30,0,OK,,,,,,,,,,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,153.1853027,OK,10/15/18 0:30,72323.25,OK,10/15/18 0:30,5.936791198,OK,10/15/18 0:30,19502,OK,10/15/18 0:30,240,OK,10/15/18 0:30,2095244,OK,10/15/18 0:30,5.639999866,OK,10/15/18 0:30,209215,OK,10/15/18 0:30,5.039999962,OK,10/15/18 0:30,56.49000168,OK,10/15/18 0:30,1556233,OK,10/15/18 0:30,3.335174084,OK,10/15/18 0:30,131.512207,OK,10/15/18 0:30,5531560,OK,10/15/18 0:30,55125848,OK,10/15/18 0:30,97.46196747,OK,10/15/18 0:30,100.7971344,OK,10/15/18 0:30,79.5301062,OK,10/15/18 0:30,0,OK,10/15/18 0:30,11328525,OK,
10/15/18 0:45,19502,OK,10/15/18 0:45,393472,OK,10/15/18 0:45,0,OK,10/15/18 0:45,9.509799004,OK,10/15/18 0:45,2.861077309,OK,10/15/18 0:45,944045.625,OK,10/15/18 0:45,50.65148163,OK,10/15/18 0:45,41.14168549,OK,10/15/18 0:45,7.191707755,OK,,,,,,,,,,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,152.9525299,OK,10/15/18 0:45,72323.25,OK,10/15/18 0:45,5.970865773,OK,10/15/18 0:45,19502,OK,10/15/18 0:45,256,OK,10/15/18 0:45,2095262,OK,10/15/18 0:45,5.630000114,OK,10/15/18 0:45,209216,OK,10/15/18 0:45,5.279999733,OK,10/15/18 0:45,56.49000168,OK,10/15/18 0:45,1556237,OK,10/15/18 0:45,3.334071398,OK,10/15/18 0:45,138.4814911,OK,10/15/18 0:45,5531592,OK,10/15/18 0:45,55135856,OK,10/15/18 0:45,93.94223022,OK,10/15/18 0:45,97.27630615,OK,10/15/18 0:45,83.6972631,OK,10/15/18 0:45,34.3329277,OK,10/15/18 0:45,11328547.5,OK,
10/15/18 1:00,19502,OK,10/15/18 1:00,393485,OK,10/15/18 1:00,0,OK,10/15/18 1:00,6.226251602,OK,10/15/18 1:00,0,OK,10/15/18 1:00,944046.9375,OK,10/15/18 1:00,47.12824249,OK,10/15/18 1:00,40.90198517,OK,10/15/18 1:00,0,OK,,,,,,,,,,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,153.3232422,OK,10/15/18 1:00,72323.25,OK,10/15/18 1:00,6.051554338,OK,10/15/18 1:00,19502,OK,10/15/18 1:00,269,OK,10/15/18 1:00,2095280,OK,10/15/18 1:00,5.639999866,OK,10/15/18 1:00,209219,OK,10/15/18 1:00,5,OK,10/15/18 1:00,57.29999924,OK,10/15/18 1:00,1556260,OK,10/15/18 1:00,3.402490616,OK,10/15/18 1:00,143.2884521,OK,10/15/18 1:00,5531666,OK,10/15/18 1:00,55146372,OK,10/15/18 1:00,107.4531555,OK,10/15/18 1:00,110.8556366,OK,10/15/18 1:00,85.01201108,OK,10/15/18 1:00,0,OK,10/15/18 1:00,11328563.25,OK,
10/15/18 1:15,19503,OK,10/15/18 1:15,393496,OK,10/15/18 1:15,0,OK,10/15/18 1:15,5.671639442,OK,10/15/18 1:15,0,OK,10/15/18 1:15,944048.25,OK,10/15/18 1:15,46.91757965,OK,10/15/18 1:15,41.24594116,OK,10/15/18 1:15,0,OK,,,,,,,,,,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,154.6172943,OK,10/15/18 1:15,72323.25,OK,10/15/18 1:15,6.184637037,OK,10/15/18 1:15,19503,OK,10/15/18 1:15,280,OK,10/15/18 1:15,2095297,OK,10/15/18 1:15,5.679999828,OK,10/15/18 1:15,209220,OK,10/15/18 1:15,5.259999752,OK,10/15/18 1:15,57.29999924,OK,10/15/18 1:15,1556267,OK,10/15/18 1:15,4.130447388,OK,10/15/18 1:15,176.8317871,OK,10/15/18 1:15,5531715.5,OK,10/15/18 1:15,55157072,OK,10/15/18 1:15,102.5792999,OK,10/15/18 1:15,106.7097397,OK,10/15/18 1:15,86.33753401,OK,10/15/18 1:15,0,OK,10/15/18 1:15,11328579,OK,
10/15/18 1:30,19503,OK,10/15/18 1:30,393504,OK,10/15/18 1:30,0,OK,10/15/18 1:30,9.886678696,OK,10/15/18 1:30,4.68614912,OK,10/15/18 1:30,944049.75,OK,10/15/18 1:30,51.06316376,OK,10/15/18 1:30,41.17648315,OK,10/15/18 1:30,11.31962133,OK,,,,,,,,,,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,152.9159546,OK,10/15/18 1:30,72323.25,OK,10/15/18 1:30,6.0358863,OK,10/15/18 1:30,19503,OK,10/15/18 1:30,288,OK,10/15/18 1:30,2095314,OK,10/15/18 1:30,5.679999828,OK,10/15/18 1:30,209220,OK,10/15/18 1:30,5.130000114,OK,10/15/18 1:30,56.98000336,OK,10/15/18 1:30,1556271,OK,10/15/18 1:30,3.779991865,OK,10/15/18 1:30,152.7691803,OK,10/15/18 1:30,5531758.5,OK,10/15/18 1:30,55167856,OK,10/15/18 1:30,98.06358337,OK,10/15/18 1:30,101.8435745,OK,10/15/18 1:30,81.52754198,OK,10/15/18 1:30,56.17768478,OK,10/15/18 1:30,11328597,OK,
10/15/18 1:45,19503,OK,10/15/18 1:45,393506,OK,10/15/18 1:45,0,OK,10/15/18 1:45,6.655208111,OK,10/15/18 1:45,11.46208763,OK,10/15/18 1:45,944052.3125,OK,10/15/18 1:45,47.80950546,OK,10/15/18 1:45,41.15429688,OK,10/15/18 1:45,41.14972435,OK,,,,,,,,,,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,154.7905884,OK,10/15/18 1:45,72323.25,OK,10/15/18 1:45,5.945529064,OK,10/15/18 1:45,19503,OK,10/15/18 1:45,290,OK,10/15/18 1:45,2095331,OK,10/15/18 1:45,5.670000076,OK,10/15/18 1:45,209223,OK,10/15/18 1:45,5.239999771,OK,10/15/18 1:45,57.62999725,OK,10/15/18 1:45,1556290,OK,10/15/18 1:45,7.768277168,OK,10/15/18 1:45,333.8154297,OK,10/15/18 1:45,5531853,OK,10/15/18 1:45,55178304,OK,10/15/18 1:45,99.90232849,OK,10/15/18 1:45,107.6706009,OK,10/15/18 1:45,86.71028723,OK,10/15/18 1:45,137.5450516,OK,10/15/18 1:45,11328627.75,OK,
10/15/18 2:00,19503,OK,10/15/18 2:00,393509,OK,10/15/18 2:00,0,OK,10/15/18 2:00,2.255269527,OK,10/15/18 2:00,5.784931183,OK,10/15/18 2:00,944054.1875,OK,10/15/18 2:00,43.2265892,OK,10/15/18 2:00,40.97132111,OK,10/15/18 2:00,61.17280546,OK,,,,,,,,,,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,154.184845,OK,10/15/18 2:00,72323.25,OK,10/15/18 2:00,5.877427727,OK,10/15/18 2:00,19503,OK,10/15/18 2:00,293,OK,10/15/18 2:00,2095347,OK,10/15/18 2:00,5.650000095,OK,10/15/18 2:00,209224,OK,10/15/18 2:00,5.300000191,OK,10/15/18 2:00,57.62999725,OK,10/15/18 2:00,1556298,OK,10/15/18 2:00,3.754543781,OK,10/15/18 2:00,153.146698,OK,10/15/18 2:00,5531909.5,OK,10/15/18 2:00,55188664,OK,10/15/18 2:00,104.6622238,OK,10/15/18 2:00,108.4167633,OK,10/15/18 2:00,82.29313346,OK,10/15/18 2:00,69.35060692,OK,10/15/18 2:00,11328650.25,OK,
10/15/18 2:15,19503,OK,10/15/18 2:15,393513,OK,10/15/18 2:15,0,OK,10/15/18 2:15,3.34392786,OK,10/15/18 2:15,4.226356506,OK,10/15/18 2:15,944055.9375,OK,10/15/18 2:15,44.65821075,OK,10/15/18 2:15,41.31428528,OK,10/15/18 2:15,30.10886022,OK,,,,,,,,,,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,153.3368988,OK,10/15/18 2:15,72323.25,OK,10/15/18 2:15,5.903337669,OK,10/15/18 2:15,19503,OK,10/15/18 2:15,297,OK,10/15/18 2:15,2095362,OK,10/15/18 2:15,5.630000114,OK,10/15/18 2:15,209224,OK,10/15/18 2:15,5.21999979,OK,10/15/18 2:15,57.13999939,OK,10/15/18 2:15,1556298,OK,10/15/18 2:15,4.415185452,OK,10/15/18 2:15,182.9675293,OK,10/15/18 2:15,5531983,OK,10/15/18 2:15,55198672,OK,10/15/18 2:15,96.10397339,OK,10/15/18 2:15,100.519165,OK,10/15/18 2:15,83.57654943,OK,10/15/18 2:15,50.71627808,OK,10/15/18 2:15,11328671.25,OK,
