OSU_RTS.MDBUS_C1.030_HDT Time [SNAP],OSU_RTS.MDBUS_C1.030_HDT Value [SNAP],OSU_RTS.MDBUS_C1.030_HDT Status [SNAP],OSU_RTS.MDBUS_C1.030_HHF Time [SNAP],OSU_RTS.MDBUS_C1.030_HHF Value [SNAP],OSU_RTS.MDBUS_C1.030_HHF Status [SNAP],OSU_RTS.MDBUS_C1.030_HHT Time [SNAP],OSU_RTS.MDBUS_C1.030_HHT Value [SNAP],OSU_RTS.MDBUS_C1.030_HHT Status [SNAP],OSU_RTS.MDBUS_C1.030_HMT Time [SNAP],OSU_RTS.MDBUS_C1.030_HMT Value [SNAP],OSU_RTS.MDBUS_C1.030_HMT Status [SNAP],OSU_RTS.MDBUS_C1.030_HRWT Time [SNAP],OSU_RTS.MDBUS_C1.030_HRWT Value [SNAP],OSU_RTS.MDBUS_C1.030_HRWT Status [SNAP],OSU_RTS.MDBUS_C1.030_HSWT Time [SNAP],OSU_RTS.MDBUS_C1.030_HSWT Value [SNAP],OSU_RTS.MDBUS_C1.030_HSWT Status [SNAP],OSU_RTS.MDBUS_C1.030_HVF Time [SNAP],OSU_RTS.MDBUS_C1.030_HVF Value [SNAP],OSU_RTS.MDBUS_C1.030_HVF Status [SNAP],OSU_RTS.MDBUS_E3.030_E01 Time [SNAP],OSU_RTS.MDBUS_E3.030_E01 Value [SNAP],OSU_RTS.MDBUS_E3.030_E01 Status [SNAP],OSU_RTS.MDBUS_E3.030_E02 Time [SNAP],OSU_RTS.MDBUS_E3.030_E02 Value [SNAP],OSU_RTS.MDBUS_E3.030_E02 Status [SNAP],OSU_RTS.MDBUS_H1.030_HDT Time [SNAP],OSU_RTS.MDBUS_H1.030_HDT Value [SNAP],OSU_RTS.MDBUS_H1.030_HDT Status [SNAP],OSU_RTS.MDBUS_H1.030_HHF Time [SNAP],OSU_RTS.MDBUS_H1.030_HHF Value [SNAP],OSU_RTS.MDBUS_H1.030_HHF Status [SNAP],OSU_RTS.MDBUS_H1.030_HHT Time [SNAP],OSU_RTS.MDBUS_H1.030_HHT Value [SNAP],OSU_RTS.MDBUS_H1.030_HHT Status [SNAP],OSU_RTS.MDBUS_H1.030_HMT Time [SNAP],OSU_RTS.MDBUS_H1.030_HMT Value [SNAP],OSU_RTS.MDBUS_H1.030_HMT Status [SNAP],OSU_RTS.MDBUS_H1.030_HRWT Time [SNAP],OSU_RTS.MDBUS_H1.030_HRWT Value [SNAP],OSU_RTS.MDBUS_H1.030_HRWT Status [SNAP],OSU_RTS.MDBUS_H1.030_HSWT Time [SNAP],OSU_RTS.MDBUS_H1.030_HSWT Value [SNAP],OSU_RTS.MDBUS_H1.030_HSWT Status [SNAP],OSU_RTS.MDBUS_H1.030_HVF Time [SNAP],OSU_RTS.MDBUS_H1.030_HVF Value [SNAP],OSU_RTS.MDBUS_H1.030_HVF Status [SNAP],Comments
10/15/18 0:00,7.076498985,OK,10/15/18 0:00,1020.941101,OK,10/15/18 0:00,34285112,OK,10/15/18 0:00,10483276,OK,10/15/18 0:00,151.8907318,OK,10/15/18 0:00,158.9672241,OK,10/15/18 0:00,294.4762996,OK,10/15/18 0:00,259511,OK,10/15/18 0:00,677840,OK,10/15/18 0:00,7.076498985,OK,10/15/18 0:00,1019.919556,OK,10/15/18 0:00,34285112,OK,10/15/18 0:00,10483276,OK,10/15/18 0:00,151.8907318,OK,10/15/18 0:00,158.9672241,OK,10/15/18 0:00,294.4762996,OK,
10/15/18 0:15,7.089935303,OK,10/15/18 0:15,1020.364746,OK,10/15/18 0:15,34285364,OK,10/15/18 0:15,10483312,OK,10/15/18 0:15,151.8175049,OK,10/15/18 0:15,158.9074402,OK,10/15/18 0:15,294.0384327,OK,10/15/18 0:15,259523,OK,10/15/18 0:15,677860,OK,10/15/18 0:15,7.089935303,OK,10/15/18 0:15,1020.952515,OK,10/15/18 0:15,34285364,OK,10/15/18 0:15,10483312,OK,10/15/18 0:15,151.8175049,OK,10/15/18 0:15,158.9074402,OK,10/15/18 0:15,294.0384327,OK,
10/15/18 0:30,7.039800644,OK,10/15/18 0:30,1014.047852,OK,10/15/18 0:30,34285620,OK,10/15/18 0:30,10483348,OK,10/15/18 0:30,151.754425,OK,10/15/18 0:30,158.79422,OK,10/15/18 0:30,294.2853127,OK,10/15/18 0:30,259534,OK,10/15/18 0:30,677881,OK,10/15/18 0:30,7.037676811,OK,10/15/18 0:30,1014.047852,OK,10/15/18 0:30,34285620,OK,10/15/18 0:30,10483348,OK,10/15/18 0:30,151.7572174,OK,10/15/18 0:30,158.7948914,OK,10/15/18 0:30,294.3555615,OK,
10/15/18 0:45,7.074391365,OK,10/15/18 0:45,1017.521851,OK,10/15/18 0:45,34285872,OK,10/15/18 0:45,10483384,OK,10/15/18 0:45,151.7127075,OK,10/15/18 0:45,158.7871094,OK,10/15/18 0:45,293.8116053,OK,10/15/18 0:45,259546,OK,10/15/18 0:45,677902,OK,10/15/18 0:45,7.074391365,OK,10/15/18 0:45,1017.521851,OK,10/15/18 0:45,34285872,OK,10/15/18 0:45,10483384,OK,10/15/18 0:45,151.7127075,OK,10/15/18 0:45,158.7871094,OK,10/15/18 0:45,293.8116053,OK,
10/15/18 1:00,7.100306988,OK,10/15/18 1:00,1020.787048,OK,10/15/18 1:00,34286128,OK,10/15/18 1:00,10483420,OK,10/15/18 1:00,151.6950989,OK,10/15/18 1:00,158.7953949,OK,10/15/18 1:00,293.7150213,OK,10/15/18 1:00,259557,OK,10/15/18 1:00,677922,OK,10/15/18 1:00,7.101392746,OK,10/15/18 1:00,1020.787048,OK,10/15/18 1:00,34286128,OK,10/15/18 1:00,10483420,OK,10/15/18 1:00,151.6965179,OK,10/15/18 1:00,158.7979126,OK,10/15/18 1:00,293.7338042,OK,
10/15/18 1:15,6.926533699,OK,10/15/18 1:15,994.1016846,OK,10/15/18 1:15,34286380,OK,10/15/18 1:15,10483456,OK,10/15/18 1:15,151.7167358,OK,10/15/18 1:15,158.6432648,OK,10/15/18 1:15,293.2488662,OK,10/15/18 1:15,259568,OK,10/15/18 1:15,677943,OK,10/15/18 1:15,6.926533699,OK,10/15/18 1:15,994.1016846,OK,10/15/18 1:15,34286380,OK,10/15/18 1:15,10483456,OK,10/15/18 1:15,151.7167358,OK,10/15/18 1:15,158.6432648,OK,10/15/18 1:15,293.2488662,OK,
10/15/18 1:30,6.911866188,OK,10/15/18 1:30,998.0248413,OK,10/15/18 1:30,34286628,OK,10/15/18 1:30,10483492,OK,10/15/18 1:30,151.6494446,OK,10/15/18 1:30,158.5613098,OK,10/15/18 1:30,294.9696037,OK,10/15/18 1:30,259580,OK,10/15/18 1:30,677963,OK,10/15/18 1:30,6.911866188,OK,10/15/18 1:30,998.5720215,OK,10/15/18 1:30,34286628,OK,10/15/18 1:30,10483492,OK,10/15/18 1:30,151.6494446,OK,10/15/18 1:30,158.5613098,OK,10/15/18 1:30,294.9696037,OK,
10/15/18 1:45,6.961995602,OK,10/15/18 1:45,996.6509399,OK,10/15/18 1:45,34286880,OK,10/15/18 1:45,10483528,OK,10/15/18 1:45,151.6022186,OK,10/15/18 1:45,158.564209,OK,10/15/18 1:45,292.441363,OK,10/15/18 1:45,259591,OK,10/15/18 1:45,677984,OK,10/15/18 1:45,6.962153435,OK,10/15/18 1:45,996.6509399,OK,10/15/18 1:45,34286880,OK,10/15/18 1:45,10483528,OK,10/15/18 1:45,151.6027527,OK,10/15/18 1:45,158.5649109,OK,10/15/18 1:45,292.5077706,OK,
10/15/18 2:00,6.792518139,OK,10/15/18 2:00,977.9753418,OK,10/15/18 2:00,34287128,OK,10/15/18 2:00,10483564,OK,10/15/18 2:00,151.512085,OK,10/15/18 2:00,158.3045959,OK,10/15/18 2:00,294.0921447,OK,10/15/18 2:00,259602,OK,10/15/18 2:00,678005,OK,10/15/18 2:00,6.78874588,OK,10/15/18 2:00,977.9753418,OK,10/15/18 2:00,34287128,OK,10/15/18 2:00,10483564,OK,10/15/18 2:00,151.5160065,OK,10/15/18 2:00,158.3047485,OK,10/15/18 2:00,294.1230373,OK,
10/15/18 2:15,6.890650272,OK,10/15/18 2:15,994.8413086,OK,10/15/18 2:15,34287376,OK,10/15/18 2:15,10483599,OK,10/15/18 2:15,151.4892578,OK,10/15/18 2:15,158.3799133,OK,10/15/18 2:15,294.7926145,OK,10/15/18 2:15,259613,OK,10/15/18 2:15,678025,OK,10/15/18 2:15,6.890650272,OK,10/15/18 2:15,994.4437866,OK,10/15/18 2:15,34287376,OK,10/15/18 2:15,10483599,OK,10/15/18 2:15,151.4892578,OK,10/15/18 2:15,158.3799133,OK,10/15/18 2:15,294.7926145,OK,
