OSU_RTS.MDBUS_C1.025_CDT Time [SNAP],OSU_RTS.MDBUS_C1.025_CDT Value [SNAP],OSU_RTS.MDBUS_C1.025_CDT Status [SNAP],OSU_RTS.MDBUS_C1.025_CHF Time [SNAP],OSU_RTS.MDBUS_C1.025_CHF Value [SNAP],OSU_RTS.MDBUS_C1.025_CHF Status [SNAP],OSU_RTS.MDBUS_C1.025_CHT Time [SNAP],OSU_RTS.MDBUS_C1.025_CHT Value [SNAP],OSU_RTS.MDBUS_C1.025_CHT Status [SNAP],OSU_RTS.MDBUS_C1.025_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.025_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.025_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.025_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.025_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.025_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.025_CVF Time [SNAP],OSU_RTS.MDBUS_C1.025_CVF Value [SNAP],OSU_RTS.MDBUS_C1.025_CVF Status [SNAP],OSU_RTS.MDBUS_C1.025_HF Time [SNAP],OSU_RTS.MDBUS_C1.025_HF Value [SNAP],OSU_RTS.MDBUS_C1.025_HF Status [SNAP],OSU_RTS.MDBUS_C1.025_HGT Time [SNAP],OSU_RTS.MDBUS_C1.025_HGT Value [SNAP],OSU_RTS.MDBUS_C1.025_HGT Status [SNAP],OSU_RTS.MDBUS_CC.025_MHT Time [SNAP],OSU_RTS.MDBUS_CC.025_MHT Value [SNAP],OSU_RTS.MDBUS_CC.025_MHT Status [SNAP],OSU_RTS.MDBUS_CC.025_PHT Time [SNAP],OSU_RTS.MDBUS_CC.025_PHT Value [SNAP],OSU_RTS.MDBUS_CC.025_PHT Status [SNAP],OSU_RTS.MDBUS_E3.025_E01 Time [SNAP],OSU_RTS.MDBUS_E3.025_E01 Value [SNAP],OSU_RTS.MDBUS_E3.025_E01 Status [SNAP],OSU_RTS.MDBUS_E3.025_E02 Time [SNAP],OSU_RTS.MDBUS_E3.025_E02 Value [SNAP],OSU_RTS.MDBUS_E3.025_E02 Status [SNAP],OSU_RTS.MDBUS_RT.025S_C Time [SNAP],OSU_RTS.MDBUS_RT.025S_C Value [SNAP],OSU_RTS.MDBUS_RT.025S_C Status [SNAP],OSU_RTS.MDBUS_RT.025S_HF Time [SNAP],OSU_RTS.MDBUS_RT.025S_HF Value [SNAP],OSU_RTS.MDBUS_RT.025S_HF Status [SNAP],OSU_RTS.MDBUS_RT.025S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.025S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.025S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.025S_I Time [SNAP],OSU_RTS.MDBUS_RT.025S_I Value [SNAP],OSU_RTS.MDBUS_RT.025S_I Status [SNAP],OSU_RTS.MDBUS_RT.025S_P Time [SNAP],OSU_RTS.MDBUS_RT.025S_P Value [SNAP],OSU_RTS.MDBUS_RT.025S_P Status [SNAP],OSU_RTS.MDBUS_RT.025S_T Time [SNAP],OSU_RTS.MDBUS_RT.025S_T Value [SNAP],OSU_RTS.MDBUS_RT.025S_T Status [SNAP],Comments
10/15/18 0:00,2.853422403,OK,10/15/18 0:00,0,OK,10/15/18 0:00,2457058,OK,10/15/18 0:00,55.24559784,OK,10/15/18 0:00,52.39217758,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,29484696,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,363824,OK,10/15/18 0:00,197089,OK,10/15/18 0:00,19601.41992,OK,10/15/18 0:00,314.42099,OK,10/15/18 0:00,24303764,OK,10/15/18 0:00,0.26243515,OK,10/15/18 0:00,182.2629547,OK,10/15/18 0:00,381.0709839,OK,
10/15/18 0:15,2.772046089,OK,10/15/18 0:15,0,OK,10/15/18 0:15,2457058,OK,10/15/18 0:15,55.55831909,OK,10/15/18 0:15,52.78627396,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,29484696,OK,,,,,,,10/15/18 0:15,363835,OK,10/15/18 0:15,197097,OK,10/15/18 0:15,19601.49023,OK,10/15/18 0:15,338.2086792,OK,10/15/18 0:15,24303848,OK,10/15/18 0:15,0.282308411,OK,10/15/18 0:15,180.9958038,OK,10/15/18 0:15,381.2347107,OK,
10/15/18 0:30,2.774247646,OK,10/15/18 0:30,0,OK,10/15/18 0:30,2457058,OK,10/15/18 0:30,55.84470749,OK,10/15/18 0:30,53.07045746,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,29484696,OK,,,,,,,10/15/18 0:30,363845,OK,10/15/18 0:30,197104,OK,10/15/18 0:30,19601.55859,OK,10/15/18 0:30,335.7883606,OK,10/15/18 0:30,24303928,OK,10/15/18 0:30,0.280281952,OK,10/15/18 0:30,181.4995575,OK,10/15/18 0:30,381.0511475,OK,
10/15/18 0:45,2.701321363,OK,10/15/18 0:45,0,OK,10/15/18 0:45,2457058,OK,10/15/18 0:45,56.14646149,OK,10/15/18 0:45,53.44514084,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,29484696,OK,,,,,,,10/15/18 0:45,363855,OK,10/15/18 0:45,197112,OK,10/15/18 0:45,19601.62695,OK,10/15/18 0:45,338.6005249,OK,10/15/18 0:45,24304012,OK,10/15/18 0:45,0.282632965,OK,10/15/18 0:45,181.3236847,OK,10/15/18 0:45,380.7697144,OK,
10/15/18 1:00,2.709213495,OK,10/15/18 1:00,0,OK,10/15/18 1:00,2457058,OK,10/15/18 1:00,56.43908691,OK,10/15/18 1:00,53.72987366,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,29484696,OK,,,,,,,10/15/18 1:00,363865,OK,10/15/18 1:00,197120,OK,10/15/18 1:00,19601.69727,OK,10/15/18 1:00,331.6873474,OK,10/15/18 1:00,24304096,OK,10/15/18 1:00,0.276851166,OK,10/15/18 1:00,181.9556732,OK,10/15/18 1:00,381.2145996,OK,
10/15/18 1:15,2.5517838,OK,10/15/18 1:15,0,OK,10/15/18 1:15,2457058,OK,10/15/18 1:15,56.69038773,OK,10/15/18 1:15,54.13860321,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,29484696,OK,,,,,,,10/15/18 1:15,363876,OK,10/15/18 1:15,197128,OK,10/15/18 1:15,19601.76563,OK,10/15/18 1:15,341.0949402,OK,10/15/18 1:15,24304178,OK,10/15/18 1:15,0.28469632,OK,10/15/18 1:15,182.3959351,OK,10/15/18 1:15,381.3766479,OK,
10/15/18 1:30,2.524493456,OK,10/15/18 1:30,0,OK,10/15/18 1:30,2457058,OK,10/15/18 1:30,56.98127747,OK,10/15/18 1:30,54.45678329,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,29484696,OK,,,,,,,10/15/18 1:30,363886,OK,10/15/18 1:30,197135,OK,10/15/18 1:30,19601.83594,OK,10/15/18 1:30,321.5697937,OK,10/15/18 1:30,24304260,OK,10/15/18 1:30,0.268421204,OK,10/15/18 1:30,181.0154877,OK,10/15/18 1:30,381.0013733,OK,
10/15/18 1:45,2.424359798,OK,10/15/18 1:45,0,OK,10/15/18 1:45,2457058,OK,10/15/18 1:45,57.22064972,OK,10/15/18 1:45,54.79629135,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,29484696,OK,,,,,,,10/15/18 1:45,363897,OK,10/15/18 1:45,197143,OK,10/15/18 1:45,19601.90234,OK,10/15/18 1:45,309.7621155,OK,10/15/18 1:45,24304342,OK,10/15/18 1:45,0.258286957,OK,10/15/18 1:45,182.7053528,OK,10/15/18 1:45,381.8442383,OK,
10/15/18 2:00,2.366623163,OK,10/15/18 2:00,0,OK,10/15/18 2:00,2457058,OK,10/15/18 2:00,57.48390198,OK,10/15/18 2:00,55.11727905,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,29484696,OK,,,,,,,10/15/18 2:00,363907,OK,10/15/18 2:00,197151,OK,10/15/18 2:00,19601.96875,OK,10/15/18 2:00,322.3726196,OK,10/15/18 2:00,24304422,OK,10/15/18 2:00,0.269072296,OK,10/15/18 2:00,182.2418365,OK,10/15/18 2:00,381.1762695,OK,
10/15/18 2:15,2.273600101,OK,10/15/18 2:15,0,OK,10/15/18 2:15,2457058,OK,10/15/18 2:15,57.72299957,OK,10/15/18 2:15,55.44940186,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,29484696,OK,,,,,,,10/15/18 2:15,363917,OK,10/15/18 2:15,197159,OK,10/15/18 2:15,19602.03711,OK,10/15/18 2:15,320.9406433,OK,10/15/18 2:15,24304502,OK,10/15/18 2:15,0.267882782,OK,10/15/18 2:15,181.8618317,OK,10/15/18 2:15,381.3324585,OK,
10/15/18 2:30,2.303885221,OK,10/15/18 2:30,0,OK,10/15/18 2:30,2457058,OK,10/15/18 2:30,57.99085236,OK,10/15/18 2:30,55.68696594,OK,10/15/18 2:30,0,OK,10/15/18 2:30,0,OK,10/15/18 2:30,29484696,OK,,,,,,,10/15/18 2:30,363928,OK,10/15/18 2:30,197167,OK,10/15/18 2:30,19602.10352,OK,10/15/18 2:30,320.9455872,OK,10/15/18 2:30,24304584,OK,10/15/18 2:30,0.267892426,OK,10/15/18 2:30,181.5262756,OK,10/15/18 2:30,381.0934448,OK,
10/15/18 2:45,2.1601367,OK,10/15/18 2:45,0,OK,10/15/18 2:45,2457058,OK,10/15/18 2:45,58.19545746,OK,10/15/18 2:45,56.03532028,OK,10/15/18 2:45,0,OK,10/15/18 2:45,0,OK,10/15/18 2:45,29484696,OK,,,,,,,10/15/18 2:45,363938,OK,10/15/18 2:45,197174,OK,10/15/18 2:45,19602.17188,OK,10/15/18 2:45,352.234314,OK,10/15/18 2:45,24304664,OK,10/15/18 2:45,0.294007385,OK,10/15/18 2:45,181.673233,OK,10/15/18 2:45,380.9611816,OK,
10/15/18 3:00,-5.276557922,OK,10/15/18 3:00,0,OK,10/15/18 3:00,2457059.75,OK,10/15/18 3:00,59.69230652,OK,10/15/18 3:00,64.96886444,OK,10/15/18 3:00,62.912448,OK,10/15/18 3:00,0,OK,10/15/18 3:00,29484717,OK,,,,,,,10/15/18 3:00,363949,OK,10/15/18 3:00,197182,OK,10/15/18 3:00,19602.23828,OK,10/15/18 3:00,344.0004578,OK,10/15/18 3:00,24304744,OK,10/15/18 3:00,0.287125336,OK,10/15/18 3:00,182.1620941,OK,10/15/18 3:00,381.347229,OK,
10/15/18 3:15,8.604534149,OK,10/15/18 3:15,21.77722359,OK,10/15/18 3:15,2457065.25,OK,10/15/18 3:15,54.14380646,OK,10/15/18 3:15,45.53927231,OK,10/15/18 3:15,60.58064681,OK,10/15/18 3:15,261.326683,OK,10/15/18 3:15,29484783,OK,,,,,,,10/15/18 3:15,363959,OK,10/15/18 3:15,197190,OK,10/15/18 3:15,19602.30664,OK,10/15/18 3:15,321.0455627,OK,10/15/18 3:15,24304824,OK,10/15/18 3:15,0.267981445,OK,10/15/18 3:15,181.1651459,OK,10/15/18 3:15,380.8701477,OK,
10/15/18 3:30,6.270214081,OK,10/15/18 3:30,16.0533905,OK,10/15/18 3:30,2457069.75,OK,10/15/18 3:30,50.8243866,OK,10/15/18 3:30,44.55417252,OK,10/15/18 3:30,61.24747737,OK,10/15/18 3:30,192.640686,OK,10/15/18 3:30,29484837,OK,,,,,,,10/15/18 3:30,363969,OK,10/15/18 3:30,197197,OK,10/15/18 3:30,19602.37305,OK,10/15/18 3:30,326.0219421,OK,10/15/18 3:30,24304904,OK,10/15/18 3:30,0.272116119,OK,10/15/18 3:30,182.370575,OK,10/15/18 3:30,381.289917,OK,
10/15/18 3:45,4.983032227,OK,10/15/18 3:45,12.76438999,OK,10/15/18 3:45,2457073.25,OK,10/15/18 3:45,50.82084656,OK,10/15/18 3:45,45.83781433,OK,10/15/18 3:45,61.30140911,OK,10/15/18 3:45,153.1726799,OK,10/15/18 3:45,29484879,OK,,,,,,,10/15/18 3:45,363980,OK,10/15/18 3:45,197205,OK,10/15/18 3:45,19602.43945,OK,10/15/18 3:45,345.1240234,OK,10/15/18 3:45,24304986,OK,10/15/18 3:45,0.288055786,OK,10/15/18 3:45,182.628006,OK,10/15/18 3:45,381.1189575,OK,
10/15/18 4:00,4.817703724,OK,10/15/18 4:00,12.22992134,OK,10/15/18 4:00,2457076.25,OK,10/15/18 4:00,51.11999512,OK,10/15/18 4:00,46.30229187,OK,10/15/18 4:00,60.6715666,OK,10/15/18 4:00,146.7590561,OK,10/15/18 4:00,29484915,OK,,,,,,,10/15/18 4:00,363990,OK,10/15/18 4:00,197212,OK,10/15/18 4:00,19602.50781,OK,10/15/18 4:00,327.9736023,OK,10/15/18 4:00,24305066,OK,10/15/18 4:00,0.273755524,OK,10/15/18 4:00,181.6381378,OK,10/15/18 4:00,381.1196899,OK,
