OSU_RTS.MDBUS_C1.279_CDT Time [SNAP],OSU_RTS.MDBUS_C1.279_CDT Value [SNAP],OSU_RTS.MDBUS_C1.279_CDT Status [SNAP],OSU_RTS.MDBUS_C1.279_CHF Time [SNAP],OSU_RTS.MDBUS_C1.279_CHF Value [SNAP],OSU_RTS.MDBUS_C1.279_CHF Status [SNAP],OSU_RTS.MDBUS_C1.279_CHT Time [SNAP],OSU_RTS.MDBUS_C1.279_CHT Value [SNAP],OSU_RTS.MDBUS_C1.279_CHT Status [SNAP],OSU_RTS.MDBUS_C1.279_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.279_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.279_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.279_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.279_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.279_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.279_CVF Time [SNAP],OSU_RTS.MDBUS_C1.279_CVF Value [SNAP],OSU_RTS.MDBUS_C1.279_CVF Status [SNAP],OSU_RTS.MDBUS_C1.279_HF Time [SNAP],OSU_RTS.MDBUS_C1.279_HF Value [SNAP],OSU_RTS.MDBUS_C1.279_HF Status [SNAP],OSU_RTS.MDBUS_C1.279_HGT Time [SNAP],OSU_RTS.MDBUS_C1.279_HGT Value [SNAP],OSU_RTS.MDBUS_C1.279_HGT Status [SNAP],OSU_RTS.MDBUS_E1.279E1_H Time [SNAP],OSU_RTS.MDBUS_E1.279E1_H Value [SNAP],OSU_RTS.MDBUS_E1.279E1_H Status [SNAP],OSU_RTS.MDBUS_E1.279E1_L Time [SNAP],OSU_RTS.MDBUS_E1.279E1_L Value [SNAP],OSU_RTS.MDBUS_E1.279E1_L Status [SNAP],OSU_RTS.MDBUS_E1.279E2 Time [SNAP],OSU_RTS.MDBUS_E1.279E2 Value [SNAP],OSU_RTS.MDBUS_E1.279E2 Status [SNAP],OSU_RTS.MDBUS_E1.279E3 Time [SNAP],OSU_RTS.MDBUS_E1.279E3 Value [SNAP],OSU_RTS.MDBUS_E1.279E3 Status [SNAP],OSU_RTS.MDBUS_E1.279E4 Time [SNAP],OSU_RTS.MDBUS_E1.279E4 Value [SNAP],OSU_RTS.MDBUS_E1.279E4 Status [SNAP],OSU_RTS.MDBUS_E3.279E1_H Time [SNAP],OSU_RTS.MDBUS_E3.279E1_H Value [SNAP],OSU_RTS.MDBUS_E3.279E1_H Status [SNAP],OSU_RTS.MDBUS_E3.279E1_L Time [SNAP],OSU_RTS.MDBUS_E3.279E1_L Value [SNAP],OSU_RTS.MDBUS_E3.279E1_L Status [SNAP],OSU_RTS.MDBUS_E3.279E2 Time [SNAP],OSU_RTS.MDBUS_E3.279E2 Value [SNAP],OSU_RTS.MDBUS_E3.279E2 Status [SNAP],OSU_RTS.MDBUS_E3.279E3 Time [SNAP],OSU_RTS.MDBUS_E3.279E3 Value [SNAP],OSU_RTS.MDBUS_E3.279E3 Status [SNAP],OSU_RTS.MDBUS_E3.279E4 Time [SNAP],OSU_RTS.MDBUS_E3.279E4 Value [SNAP],OSU_RTS.MDBUS_E3.279E4 Status [SNAP],OSU_RTS.MDBUS_EC.279E1 Time [SNAP],OSU_RTS.MDBUS_EC.279E1 Value [SNAP],OSU_RTS.MDBUS_EC.279E1 Status [SNAP],OSU_RTS.MDBUS_RT.279S_C Time [SNAP],OSU_RTS.MDBUS_RT.279S_C Value [SNAP],OSU_RTS.MDBUS_RT.279S_C Status [SNAP],OSU_RTS.MDBUS_RT.279S_HF Time [SNAP],OSU_RTS.MDBUS_RT.279S_HF Value [SNAP],OSU_RTS.MDBUS_RT.279S_HF Status [SNAP],OSU_RTS.MDBUS_RT.279S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.279S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.279S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.279S_I Time [SNAP],OSU_RTS.MDBUS_RT.279S_I Value [SNAP],OSU_RTS.MDBUS_RT.279S_I Status [SNAP],OSU_RTS.MDBUS_RT.279S_P Time [SNAP],OSU_RTS.MDBUS_RT.279S_P Value [SNAP],OSU_RTS.MDBUS_RT.279S_P Status [SNAP],OSU_RTS.MDBUS_RT.279S_T Time [SNAP],OSU_RTS.MDBUS_RT.279S_T Value [SNAP],OSU_RTS.MDBUS_RT.279S_T Status [SNAP],OSU_RTS.MDBUS_RT.279S_V Time [SNAP],OSU_RTS.MDBUS_RT.279S_V Value [SNAP],OSU_RTS.MDBUS_RT.279S_V Status [SNAP],Comments
10/15/18 0:00,2.753023148,OK,10/15/18 0:00,59.78059769,OK,10/15/18 0:00,7459292,OK,10/15/18 0:00,50.76051331,OK,10/15/18 0:00,48.00749207,OK,10/15/18 0:00,515.0810696,OK,10/15/18 0:00,713.4069214,OK,10/15/18 0:00,89511504,OK,10/15/18 0:00,21890000,OK,10/15/18 0:00,7330,OK,10/15/18 0:00,2818443,OK,10/15/18 0:00,1304434,OK,10/15/18 0:00,21221420,OK,10/15/18 0:00,21890000,OK,10/15/18 0:00,7330,OK,10/15/18 0:00,2818443,OK,10/15/18 0:00,1304434,OK,01/01/70 0:00,0,No Records.,10/15/18 0:00,21897330,OK,10/15/18 0:00,22000.31836,OK,10/15/18 0:00,72.10362244,OK,10/15/18 0:00,28258776,OK,10/15/18 0:00,0.059956276,OK,10/15/18 0:00,184.4821625,OK,10/15/18 0:00,387.6855469,OK,10/15/18 0:00,139.325882,OK,
10/15/18 0:15,2.852118492,OK,10/15/18 0:15,60.08536911,OK,10/15/18 0:15,7459307,OK,10/15/18 0:15,50.9366684,OK,10/15/18 0:15,48.08454895,OK,10/15/18 0:15,516.041831,OK,10/15/18 0:15,738.740387,OK,10/15/18 0:15,89511684,OK,10/15/18 0:15,21890000,OK,10/15/18 0:15,7356,OK,10/15/18 0:15,2818452,OK,10/15/18 0:15,1304441,OK,10/15/18 0:15,21221520,OK,10/15/18 0:15,21890000,OK,10/15/18 0:15,7356,OK,10/15/18 0:15,2818452,OK,10/15/18 0:15,1304441,OK,,,,10/15/18 0:15,21897356,OK,10/15/18 0:15,22000.33984,OK,10/15/18 0:15,161.427536,OK,10/15/18 0:15,28258802,OK,10/15/18 0:15,0.134127396,OK,10/15/18 0:15,183.3822937,OK,10/15/18 0:15,388.864563,OK,10/15/18 0:15,314.2611084,OK,
10/15/18 0:30,2.896553516,OK,10/15/18 0:30,62.32144165,OK,10/15/18 0:30,7459322.5,OK,10/15/18 0:30,51.04866028,OK,10/15/18 0:30,48.15210724,OK,10/15/18 0:30,516.0477231,OK,10/15/18 0:30,749.2243195,OK,10/15/18 0:30,89511870,OK,10/15/18 0:30,21890000,OK,10/15/18 0:30,7384,OK,10/15/18 0:30,2818462,OK,10/15/18 0:30,1304448,OK,10/15/18 0:30,21221619,OK,10/15/18 0:30,21890000,OK,10/15/18 0:30,7384,OK,10/15/18 0:30,2818462,OK,10/15/18 0:30,1304448,OK,,,,10/15/18 0:30,21897384,OK,10/15/18 0:30,22000.36914,OK,10/15/18 0:30,125.8100433,OK,10/15/18 0:30,28258836,OK,10/15/18 0:30,0.104551262,OK,10/15/18 0:30,184.1596527,OK,10/15/18 0:30,388.7653198,OK,10/15/18 0:30,243.8376312,OK,
10/15/18 0:45,2.954129219,OK,10/15/18 0:45,63.6757164,OK,10/15/18 0:45,7459338,OK,10/15/18 0:45,51.04662323,OK,10/15/18 0:45,48.09249496,OK,10/15/18 0:45,515.1526531,OK,10/15/18 0:45,763.5479736,OK,10/15/18 0:45,89512056,OK,10/15/18 0:45,21890000,OK,10/15/18 0:45,7410,OK,10/15/18 0:45,2818471,OK,10/15/18 0:45,1304454,OK,10/15/18 0:45,21221717,OK,10/15/18 0:45,21890000,OK,10/15/18 0:45,7410,OK,10/15/18 0:45,2818471,OK,10/15/18 0:45,1304454,OK,,,,10/15/18 0:45,21897410,OK,10/15/18 0:45,22000.38477,OK,10/15/18 0:45,74.49409485,OK,10/15/18 0:45,28258856,OK,10/15/18 0:45,0.061990067,OK,10/15/18 0:45,183.3865204,OK,10/15/18 0:45,385.9133301,OK,10/15/18 0:45,144.6572113,OK,
10/15/18 1:00,2.94975996,OK,10/15/18 1:00,63.31559372,OK,10/15/18 1:00,7459353.5,OK,10/15/18 1:00,51.11008453,OK,10/15/18 1:00,48.1603241,OK,10/15/18 1:00,515.3055859,OK,10/15/18 1:00,761.3844452,OK,10/15/18 1:00,89512242,OK,10/15/18 1:00,21890000,OK,10/15/18 1:00,7436,OK,10/15/18 1:00,2818480,OK,10/15/18 1:00,1304461,OK,10/15/18 1:00,21221816,OK,10/15/18 1:00,21890000,OK,10/15/18 1:00,7436,OK,10/15/18 1:00,2818480,OK,10/15/18 1:00,1304461,OK,,,,10/15/18 1:00,21897436,OK,10/15/18 1:00,22000.39844,OK,10/15/18 1:00,81.09031677,OK,10/15/18 1:00,28258872,OK,10/15/18 1:00,0.067483978,OK,10/15/18 1:00,183.9533691,OK,10/15/18 1:00,385.961731,OK,10/15/18 1:00,157.0990143,OK,
10/15/18 1:15,2.905808926,OK,10/15/18 1:15,61.91350174,OK,10/15/18 1:15,7459369,OK,10/15/18 1:15,51.07557297,OK,10/15/18 1:15,48.16976166,OK,10/15/18 1:15,515.839646,OK,10/15/18 1:15,752.016861,OK,10/15/18 1:15,89512428,OK,10/15/18 1:15,21890000,OK,10/15/18 1:15,7462,OK,10/15/18 1:15,2818490,OK,10/15/18 1:15,1304467,OK,10/15/18 1:15,21221915,OK,10/15/18 1:15,21890000,OK,10/15/18 1:15,7462,OK,10/15/18 1:15,2818490,OK,10/15/18 1:15,1304467,OK,,,,10/15/18 1:15,21897462,OK,10/15/18 1:15,22000.41602,OK,10/15/18 1:15,72.42442322,OK,10/15/18 1:15,28258894,OK,10/15/18 1:15,0.060269009,OK,10/15/18 1:15,184.5025482,OK,10/15/18 1:15,386.2156982,OK,10/15/18 1:15,139.6957245,OK,
10/15/18 1:30,2.827133179,OK,10/15/18 1:30,60.90686417,OK,10/15/18 1:30,7459385,OK,10/15/18 1:30,51.10671234,OK,10/15/18 1:30,48.27957916,OK,10/15/18 1:30,516.3551511,OK,10/15/18 1:30,731.8569489,OK,10/15/18 1:30,89512620,OK,10/15/18 1:30,21890000,OK,10/15/18 1:30,7488,OK,10/15/18 1:30,2818498,OK,10/15/18 1:30,1304474,OK,10/15/18 1:30,21222015,OK,10/15/18 1:30,21890000,OK,10/15/18 1:30,7488,OK,10/15/18 1:30,2818498,OK,10/15/18 1:30,1304474,OK,,,,10/15/18 1:30,21897488,OK,10/15/18 1:30,22000.43359,OK,10/15/18 1:30,79.21799469,OK,10/15/18 1:30,28258916,OK,10/15/18 1:30,0.065911636,OK,10/15/18 1:30,183.4767303,OK,10/15/18 1:30,386.2285767,OK,10/15/18 1:30,153.6772766,OK,
10/15/18 1:45,2.631541729,OK,10/15/18 1:45,55.58071518,OK,10/15/18 1:45,7459400.5,OK,10/15/18 1:45,51.16478729,OK,10/15/18 1:45,48.53324127,OK,10/15/18 1:45,515.8583638,OK,10/15/18 1:45,680.2901459,OK,10/15/18 1:45,89512806,OK,10/15/18 1:45,21890000,OK,10/15/18 1:45,7514,OK,10/15/18 1:45,2818508,OK,10/15/18 1:45,1304481,OK,10/15/18 1:45,21222112,OK,10/15/18 1:45,21890000,OK,10/15/18 1:45,7514,OK,10/15/18 1:45,2818508,OK,10/15/18 1:45,1304481,OK,,,,10/15/18 1:45,21897514,OK,10/15/18 1:45,22000.45313,OK,10/15/18 1:45,68.63807678,OK,10/15/18 1:45,28258938,OK,10/15/18 1:45,0.05710054,OK,10/15/18 1:45,184.7644196,OK,10/15/18 1:45,386.8937073,OK,10/15/18 1:45,132.2893372,OK,
10/15/18 2:00,3.003630638,OK,10/15/18 2:00,64.70018005,OK,10/15/18 2:00,7459416.5,OK,10/15/18 2:00,51.21542358,OK,10/15/18 2:00,48.21179581,OK,10/15/18 2:00,516.2677145,OK,10/15/18 2:00,776.7097778,OK,10/15/18 2:00,89512998,OK,10/15/18 2:00,21890000,OK,10/15/18 2:00,7540,OK,10/15/18 2:00,2818518,OK,10/15/18 2:00,1304487,OK,10/15/18 2:00,21222208,OK,10/15/18 2:00,21890000,OK,10/15/18 2:00,7540,OK,10/15/18 2:00,2818518,OK,10/15/18 2:00,1304487,OK,,,,10/15/18 2:00,21897540,OK,10/15/18 2:00,22000.47266,OK,10/15/18 2:00,95.01502991,OK,10/15/18 2:00,28258960,OK,10/15/18 2:00,0.079053116,OK,10/15/18 2:00,184.2621918,OK,10/15/18 2:00,386.5050659,OK,10/15/18 2:00,183.5970459,OK,
10/15/18 2:15,2.993916512,OK,10/15/18 2:15,64.4672699,OK,10/15/18 2:15,7459432,OK,10/15/18 2:15,51.29117203,OK,10/15/18 2:15,48.29725647,OK,10/15/18 2:15,515.9800785,OK,10/15/18 2:15,774.1243286,OK,10/15/18 2:15,89513184,OK,10/15/18 2:15,21890000,OK,10/15/18 2:15,7568,OK,10/15/18 2:15,2818527,OK,10/15/18 2:15,1304494,OK,10/15/18 2:15,21222305,OK,10/15/18 2:15,21890000,OK,10/15/18 2:15,7568,OK,10/15/18 2:15,2818527,OK,10/15/18 2:15,1304494,OK,,,,10/15/18 2:15,21897568,OK,10/15/18 2:15,22000.49219,OK,10/15/18 2:15,57.92731094,OK,10/15/18 2:15,28258986,OK,10/15/18 2:15,0.048201153,OK,10/15/18 2:15,183.9219971,OK,10/15/18 2:15,386.215271,OK,10/15/18 2:15,113.7649307,OK,
