OSU_RTS.MDBUS_E3.049_E01 Time [SNAP],OSU_RTS.MDBUS_E3.049_E01 Value [SNAP],OSU_RTS.MDBUS_E3.049_E01 Status [SNAP],OSU_RTS.MDBUS_E3.049_E02 Time [SNAP],OSU_RTS.MDBUS_E3.049_E02 Value [SNAP],OSU_RTS.MDBUS_E3.049_E02 Status [SNAP],OSU_RTS.MDBUS_E3.049_E04 Time [SNAP],OSU_RTS.MDBUS_E3.049_E04 Value [SNAP],OSU_RTS.MDBUS_E3.049_E04 Status [SNAP],OSU_RTS.MDBUS_RT.049S_C Time [SNAP],OSU_RTS.MDBUS_RT.049S_C Value [SNAP],OSU_RTS.MDBUS_RT.049S_C Status [SNAP],OSU_RTS.MDBUS_RT.049S_HF Time [SNAP],OSU_RTS.MDBUS_RT.049S_HF Value [SNAP],OSU_RTS.MDBUS_RT.049S_HF Status [SNAP],OSU_RTS.MDBUS_RT.049S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.049S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.049S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.049S_I Time [SNAP],OSU_RTS.MDBUS_RT.049S_I Value [SNAP],OSU_RTS.MDBUS_RT.049S_I Status [SNAP],OSU_RTS.MDBUS_RT.049S_P Time [SNAP],OSU_RTS.MDBUS_RT.049S_P Value [SNAP],OSU_RTS.MDBUS_RT.049S_P Status [SNAP],OSU_RTS.MDBUS_RT.049S_T Time [SNAP],OSU_RTS.MDBUS_RT.049S_T Value [SNAP],OSU_RTS.MDBUS_RT.049S_T Status [SNAP],Comments
10/15/18 0:00,151997,OK,10/15/18 0:00,191638,OK,10/15/18 0:00,1921120,OK,10/15/18 0:00,33489.18359,OK,10/15/18 0:00,956.949646,OK,10/15/18 0:00,40422620,OK,10/15/18 0:00,0.798775024,OK,10/15/18 0:00,181.2757416,OK,10/15/18 0:00,380.664917,OK,
10/15/18 0:15,152005,OK,10/15/18 0:15,191648,OK,10/15/18 0:15,1921192,OK,10/15/18 0:15,33489.36719,OK,10/15/18 0:15,794.197876,OK,10/15/18 0:15,40422840,OK,10/15/18 0:15,0.663038147,OK,10/15/18 0:15,178.3494415,OK,10/15/18 0:15,380.4908447,OK,
10/15/18 0:30,152012,OK,10/15/18 0:30,191657,OK,10/15/18 0:30,1921265,OK,10/15/18 0:30,33489.52734,OK,10/15/18 0:30,810.3308105,OK,10/15/18 0:30,40423032,OK,10/15/18 0:30,0.67661853,OK,10/15/18 0:30,175.4545135,OK,10/15/18 0:30,379.140625,OK,
10/15/18 0:45,152020,OK,10/15/18 0:45,191667,OK,10/15/18 0:45,1921339,OK,10/15/18 0:45,33489.59766,OK,10/15/18 0:45,0,OK,10/15/18 0:45,40423116,OK,10/15/18 0:45,0,LOW ALARM,10/15/18 0:45,176.0922546,OK,10/15/18 0:45,327.9448242,OK,
10/15/18 1:00,152027,OK,10/15/18 1:00,191677,OK,10/15/18 1:00,1921412,OK,10/15/18 1:00,33489.65625,OK,10/15/18 1:00,547.2999878,OK,10/15/18 1:00,40423184,OK,10/15/18 1:00,0.456943817,OK,10/15/18 1:00,177.2802582,OK,10/15/18 1:00,379.5601807,OK,
10/15/18 1:15,152035,OK,10/15/18 1:15,191687,OK,10/15/18 1:15,1921486,OK,10/15/18 1:15,33489.79688,OK,10/15/18 1:15,813.4398804,OK,10/15/18 1:15,40423352,OK,10/15/18 1:15,0.679008301,OK,10/15/18 1:15,180.6934357,OK,10/15/18 1:15,381.0222778,OK,
10/15/18 1:30,152042,OK,10/15/18 1:30,191696,OK,10/15/18 1:30,1921559,OK,10/15/18 1:30,33489.97266,OK,10/15/18 1:30,900.0568848,OK,10/15/18 1:30,40423564,OK,10/15/18 1:30,0.751349854,OK,10/15/18 1:30,179.8179169,OK,10/15/18 1:30,380.5967712,OK,
10/15/18 1:45,152050,OK,10/15/18 1:45,191706,OK,10/15/18 1:45,1921633,OK,10/15/18 1:45,33490.14844,OK,10/15/18 1:45,893.6861572,OK,10/15/18 1:45,40423776,OK,10/15/18 1:45,0.745953125,OK,10/15/18 1:45,181.6061554,OK,10/15/18 1:45,381.2489624,OK,
10/15/18 2:00,152057,OK,10/15/18 2:00,191716,OK,10/15/18 2:00,1921706,OK,10/15/18 2:00,33490.35547,OK,10/15/18 2:00,1021.085449,OK,10/15/18 2:00,40424024,OK,10/15/18 2:00,0.85236731,OK,10/15/18 2:00,180.120163,OK,10/15/18 2:00,380.561615,OK,
10/15/18 2:15,152064,OK,10/15/18 2:15,191726,OK,10/15/18 2:15,1921783,OK,10/15/18 2:15,33490.54297,OK,10/15/18 2:15,844.4040527,OK,10/15/18 2:15,40424248,OK,10/15/18 2:15,0.704935608,OK,10/15/18 2:15,178.7454376,OK,10/15/18 2:15,380.1499634,OK,
