OSU_RTS.MDBUS_C1.337 CDT Time [SNAP],OSU_RTS.MDBUS_C1.337 CDT Value [SNAP],OSU_RTS.MDBUS_C1.337 CDT Status [SNAP],OSU_RTS.MDBUS_C1.337_CHF Time [SNAP],OSU_RTS.MDBUS_C1.337_CHF Value [SNAP],OSU_RTS.MDBUS_C1.337_CHF Status [SNAP],OSU_RTS.MDBUS_C1.337_CHT Time [SNAP],OSU_RTS.MDBUS_C1.337_CHT Value [SNAP],OSU_RTS.MDBUS_C1.337_CHT Status [SNAP],OSU_RTS.MDBUS_C1.337_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.337_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.337_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.337_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.337_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.337_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.337_CVF Time [SNAP],OSU_RTS.MDBUS_C1.337_CVF Value [SNAP],OSU_RTS.MDBUS_C1.337_CVF Status [SNAP],OSU_RTS.MDBUS_C1.337_HF Time [SNAP],OSU_RTS.MDBUS_C1.337_HF Value [SNAP],OSU_RTS.MDBUS_C1.337_HF Status [SNAP],OSU_RTS.MDBUS_C1.337_HGT Time [SNAP],OSU_RTS.MDBUS_C1.337_HGT Value [SNAP],OSU_RTS.MDBUS_C1.337_HGT Status [SNAP],OSU_RTS.MDBUS_H1.337_HDT Time [SNAP],OSU_RTS.MDBUS_H1.337_HDT Value [SNAP],OSU_RTS.MDBUS_H1.337_HDT Status [SNAP],OSU_RTS.MDBUS_H1.337_HHF Time [SNAP],OSU_RTS.MDBUS_H1.337_HHF Value [SNAP],OSU_RTS.MDBUS_H1.337_HHF Status [SNAP],OSU_RTS.MDBUS_H1.337_HHT Time [SNAP],OSU_RTS.MDBUS_H1.337_HHT Value [SNAP],OSU_RTS.MDBUS_H1.337_HHT Status [SNAP],OSU_RTS.MDBUS_H1.337_HMT Time [SNAP],OSU_RTS.MDBUS_H1.337_HMT Value [SNAP],OSU_RTS.MDBUS_H1.337_HMT Status [SNAP],OSU_RTS.MDBUS_H1.337_HRWT Time [SNAP],OSU_RTS.MDBUS_H1.337_HRWT Value [SNAP],OSU_RTS.MDBUS_H1.337_HRWT Status [SNAP],OSU_RTS.MDBUS_H1.337_HSWT Time [SNAP],OSU_RTS.MDBUS_H1.337_HSWT Value [SNAP],OSU_RTS.MDBUS_H1.337_HSWT Status [SNAP],OSU_RTS.MDBUS_H1.337_HVF Time [SNAP],OSU_RTS.MDBUS_H1.337_HVF Value [SNAP],OSU_RTS.MDBUS_H1.337_HVF Status [SNAP],Comments
10/15/18 0:00,1.096069932,OK,10/15/18 0:00,0,OK,10/15/18 0:00,673426,OK,10/15/18 0:00,65.95796204,OK,10/15/18 0:00,64.8618927,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,8081112,OK,10/15/18 0:00,12.56511021,OK,10/15/18 0:00,285.0598755,OK,10/15/18 0:00,10329101,OK,10/15/18 0:00,1061609.25,OK,10/15/18 0:00,139.9151154,OK,10/15/18 0:00,152.4802246,OK,10/15/18 0:00,46.23376157,OK,
10/15/18 0:15,1.155083418,OK,10/15/18 0:15,0,OK,10/15/18 0:15,673426,OK,10/15/18 0:15,66.31866455,OK,10/15/18 0:15,65.16357422,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,8081112,OK,10/15/18 0:15,12.54594135,OK,10/15/18 0:15,284.4835205,OK,10/15/18 0:15,10329172,OK,10/15/18 0:15,1061615,OK,10/15/18 0:15,139.8963623,OK,10/15/18 0:15,152.4422913,OK,10/15/18 0:15,46.11240498,OK,
10/15/18 0:30,1.192509174,OK,10/15/18 0:30,0,OK,10/15/18 0:30,673426,OK,10/15/18 0:30,66.64131165,OK,10/15/18 0:30,65.44880676,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,8081112,OK,10/15/18 0:30,12.52690315,OK,10/15/18 0:30,283.5848999,OK,10/15/18 0:30,10329243,OK,10/15/18 0:30,1061620.625,OK,10/15/18 0:30,139.8654633,OK,10/15/18 0:30,152.3923645,OK,10/15/18 0:30,46.09895663,OK,
10/15/18 0:45,1.217812061,OK,10/15/18 0:45,0,OK,10/15/18 0:45,673426,OK,10/15/18 0:45,66.8771286,OK,10/15/18 0:45,65.65931702,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,8081112,OK,10/15/18 0:45,12.58152199,OK,10/15/18 0:45,284.2992554,OK,10/15/18 0:45,10329314,OK,10/15/18 0:45,1061626.25,OK,10/15/18 0:45,139.7826538,OK,10/15/18 0:45,152.3641815,OK,10/15/18 0:45,46.13273416,OK,
10/15/18 1:00,1.305366874,OK,10/15/18 1:00,0,OK,10/15/18 1:00,673426,OK,10/15/18 1:00,67.1390152,OK,10/15/18 1:00,65.83364868,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,8081112,OK,10/15/18 1:00,12.5731287,OK,10/15/18 1:00,284.7185669,OK,10/15/18 1:00,10329385,OK,10/15/18 1:00,1061631.875,OK,10/15/18 1:00,139.7130127,OK,10/15/18 1:00,152.2861481,OK,10/15/18 1:00,46.14540531,OK,
10/15/18 1:15,1.288372993,OK,10/15/18 1:15,0,OK,10/15/18 1:15,673426,OK,10/15/18 1:15,67.34983826,OK,10/15/18 1:15,66.0614624,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,8081112,OK,10/15/18 1:15,12.5472393,OK,10/15/18 1:15,284.5635071,OK,10/15/18 1:15,10329456,OK,10/15/18 1:15,1061637.625,OK,10/15/18 1:15,139.6587219,OK,10/15/18 1:15,152.2059631,OK,10/15/18 1:15,46.29164847,OK,
10/15/18 1:30,1.31724894,OK,10/15/18 1:30,0,OK,10/15/18 1:30,673426,OK,10/15/18 1:30,67.56546021,OK,10/15/18 1:30,66.24821472,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,8081112,OK,10/15/18 1:30,12.56469154,OK,10/15/18 1:30,283.8531494,OK,10/15/18 1:30,10329527,OK,10/15/18 1:30,1061643.25,OK,10/15/18 1:30,139.6384583,OK,10/15/18 1:30,152.2031403,OK,10/15/18 1:30,45.95235132,OK,
10/15/18 1:45,1.42145431,OK,10/15/18 1:45,0,OK,10/15/18 1:45,673426,OK,10/15/18 1:45,67.77466583,OK,10/15/18 1:45,66.35321045,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,8081112,OK,10/15/18 1:45,12.56085682,OK,10/15/18 1:45,281.8551941,OK,10/15/18 1:45,10329598,OK,10/15/18 1:45,1061648.875,OK,10/15/18 1:45,139.5086975,OK,10/15/18 1:45,152.0695648,OK,10/15/18 1:45,45.65360267,OK,
10/15/18 2:00,1.437073946,OK,10/15/18 2:00,0,OK,10/15/18 2:00,673426,OK,10/15/18 2:00,67.95308685,OK,10/15/18 2:00,66.51600647,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,8081112,OK,10/15/18 2:00,12.74126053,OK,10/15/18 2:00,282.7208862,OK,10/15/18 2:00,10329668,OK,10/15/18 2:00,1061654.375,OK,10/15/18 2:00,139.3585663,OK,10/15/18 2:00,152.099823,OK,10/15/18 2:00,45.16379388,OK,
10/15/18 2:15,1.486226201,OK,10/15/18 2:15,0,OK,10/15/18 2:15,673426,OK,10/15/18 2:15,68.12272644,OK,10/15/18 2:15,66.63650513,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,8081112,OK,10/15/18 2:15,12.68606949,OK,10/15/18 2:15,281.9917603,OK,10/15/18 2:15,10329739,OK,10/15/18 2:15,1061660,OK,10/15/18 2:15,139.3796997,OK,10/15/18 2:15,152.0657806,OK,10/15/18 2:15,45.31038291,OK,
