OSU_RTS.MDBUS_C1.250_CDT Time [SNAP],OSU_RTS.MDBUS_C1.250_CDT Value [SNAP],OSU_RTS.MDBUS_C1.250_CDT Status [SNAP],OSU_RTS.MDBUS_C1.250_CHF Time [SNAP],OSU_RTS.MDBUS_C1.250_CHF Value [SNAP],OSU_RTS.MDBUS_C1.250_CHF Status [SNAP],OSU_RTS.MDBUS_C1.250_CHT Time [SNAP],OSU_RTS.MDBUS_C1.250_CHT Value [SNAP],OSU_RTS.MDBUS_C1.250_CHT Status [SNAP],OSU_RTS.MDBUS_C1.250_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.250_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.250_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.250_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.250_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.250_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.250_CVF Time [SNAP],OSU_RTS.MDBUS_C1.250_CVF Value [SNAP],OSU_RTS.MDBUS_C1.250_CVF Status [SNAP],OSU_RTS.MDBUS_C1.250_HF Time [SNAP],OSU_RTS.MDBUS_C1.250_HF Value [SNAP],OSU_RTS.MDBUS_C1.250_HF Status [SNAP],OSU_RTS.MDBUS_C1.250_HGT Time [SNAP],OSU_RTS.MDBUS_C1.250_HGT Value [SNAP],OSU_RTS.MDBUS_C1.250_HGT Status [SNAP],OSU_RTS.MDBUS_E3.250E_1C Time [SNAP],OSU_RTS.MDBUS_E3.250E_1C Value [SNAP],OSU_RTS.MDBUS_E3.250E_1C Status [SNAP],OSU_RTS.MDBUS_RT.250S_C Time [SNAP],OSU_RTS.MDBUS_RT.250S_C Value [SNAP],OSU_RTS.MDBUS_RT.250S_C Status [SNAP],OSU_RTS.MDBUS_RT.250S_DP Time [SNAP],OSU_RTS.MDBUS_RT.250S_DP Value [SNAP],OSU_RTS.MDBUS_RT.250S_DP Status [SNAP],OSU_RTS.MDBUS_RT.250S_HF Time [SNAP],OSU_RTS.MDBUS_RT.250S_HF Value [SNAP],OSU_RTS.MDBUS_RT.250S_HF Status [SNAP],OSU_RTS.MDBUS_RT.250S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.250S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.250S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.250S_I Time [SNAP],OSU_RTS.MDBUS_RT.250S_I Value [SNAP],OSU_RTS.MDBUS_RT.250S_I Status [SNAP],OSU_RTS.MDBUS_RT.250S_P Time [SNAP],OSU_RTS.MDBUS_RT.250S_P Value [SNAP],OSU_RTS.MDBUS_RT.250S_P Status [SNAP],OSU_RTS.MDBUS_RT.250S_T Time [SNAP],OSU_RTS.MDBUS_RT.250S_T Value [SNAP],OSU_RTS.MDBUS_RT.250S_T Status [SNAP],Comments
10/15/18 0:00,16.07712173,OK,10/15/18 0:00,29.16868401,OK,10/15/18 0:00,1380370.875,OK,10/15/18 0:00,58.12539673,OK,10/15/18 0:00,42.04827499,OK,10/15/18 0:00,43.42043626,OK,10/15/18 0:00,350.0124435,OK,10/15/18 0:00,16564450.5,OK,10/15/18 0:00,2057826,OK,10/15/18 0:00,10785.13086,OK,10/15/18 0:00,9.356901169,OK,10/15/18 0:00,242.0615082,OK,10/15/18 0:00,13012579,OK,10/15/18 0:00,0.204565918,OK,10/15/18 0:00,66.18284607,OK,10/15/18 0:00,309.8972473,OK,
10/15/18 0:15,15.33874893,OK,10/15/18 0:15,25.35462761,OK,10/15/18 0:15,1380377.875,OK,10/15/18 0:15,57.34104919,OK,10/15/18 0:15,42.00229645,OK,10/15/18 0:15,39.55688243,OK,10/15/18 0:15,304.2555313,OK,10/15/18 0:15,16564534.5,OK,10/15/18 0:15,2057842,OK,10/15/18 0:15,10785.17969,OK,10/15/18 0:15,10.94368362,OK,10/15/18 0:15,296.7894592,OK,10/15/18 0:15,13012637,OK,10/15/18 0:15,0.250815887,OK,10/15/18 0:15,66.09266663,OK,10/15/18 0:15,310.1519775,OK,
10/15/18 0:30,14.88143253,OK,10/15/18 0:30,23.56803131,OK,10/15/18 0:30,1380383.875,OK,10/15/18 0:30,57.01818848,OK,10/15/18 0:30,42.1367569,OK,10/15/18 0:30,37.87164772,OK,10/15/18 0:30,282.8163757,OK,10/15/18 0:30,16564606.5,OK,10/15/18 0:30,2057857,OK,10/15/18 0:30,10785.2334,OK,10/15/18 0:30,9.725205421,OK,10/15/18 0:30,250.7397919,OK,10/15/18 0:30,13012700,OK,10/15/18 0:30,0.21188681,OK,10/15/18 0:30,66.51382446,OK,10/15/18 0:30,310.2459106,OK,
10/15/18 0:45,15.02191257,OK,10/15/18 0:45,23.00555992,OK,10/15/18 0:45,1380389.75,OK,10/15/18 0:45,57.09142303,OK,10/15/18 0:45,42.06951141,OK,10/15/18 0:45,36.60231081,OK,10/15/18 0:45,275.7213135,OK,10/15/18 0:45,16564677,OK,10/15/18 0:45,2057872,OK,10/15/18 0:45,10785.28125,OK,10/15/18 0:45,7.816435814,OK,10/15/18 0:45,208.0831146,OK,10/15/18 0:45,13012756,OK,10/15/18 0:45,0.175843903,OK,10/15/18 0:45,66.39390564,OK,10/15/18 0:45,310.0841675,OK,
10/15/18 1:00,15.08353138,OK,10/15/18 1:00,22.85777473,OK,10/15/18 1:00,1380395.375,OK,10/15/18 1:00,57.37164307,OK,10/15/18 1:00,42.28810883,OK,10/15/18 1:00,36.2059243,OK,10/15/18 1:00,274.2932968,OK,10/15/18 1:00,16564744.5,OK,10/15/18 1:00,2057888,OK,10/15/18 1:00,10785.33203,OK,10/15/18 1:00,6.607372284,OK,10/15/18 1:00,180.61203,OK,10/15/18 1:00,13012817,OK,10/15/18 1:00,0.152644012,OK,10/15/18 1:00,65.86239624,OK,10/15/18 1:00,310.0945129,OK,
10/15/18 1:15,15.4379549,OK,10/15/18 1:15,23.31091118,OK,10/15/18 1:15,1380401.125,OK,10/15/18 1:15,57.47957611,OK,10/15/18 1:15,42.04161835,OK,10/15/18 1:15,36.17545901,OK,10/15/18 1:15,280.0401077,OK,10/15/18 1:15,16564813.5,OK,10/15/18 1:15,2057903,OK,10/15/18 1:15,10785.38184,OK,10/15/18 1:15,8.694490433,OK,10/15/18 1:15,227.8297272,OK,10/15/18 1:15,13012876,OK,10/15/18 1:15,0.192535522,OK,10/15/18 1:15,66.27414703,OK,10/15/18 1:15,310.0202026,OK,
10/15/18 1:30,15.30859756,OK,10/15/18 1:30,22.81127167,OK,10/15/18 1:30,1380406.875,OK,10/15/18 1:30,57.47755432,OK,10/15/18 1:30,42.16895294,OK,10/15/18 1:30,35.64489827,OK,10/15/18 1:30,273.73526,OK,10/15/18 1:30,16564882.5,OK,10/15/18 1:30,2057918,OK,10/15/18 1:30,10785.43359,OK,10/15/18 1:30,8.602300644,OK,10/15/18 1:30,225.2630463,OK,10/15/18 1:30,13012937,OK,10/15/18 1:30,0.190370346,OK,10/15/18 1:30,66.16082764,OK,10/15/18 1:30,309.8991699,OK,
10/15/18 1:45,15.41385269,OK,10/15/18 1:45,23.12813568,OK,10/15/18 1:45,1380412.75,OK,10/15/18 1:45,57.59555054,OK,10/15/18 1:45,42.18169403,OK,10/15/18 1:45,35.90963338,OK,10/15/18 1:45,277.5376282,OK,10/15/18 1:45,16564953,OK,10/15/18 1:45,2057933,OK,10/15/18 1:45,10785.48535,OK,10/15/18 1:45,6.706071377,OK,10/15/18 1:45,191.3626251,OK,10/15/18 1:45,13012998,OK,10/15/18 1:45,0.161715927,OK,10/15/18 1:45,66.22008514,OK,10/15/18 1:45,310.0125122,OK,
10/15/18 2:00,15.50833797,OK,10/15/18 2:00,23.21002007,OK,10/15/18 2:00,1380418.5,OK,10/15/18 2:00,57.50304031,OK,10/15/18 2:00,41.9947052,OK,10/15/18 2:00,35.81567805,OK,10/15/18 2:00,278.5202408,OK,10/15/18 2:00,16565022,OK,10/15/18 2:00,2057949,OK,10/15/18 2:00,10785.53711,OK,10/15/18 2:00,8.99070549,OK,10/15/18 2:00,234.17836,OK,10/15/18 2:00,13013060,OK,10/15/18 2:00,0.19789711,OK,10/15/18 2:00,66.36541748,OK,10/15/18 2:00,310.1022339,OK,
10/15/18 2:15,15.2829628,OK,10/15/18 2:15,22.91153526,OK,10/15/18 2:15,1380424.25,OK,10/15/18 2:15,57.48430634,OK,10/15/18 2:15,42.20134354,OK,10/15/18 2:15,35.87758521,OK,10/15/18 2:15,274.9384232,OK,10/15/18 2:15,16565091,OK,10/15/18 2:15,2057964,OK,10/15/18 2:15,10785.58691,OK,10/15/18 2:15,6.878112793,OK,10/15/18 2:15,186.8176575,OK,10/15/18 2:15,13013118,OK,10/15/18 2:15,0.157883316,OK,10/15/18 2:15,66.04811859,OK,10/15/18 2:15,309.9918213,OK,
