OSU_RTS.MDBUS_C1.180_CDT Time [SNAP],OSU_RTS.MDBUS_C1.180_CDT Value [SNAP],OSU_RTS.MDBUS_C1.180_CDT Status [SNAP],OSU_RTS.MDBUS_C1.180_CHF Time [SNAP],OSU_RTS.MDBUS_C1.180_CHF Value [SNAP],OSU_RTS.MDBUS_C1.180_CHF Status [SNAP],OSU_RTS.MDBUS_C1.180_CHT Time [SNAP],OSU_RTS.MDBUS_C1.180_CHT Value [SNAP],OSU_RTS.MDBUS_C1.180_CHT Status [SNAP],OSU_RTS.MDBUS_C1.180_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.180_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.180_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.180_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.180_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.180_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.180_CVF Time [SNAP],OSU_RTS.MDBUS_C1.180_CVF Value [SNAP],OSU_RTS.MDBUS_C1.180_CVF Status [SNAP],OSU_RTS.MDBUS_C1.180_HF Time [SNAP],OSU_RTS.MDBUS_C1.180_HF Value [SNAP],OSU_RTS.MDBUS_C1.180_HF Status [SNAP],OSU_RTS.MDBUS_C1.180_HGT Time [SNAP],OSU_RTS.MDBUS_C1.180_HGT Value [SNAP],OSU_RTS.MDBUS_C1.180_HGT Status [SNAP],OSU_RTS.MDBUS_C1.180B_CDT Time [SNAP],OSU_RTS.MDBUS_C1.180B_CDT Value [SNAP],OSU_RTS.MDBUS_C1.180B_CDT Status [SNAP],OSU_RTS.MDBUS_C1.180B_CHF Time [SNAP],OSU_RTS.MDBUS_C1.180B_CHF Value [SNAP],OSU_RTS.MDBUS_C1.180B_CHF Status [SNAP],OSU_RTS.MDBUS_C1.180B_CHT Time [SNAP],OSU_RTS.MDBUS_C1.180B_CHT Value [SNAP],OSU_RTS.MDBUS_C1.180B_CHT Status [SNAP],OSU_RTS.MDBUS_C1.180B_CRW Time [SNAP],OSU_RTS.MDBUS_C1.180B_CRW Value [SNAP],OSU_RTS.MDBUS_C1.180B_CRW Status [SNAP],OSU_RTS.MDBUS_C1.180B_CSW Time [SNAP],OSU_RTS.MDBUS_C1.180B_CSW Value [SNAP],OSU_RTS.MDBUS_C1.180B_CSW Status [SNAP],OSU_RTS.MDBUS_C1.180B_CVF Time [SNAP],OSU_RTS.MDBUS_C1.180B_CVF Value [SNAP],OSU_RTS.MDBUS_C1.180B_CVF Status [SNAP],OSU_RTS.MDBUS_C1.180B_HF Time [SNAP],OSU_RTS.MDBUS_C1.180B_HF Value [SNAP],OSU_RTS.MDBUS_C1.180B_HF Status [SNAP],OSU_RTS.MDBUS_C1.180B_HGT Time [SNAP],OSU_RTS.MDBUS_C1.180B_HGT Value [SNAP],OSU_RTS.MDBUS_C1.180B_HGT Status [SNAP],OSU_RTS.MDBUS_CC.180_MHT Time [SNAP],OSU_RTS.MDBUS_CC.180_MHT Value [SNAP],OSU_RTS.MDBUS_CC.180_MHT Status [SNAP],OSU_RTS.MDBUS_CC.180_PHT Time [SNAP],OSU_RTS.MDBUS_CC.180_PHT Value [SNAP],OSU_RTS.MDBUS_CC.180_PHT Status [SNAP],OSU_RTS.MDBUS_E3.180E_E1 Time [SNAP],OSU_RTS.MDBUS_E3.180E_E1 Value [SNAP],OSU_RTS.MDBUS_E3.180E_E1 Status [SNAP],OSU_RTS.MDBUS_EC.180_E02C Time [SNAP],OSU_RTS.MDBUS_EC.180_E02C Value [SNAP],OSU_RTS.MDBUS_EC.180_E02C Status [SNAP],Comments
10/15/18 0:00,0.048353363,OK,10/15/18 0:00,0,OK,10/15/18 0:00,5737052,OK,10/15/18 0:00,56.78875351,OK,10/15/18 0:00,56.74040222,OK,10/15/18 0:00,382.51071,OK,10/15/18 0:00,0,OK,10/15/18 0:00,68844624,OK,10/15/18 0:00,12.00683212,OK,10/15/18 0:00,0,OK,10/15/18 0:00,1221893,OK,10/15/18 0:00,56.77803802,OK,10/15/18 0:00,44.77120972,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,14662716,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,2904112,OK,10/15/18 0:00,7902306.5,OK,
10/15/18 0:15,0.045183107,OK,10/15/18 0:15,0,OK,10/15/18 0:15,5737052,OK,10/15/18 0:15,56.87546921,OK,10/15/18 0:15,56.83028412,OK,10/15/18 0:15,382.6495474,OK,10/15/18 0:15,0,OK,10/15/18 0:15,68844624,OK,10/15/18 0:15,12.12163162,OK,10/15/18 0:15,0,OK,10/15/18 0:15,1221893,OK,10/15/18 0:15,56.89411163,OK,10/15/18 0:15,44.7724762,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,14662716,OK,,,,,,,10/15/18 0:15,2904112,OK,10/15/18 0:15,7902329,OK,
10/15/18 0:30,0.062363498,OK,10/15/18 0:30,0,OK,10/15/18 0:30,5737052,OK,10/15/18 0:30,56.96255493,OK,10/15/18 0:30,56.90019226,OK,10/15/18 0:30,383.2600413,OK,10/15/18 0:30,0,OK,10/15/18 0:30,68844624,OK,10/15/18 0:30,12.31758022,OK,10/15/18 0:30,0,OK,10/15/18 0:30,1221893,OK,10/15/18 0:30,57.01519012,OK,10/15/18 0:30,44.69760895,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,14662716,OK,,,,,,,10/15/18 0:30,2904112,OK,10/15/18 0:30,7902351,OK,
10/15/18 0:45,0.040860295,OK,10/15/18 0:45,0,OK,10/15/18 0:45,5737052,OK,10/15/18 0:45,56.98244858,OK,10/15/18 0:45,56.94158936,OK,10/15/18 0:45,381.9825093,OK,10/15/18 0:45,0,OK,10/15/18 0:45,68844624,OK,10/15/18 0:45,12.19507217,OK,10/15/18 0:45,0,OK,10/15/18 0:45,1221893,OK,10/15/18 0:45,56.99449539,OK,10/15/18 0:45,44.79942322,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,14662716,OK,,,,,,,10/15/18 0:45,2904112,OK,10/15/18 0:45,7902372.5,OK,
10/15/18 1:00,0.043119103,OK,10/15/18 1:00,0,OK,10/15/18 1:00,5737052.5,OK,10/15/18 1:00,57.0699234,OK,10/15/18 1:00,57.02680206,OK,10/15/18 1:00,382.7135786,OK,10/15/18 1:00,0,OK,10/15/18 1:00,68844630,OK,10/15/18 1:00,12.46794891,OK,10/15/18 1:00,0,OK,10/15/18 1:00,1221893,OK,10/15/18 1:00,57.19223404,OK,10/15/18 1:00,44.72428894,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,14662716,OK,,,,,,,10/15/18 1:00,2904112,OK,10/15/18 1:00,7902394,OK,
10/15/18 1:15,0.05119852,OK,10/15/18 1:15,0,OK,10/15/18 1:15,5737052.5,OK,10/15/18 1:15,57.09803391,OK,10/15/18 1:15,57.04683685,OK,10/15/18 1:15,382.166595,OK,10/15/18 1:15,0,OK,10/15/18 1:15,68844630,OK,10/15/18 1:15,12.47110748,OK,10/15/18 1:15,0,OK,10/15/18 1:15,1221893,OK,10/15/18 1:15,57.2253952,OK,10/15/18 1:15,44.75428772,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,14662716,OK,,,,,,,10/15/18 1:15,2904112,OK,10/15/18 1:15,7902415,OK,
10/15/18 1:30,0.042007629,OK,10/15/18 1:30,0,OK,10/15/18 1:30,5737052.5,OK,10/15/18 1:30,57.15788269,OK,10/15/18 1:30,57.11587524,OK,10/15/18 1:30,383.2502104,OK,10/15/18 1:30,0,OK,10/15/18 1:30,68844630,OK,10/15/18 1:30,12.50744534,OK,10/15/18 1:30,0,OK,10/15/18 1:30,1221893,OK,10/15/18 1:30,57.27500153,OK,10/15/18 1:30,44.76755524,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,14662716,OK,,,,,,,10/15/18 1:30,2904112,OK,10/15/18 1:30,7902437,OK,
10/15/18 1:45,0.094836719,OK,10/15/18 1:45,0,OK,10/15/18 1:45,5737052.5,OK,10/15/18 1:45,57.26280212,OK,10/15/18 1:45,57.16796494,OK,10/15/18 1:45,382.6834673,OK,10/15/18 1:45,0,OK,10/15/18 1:45,68844630,OK,10/15/18 1:45,12.65398216,OK,10/15/18 1:45,0,OK,10/15/18 1:45,1221893,OK,10/15/18 1:45,57.31734467,OK,10/15/18 1:45,44.66336441,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,14662716,OK,,,,,,,10/15/18 1:45,2904112,OK,10/15/18 1:45,7902459.5,OK,
10/15/18 2:00,0.107021786,OK,10/15/18 2:00,1.706247687,OK,10/15/18 2:00,5737052.5,OK,10/15/18 2:00,57.39681244,OK,10/15/18 2:00,57.28978729,OK,10/15/18 2:00,382.5914407,OK,10/15/18 2:00,20.47497225,OK,10/15/18 2:00,68844630,OK,10/15/18 2:00,12.54891777,OK,10/15/18 2:00,0,OK,10/15/18 2:00,1221893,OK,10/15/18 2:00,57.37626648,OK,10/15/18 2:00,44.82735443,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,14662716,OK,,,,,,,10/15/18 2:00,2904112,OK,10/15/18 2:00,7902481,OK,
10/15/18 2:15,0.103329033,OK,10/15/18 2:15,1.675609946,OK,10/15/18 2:15,5737052.5,OK,10/15/18 2:15,57.4806366,OK,10/15/18 2:15,57.37730408,OK,10/15/18 2:15,382.4111637,OK,10/15/18 2:15,20.10731936,OK,10/15/18 2:15,68844630,OK,10/15/18 2:15,13.21761608,OK,10/15/18 2:15,0,OK,10/15/18 2:15,1221893,OK,10/15/18 2:15,57.47926331,OK,10/15/18 2:15,44.26165009,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,14662716,OK,,,,,,,10/15/18 2:15,2904112,OK,10/15/18 2:15,7902502,OK,
