OSU_RTS.MDBUS_E1.085_E1 Time [SNAP],OSU_RTS.MDBUS_E1.085_E1 Value [SNAP],OSU_RTS.MDBUS_E1.085_E1 Status [SNAP],OSU_RTS.MDBUS_RT.085S_C Time [SNAP],OSU_RTS.MDBUS_RT.085S_C Value [SNAP],OSU_RTS.MDBUS_RT.085S_C Status [SNAP],OSU_RTS.MDBUS_RT.085S_HF Time [SNAP],OSU_RTS.MDBUS_RT.085S_HF Value [SNAP],OSU_RTS.MDBUS_RT.085S_HF Status [SNAP],OSU_RTS.MDBUS_RT.085S_I Time [SNAP],OSU_RTS.MDBUS_RT.085S_I Value [SNAP],OSU_RTS.MDBUS_RT.085S_I Status [SNAP],OSU_RTS.MDBUS_RT.085S_P Time [SNAP],OSU_RTS.MDBUS_RT.085S_P Value [SNAP],OSU_RTS.MDBUS_RT.085S_P Status [SNAP],OSU_RTS.MDBUS_RT.085S_T Time [SNAP],OSU_RTS.MDBUS_RT.085S_T Value [SNAP],OSU_RTS.MDBUS_RT.085S_T Status [SNAP],Comments
10/15/18 0:00,5975920,OK,10/15/18 0:00,21794.35,OK,10/15/18 0:00,266,OK,10/15/18 0:00,0.211999997,OK,10/15/18 0:00,180.766,OK,10/15/18 0:00,378.45,OK,
10/15/18 0:15,5975931,OK,10/15/18 0:15,21794.403,OK,10/15/18 0:15,272,OK,10/15/18 0:15,0.214999989,OK,10/15/18 0:15,178.459,OK,10/15/18 0:15,378.24,OK,
10/15/18 0:30,5975942,OK,10/15/18 0:30,21794.457,OK,10/15/18 0:30,278,OK,10/15/18 0:30,0.218999997,OK,10/15/18 0:30,177.513,OK,10/15/18 0:30,377.16,OK,
10/15/18 0:45,5975954,OK,10/15/18 0:45,21794.512,OK,10/15/18 0:45,277,OK,10/15/18 0:45,0.215999991,OK,10/15/18 0:45,175.543,OK,10/15/18 0:45,376.32,OK,
10/15/18 1:00,5975965,OK,10/15/18 1:00,21794.564,OK,10/15/18 1:00,270,OK,10/15/18 1:00,0.209999993,OK,10/15/18 1:00,175.151,OK,10/15/18 1:00,376.42,OK,
10/15/18 1:15,5975976,OK,10/15/18 1:15,21794.617,OK,10/15/18 1:15,258,OK,10/15/18 1:15,0.205999985,OK,10/15/18 1:15,180.772,OK,10/15/18 1:15,378.85,OK,
10/15/18 1:30,5975987,OK,10/15/18 1:30,21794.668,OK,10/15/18 1:30,253,OK,10/15/18 1:30,0.201999992,OK,10/15/18 1:30,179.748,OK,10/15/18 1:30,378.29,OK,
10/15/18 1:45,5975999,OK,10/15/18 1:45,21794.721,OK,10/15/18 1:45,261,OK,10/15/18 1:45,0.208999991,OK,10/15/18 1:45,181.411,OK,10/15/18 1:45,379.12,OK,
10/15/18 2:00,5976010,OK,10/15/18 2:00,21794.771,OK,10/15/18 2:00,157,OK,10/15/18 2:00,0.125999987,OK,10/15/18 2:00,180.839,OK,10/15/18 2:00,378.56,OK,
10/15/18 2:15,5976020,OK,10/15/18 2:15,21794.783,OK,10/15/18 2:15,46,OK,10/15/18 2:15,0.035999998,OK,10/15/18 2:15,179.465,OK,10/15/18 2:15,378.29,OK,
10/15/18 2:30,5976030,OK,10/15/18 2:30,21794.792,OK,10/15/18 2:30,49,OK,10/15/18 2:30,0.038999997,OK,10/15/18 2:30,177.844,OK,10/15/18 2:30,377.63,OK,
10/15/18 2:45,5976040,OK,10/15/18 2:45,21794.802,OK,10/15/18 2:45,49,OK,10/15/18 2:45,0.038999997,OK,10/15/18 2:45,179.598,OK,10/15/18 2:45,378.28,OK,
10/15/18 3:00,5976061,OK,10/15/18 3:00,21794.81,OK,10/15/18 3:00,43,OK,10/15/18 3:00,0.033999998,OK,10/15/18 3:00,181.128,OK,10/15/18 3:00,378.74,OK,
10/15/18 3:15,5976085,OK,10/15/18 3:15,21794.817,OK,10/15/18 3:15,30,OK,10/15/18 3:15,0.023999998,OK,10/15/18 3:15,179.435,OK,10/15/18 3:15,378.22,OK,
10/15/18 3:30,5976095,OK,10/15/18 3:30,21794.824,OK,10/15/18 3:30,30,OK,10/15/18 3:30,0.023999998,OK,10/15/18 3:30,180.845,OK,10/15/18 3:30,378.68,OK,
10/15/18 3:45,5976104,OK,10/15/18 3:45,21794.831,OK,10/15/18 3:45,42,OK,10/15/18 3:45,0.033999998,OK,10/15/18 3:45,180.845,OK,10/15/18 3:45,378.47,OK,
10/15/18 4:00,5976114,OK,10/15/18 4:00,21794.839,OK,10/15/18 4:00,40,OK,10/15/18 4:00,0.031999998,OK,10/15/18 4:00,179.76,OK,10/15/18 4:00,378.31,OK,
10/15/18 4:15,5976124,OK,10/15/18 4:15,21794.846,OK,10/15/18 4:15,37,OK,10/15/18 4:15,0.028999999,OK,10/15/18 4:15,177.965,OK,10/15/18 4:15,377.61,OK,
10/15/18 4:30,5976147,OK,10/15/18 4:30,21794.853,OK,10/15/18 4:30,36,OK,10/15/18 4:30,0.027999999,OK,10/15/18 4:30,178.754,OK,10/15/18 4:30,377.75,OK,
10/15/18 4:45,5976165,OK,10/15/18 4:45,21794.861,OK,10/15/18 4:45,38,OK,10/15/18 4:45,0.029999999,OK,10/15/18 4:45,178.26,OK,10/15/18 4:45,377.32,OK,
10/15/18 5:00,5976175,OK,10/15/18 5:00,21794.868,OK,10/15/18 5:00,38,OK,10/15/18 5:00,0.029999999,OK,10/15/18 5:00,180.242,OK,10/15/18 5:00,378.65,OK,
10/15/18 5:15,5976184,OK,10/15/18 5:15,21794.875,OK,10/15/18 5:15,36,OK,10/15/18 5:15,0.028999999,OK,10/15/18 5:15,179.766,OK,10/15/18 5:15,378.55,OK,
10/15/18 5:30,5976202,OK,10/15/18 5:30,21794.882,OK,10/15/18 5:30,31,OK,10/15/18 5:30,0.023999998,OK,10/15/18 5:30,180.989,OK,10/15/18 5:30,378.78,OK,
10/15/18 5:45,5976225,OK,10/15/18 5:45,21794.89,OK,10/15/18 5:45,39,OK,10/15/18 5:45,0.030999999,OK,10/15/18 5:45,180.327,OK,10/15/18 5:45,378.34,OK,
10/15/18 6:00,5976235,OK,10/15/18 6:00,21794.897,OK,10/15/18 6:00,35,OK,10/15/18 6:00,0.027999999,OK,10/15/18 6:00,180.574,OK,10/15/18 6:00,378.67,OK,
10/15/18 6:15,5976246,OK,10/15/18 6:15,21794.905,OK,10/15/18 6:15,39,OK,10/15/18 6:15,0.030999999,OK,10/15/18 6:15,180.007,OK,10/15/18 6:15,378.32,OK,
10/15/18 6:30,5976260,OK,10/15/18 6:30,21794.912,OK,10/15/18 6:30,33,OK,10/15/18 6:30,0.025999999,OK,10/15/18 6:30,178.893,OK,10/15/18 6:30,378.11,OK,
10/15/18 6:45,5976286,OK,10/15/18 6:45,21794.919,OK,10/15/18 6:45,38,OK,10/15/18 6:45,0.029999999,OK,10/15/18 6:45,178.971,OK,10/15/18 6:45,377.99,OK,
10/15/18 7:00,5976304,OK,10/15/18 7:00,21794.927,OK,10/15/18 7:00,39,OK,10/15/18 7:00,0.029999999,OK,10/15/18 7:00,176.772,OK,10/15/18 7:00,377,OK,
10/15/18 7:15,5976317,OK,10/15/18 7:15,21794.934,OK,10/15/18 7:15,37,OK,10/15/18 7:15,0.029999999,OK,10/15/18 7:15,180.055,OK,10/15/18 7:15,378.39,OK,
10/15/18 7:30,5976330,OK,10/15/18 7:30,21794.941,OK,10/15/18 7:30,34,OK,10/15/18 7:30,0.026999999,OK,10/15/18 7:30,179.579,OK,10/15/18 7:30,378.23,OK,
10/15/18 7:45,5976356,OK,10/15/18 7:45,21794.949,OK,10/15/18 7:45,37,OK,10/15/18 7:45,0.028999999,OK,10/15/18 7:45,179.146,OK,10/15/18 7:45,378.06,OK,
10/15/18 8:00,5976382,OK,10/15/18 8:00,21794.956,OK,10/15/18 8:00,38,OK,10/15/18 8:00,0.029999999,OK,10/15/18 8:00,180.333,OK,10/15/18 8:00,378.49,OK,
10/15/18 8:15,5976397,OK,10/15/18 8:15,21794.963,OK,10/15/18 8:15,38,OK,10/15/18 8:15,0.029999999,OK,10/15/18 8:15,179.507,OK,10/15/18 8:15,378.16,OK,
