OSU_RTS.CALC.149_GPALARM Time [SNAP],OSU_RTS.CALC.149_GPALARM Value [SNAP],OSU_RTS.CALC.149_GPALARM Status [SNAP],OSU_RTS.MDBUS_E3.149_E01 Time [SNAP],OSU_RTS.MDBUS_E3.149_E01 Value [SNAP],OSU_RTS.MDBUS_E3.149_E01 Status [SNAP],OSU_RTS.MDBUS_E3.149_E02 Time [SNAP],OSU_RTS.MDBUS_E3.149_E02 Value [SNAP],OSU_RTS.MDBUS_E3.149_E02 Status [SNAP],OSU_RTS.MDBUS_G1.149_GBV Time [SNAP],OSU_RTS.MDBUS_G1.149_GBV Value [SNAP],OSU_RTS.MDBUS_G1.149_GBV Status [SNAP],OSU_RTS.MDBUS_G1.149_GCV Time [SNAP],OSU_RTS.MDBUS_G1.149_GCV Value [SNAP],OSU_RTS.MDBUS_G1.149_GCV Status [SNAP],OSU_RTS.MDBUS_G1.149_GP Time [SNAP],OSU_RTS.MDBUS_G1.149_GP Value [SNAP],OSU_RTS.MDBUS_G1.149_GP Status [SNAP],OSU_RTS.MDBUS_G1.149_GT Time [SNAP],OSU_RTS.MDBUS_G1.149_GT Value [SNAP],OSU_RTS.MDBUS_G1.149_GT Status [SNAP],OSU_RTS.MDBUS_G1.149_GUV Time [SNAP],OSU_RTS.MDBUS_G1.149_GUV Value [SNAP],OSU_RTS.MDBUS_G1.149_GUV Status [SNAP],OSU_RTS.MDBUS_RT.149S_C Time [SNAP],OSU_RTS.MDBUS_RT.149S_C Value [SNAP],OSU_RTS.MDBUS_RT.149S_C Status [SNAP],OSU_RTS.MDBUS_RT.149S_DP Time [SNAP],OSU_RTS.MDBUS_RT.149S_DP Value [SNAP],OSU_RTS.MDBUS_RT.149S_DP Status [SNAP],OSU_RTS.MDBUS_RT.149S_HF Time [SNAP],OSU_RTS.MDBUS_RT.149S_HF Value [SNAP],OSU_RTS.MDBUS_RT.149S_HF Status [SNAP],OSU_RTS.MDBUS_RT.149S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.149S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.149S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.149S_I Time [SNAP],OSU_RTS.MDBUS_RT.149S_I Value [SNAP],OSU_RTS.MDBUS_RT.149S_I Status [SNAP],OSU_RTS.MDBUS_RT.149S_P Time [SNAP],OSU_RTS.MDBUS_RT.149S_P Value [SNAP],OSU_RTS.MDBUS_RT.149S_P Status [SNAP],OSU_RTS.MDBUS_RT.149S_T Time [SNAP],OSU_RTS.MDBUS_RT.149S_T Value [SNAP],OSU_RTS.MDBUS_RT.149S_T Status [SNAP],Comments
10/15/18 0:00,0,OK,10/15/18 0:00,2363416,OK,10/15/18 0:00,10725791,OK,10/15/18 0:00,4.830000401,OK,10/15/18 0:00,20532,OK,10/15/18 0:00,5.070000172,OK,10/15/18 0:00,53.74000168,OK,10/15/18 0:00,151463,OK,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,10/15/18 0:00,0,UNRELIABLE,
10/15/18 0:15,0,OK,10/15/18 0:15,2363430,OK,10/15/18 0:15,10725840,OK,10/15/18 0:15,4.81000042,OK,10/15/18 0:15,20532,OK,10/15/18 0:15,5.340000153,OK,10/15/18 0:15,53.84000015,OK,10/15/18 0:15,151463,OK,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,10/15/18 0:15,0,UNRELIABLE,
10/15/18 0:30,0,OK,10/15/18 0:30,2363444,OK,10/15/18 0:30,10725891,OK,10/15/18 0:30,4.599999905,OK,10/15/18 0:30,20532,OK,10/15/18 0:30,5.070000172,OK,10/15/18 0:30,54.00999832,OK,10/15/18 0:30,151463,OK,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,10/15/18 0:30,0,UNRELIABLE,
10/15/18 0:45,0,OK,10/15/18 0:45,2363458,OK,10/15/18 0:45,10725942,OK,10/15/18 0:45,4.830000401,OK,10/15/18 0:45,20532,OK,10/15/18 0:45,5.340000153,OK,10/15/18 0:45,54.00999832,OK,10/15/18 0:45,151463,OK,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,10/15/18 0:45,0,UNRELIABLE,
10/15/18 1:00,0,OK,10/15/18 1:00,2363470,OK,10/15/18 1:00,10725991,OK,10/15/18 1:00,4.610000134,OK,10/15/18 1:00,20532,OK,10/15/18 1:00,5.079999924,OK,10/15/18 1:00,54.16999817,OK,10/15/18 1:00,151463,OK,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,10/15/18 1:00,0,UNRELIABLE,
10/15/18 1:15,0,OK,10/15/18 1:15,2363482,OK,10/15/18 1:15,10726042,OK,10/15/18 1:15,4.590000153,OK,10/15/18 1:15,20532,OK,10/15/18 1:15,5.340000153,OK,10/15/18 1:15,54.32999802,OK,10/15/18 1:15,151463,OK,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,10/15/18 1:15,0,UNRELIABLE,
10/15/18 1:30,0,OK,10/15/18 1:30,2363494,OK,10/15/18 1:30,10726092,OK,10/15/18 1:30,4.559999943,OK,10/15/18 1:30,20532,OK,10/15/18 1:30,5.159999847,OK,10/15/18 1:30,54.32999802,OK,10/15/18 1:30,151463,OK,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,10/15/18 1:30,0,UNRELIABLE,
10/15/18 1:45,0,OK,10/15/18 1:45,2363505,OK,10/15/18 1:45,10726142,OK,10/15/18 1:45,4.570000172,OK,10/15/18 1:45,20532,OK,10/15/18 1:45,5.279999733,OK,10/15/18 1:45,54.5,OK,10/15/18 1:45,151463,OK,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,10/15/18 1:45,0,UNRELIABLE,
10/15/18 2:00,0,OK,10/15/18 2:00,2363517,OK,10/15/18 2:00,10726192,OK,10/15/18 2:00,4.779999733,OK,10/15/18 2:00,20532,OK,10/15/18 2:00,5.340000153,OK,10/15/18 2:00,54.65999985,OK,10/15/18 2:00,151463,OK,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,10/15/18 2:00,0,UNRELIABLE,
10/15/18 2:15,0,OK,10/15/18 2:15,2363529,OK,10/15/18 2:15,10726241,OK,10/15/18 2:15,4.570000172,OK,10/15/18 2:15,20532,OK,10/15/18 2:15,5.259999752,OK,10/15/18 2:15,54.77000046,OK,10/15/18 2:15,151463,OK,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,10/15/18 2:15,0,UNRELIABLE,
