OSU_RTS.MDBUS_E3.042_E01 Time [SNAP],OSU_RTS.MDBUS_E3.042_E01 Value [SNAP],OSU_RTS.MDBUS_E3.042_E01 Status [SNAP],Comments
10/15/18 0:00,237474,OK,
10/15/18 0:15,237481,OK,
10/15/18 0:30,237489,OK,
10/15/18 0:45,237496,OK,
10/15/18 1:00,237503,OK,
10/15/18 1:15,237510,OK,
10/15/18 1:30,237517,OK,
10/15/18 1:45,237524,OK,
10/15/18 2:00,237531,OK,
10/15/18 2:15,237539,OK,
10/15/18 2:30,237546,OK,
10/15/18 2:45,237552,OK,
10/15/18 3:00,237558,OK,
10/15/18 3:15,237565,OK,
10/15/18 3:30,237571,OK,
10/15/18 3:45,237578,OK,
10/15/18 4:00,237584,OK,
10/15/18 4:15,237591,OK,
10/15/18 4:30,237597,OK,
10/15/18 4:45,237604,OK,
10/15/18 5:00,237610,OK,
10/15/18 5:15,237616,OK,
10/15/18 5:30,237623,OK,
10/15/18 5:45,237629,OK,
10/15/18 6:00,237636,OK,
10/15/18 6:15,237642,OK,
10/15/18 6:30,237649,OK,
10/15/18 6:45,237655,OK,
10/15/18 7:00,237662,OK,
10/15/18 7:15,237668,OK,
10/15/18 7:30,237675,OK,
10/15/18 7:45,237683,OK,
10/15/18 8:00,237691,OK,
10/15/18 8:15,237700,OK,
10/15/18 8:30,237709,OK,
10/15/18 8:45,237718,OK,
10/15/18 9:00,237728,OK,
10/15/18 9:15,237739,OK,
10/15/18 9:30,237749,OK,
10/15/18 9:45,237760,OK,
10/15/18 10:00,237772,OK,
10/15/18 10:15,237784,OK,
10/15/18 10:30,237796,OK,
10/15/18 10:45,237807,OK,
10/15/18 11:00,237819,OK,
10/15/18 11:15,237831,OK,
10/15/18 11:30,237843,OK,
10/15/18 11:45,237855,OK,
10/15/18 12:00,237867,OK,
10/15/18 12:15,237879,OK,
10/15/18 12:30,237891,OK,
10/15/18 12:45,237904,OK,
10/15/18 13:00,237917,OK,
10/15/18 13:15,237929,OK,
10/15/18 13:30,237942,OK,
10/15/18 13:45,237955,OK,
10/15/18 14:00,237967,OK,
10/15/18 14:15,237979,OK,
