OSU_RTS.MDBUS_C1.338_CDT Time [SNAP],OSU_RTS.MDBUS_C1.338_CDT Value [SNAP],OSU_RTS.MDBUS_C1.338_CDT Status [SNAP],OSU_RTS.MDBUS_C1.338_CHF Time [SNAP],OSU_RTS.MDBUS_C1.338_CHF Value [SNAP],OSU_RTS.MDBUS_C1.338_CHF Status [SNAP],OSU_RTS.MDBUS_C1.338_CHT Time [SNAP],OSU_RTS.MDBUS_C1.338_CHT Value [SNAP],OSU_RTS.MDBUS_C1.338_CHT Status [SNAP],OSU_RTS.MDBUS_C1.338_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.338_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.338_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.338_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.338_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.338_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.338_CVF Time [SNAP],OSU_RTS.MDBUS_C1.338_CVF Value [SNAP],OSU_RTS.MDBUS_C1.338_CVF Status [SNAP],OSU_RTS.MDBUS_C1.338_HF Time [SNAP],OSU_RTS.MDBUS_C1.338_HF Value [SNAP],OSU_RTS.MDBUS_C1.338_HF Status [SNAP],OSU_RTS.MDBUS_C1.338_HGT Time [SNAP],OSU_RTS.MDBUS_C1.338_HGT Value [SNAP],OSU_RTS.MDBUS_C1.338_HGT Status [SNAP],OSU_RTS.MDBUS_E3.338_E01 Time [SNAP],OSU_RTS.MDBUS_E3.338_E01 Value [SNAP],OSU_RTS.MDBUS_E3.338_E01 Status [SNAP],Comments
10/15/18 0:00,-9.114889145,OK,10/15/18 0:00,0,OK,10/15/18 0:00,613893.8125,OK,10/15/18 0:00,48.55181885,OK,10/15/18 0:00,57.6667099,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,7366725.75,OK,10/15/18 0:00,147376,OK,
10/15/18 0:15,-9.088439941,OK,10/15/18 0:15,0,OK,10/15/18 0:15,613893.8125,OK,10/15/18 0:15,48.69698715,OK,10/15/18 0:15,57.78542709,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,7366725.75,OK,10/15/18 0:15,147381,OK,
10/15/18 0:30,-9.017912865,OK,10/15/18 0:30,0,OK,10/15/18 0:30,613893.8125,OK,10/15/18 0:30,48.67748642,OK,10/15/18 0:30,57.69540024,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,7366725.75,OK,10/15/18 0:30,147387,OK,
10/15/18 0:45,-8.743789673,OK,10/15/18 0:45,0,OK,10/15/18 0:45,613893.8125,OK,10/15/18 0:45,48.95845032,OK,10/15/18 0:45,57.70223999,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,7366725.75,OK,10/15/18 0:45,147392,OK,
10/15/18 1:00,-8.930630684,OK,10/15/18 1:00,0,OK,10/15/18 1:00,613893.8125,OK,10/15/18 1:00,48.83143616,OK,10/15/18 1:00,57.7620697,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,7366725.75,OK,10/15/18 1:00,147398,OK,
10/15/18 1:15,-8.737407684,OK,10/15/18 1:15,0,OK,10/15/18 1:15,613893.8125,OK,10/15/18 1:15,48.81848907,OK,10/15/18 1:15,57.55589294,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,7366725.75,OK,10/15/18 1:15,147403,OK,
10/15/18 1:30,-8.662624359,OK,10/15/18 1:30,0,OK,10/15/18 1:30,613893.8125,OK,10/15/18 1:30,48.78942871,OK,10/15/18 1:30,57.45204926,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,7366725.75,OK,10/15/18 1:30,147409,OK,
10/15/18 1:45,-8.466215134,OK,10/15/18 1:45,0,OK,10/15/18 1:45,613893.8125,OK,10/15/18 1:45,49.10194397,OK,10/15/18 1:45,57.56815338,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,7366725.75,OK,10/15/18 1:45,147414,OK,
10/15/18 2:00,-8.641174316,OK,10/15/18 2:00,0,OK,10/15/18 2:00,613893.8125,OK,10/15/18 2:00,48.79796982,OK,10/15/18 2:00,57.43914795,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,7366725.75,OK,10/15/18 2:00,147420,OK,
10/15/18 2:15,-8.603759766,OK,10/15/18 2:15,0,OK,10/15/18 2:15,613893.8125,OK,10/15/18 2:15,48.74694061,OK,10/15/18 2:15,57.35070038,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,7366725.75,OK,10/15/18 2:15,147425,OK,
