OSU_RTS.MDBUS_C1.375_CDT Time [SNAP],OSU_RTS.MDBUS_C1.375_CDT Value [SNAP],OSU_RTS.MDBUS_C1.375_CDT Status [SNAP],OSU_RTS.MDBUS_C1.375_CHF Time [SNAP],OSU_RTS.MDBUS_C1.375_CHF Value [SNAP],OSU_RTS.MDBUS_C1.375_CHF Status [SNAP],OSU_RTS.MDBUS_C1.375_CHT Time [SNAP],OSU_RTS.MDBUS_C1.375_CHT Value [SNAP],OSU_RTS.MDBUS_C1.375_CHT Status [SNAP],OSU_RTS.MDBUS_C1.375_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.375_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.375_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.375_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.375_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.375_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.375_CVF Time [SNAP],OSU_RTS.MDBUS_C1.375_CVF Value [SNAP],OSU_RTS.MDBUS_C1.375_CVF Status [SNAP],OSU_RTS.MDBUS_C1.375_HF Time [SNAP],OSU_RTS.MDBUS_C1.375_HF Value [SNAP],OSU_RTS.MDBUS_C1.375_HF Status [SNAP],OSU_RTS.MDBUS_C1.375_HGT Time [SNAP],OSU_RTS.MDBUS_C1.375_HGT Value [SNAP],OSU_RTS.MDBUS_C1.375_HGT Status [SNAP],OSU_RTS.MDBUS_E1.375E_1A Time [SNAP],OSU_RTS.MDBUS_E1.375E_1A Value [SNAP],OSU_RTS.MDBUS_E1.375E_1A Status [SNAP],OSU_RTS.MDBUS_E1.375E_1B Time [SNAP],OSU_RTS.MDBUS_E1.375E_1B Value [SNAP],OSU_RTS.MDBUS_E1.375E_1B Status [SNAP],OSU_RTS.MDBUS_E1.375E_2A Time [SNAP],OSU_RTS.MDBUS_E1.375E_2A Value [SNAP],OSU_RTS.MDBUS_E1.375E_2A Status [SNAP],OSU_RTS.MDBUS_E1.375E_2B Time [SNAP],OSU_RTS.MDBUS_E1.375E_2B Value [SNAP],OSU_RTS.MDBUS_E1.375E_2B Status [SNAP],OSU_RTS.MDBUS_E1.375E_3A Time [SNAP],OSU_RTS.MDBUS_E1.375E_3A Value [SNAP],OSU_RTS.MDBUS_E1.375E_3A Status [SNAP],OSU_RTS.MDBUS_E1.375E_3B Time [SNAP],OSU_RTS.MDBUS_E1.375E_3B Value [SNAP],OSU_RTS.MDBUS_E1.375E_3B Status [SNAP],OSU_RTS.MDBUS_E1.375E_4A Time [SNAP],OSU_RTS.MDBUS_E1.375E_4A Value [SNAP],OSU_RTS.MDBUS_E1.375E_4A Status [SNAP],OSU_RTS.MDBUS_E1.375E_4B Time [SNAP],OSU_RTS.MDBUS_E1.375E_4B Value [SNAP],OSU_RTS.MDBUS_E1.375E_4B Status [SNAP],OSU_RTS.MDBUS_E1.375E_5C Time [SNAP],OSU_RTS.MDBUS_E1.375E_5C Value [SNAP],OSU_RTS.MDBUS_E1.375E_5C Status [SNAP],OSU_RTS.MDBUS_RT.375S_C Time [SNAP],OSU_RTS.MDBUS_RT.375S_C Value [SNAP],OSU_RTS.MDBUS_RT.375S_C Status [SNAP],OSU_RTS.MDBUS_RT.375S_CON Time [SNAP],OSU_RTS.MDBUS_RT.375S_CON Value [SNAP],OSU_RTS.MDBUS_RT.375S_CON Status [SNAP],OSU_RTS.MDBUS_RT.375S_DP Time [SNAP],OSU_RTS.MDBUS_RT.375S_DP Value [SNAP],OSU_RTS.MDBUS_RT.375S_DP Status [SNAP],OSU_RTS.MDBUS_RT.375S_HF Time [SNAP],OSU_RTS.MDBUS_RT.375S_HF Value [SNAP],OSU_RTS.MDBUS_RT.375S_HF Status [SNAP],OSU_RTS.MDBUS_RT.375S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.375S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.375S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.375S_I Time [SNAP],OSU_RTS.MDBUS_RT.375S_I Value [SNAP],OSU_RTS.MDBUS_RT.375S_I Status [SNAP],OSU_RTS.MDBUS_RT.375S_P Time [SNAP],OSU_RTS.MDBUS_RT.375S_P Value [SNAP],OSU_RTS.MDBUS_RT.375S_P Status [SNAP],OSU_RTS.MDBUS_RT.375S_T Time [SNAP],OSU_RTS.MDBUS_RT.375S_T Value [SNAP],OSU_RTS.MDBUS_RT.375S_T Status [SNAP],Comments
10/15/18 0:00,12.50206947,OK,10/15/18 0:00,580.7598267,OK,10/15/18 0:00,46714108,OK,10/15/18 0:00,53.02071762,OK,10/15/18 0:00,40.51864624,OK,10/15/18 0:00,1103.697594,OK,10/15/18 0:00,6970.868408,OK,10/15/18 0:00,560569296,OK,10/15/18 0:00,10219293,OK,10/15/18 0:00,1127898,OK,10/15/18 0:00,7254508,OK,10/15/18 0:00,12726569,OK,10/15/18 0:00,18674907,OK,10/15/18 0:00,12827929,OK,10/15/18 0:00,17416517,OK,10/15/18 0:00,11585504,OK,10/15/18 0:00,784029,OK,10/15/18 0:00,392863.9375,OK,10/15/18 0:00,0,OK,10/15/18 0:00,34.87981415,OK,10/15/18 0:00,9138.282227,OK,10/15/18 0:00,508037696,OK,10/15/18 0:00,7.277120605,OK,10/15/18 0:00,179.8350677,OK,10/15/18 0:00,475.5068054,OK,
10/15/18 0:15,11.72456741,OK,10/15/18 0:15,593.6136475,OK,10/15/18 0:15,46714248,OK,10/15/18 0:15,53.0500946,OK,10/15/18 0:15,41.32553101,OK,10/15/18 0:15,1209.153089,OK,10/15/18 0:15,7133.474121,OK,10/15/18 0:15,560570976,OK,10/15/18 0:15,10219353,OK,10/15/18 0:15,1127904,OK,10/15/18 0:15,7254560,OK,10/15/18 0:15,12726660,OK,10/15/18 0:15,18675044,OK,10/15/18 0:15,12827994,OK,10/15/18 0:15,17416643,OK,10/15/18 0:15,11585569,OK,10/15/18 0:15,784033,OK,10/15/18 0:15,392866.4688,OK,10/15/18 0:15,0,OK,10/15/18 0:15,66.22528839,OK,10/15/18 0:15,16661.21484,OK,10/15/18 0:15,508040864,OK,10/15/18 0:15,13.26911328,OK,10/15/18 0:15,179.7824249,OK,10/15/18 0:15,475.2889709,OK,
10/15/18 0:30,12.36443901,OK,10/15/18 0:30,623.2363281,OK,10/15/18 0:30,46714400,OK,10/15/18 0:30,52.87062073,OK,10/15/18 0:30,40.50618362,OK,10/15/18 0:30,1213.897975,OK,10/15/18 0:30,7541.247803,OK,10/15/18 0:30,560572752,OK,10/15/18 0:30,10219416,OK,10/15/18 0:30,1127909,OK,10/15/18 0:30,7254612,OK,10/15/18 0:30,12726752,OK,10/15/18 0:30,18675181,OK,10/15/18 0:30,12828058,OK,10/15/18 0:30,17416768,OK,10/15/18 0:30,11585632,OK,10/15/18 0:30,784037,OK,10/15/18 0:30,392869,OK,10/15/18 0:30,0,OK,10/15/18 0:30,37.48274231,OK,10/15/18 0:30,9725.805664,OK,10/15/18 0:30,508044064,OK,10/15/18 0:30,7.744643066,OK,10/15/18 0:30,179.5460968,OK,10/15/18 0:30,475.5227051,OK,
10/15/18 0:45,11.92886066,OK,10/15/18 0:45,614.6784668,OK,10/15/18 0:45,46714552,OK,10/15/18 0:45,52.78516388,OK,10/15/18 0:45,40.85630798,OK,10/15/18 0:45,1234.273904,OK,10/15/18 0:45,7379.163574,OK,10/15/18 0:45,560574624,OK,10/15/18 0:45,10219481,OK,10/15/18 0:45,1127914,OK,10/15/18 0:45,7254664,OK,10/15/18 0:45,12726843,OK,10/15/18 0:45,18675319,OK,10/15/18 0:45,12828124,OK,10/15/18 0:45,17416895,OK,10/15/18 0:45,11585696,OK,10/15/18 0:45,784044,OK,10/15/18 0:45,392871.625,OK,10/15/18 0:45,0,OK,10/15/18 0:45,41.72213745,OK,10/15/18 0:45,8347.217773,OK,10/15/18 0:45,508047360,OK,10/15/18 0:45,6.64432373,OK,10/15/18 0:45,178.6518097,OK,10/15/18 0:45,476.1778259,OK,
10/15/18 1:00,12.07195759,OK,10/15/18 1:00,640.25,OK,10/15/18 1:00,46714708,OK,10/15/18 1:00,53.06093597,OK,10/15/18 1:00,40.98897552,OK,10/15/18 1:00,1267.250475,OK,10/15/18 1:00,7682.10498,OK,10/15/18 1:00,560576496,OK,10/15/18 1:00,10219546,OK,10/15/18 1:00,1127920,OK,10/15/18 1:00,7254716,OK,10/15/18 1:00,12726934,OK,10/15/18 1:00,18675456,OK,10/15/18 1:00,12828189,OK,10/15/18 1:00,17417021,OK,10/15/18 1:00,11585761,OK,10/15/18 1:00,784051,OK,10/15/18 1:00,392874.125,OK,10/15/18 1:00,0,OK,10/15/18 1:00,49.655159,OK,10/15/18 1:00,14672.94629,OK,10/15/18 1:00,508050496,OK,10/15/18 1:00,11.67671582,OK,10/15/18 1:00,179.5624237,OK,10/15/18 1:00,476.9136963,OK,
10/15/18 1:15,11.94511509,OK,10/15/18 1:15,620.5183105,OK,10/15/18 1:15,46714868,OK,10/15/18 1:15,52.97622299,OK,10/15/18 1:15,41.03110504,OK,10/15/18 1:15,1252.063452,OK,10/15/18 1:15,7433.154785,OK,10/15/18 1:15,560578416,OK,10/15/18 1:15,10219609,OK,10/15/18 1:15,1127925,OK,10/15/18 1:15,7254767,OK,10/15/18 1:15,12727026,OK,10/15/18 1:15,18675593,OK,10/15/18 1:15,12828256,OK,10/15/18 1:15,17417146,OK,10/15/18 1:15,11585824,OK,10/15/18 1:15,784057,OK,10/15/18 1:15,392876.6875,OK,10/15/18 1:15,0,OK,10/15/18 1:15,44.82569122,OK,10/15/18 1:15,11534.80176,OK,10/15/18 1:15,508053696,OK,10/15/18 1:15,9.177913086,OK,10/15/18 1:15,180.486969,OK,10/15/18 1:15,477.473877,OK,
10/15/18 1:30,12.15476799,OK,10/15/18 1:30,681.765564,OK,10/15/18 1:30,46715032,OK,10/15/18 1:30,52.99759674,OK,10/15/18 1:30,40.84283066,OK,10/15/18 1:30,1350.812563,OK,10/15/18 1:30,8253.592529,OK,10/15/18 1:30,560580384,OK,10/15/18 1:30,10219671,OK,10/15/18 1:30,1127930,OK,10/15/18 1:30,7254819,OK,10/15/18 1:30,12727118,OK,10/15/18 1:30,18675729,OK,10/15/18 1:30,12828324,OK,10/15/18 1:30,17417272,OK,10/15/18 1:30,11585888,OK,10/15/18 1:30,784061,OK,10/15/18 1:30,392879.3438,OK,10/15/18 1:30,0,OK,10/15/18 1:30,45.82328033,OK,10/15/18 1:30,12214.59766,OK,10/15/18 1:30,508057024,OK,10/15/18 1:30,9.718625,OK,10/15/18 1:30,179.3871613,OK,10/15/18 1:30,477.2572021,OK,
10/15/18 1:45,12.39937401,OK,10/15/18 1:45,709.9327393,OK,10/15/18 1:45,46715200,OK,10/15/18 1:45,53.15805054,OK,10/15/18 1:45,40.75867462,OK,10/15/18 1:45,1367.517063,OK,10/15/18 1:45,8508.466553,OK,10/15/18 1:45,560582400,OK,10/15/18 1:45,10219734,OK,10/15/18 1:45,1127936,OK,10/15/18 1:45,7254870,OK,10/15/18 1:45,12727209,OK,10/15/18 1:45,18675866,OK,10/15/18 1:45,12828391,OK,10/15/18 1:45,17417398,OK,10/15/18 1:45,11585952,OK,10/15/18 1:45,784068,OK,10/15/18 1:45,392881.8125,OK,10/15/18 1:45,0,OK,10/15/18 1:45,48.97427368,OK,10/15/18 1:45,15252.74316,OK,10/15/18 1:45,508060128,OK,10/15/18 1:45,12.14006641,OK,10/15/18 1:45,181.0467224,OK,10/15/18 1:45,476.8644409,OK,
10/15/18 2:00,12.06968689,OK,10/15/18 2:00,727.9712524,OK,10/15/18 2:00,46715376,OK,10/15/18 2:00,53.05511475,OK,10/15/18 2:00,40.98542786,OK,10/15/18 2:00,1441.255778,OK,10/15/18 2:00,8729.393555,OK,10/15/18 2:00,560584512,OK,10/15/18 2:00,10219797,OK,10/15/18 2:00,1127941,OK,10/15/18 2:00,7254921,OK,10/15/18 2:00,12727301,OK,10/15/18 2:00,18676003,OK,10/15/18 2:00,12828458,OK,10/15/18 2:00,17417526,OK,10/15/18 2:00,11586016,OK,10/15/18 2:00,784074,OK,10/15/18 2:00,392884.4688,OK,10/15/18 2:00,0,OK,10/15/18 2:00,43.63508987,OK,10/15/18 2:00,8860.918945,OK,10/15/18 2:00,508063520,OK,10/15/18 2:00,7.053452637,OK,10/15/18 2:00,179.5587616,OK,10/15/18 2:00,476.2808838,OK,
10/15/18 2:15,11.65415955,OK,10/15/18 2:15,700.2626953,OK,10/15/18 2:15,46715552,OK,10/15/18 2:15,53.07932663,OK,10/15/18 2:15,41.42507935,OK,10/15/18 2:15,1441.333253,OK,10/15/18 2:15,8411.77002,OK,10/15/18 2:15,560586624,OK,10/15/18 2:15,10219858,OK,10/15/18 2:15,1127946,OK,10/15/18 2:15,7254972,OK,10/15/18 2:15,12727392,OK,10/15/18 2:15,18676141,OK,10/15/18 2:15,12828524,OK,10/15/18 2:15,17417654,OK,10/15/18 2:15,11586078,OK,10/15/18 2:15,784079,OK,10/15/18 2:15,392887.0313,OK,10/15/18 2:15,0,OK,10/15/18 2:15,58.2539444,OK,10/15/18 2:15,17477.73828,OK,10/15/18 2:15,508066688,OK,10/15/18 2:15,13.91622754,OK,10/15/18 2:15,180.0933075,OK,10/15/18 2:15,475.8161011,OK,
