OSU_RTS.CALC.041_GPA Time [SNAP],OSU_RTS.CALC.041_GPA Value [SNAP],OSU_RTS.CALC.041_GPA Status [SNAP],OSU_RTS.MDBUS_C1.041_CDT Time [SNAP],OSU_RTS.MDBUS_C1.041_CDT Value [SNAP],OSU_RTS.MDBUS_C1.041_CDT Status [SNAP],OSU_RTS.MDBUS_C1.041_CHF Time [SNAP],OSU_RTS.MDBUS_C1.041_CHF Value [SNAP],OSU_RTS.MDBUS_C1.041_CHF Status [SNAP],OSU_RTS.MDBUS_C1.041_CHT Time [SNAP],OSU_RTS.MDBUS_C1.041_CHT Value [SNAP],OSU_RTS.MDBUS_C1.041_CHT Status [SNAP],OSU_RTS.MDBUS_C1.041_CRT Time [SNAP],OSU_RTS.MDBUS_C1.041_CRT Value [SNAP],OSU_RTS.MDBUS_C1.041_CRT Status [SNAP],OSU_RTS.MDBUS_C1.041_CST Time [SNAP],OSU_RTS.MDBUS_C1.041_CST Value [SNAP],OSU_RTS.MDBUS_C1.041_CST Status [SNAP],OSU_RTS.MDBUS_C1.041_CVF Time [SNAP],OSU_RTS.MDBUS_C1.041_CVF Value [SNAP],OSU_RTS.MDBUS_C1.041_CVF Status [SNAP],OSU_RTS.MDBUS_C1.041_HF Time [SNAP],OSU_RTS.MDBUS_C1.041_HF Value [SNAP],OSU_RTS.MDBUS_C1.041_HF Status [SNAP],OSU_RTS.MDBUS_C1.041_HGT Time [SNAP],OSU_RTS.MDBUS_C1.041_HGT Value [SNAP],OSU_RTS.MDBUS_C1.041_HGT Status [SNAP],OSU_RTS.MDBUS_E3.041_E01 Time [SNAP],OSU_RTS.MDBUS_E3.041_E01 Value [SNAP],OSU_RTS.MDBUS_E3.041_E01 Status [SNAP],OSU_RTS.MDBUS_G1.041_GBV Time [SNAP],OSU_RTS.MDBUS_G1.041_GBV Value [SNAP],OSU_RTS.MDBUS_G1.041_GBV Status [SNAP],OSU_RTS.MDBUS_G1.041_GCV Time [SNAP],OSU_RTS.MDBUS_G1.041_GCV Value [SNAP],OSU_RTS.MDBUS_G1.041_GCV Status [SNAP],OSU_RTS.MDBUS_G1.041_GP Time [SNAP],OSU_RTS.MDBUS_G1.041_GP Value [SNAP],OSU_RTS.MDBUS_G1.041_GP Status [SNAP],OSU_RTS.MDBUS_G1.041_GP2 Time [SNAP],OSU_RTS.MDBUS_G1.041_GP2 Value [SNAP],OSU_RTS.MDBUS_G1.041_GP2 Status [SNAP],OSU_RTS.MDBUS_G1.041_GT Time [SNAP],OSU_RTS.MDBUS_G1.041_GT Value [SNAP],OSU_RTS.MDBUS_G1.041_GT Status [SNAP],OSU_RTS.MDBUS_G1.041_GUV Time [SNAP],OSU_RTS.MDBUS_G1.041_GUV Value [SNAP],OSU_RTS.MDBUS_G1.041_GUV Status [SNAP],Comments
10/15/18 0:00,0,OK,10/15/18 0:00,1.872624993,OK,10/15/18 0:00,28.872118,OK,10/15/18 0:00,348265.8438,OK,10/15/18 0:00,43.65786743,OK,10/15/18 0:00,41.78524017,OK,10/15/18 0:00,368.0572633,OK,10/15/18 0:00,346.465416,OK,10/15/18 0:00,4179190.125,OK,10/15/18 0:00,483542.009,OK,10/15/18 0:00,4.71999979,OK,10/15/18 0:00,13593,OK,10/15/18 0:00,0.289999992,OK,10/15/18 0:00,5.326734066,OK,10/15/18 0:00,67.70999908,OK,10/15/18 0:00,130218,OK,
10/15/18 0:15,0,OK,10/15/18 0:15,1.748948216,OK,10/15/18 0:15,26.91917229,OK,10/15/18 0:15,348272.75,OK,10/15/18 0:15,43.59078598,OK,10/15/18 0:15,41.84183502,OK,10/15/18 0:15,367.4282794,OK,10/15/18 0:15,323.0300674,OK,10/15/18 0:15,4179273,OK,10/15/18 0:15,483570.574,OK,10/15/18 0:15,4.71999979,OK,10/15/18 0:15,13593,OK,10/15/18 0:15,0.289999992,OK,10/15/18 0:15,5.589379787,OK,10/15/18 0:15,67.70999908,OK,10/15/18 0:15,130218,OK,
10/15/18 0:30,0,OK,10/15/18 0:30,1.844532967,OK,10/15/18 0:30,28.42363167,OK,10/15/18 0:30,348279.625,OK,10/15/18 0:30,43.55987167,OK,10/15/18 0:30,41.71533966,OK,10/15/18 0:30,367.8580406,OK,10/15/18 0:30,341.08358,OK,10/15/18 0:30,4179355.5,OK,10/15/18 0:30,483599.418,OK,10/15/18 0:30,4.71999979,OK,10/15/18 0:30,13593,OK,10/15/18 0:30,0.289999992,OK,10/15/18 0:30,5.353628159,OK,10/15/18 0:30,67.70999908,OK,10/15/18 0:30,130218,OK,
10/15/18 0:45,0,OK,10/15/18 0:45,1.753136396,OK,10/15/18 0:45,26.98585892,OK,10/15/18 0:45,348286.4063,OK,10/15/18 0:45,43.70638657,OK,10/15/18 0:45,41.95325089,OK,10/15/18 0:45,367.4378499,OK,10/15/18 0:45,323.830307,OK,10/15/18 0:45,4179436.875,OK,10/15/18 0:45,483628.236,OK,10/15/18 0:45,4.71999979,OK,10/15/18 0:45,13593,OK,10/15/18 0:45,0.289999992,OK,10/15/18 0:45,5.613985062,OK,10/15/18 0:45,67.70999908,OK,10/15/18 0:45,130218,OK,
10/15/18 1:00,0,OK,10/15/18 1:00,1.793331742,OK,10/15/18 1:00,27.61088943,OK,10/15/18 1:00,348293.5313,OK,10/15/18 1:00,43.43498993,OK,10/15/18 1:00,41.64165497,OK,10/15/18 1:00,367.5421814,OK,10/15/18 1:00,331.3306732,OK,10/15/18 1:00,4179522.375,OK,10/15/18 1:00,483657.121,OK,10/15/18 1:00,4.71999979,OK,10/15/18 1:00,13593,OK,10/15/18 1:00,0.289999992,OK,10/15/18 1:00,5.342755795,OK,10/15/18 1:00,67.70999908,OK,10/15/18 1:00,130218,OK,
10/15/18 1:15,0,OK,10/15/18 1:15,1.886651516,OK,10/15/18 1:15,29.02297783,OK,10/15/18 1:15,348300.375,OK,10/15/18 1:15,43.59954071,OK,10/15/18 1:15,41.71288681,OK,10/15/18 1:15,367.2303262,OK,10/15/18 1:15,348.2757339,OK,10/15/18 1:15,4179604.5,OK,10/15/18 1:15,483685.664,OK,10/15/18 1:15,4.71999979,OK,10/15/18 1:15,13593,OK,10/15/18 1:15,0.289999992,OK,10/15/18 1:15,5.597962856,OK,10/15/18 1:15,67.70999908,OK,10/15/18 1:15,130218,OK,
10/15/18 1:30,0,OK,10/15/18 1:30,1.752428651,OK,10/15/18 1:30,26.99240494,OK,10/15/18 1:30,348307.375,OK,10/15/18 1:30,43.60185242,OK,10/15/18 1:30,41.84942627,OK,10/15/18 1:30,367.6958629,OK,10/15/18 1:30,323.9088593,OK,10/15/18 1:30,4179688.5,OK,10/15/18 1:30,483714.326,OK,10/15/18 1:30,4.71999979,OK,10/15/18 1:30,13593,OK,10/15/18 1:30,0.289999992,OK,10/15/18 1:30,5.455481529,OK,10/15/18 1:30,67.70999908,OK,10/15/18 1:30,130218,OK,
10/15/18 1:45,0,OK,10/15/18 1:45,1.918394685,OK,10/15/18 1:45,29.53021049,OK,10/15/18 1:45,348314.5938,OK,10/15/18 1:45,43.44625854,OK,10/15/18 1:45,41.52786255,OK,10/15/18 1:45,367.4654546,OK,10/15/18 1:45,354.3625259,OK,10/15/18 1:45,4179775.125,OK,10/15/18 1:45,483743.116,OK,10/15/18 1:45,4.71999979,OK,10/15/18 1:45,13593,OK,10/15/18 1:45,0.289999992,OK,10/15/18 1:45,5.563630104,OK,10/15/18 1:45,67.70999908,OK,10/15/18 1:45,130218,OK,
10/15/18 2:00,0,OK,10/15/18 2:00,1.908278346,OK,10/15/18 2:00,29.41416359,OK,10/15/18 2:00,348321.5938,OK,10/15/18 2:00,43.69792938,OK,10/15/18 2:00,41.78965378,OK,10/15/18 2:00,367.9887398,OK,10/15/18 2:00,352.9699631,OK,10/15/18 2:00,4179859.125,OK,10/15/18 2:00,483771.944,OK,10/15/18 2:00,4.71999979,OK,10/15/18 2:00,13593,OK,10/15/18 2:00,0.289999992,OK,10/15/18 2:00,5.584802151,OK,10/15/18 2:00,67.70999908,OK,10/15/18 2:00,130218,OK,
10/15/18 2:15,0,OK,10/15/18 2:15,1.755993128,OK,10/15/18 2:15,26.98113632,OK,10/15/18 2:15,348328.9375,OK,10/15/18 2:15,43.34916687,OK,10/15/18 2:15,41.59317017,OK,10/15/18 2:15,366.7961704,OK,10/15/18 2:15,323.7736359,OK,10/15/18 2:15,4179947.25,OK,10/15/18 2:15,483800.64,OK,10/15/18 2:15,4.71999979,OK,10/15/18 2:15,13593,OK,10/15/18 2:15,0.289999992,OK,10/15/18 2:15,5.557908058,OK,10/15/18 2:15,67.70999908,OK,10/15/18 2:15,130218,OK,
