OSU_RTS.MDBUS_C1.252_CDT Time [SNAP],OSU_RTS.MDBUS_C1.252_CDT Value [SNAP],OSU_RTS.MDBUS_C1.252_CDT Status [SNAP],OSU_RTS.MDBUS_C1.252_CHF Time [SNAP],OSU_RTS.MDBUS_C1.252_CHF Value [SNAP],OSU_RTS.MDBUS_C1.252_CHF Status [SNAP],OSU_RTS.MDBUS_C1.252_CHT Time [SNAP],OSU_RTS.MDBUS_C1.252_CHT Value [SNAP],OSU_RTS.MDBUS_C1.252_CHT Status [SNAP],OSU_RTS.MDBUS_C1.252_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.252_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.252_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.252_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.252_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.252_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.252_CVF Time [SNAP],OSU_RTS.MDBUS_C1.252_CVF Value [SNAP],OSU_RTS.MDBUS_C1.252_CVF Status [SNAP],OSU_RTS.MDBUS_C1.252_HF Time [SNAP],OSU_RTS.MDBUS_C1.252_HF Value [SNAP],OSU_RTS.MDBUS_C1.252_HF Status [SNAP],OSU_RTS.MDBUS_C1.252_HGT Time [SNAP],OSU_RTS.MDBUS_C1.252_HGT Value [SNAP],OSU_RTS.MDBUS_C1.252_HGT Status [SNAP],OSU_RTS.MDBUS_E1.252E1 Time [SNAP],OSU_RTS.MDBUS_E1.252E1 Value [SNAP],OSU_RTS.MDBUS_E1.252E1 Status [SNAP],OSU_RTS.MDBUS_E1.252E1_L Time [SNAP],OSU_RTS.MDBUS_E1.252E1_L Value [SNAP],OSU_RTS.MDBUS_E1.252E1_L Status [SNAP],OSU_RTS.MDBUS_RT.252S_CON Time [SNAP],OSU_RTS.MDBUS_RT.252S_CON Value [SNAP],OSU_RTS.MDBUS_RT.252S_CON Status [SNAP],OSU_RTS.MDBUS_RT.252S_DP Time [SNAP],OSU_RTS.MDBUS_RT.252S_DP Value [SNAP],OSU_RTS.MDBUS_RT.252S_DP Status [SNAP],OSU_RTS.MDBUS_RT.252S_FLO Time [SNAP],OSU_RTS.MDBUS_RT.252S_FLO Value [SNAP],OSU_RTS.MDBUS_RT.252S_FLO Status [SNAP],OSU_RTS.MDBUS_RT.252S_HF Time [SNAP],OSU_RTS.MDBUS_RT.252S_HF Value [SNAP],OSU_RTS.MDBUS_RT.252S_HF Status [SNAP],OSU_RTS.MDBUS_RT.252S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.252S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.252S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.252S_HSE Time [SNAP],OSU_RTS.MDBUS_RT.252S_HSE Value [SNAP],OSU_RTS.MDBUS_RT.252S_HSE Status [SNAP],OSU_RTS.MDBUS_RT.252S_P Time [SNAP],OSU_RTS.MDBUS_RT.252S_P Value [SNAP],OSU_RTS.MDBUS_RT.252S_P Status [SNAP],OSU_RTS.MDBUS_RT.252S_T Time [SNAP],OSU_RTS.MDBUS_RT.252S_T Value [SNAP],OSU_RTS.MDBUS_RT.252S_T Status [SNAP],Comments
10/15/18 0:00,2.151452065,OK,10/15/18 0:00,22.74949646,OK,10/15/18 0:00,3372897.25,OK,10/15/18 0:00,44.59571075,OK,10/15/18 0:00,42.44425964,OK,10/15/18 0:00,252.4224637,OK,10/15/18 0:00,272.9939575,OK,10/15/18 0:00,40474767,OK,10/15/18 0:00,2520649,OK,10/15/18 0:00,85,OK,10/15/18 0:00,86649.52344,OK,10/15/18 0:00,18.48112488,OK,10/15/18 0:00,0.46286496,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,183.7388763,OK,10/15/18 0:00,381.7429199,OK,
10/15/18 0:15,2.123438835,OK,10/15/18 0:15,22.0305233,OK,10/15/18 0:15,3372902.75,OK,10/15/18 0:15,44.49927521,OK,10/15/18 0:15,42.37583923,OK,10/15/18 0:15,247.6696017,OK,10/15/18 0:15,264.3662796,OK,10/15/18 0:15,40474833,OK,10/15/18 0:15,2520672,OK,10/15/18 0:15,87,OK,10/15/18 0:15,86649.63281,OK,10/15/18 0:15,17.73339462,OK,10/15/18 0:15,0.434516815,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,182.7245483,OK,10/15/18 0:15,380.7894897,OK,
10/15/18 0:30,2.303034782,OK,10/15/18 0:30,24.00712585,OK,10/15/18 0:30,3372908.5,OK,10/15/18 0:30,44.77355957,OK,10/15/18 0:30,42.47052002,OK,10/15/18 0:30,248.8439905,OK,10/15/18 0:30,288.0855103,OK,10/15/18 0:30,40474902,OK,10/15/18 0:30,2520694,OK,10/15/18 0:30,83,OK,10/15/18 0:30,86649.74219,OK,10/15/18 0:30,13.69650269,OK,10/15/18 0:30,0.333748138,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,183.6341095,OK,10/15/18 0:30,380.6213684,OK,
10/15/18 0:45,2.078519344,OK,10/15/18 0:45,21.47587585,OK,10/15/18 0:45,3372914,OK,10/15/18 0:45,44.70472717,OK,10/15/18 0:45,42.62620544,OK,10/15/18 0:45,246.9626377,OK,10/15/18 0:45,257.7105103,OK,10/15/18 0:45,40474968,OK,10/15/18 0:45,2520717,OK,10/15/18 0:45,87,OK,10/15/18 0:45,86649.85156,OK,10/15/18 0:45,14.0658474,OK,10/15/18 0:45,0.342201141,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,182.9010925,OK,10/15/18 0:45,380.1812744,OK,
10/15/18 1:00,2.384103775,OK,10/15/18 1:00,24.81137657,OK,10/15/18 1:00,3372919.75,OK,10/15/18 1:00,44.68306351,OK,10/15/18 1:00,42.29895782,OK,10/15/18 1:00,248.4352258,OK,10/15/18 1:00,297.7365189,OK,10/15/18 1:00,40475037,OK,10/15/18 1:00,2520741,OK,10/15/18 1:00,84,OK,10/15/18 1:00,86649.96094,OK,10/15/18 1:00,13.78602219,OK,10/15/18 1:00,0.336744202,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,183.4664764,OK,10/15/18 1:00,381.0360718,OK,
10/15/18 1:15,2.274984598,OK,10/15/18 1:15,23.60801315,OK,10/15/18 1:15,3372925.5,OK,10/15/18 1:15,44.7328949,OK,10/15/18 1:15,42.45790863,OK,10/15/18 1:15,247.7236555,OK,10/15/18 1:15,283.2961578,OK,10/15/18 1:15,40475106,OK,10/15/18 1:15,2520762,OK,10/15/18 1:15,91,OK,10/15/18 1:15,86650.07813,OK,10/15/18 1:15,13.65987968,OK,10/15/18 1:15,0.333206421,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,184.0549469,OK,10/15/18 1:15,380.8534241,OK,
10/15/18 1:30,2.252953053,OK,10/15/18 1:30,23.10147476,OK,10/15/18 1:30,3372931.5,OK,10/15/18 1:30,44.68846893,OK,10/15/18 1:30,42.43551636,OK,10/15/18 1:30,244.7794886,OK,10/15/18 1:30,277.2176971,OK,10/15/18 1:30,40475178,OK,10/15/18 1:30,2520785,OK,10/15/18 1:30,89,OK,10/15/18 1:30,86650.1875,OK,10/15/18 1:30,14.80093575,OK,10/15/18 1:30,0.374858459,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,182.9207611,OK,10/15/18 1:30,380.3657227,OK,
10/15/18 1:45,2.395387411,OK,10/15/18 1:45,24.74377632,OK,10/15/18 1:45,3372937.5,OK,10/15/18 1:45,44.79013824,OK,10/15/18 1:45,42.3947525,OK,10/15/18 1:45,246.591211,OK,10/15/18 1:45,296.9253159,OK,10/15/18 1:45,40475250,OK,10/15/18 1:45,2520809,OK,10/15/18 1:45,87,OK,10/15/18 1:45,86650.29688,OK,10/15/18 1:45,21.13883972,OK,10/15/18 1:45,0.551115662,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,184.0065155,OK,10/15/18 1:45,380.946228,OK,
10/15/18 2:00,2.288381577,OK,10/15/18 2:00,23.41979408,OK,10/15/18 2:00,3372943.5,OK,10/15/18 2:00,44.80393982,OK,10/15/18 2:00,42.51556015,OK,10/15/18 2:00,244.3103549,OK,10/15/18 2:00,281.037529,OK,10/15/18 2:00,40475322,OK,10/15/18 2:00,2520831,OK,10/15/18 2:00,123,OK,10/15/18 2:00,86650.39844,OK,10/15/18 2:00,22.25623703,OK,10/15/18 2:00,0.570932983,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,183.4335785,OK,10/15/18 2:00,380.2611389,OK,
10/15/18 2:15,2.408932686,OK,10/15/18 2:15,24.87020493,OK,10/15/18 2:15,3372949.75,OK,10/15/18 2:15,44.64596176,OK,10/15/18 2:15,42.23703003,OK,10/15/18 2:15,246.4575983,OK,10/15/18 2:15,298.4424591,OK,10/15/18 2:15,40475397,OK,10/15/18 2:15,2520853,OK,10/15/18 2:15,87,OK,10/15/18 2:15,86650.5,OK,10/15/18 2:15,23.82183456,OK,10/15/18 2:15,0.615965393,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,182.9654999,OK,10/15/18 2:15,380.5453796,OK,
