OSU_RTS.MDBUS_C1.187_CDT Time [SNAP],OSU_RTS.MDBUS_C1.187_CDT Value [SNAP],OSU_RTS.MDBUS_C1.187_CDT Status [SNAP],OSU_RTS.MDBUS_C1.187_CHF Time [SNAP],OSU_RTS.MDBUS_C1.187_CHF Value [SNAP],OSU_RTS.MDBUS_C1.187_CHF Status [SNAP],OSU_RTS.MDBUS_C1.187_CHT Time [SNAP],OSU_RTS.MDBUS_C1.187_CHT Value [SNAP],OSU_RTS.MDBUS_C1.187_CHT Status [SNAP],OSU_RTS.MDBUS_C1.187_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.187_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.187_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.187_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.187_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.187_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.187_CVF Time [SNAP],OSU_RTS.MDBUS_C1.187_CVF Value [SNAP],OSU_RTS.MDBUS_C1.187_CVF Status [SNAP],OSU_RTS.MDBUS_C1.187_HF Time [SNAP],OSU_RTS.MDBUS_C1.187_HF Value [SNAP],OSU_RTS.MDBUS_C1.187_HF Status [SNAP],OSU_RTS.MDBUS_C1.187_HGT Time [SNAP],OSU_RTS.MDBUS_C1.187_HGT Value [SNAP],OSU_RTS.MDBUS_C1.187_HGT Status [SNAP],OSU_RTS.MDBUS_CC.187_MHT Time [SNAP],OSU_RTS.MDBUS_CC.187_MHT Value [SNAP],OSU_RTS.MDBUS_CC.187_MHT Status [SNAP],OSU_RTS.MDBUS_CC.187_PHT Time [SNAP],OSU_RTS.MDBUS_CC.187_PHT Value [SNAP],OSU_RTS.MDBUS_CC.187_PHT Status [SNAP],OSU_RTS.MDBUS_E1.187E_1C Time [SNAP],OSU_RTS.MDBUS_E1.187E_1C Value [SNAP],OSU_RTS.MDBUS_E1.187E_1C Status [SNAP],OSU_RTS.MDBUS_E1.187E_2C Time [SNAP],OSU_RTS.MDBUS_E1.187E_2C Value [SNAP],OSU_RTS.MDBUS_E1.187E_2C Status [SNAP],OSU_RTS.MDBUS_H1.187_HDT Time [SNAP],OSU_RTS.MDBUS_H1.187_HDT Value [SNAP],OSU_RTS.MDBUS_H1.187_HDT Status [SNAP],OSU_RTS.MDBUS_H1.187_HHF Time [SNAP],OSU_RTS.MDBUS_H1.187_HHF Value [SNAP],OSU_RTS.MDBUS_H1.187_HHF Status [SNAP],OSU_RTS.MDBUS_H1.187_HHT Time [SNAP],OSU_RTS.MDBUS_H1.187_HHT Value [SNAP],OSU_RTS.MDBUS_H1.187_HHT Status [SNAP],OSU_RTS.MDBUS_H1.187_HMT Time [SNAP],OSU_RTS.MDBUS_H1.187_HMT Value [SNAP],OSU_RTS.MDBUS_H1.187_HMT Status [SNAP],OSU_RTS.MDBUS_H1.187_HRWT Time [SNAP],OSU_RTS.MDBUS_H1.187_HRWT Value [SNAP],OSU_RTS.MDBUS_H1.187_HRWT Status [SNAP],OSU_RTS.MDBUS_H1.187_HSWT Time [SNAP],OSU_RTS.MDBUS_H1.187_HSWT Value [SNAP],OSU_RTS.MDBUS_H1.187_HSWT Status [SNAP],OSU_RTS.MDBUS_H1.187_HVF Time [SNAP],OSU_RTS.MDBUS_H1.187_HVF Value [SNAP],OSU_RTS.MDBUS_H1.187_HVF Status [SNAP],Comments
10/15/18 0:00,0.780394793,OK,10/15/18 0:00,4.165850639,OK,10/15/18 0:00,410799.5625,OK,10/15/18 0:00,46.75866699,OK,10/15/18 0:00,45.97827148,OK,10/15/18 0:00,140.6655899,OK,10/15/18 0:00,49.65111351,OK,10/15/18 0:00,4929594.375,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,185181,OK,10/15/18 0:00,449900,OK,10/15/18 0:00,-5.664359093,OK,10/15/18 0:00,0,OK,10/15/18 0:00,7934257.5,OK,10/15/18 0:00,1678143.25,OK,10/15/18 0:00,69.93170166,OK,10/15/18 0:00,64.26733398,OK,10/15/18 0:00,0,OK,
10/15/18 0:15,0.373493075,OK,10/15/18 0:15,2.190072536,OK,10/15/18 0:15,410801.25,OK,10/15/18 0:15,46.68298721,OK,10/15/18 0:15,46.30949402,OK,10/15/18 0:15,137.671894,OK,10/15/18 0:15,26.07820415,OK,10/15/18 0:15,4929615,OK,,,,,,,10/15/18 0:15,185183,OK,10/15/18 0:15,449903,OK,10/15/18 0:15,-5.594709873,OK,10/15/18 0:15,0,OK,10/15/18 0:15,7934257.5,OK,10/15/18 0:15,1678143.25,OK,10/15/18 0:15,69.86582947,OK,10/15/18 0:15,64.27111816,OK,10/15/18 0:15,0,OK,
10/15/18 0:30,0.963588297,OK,10/15/18 0:30,6.034858227,OK,10/15/18 0:30,410803.0938,OK,10/15/18 0:30,46.76036072,OK,10/15/18 0:30,45.79677582,OK,10/15/18 0:30,136.1591359,OK,10/15/18 0:30,74.17301559,OK,10/15/18 0:30,4929637.125,OK,,,,,,,10/15/18 0:30,185185,OK,10/15/18 0:30,449906,OK,10/15/18 0:30,-5.632773399,OK,10/15/18 0:30,0,OK,10/15/18 0:30,7934257.5,OK,10/15/18 0:30,1678143.25,OK,10/15/18 0:30,69.8744278,OK,10/15/18 0:30,64.24165344,OK,10/15/18 0:30,0,OK,
10/15/18 0:45,1.003759623,OK,10/15/18 0:45,5.622133255,OK,10/15/18 0:45,410804.9688,OK,10/15/18 0:45,46.83542633,OK,10/15/18 0:45,45.83166504,OK,10/15/18 0:45,139.4773826,OK,10/15/18 0:45,68.64259529,OK,10/15/18 0:45,4929659.25,OK,,,,,,,10/15/18 0:45,185187,OK,10/15/18 0:45,449909,OK,10/15/18 0:45,-5.585490704,OK,10/15/18 0:45,0,OK,10/15/18 0:45,7934257.5,OK,10/15/18 0:45,1678143.25,OK,10/15/18 0:45,69.85681915,OK,10/15/18 0:45,64.27133179,OK,10/15/18 0:45,0,OK,
10/15/18 1:00,1.061278939,OK,10/15/18 1:00,5.769968033,OK,10/15/18 1:00,410806.875,OK,10/15/18 1:00,46.89152527,OK,10/15/18 1:00,45.83024597,OK,10/15/18 1:00,136.4770459,OK,10/15/18 1:00,69.31218338,OK,10/15/18 1:00,4929682.5,OK,,,,,,,10/15/18 1:00,185189,OK,10/15/18 1:00,449912,OK,10/15/18 1:00,-5.588209152,OK,10/15/18 1:00,0,OK,10/15/18 1:00,7934257.5,OK,10/15/18 1:00,1678143.25,OK,10/15/18 1:00,69.8664856,OK,10/15/18 1:00,64.27827454,OK,10/15/18 1:00,0,OK,
10/15/18 1:15,1.675895333,OK,10/15/18 1:15,9.651928902,OK,10/15/18 1:15,410808.7188,OK,10/15/18 1:15,47.02506256,OK,10/15/18 1:15,45.34916687,OK,10/15/18 1:15,137.9985607,OK,10/15/18 1:15,115.9769669,OK,10/15/18 1:15,4929704.625,OK,,,,,,,10/15/18 1:15,185191,OK,10/15/18 1:15,449915,OK,10/15/18 1:15,-5.480861664,OK,10/15/18 1:15,0,OK,10/15/18 1:15,7934257.5,OK,10/15/18 1:15,1678143.25,OK,10/15/18 1:15,69.79042816,OK,10/15/18 1:15,64.30956268,OK,10/15/18 1:15,0,OK,
10/15/18 1:30,0.770519853,OK,10/15/18 1:30,4.31662178,OK,10/15/18 1:30,410810.5625,OK,10/15/18 1:30,46.81341553,OK,10/15/18 1:30,46.04289627,OK,10/15/18 1:30,136.2461005,OK,10/15/18 1:30,52.3655777,OK,10/15/18 1:30,4929726.75,OK,,,,,,,10/15/18 1:30,185193,OK,10/15/18 1:30,449918,OK,10/15/18 1:30,-5.469106197,OK,10/15/18 1:30,0,OK,10/15/18 1:30,7934257.5,OK,10/15/18 1:30,1678143.25,OK,10/15/18 1:30,69.78036499,OK,10/15/18 1:30,64.31126404,OK,10/15/18 1:30,0,OK,
10/15/18 1:45,1.278247476,OK,10/15/18 1:45,7.935113907,OK,10/15/18 1:45,410812.5938,OK,10/15/18 1:45,47.27395248,OK,10/15/18 1:45,45.99570465,OK,10/15/18 1:45,145.6549313,OK,10/15/18 1:45,94.72393227,OK,10/15/18 1:45,4929751.125,OK,,,,,,,10/15/18 1:45,185195,OK,10/15/18 1:45,449921,OK,10/15/18 1:45,-5.455677509,OK,10/15/18 1:45,0,OK,10/15/18 1:45,7934257.5,OK,10/15/18 1:45,1678143.25,OK,10/15/18 1:45,69.74071503,OK,10/15/18 1:45,64.28504181,OK,10/15/18 1:45,0,OK,
10/15/18 2:00,2.536074162,OK,10/15/18 2:00,14.93092632,OK,10/15/18 2:00,410814.4063,OK,10/15/18 2:00,47.2095108,OK,10/15/18 2:00,44.67343903,OK,10/15/18 2:00,142.8604581,OK,10/15/18 2:00,181.8762245,OK,10/15/18 2:00,4929772.875,OK,,,,,,,10/15/18 2:00,185197,OK,10/15/18 2:00,449924,OK,10/15/18 2:00,-5.403294086,OK,10/15/18 2:00,0,OK,10/15/18 2:00,7934257.5,OK,10/15/18 2:00,1678143.25,OK,10/15/18 2:00,69.73045349,OK,10/15/18 2:00,64.3271637,OK,10/15/18 2:00,0,OK,
10/15/18 2:15,1.916328907,OK,10/15/18 2:15,11.14783859,OK,10/15/18 2:15,410816.25,OK,10/15/18 2:15,46.75210571,OK,10/15/18 2:15,44.83577347,OK,10/15/18 2:15,136.3448574,OK,10/15/18 2:15,132.0258293,OK,10/15/18 2:15,4929795,OK,,,,,,,10/15/18 2:15,185200,OK,10/15/18 2:15,449927,OK,10/15/18 2:15,-5.46513176,OK,10/15/18 2:15,0,OK,10/15/18 2:15,7934257.5,OK,10/15/18 2:15,1678143.25,OK,10/15/18 2:15,69.74038696,OK,10/15/18 2:15,64.27526093,OK,10/15/18 2:15,0,OK,
