OSU_RTS.MDBUS_C1.005_CDT Time [SNAP],OSU_RTS.MDBUS_C1.005_CDT Value [SNAP],OSU_RTS.MDBUS_C1.005_CDT Status [SNAP],OSU_RTS.MDBUS_C1.005_CHF Time [SNAP],OSU_RTS.MDBUS_C1.005_CHF Value [SNAP],OSU_RTS.MDBUS_C1.005_CHF Status [SNAP],OSU_RTS.MDBUS_C1.005_CHT Time [SNAP],OSU_RTS.MDBUS_C1.005_CHT Value [SNAP],OSU_RTS.MDBUS_C1.005_CHT Status [SNAP],OSU_RTS.MDBUS_C1.005_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.005_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.005_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.005_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.005_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.005_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.005_CVF Time [SNAP],OSU_RTS.MDBUS_C1.005_CVF Value [SNAP],OSU_RTS.MDBUS_C1.005_CVF Status [SNAP],OSU_RTS.MDBUS_C1.005_HF Time [SNAP],OSU_RTS.MDBUS_C1.005_HF Value [SNAP],OSU_RTS.MDBUS_C1.005_HF Status [SNAP],OSU_RTS.MDBUS_C1.005_HGT Time [SNAP],OSU_RTS.MDBUS_C1.005_HGT Value [SNAP],OSU_RTS.MDBUS_C1.005_HGT Status [SNAP],OSU_RTS.MDBUS_CC.005_MHT Time [SNAP],OSU_RTS.MDBUS_CC.005_MHT Value [SNAP],OSU_RTS.MDBUS_CC.005_MHT Status [SNAP],OSU_RTS.MDBUS_CC.005_PHT Time [SNAP],OSU_RTS.MDBUS_CC.005_PHT Value [SNAP],OSU_RTS.MDBUS_CC.005_PHT Status [SNAP],OSU_RTS.MDBUS_E3.005_E01 Time [SNAP],OSU_RTS.MDBUS_E3.005_E01 Value [SNAP],OSU_RTS.MDBUS_E3.005_E01 Status [SNAP],OSU_RTS.MDBUS_E3.005_E02 Time [SNAP],OSU_RTS.MDBUS_E3.005_E02 Value [SNAP],OSU_RTS.MDBUS_E3.005_E02 Status [SNAP],OSU_RTS.MDBUS_RT.005S_C Time [SNAP],OSU_RTS.MDBUS_RT.005S_C Value [SNAP],OSU_RTS.MDBUS_RT.005S_C Status [SNAP],OSU_RTS.MDBUS_RT.005S_DP Time [SNAP],OSU_RTS.MDBUS_RT.005S_DP Value [SNAP],OSU_RTS.MDBUS_RT.005S_DP Status [SNAP],OSU_RTS.MDBUS_RT.005S_HF Time [SNAP],OSU_RTS.MDBUS_RT.005S_HF Value [SNAP],OSU_RTS.MDBUS_RT.005S_HF Status [SNAP],OSU_RTS.MDBUS_RT.005S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.005S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.005S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.005S_I Time [SNAP],OSU_RTS.MDBUS_RT.005S_I Value [SNAP],OSU_RTS.MDBUS_RT.005S_I Status [SNAP],OSU_RTS.MDBUS_RT.005S_P Time [SNAP],OSU_RTS.MDBUS_RT.005S_P Value [SNAP],OSU_RTS.MDBUS_RT.005S_P Status [SNAP],OSU_RTS.MDBUS_RT.005S_T Time [SNAP],OSU_RTS.MDBUS_RT.005S_T Value [SNAP],OSU_RTS.MDBUS_RT.005S_T Status [SNAP],Comments
10/15/18 0:00,4.688596249,OK,10/15/18 0:00,148.9669189,OK,10/15/18 0:00,5967272.5,OK,10/15/18 0:00,50.72631073,OK,10/15/18 0:00,46.03771591,OK,10/15/18 0:00,756.2797086,OK,10/15/18 0:00,1784.641113,OK,10/15/18 0:00,71607270,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,1054799,OK,10/15/18 0:00,149938,OK,10/15/18 0:00,35519.87891,OK,10/15/18 0:00,25.18763733,OK,10/15/18 0:00,764.0852051,OK,10/15/18 0:00,43773848,OK,10/15/18 0:00,0.6377229,OK,10/15/18 0:00,183.103241,OK,10/15/18 0:00,366.4949951,OK,
10/15/18 0:15,2.590462685,OK,10/15/18 0:15,81.99355316,OK,10/15/18 0:15,5967301,OK,10/15/18 0:15,48.89929199,OK,10/15/18 0:15,46.30883026,OK,10/15/18 0:15,748.945252,OK,10/15/18 0:15,982.226532,OK,10/15/18 0:15,71607612,OK,,,,,,,10/15/18 0:15,1054847,OK,10/15/18 0:15,149944,OK,10/15/18 0:15,35520.02344,OK,10/15/18 0:15,27.49393845,OK,10/15/18 0:15,844.9986572,OK,10/15/18 0:15,43774020,OK,10/15/18 0:15,0.705311401,OK,10/15/18 0:15,181.7405548,OK,10/15/18 0:15,365.7556152,OK,
10/15/18 0:30,1.471437216,OK,10/15/18 0:30,47.63550568,OK,10/15/18 0:30,5967329,OK,10/15/18 0:30,47.21488571,OK,10/15/18 0:30,45.74344635,OK,10/15/18 0:30,777.0409962,OK,10/15/18 0:30,570.8131714,OK,10/15/18 0:30,71607948,OK,,,,,,,10/15/18 0:30,1054894,OK,10/15/18 0:30,149950,OK,10/15/18 0:30,35520.17578,OK,10/15/18 0:30,25.74161148,OK,10/15/18 0:30,782.9992676,OK,10/15/18 0:30,43774200,OK,10/15/18 0:30,0.653523254,OK,10/15/18 0:30,182.7319489,OK,10/15/18 0:30,365.43573,OK,
10/15/18 0:45,2.332791328,OK,10/15/18 0:45,76.47042084,OK,10/15/18 0:45,5967358,OK,10/15/18 0:45,48.25361633,OK,10/15/18 0:45,45.92082596,OK,10/15/18 0:45,767.3389793,OK,10/15/18 0:45,903.9375916,OK,10/15/18 0:45,71608296,OK,,,,,,,10/15/18 0:45,1054943,OK,10/15/18 0:45,149957,OK,10/15/18 0:45,35520.32813,OK,10/15/18 0:45,21.27970123,OK,10/15/18 0:45,623.3790283,OK,10/15/18 0:45,43774384,OK,10/15/18 0:45,0.520311218,OK,10/15/18 0:45,182.2837067,OK,10/15/18 0:45,365.3431091,OK,
10/15/18 1:00,4.821182251,OK,10/15/18 1:00,155.6572113,OK,10/15/18 1:00,5967386,OK,10/15/18 1:00,50.62212753,OK,10/15/18 1:00,45.80094528,OK,10/15/18 1:00,773.6684679,OK,10/15/18 1:00,1867.623047,OK,10/15/18 1:00,71608632,OK,,,,,,,10/15/18 1:00,1054990,OK,10/15/18 1:00,149963,OK,10/15/18 1:00,35520.48047,OK,10/15/18 1:00,20.33221436,OK,10/15/18 1:00,590.6245728,OK,10/15/18 1:00,43774568,OK,10/15/18 1:00,0.492954132,OK,10/15/18 1:00,182.9174042,OK,10/15/18 1:00,365.3797607,OK,
10/15/18 1:15,2.667884111,OK,10/15/18 1:15,87.26739502,OK,10/15/18 1:15,5967414,OK,10/15/18 1:15,48.0885849,OK,10/15/18 1:15,45.42070007,OK,10/15/18 1:15,783.4480905,OK,10/15/18 1:15,1046.960449,OK,10/15/18 1:15,71608968,OK,,,,,,,10/15/18 1:15,1055038,OK,10/15/18 1:15,149970,OK,10/15/18 1:15,35520.63672,OK,10/15/18 1:15,22.29470444,OK,10/15/18 1:15,661.357666,OK,10/15/18 1:15,43774752,OK,10/15/18 1:15,0.55197522,OK,10/15/18 1:15,183.3803253,OK,10/15/18 1:15,365.4971313,OK,
10/15/18 1:30,1.737497449,OK,10/15/18 1:30,57.91571808,OK,10/15/18 1:30,5967443,OK,10/15/18 1:30,47.72311401,OK,10/15/18 1:30,45.98561096,OK,10/15/18 1:30,771.3770158,OK,10/15/18 1:30,679.5370331,OK,10/15/18 1:30,71609316,OK,,,,,,,10/15/18 1:30,1055085,OK,10/15/18 1:30,149976,OK,10/15/18 1:30,35520.78516,OK,10/15/18 1:30,24.85058212,OK,10/15/18 1:30,750.1801147,OK,10/15/18 1:30,43774936,OK,10/15/18 1:30,0.626152161,OK,10/15/18 1:30,182.1568756,OK,10/15/18 1:30,365.5756836,OK,
10/15/18 1:45,6.924734592,OK,10/15/18 1:45,219.8167877,OK,10/15/18 1:45,5967472,OK,10/15/18 1:45,52.95753098,OK,10/15/18 1:45,46.03279877,OK,10/15/18 1:45,753.6943054,OK,10/15/18 1:45,2624.262634,OK,10/15/18 1:45,71609664,OK,,,,,,,10/15/18 1:45,1055133,OK,10/15/18 1:45,149982,OK,10/15/18 1:45,35520.92969,OK,10/15/18 1:45,21.61967087,OK,10/15/18 1:45,637.876709,OK,10/15/18 1:45,43775104,OK,10/15/18 1:45,0.532365723,OK,10/15/18 1:45,183.771347,OK,10/15/18 1:45,364.9144287,OK,
10/15/18 2:00,7.752140045,OK,10/15/18 2:00,239.8869934,OK,10/15/18 2:00,5967499,OK,10/15/18 2:00,52.4255867,OK,10/15/18 2:00,44.67344666,OK,10/15/18 2:00,742.7641388,OK,10/15/18 2:00,2883.781677,OK,10/15/18 2:00,71609988,OK,,,,,,,10/15/18 2:00,1055180,OK,10/15/18 2:00,149987,OK,10/15/18 2:00,35521.08594,OK,10/15/18 2:00,20.12931442,OK,10/15/18 2:00,583.9678345,OK,10/15/18 2:00,43775292,OK,10/15/18 2:00,0.487386993,OK,10/15/18 2:00,183.3101349,OK,10/15/18 2:00,365.1610107,OK,
10/15/18 2:15,3.812083244,OK,10/15/18 2:15,119.508606,OK,10/15/18 2:15,5967526.5,OK,10/15/18 2:15,48.50644684,OK,10/15/18 2:15,44.69436264,OK,10/15/18 2:15,783.0368844,OK,10/15/18 2:15,1462.328796,OK,10/15/18 2:15,71610318,OK,,,,,,,10/15/18 2:15,1055228,OK,10/15/18 2:15,149993,OK,10/15/18 2:15,35521.23438,OK,10/15/18 2:15,19.4848671,OK,10/15/18 2:15,560.7568359,OK,10/15/18 2:15,43775472,OK,10/15/18 2:15,0.468024109,OK,10/15/18 2:15,182.9668427,OK,10/15/18 2:15,365.2348022,OK,
