OSU_RTS.MDBUS_C1.053_CDT Time [SNAP],OSU_RTS.MDBUS_C1.053_CDT Value [SNAP],OSU_RTS.MDBUS_C1.053_CDT Status [SNAP],OSU_RTS.MDBUS_C1.053_CHF Time [SNAP],OSU_RTS.MDBUS_C1.053_CHF Value [SNAP],OSU_RTS.MDBUS_C1.053_CHF Status [SNAP],OSU_RTS.MDBUS_C1.053_CHT Time [SNAP],OSU_RTS.MDBUS_C1.053_CHT Value [SNAP],OSU_RTS.MDBUS_C1.053_CHT Status [SNAP],OSU_RTS.MDBUS_C1.053_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.053_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.053_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.053_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.053_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.053_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.053_CVF Time [SNAP],OSU_RTS.MDBUS_C1.053_CVF Value [SNAP],OSU_RTS.MDBUS_C1.053_CVF Status [SNAP],OSU_RTS.MDBUS_C1.053_HF Time [SNAP],OSU_RTS.MDBUS_C1.053_HF Value [SNAP],OSU_RTS.MDBUS_C1.053_HF Status [SNAP],OSU_RTS.MDBUS_C1.053_HGT Time [SNAP],OSU_RTS.MDBUS_C1.053_HGT Value [SNAP],OSU_RTS.MDBUS_C1.053_HGT Status [SNAP],OSU_RTS.MDBUS_E1.053E1 Time [SNAP],OSU_RTS.MDBUS_E1.053E1 Value [SNAP],OSU_RTS.MDBUS_E1.053E1 Status [SNAP],OSU_RTS.MDBUS_E1.053E1_L Time [SNAP],OSU_RTS.MDBUS_E1.053E1_L Value [SNAP],OSU_RTS.MDBUS_E1.053E1_L Status [SNAP],OSU_RTS.MDBUS_E1.053E2 Time [SNAP],OSU_RTS.MDBUS_E1.053E2 Value [SNAP],OSU_RTS.MDBUS_E1.053E2 Status [SNAP],OSU_RTS.MDBUS_E1.053E2C Time [SNAP],OSU_RTS.MDBUS_E1.053E2C Value [SNAP],OSU_RTS.MDBUS_E1.053E2C Status [SNAP],OSU_RTS.MDBUS_EC.053E1 Time [SNAP],OSU_RTS.MDBUS_EC.053E1 Value [SNAP],OSU_RTS.MDBUS_EC.053E1 Status [SNAP],OSU_RTS.MDBUS_EC.053E2 Time [SNAP],OSU_RTS.MDBUS_EC.053E2 Value [SNAP],OSU_RTS.MDBUS_EC.053E2 Status [SNAP],OSU_RTS.MDBUS_G1.053_GBV Time [SNAP],OSU_RTS.MDBUS_G1.053_GBV Value [SNAP],OSU_RTS.MDBUS_G1.053_GBV Status [SNAP],OSU_RTS.MDBUS_G1.053_GCV Time [SNAP],OSU_RTS.MDBUS_G1.053_GCV Value [SNAP],OSU_RTS.MDBUS_G1.053_GCV Status [SNAP],OSU_RTS.MDBUS_G1.053_GUV Time [SNAP],OSU_RTS.MDBUS_G1.053_GUV Value [SNAP],OSU_RTS.MDBUS_G1.053_GUV Status [SNAP],OSU_RTS.MDBUS_RT.053S_C Time [SNAP],OSU_RTS.MDBUS_RT.053S_C Value [SNAP],OSU_RTS.MDBUS_RT.053S_C Status [SNAP],OSU_RTS.MDBUS_RT.053S_HF Time [SNAP],OSU_RTS.MDBUS_RT.053S_HF Value [SNAP],OSU_RTS.MDBUS_RT.053S_HF Status [SNAP],OSU_RTS.MDBUS_RT.053S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.053S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.053S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.053S_I Time [SNAP],OSU_RTS.MDBUS_RT.053S_I Value [SNAP],OSU_RTS.MDBUS_RT.053S_I Status [SNAP],OSU_RTS.MDBUS_RT.053S_P Time [SNAP],OSU_RTS.MDBUS_RT.053S_P Value [SNAP],OSU_RTS.MDBUS_RT.053S_P Status [SNAP],OSU_RTS.MDBUS_RT.053S_T Time [SNAP],OSU_RTS.MDBUS_RT.053S_T Value [SNAP],OSU_RTS.MDBUS_RT.053S_T Status [SNAP],OSU_RTS.MDBUS_S1.053S_EC Time [SNAP],OSU_RTS.MDBUS_S1.053S_EC Value [SNAP],OSU_RTS.MDBUS_S1.053S_EC Status [SNAP],OSU_RTS.MDBUS_S1.053S_SSD Time [SNAP],OSU_RTS.MDBUS_S1.053S_SSD Value [SNAP],OSU_RTS.MDBUS_S1.053S_SSD Status [SNAP],OSU_RTS.MDBUS_S1.053S_SSU Time [SNAP],OSU_RTS.MDBUS_S1.053S_SSU Value [SNAP],OSU_RTS.MDBUS_S1.053S_SSU Status [SNAP],OSU_RTS.MDBUS_S1.053S_VEL Time [SNAP],OSU_RTS.MDBUS_S1.053S_VEL Value [SNAP],OSU_RTS.MDBUS_S1.053S_VEL Status [SNAP],Comments
10/15/18 0:00,6.234287262,OK,10/15/18 0:00,0,OK,10/15/18 0:00,280573.5313,OK,10/15/18 0:00,53.91454697,OK,10/15/18 0:00,47.6802597,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,3366882.375,OK,10/15/18 0:00,325,UNRELIABLE,10/15/18 0:00,61,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,2045756,OK,10/15/18 0:00,50154752,OK,10/15/18 0:00,5.880000114,OK,10/15/18 0:00,22,OK,10/15/18 0:00,22,OK,10/15/18 0:00,114791,OK,10/15/18 0:00,1283.183969,OK,10/15/18 0:00,122137624,OK,10/15/18 0:00,1.20599997,OK,10/15/18 0:00,180.189,OK,10/15/18 0:00,474.37,OK,10/15/18 0:00,0,OK,10/15/18 0:00,69,OK,10/15/18 0:00,69.1,OK,10/15/18 0:00,11.39,OK,
10/15/18 0:15,6.44354248,OK,10/15/18 0:15,0,OK,10/15/18 0:15,280573.5313,OK,10/15/18 0:15,54.15689087,OK,10/15/18 0:15,47.71334839,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,3366882.375,OK,10/15/18 0:15,325,UNRELIABLE,10/15/18 0:15,62,OK,,,,,,,10/15/18 0:15,2045772,OK,10/15/18 0:15,50154824,OK,10/15/18 0:15,5.850000381,OK,10/15/18 0:15,22,OK,10/15/18 0:15,22,OK,10/15/18 0:15,114791,OK,10/15/18 0:15,2321.647917,OK,10/15/18 0:15,122137624,OK,10/15/18 0:15,2.181999922,OK,10/15/18 0:15,178.656,OK,10/15/18 0:15,472.61,OK,10/15/18 0:15,0,OK,10/15/18 0:15,68.8,OK,10/15/18 0:15,69.2,OK,10/15/18 0:15,20.74,OK,
10/15/18 0:30,7.096827984,OK,10/15/18 0:30,0,OK,10/15/18 0:30,280573.5313,OK,10/15/18 0:30,54.5904541,OK,10/15/18 0:30,47.49362564,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,3366882.375,OK,10/15/18 0:30,325,UNRELIABLE,10/15/18 0:30,64,OK,,,,,,,10/15/18 0:30,2045787,OK,10/15/18 0:30,50154896,OK,10/15/18 0:30,5.890000343,OK,10/15/18 0:30,22,OK,10/15/18 0:30,22,OK,10/15/18 0:30,114791,OK,10/15/18 0:30,721.3919716,OK,10/15/18 0:30,122137624,OK,10/15/18 0:30,0.677999973,OK,10/15/18 0:30,179.847,OK,10/15/18 0:30,472.19,OK,10/15/18 0:30,0,OK,10/15/18 0:30,69,OK,10/15/18 0:30,69.1,OK,10/15/18 0:30,6.4,OK,
10/15/18 0:45,7.462662697,OK,10/15/18 0:45,0,OK,10/15/18 0:45,280573.5313,OK,10/15/18 0:45,55.11816406,OK,10/15/18 0:45,47.65550232,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,3366882.375,OK,10/15/18 0:45,325,UNRELIABLE,10/15/18 0:45,66,OK,,,,,,,10/15/18 0:45,2045803,OK,10/15/18 0:45,50154968,OK,10/15/18 0:45,5.860000134,OK,10/15/18 0:45,22,OK,10/15/18 0:45,22,OK,10/15/18 0:45,114791,OK,10/15/18 0:45,887.3759909,OK,10/15/18 0:45,122137624,OK,10/15/18 0:45,0.833999991,OK,10/15/18 0:45,178.785,OK,10/15/18 0:45,472.12,OK,10/15/18 0:45,0,OK,10/15/18 0:45,69,OK,10/15/18 0:45,69.1,OK,10/15/18 0:45,7.79,OK,
10/15/18 1:00,7.94976902,OK,10/15/18 1:00,0,OK,10/15/18 1:00,280573.5313,OK,10/15/18 1:00,55.72504425,OK,10/15/18 1:00,47.77527618,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,3366882.375,OK,10/15/18 1:00,325,UNRELIABLE,10/15/18 1:00,62,OK,,,,,,,10/15/18 1:00,2045819,OK,10/15/18 1:00,50155036,OK,10/15/18 1:00,5.870000362,OK,10/15/18 1:00,22,OK,10/15/18 1:00,22,OK,10/15/18 1:00,114792,OK,10/15/18 1:00,645.8479929,OK,10/15/18 1:00,122138688,OK,10/15/18 1:00,0.606999993,OK,10/15/18 1:00,179.457,OK,10/15/18 1:00,471.88,OK,10/15/18 1:00,0,OK,10/15/18 1:00,69,OK,10/15/18 1:00,69.2,OK,10/15/18 1:00,5.71,OK,
10/15/18 1:15,8.862678528,OK,10/15/18 1:15,0,OK,10/15/18 1:15,280573.5313,OK,10/15/18 1:15,56.45934296,OK,10/15/18 1:15,47.59666061,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,3366882.375,OK,10/15/18 1:15,325,UNRELIABLE,10/15/18 1:15,64,OK,,,,,,,10/15/18 1:15,2045835,OK,10/15/18 1:15,50155108,OK,10/15/18 1:15,5.850000381,OK,10/15/18 1:15,22,OK,10/15/18 1:15,22,OK,10/15/18 1:15,114792,OK,10/15/18 1:15,750.1199822,OK,10/15/18 1:15,122138688,OK,10/15/18 1:15,0.704999983,OK,10/15/18 1:15,180.141,OK,10/15/18 1:15,472.36,OK,10/15/18 1:15,0,OK,10/15/18 1:15,69,OK,10/15/18 1:15,69.2,OK,10/15/18 1:15,6.55,OK,
10/15/18 1:30,9.221528053,OK,10/15/18 1:30,0,OK,10/15/18 1:30,280573.5313,OK,10/15/18 1:30,57.14670944,OK,10/15/18 1:30,47.92518234,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,3366882.375,OK,10/15/18 1:30,325,UNRELIABLE,10/15/18 1:30,61,OK,,,,,,,10/15/18 1:30,2045851,OK,10/15/18 1:30,50155180,OK,10/15/18 1:30,5.850000381,OK,10/15/18 1:30,22,OK,10/15/18 1:30,22,OK,10/15/18 1:30,114792,OK,10/15/18 1:30,808.6399899,OK,10/15/18 1:30,122138688,OK,10/15/18 1:30,0.75999999,OK,10/15/18 1:30,179.276,OK,10/15/18 1:30,472.33,OK,10/15/18 1:30,0,OK,10/15/18 1:30,69,OK,10/15/18 1:30,69.1,OK,10/15/18 1:30,7.19,OK,
10/15/18 1:45,9.898429871,OK,10/15/18 1:45,0,OK,10/15/18 1:45,280573.5313,OK,10/15/18 1:45,57.71466827,OK,10/15/18 1:45,47.8162384,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,3366882.375,OK,10/15/18 1:45,325,UNRELIABLE,10/15/18 1:45,62,OK,,,,,,,10/15/18 1:45,2045867,OK,10/15/18 1:45,50155248,OK,10/15/18 1:45,5.860000134,OK,10/15/18 1:45,22,OK,10/15/18 1:45,22,OK,10/15/18 1:45,114792,OK,10/15/18 1:45,893.7599721,OK,10/15/18 1:45,122138688,OK,10/15/18 1:45,0.839999974,OK,10/15/18 1:45,180.523,OK,10/15/18 1:45,471.5,OK,10/15/18 1:45,0,OK,10/15/18 1:45,69,OK,10/15/18 1:45,69.2,OK,10/15/18 1:45,7.89,OK,
10/15/18 2:00,10.13700962,OK,10/15/18 2:00,0,OK,10/15/18 2:00,280573.5313,OK,10/15/18 2:00,58.04496765,OK,10/15/18 2:00,47.90795898,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,3366882.375,OK,10/15/18 2:00,325,UNRELIABLE,10/15/18 2:00,63,OK,,,,,,,10/15/18 2:00,2045882,OK,10/15/18 2:00,50155320,OK,10/15/18 2:00,5.890000343,OK,10/15/18 2:00,22,OK,10/15/18 2:00,22,OK,10/15/18 2:00,114793,OK,10/15/18 2:00,1468.319995,OK,10/15/18 2:00,122139752,OK,10/15/18 2:00,1.379999995,OK,10/15/18 2:00,180.121,OK,10/15/18 2:00,470.44,OK,10/15/18 2:00,0,OK,10/15/18 2:00,69,OK,10/15/18 2:00,69.2,OK,10/15/18 2:00,12.98,OK,
10/15/18 2:15,10.33765221,OK,10/15/18 2:15,0,OK,10/15/18 2:15,280573.5313,OK,10/15/18 2:15,58.40691757,OK,10/15/18 2:15,48.06926727,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,3366882.375,OK,10/15/18 2:15,325,UNRELIABLE,10/15/18 2:15,63,OK,,,,,,,10/15/18 2:15,2045898,OK,10/15/18 2:15,50155392,OK,10/15/18 2:15,5.850000381,OK,10/15/18 2:15,22,OK,10/15/18 2:15,22,OK,10/15/18 2:15,114793,OK,10/15/18 2:15,822.4719386,OK,10/15/18 2:15,122139752,OK,10/15/18 2:15,0.792999983,OK,10/15/18 2:15,179.654,OK,10/15/18 2:15,470.28,OK,10/15/18 2:15,0,OK,10/15/18 2:15,69,OK,10/15/18 2:15,69.2,OK,10/15/18 2:15,7.28,OK,
