OSU_RTS.CALC.1109_DW1 Time [SNAP],OSU_RTS.CALC.1109_DW1 Value [SNAP],OSU_RTS.CALC.1109_DW1 Status [SNAP],OSU_RTS.CALC.1109_DW2 Time [SNAP],OSU_RTS.CALC.1109_DW2 Value [SNAP],OSU_RTS.CALC.1109_DW2 Status [SNAP],OSU_RTS.MDBUS_RH.1109_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1109_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1109_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1109_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1109_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1109_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1109_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1109_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1109_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1109_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1109_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1109_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1109_CST Time [SNAP],OSU_RTS.MDBUS_RH.1109_CST Value [SNAP],OSU_RTS.MDBUS_RH.1109_CST Status [SNAP],OSU_RTS.MDBUS_RH.1109_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1109_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1109_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1109_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1109_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1109_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1109_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1109_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1109_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1109_D2H Time [SNAP],OSU_RTS.MDBUS_RH.1109_D2H Value [SNAP],OSU_RTS.MDBUS_RH.1109_D2H Status [SNAP],OSU_RTS.MDBUS_RH.1109_D2L Time [SNAP],OSU_RTS.MDBUS_RH.1109_D2L Value [SNAP],OSU_RTS.MDBUS_RH.1109_D2L Status [SNAP],OSU_RTS.MDBUS_RH.1109_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1109_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1109_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1109_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1109_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1109_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1109_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1109_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1109_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1109_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1109_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1109_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1109_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1109_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1109_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1109_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1109_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1109_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1109_EC Time [SNAP],OSU_RTS.MDBUS_RH.1109_EC Value [SNAP],OSU_RTS.MDBUS_RH.1109_EC Status [SNAP],OSU_RTS.MDBUS_RH.1109_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1109_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1109_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1109_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1109_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1109_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1109_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1109_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1109_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1109_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1109_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1109_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1109_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1109_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1109_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1109_HST Time [SNAP],OSU_RTS.MDBUS_RH.1109_HST Value [SNAP],OSU_RTS.MDBUS_RH.1109_HST Status [SNAP],OSU_RTS.MDBUS_RH.1109_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1109_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1109_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1109C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1109C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1109C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1109C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1109C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1109C_HG Status [SNAP],Comments
10/15/18 0:00,2993,OK,10/15/18 0:00,43822,OK,10/15/18 0:00,3.224490881,OK,10/15/18 0:00,4.610040665,OK,10/15/18 0:00,753168.875,OK,10/15/18 0:00,46.61499786,OK,10/15/18 0:00,43.39050293,OK,10/15/18 0:00,34.15985066,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,9.78802681,OK,10/15/18 0:00,5.684790134,OK,10/15/18 0:00,131.3999329,OK,10/15/18 0:00,141.1879578,OK,10/15/18 0:00,18475.6875,OK,10/15/18 0:00,1.301458026,OK,10/15/18 0:00,1168919,OK,10/15/18 0:00,3.934542656,OK,10/15/18 0:00,91.84285736,OK,10/15/18 0:00,280629.9375,OK,10/15/18 0:00,527775.4375,OK,10/15/18 0:00,107.7658463,OK,10/15/18 0:00,111.7003937,OK,10/15/18 0:00,47.13060568,OK,10/15/18 0:00,55.32048798,OK,10/15/18 0:00,9038026.5,OK,
10/15/18 0:15,2993,OK,10/15/18 0:15,43822,OK,10/15/18 0:15,3.173596621,OK,10/15/18 0:15,4.52567482,OK,10/15/18 0:15,753170,OK,10/15/18 0:15,46.55108643,OK,10/15/18 0:15,43.37749481,OK,10/15/18 0:15,34.18096925,OK,,,,,,,,,,,,,10/15/18 0:15,12.79773998,OK,10/15/18 0:15,12.14645004,OK,10/15/18 0:15,131.8179626,OK,10/15/18 0:15,144.6156921,OK,10/15/18 0:15,18478.91211,OK,10/15/18 0:15,2.128235628,OK,10/15/18 0:15,1168930,OK,10/15/18 0:15,-1.503535032,OK,10/15/18 0:15,0,OK,10/15/18 0:15,280660.9375,OK,10/15/18 0:15,527781.3125,OK,10/15/18 0:15,112.9064636,OK,10/15/18 0:15,111.4029236,OK,10/15/18 0:15,47.34987276,OK,10/15/18 0:15,54.48286629,OK,10/15/18 0:15,9038040,OK,
10/15/18 0:30,2993,OK,10/15/18 0:30,43823,OK,10/15/18 0:30,3.313827038,OK,10/15/18 0:30,4.721766472,OK,10/15/18 0:30,753171.1875,OK,10/15/18 0:30,46.58782959,OK,10/15/18 0:30,43.27400208,OK,10/15/18 0:30,34.04300873,OK,,,,,,,,,,,,,10/15/18 0:30,10.50854588,OK,10/15/18 0:30,5.941121578,OK,10/15/18 0:30,129.677063,OK,10/15/18 0:30,140.1856079,OK,10/15/18 0:30,18480.63867,OK,10/15/18 0:30,1.266527347,OK,10/15/18 0:30,1168941,OK,10/15/18 0:30,-1.902970076,OK,10/15/18 0:30,0,OK,10/15/18 0:30,280660.9375,OK,10/15/18 0:30,527787.1875,OK,10/15/18 0:30,109.7441025,OK,10/15/18 0:30,107.8411331,OK,10/15/18 0:30,47.24877617,OK,10/15/18 0:30,56.66119766,OK,10/15/18 0:30,9038054.25,OK,
10/15/18 0:45,2993,OK,10/15/18 0:45,43823,OK,10/15/18 0:45,3.385872364,OK,10/15/18 0:45,4.838861942,OK,10/15/18 0:45,753172.3125,OK,10/15/18 0:45,46.66616821,OK,10/15/18 0:45,43.28029633,OK,10/15/18 0:45,34.14628838,OK,,,,,,,,,,,,,10/15/18 0:45,6.097582817,OK,10/15/18 0:45,3.807344913,OK,10/15/18 0:45,131.6404724,OK,10/15/18 0:45,137.7380371,OK,10/15/18 0:45,18481.72461,OK,10/15/18 0:45,1.397838673,OK,10/15/18 0:45,1168952,OK,10/15/18 0:45,2.098389387,OK,10/15/18 0:45,49.2432251,OK,10/15/18 0:45,280692.5625,OK,10/15/18 0:45,527793.0625,OK,10/15/18 0:45,107.2810516,OK,10/15/18 0:45,109.3794479,OK,10/15/18 0:45,47.35575667,OK,10/15/18 0:45,58.06634331,OK,10/15/18 0:45,9038067.75,OK,
10/15/18 1:00,2993,OK,10/15/18 1:00,43823,OK,10/15/18 1:00,3.378139019,OK,10/15/18 1:00,4.852506638,OK,10/15/18 1:00,753173.5625,OK,10/15/18 1:00,46.65726852,OK,10/15/18 1:00,43.27912903,OK,10/15/18 1:00,34.23786329,OK,,,,,,,,,,,,,10/15/18 1:00,14.02287292,OK,10/15/18 1:00,8.977952957,OK,10/15/18 1:00,131.7372894,OK,10/15/18 1:00,145.7601624,OK,10/15/18 1:00,18483.26172,OK,10/15/18 1:00,1.436005493,OK,10/15/18 1:00,1168963,OK,10/15/18 1:00,-1.674314141,OK,10/15/18 1:00,0,OK,10/15/18 1:00,280693,OK,10/15/18 1:00,527798.9375,OK,10/15/18 1:00,109.835968,OK,10/15/18 1:00,108.1616516,OK,10/15/18 1:00,47.48266757,OK,10/15/18 1:00,58.23007965,OK,10/15/18 1:00,9038082.75,OK,
10/15/18 1:15,2993,OK,10/15/18 1:15,43823,OK,10/15/18 1:15,3.406977892,OK,10/15/18 1:15,4.828009129,OK,10/15/18 1:15,753174.75,OK,10/15/18 1:15,46.6193924,OK,10/15/18 1:15,43.21240997,OK,10/15/18 1:15,33.87826544,OK,,,,,,,,,,,,,10/15/18 1:15,11.04393005,OK,10/15/18 1:15,5.075648308,OK,10/15/18 1:15,131.9294434,OK,10/15/18 1:15,142.9733887,OK,10/15/18 1:15,18485.33398,OK,10/15/18 1:15,1.030206714,OK,10/15/18 1:15,1168974,OK,10/15/18 1:15,9.023907661,OK,10/15/18 1:15,210.1954193,OK,10/15/18 1:15,280710.2188,OK,10/15/18 1:15,527804.8125,OK,10/15/18 1:15,107.3292694,OK,10/15/18 1:15,116.3531723,OK,10/15/18 1:15,47.37568708,OK,10/15/18 1:15,57.97199249,OK,10/15/18 1:15,9038097,OK,
10/15/18 1:30,2993,OK,10/15/18 1:30,43824,OK,10/15/18 1:30,3.506519556,OK,10/15/18 1:30,4.980667591,OK,10/15/18 1:30,753176,OK,10/15/18 1:30,46.61343384,OK,10/15/18 1:30,43.10691452,OK,10/15/18 1:30,33.93533242,OK,,,,,,,,,,,,,10/15/18 1:30,11.65570164,OK,10/15/18 1:30,0,OK,10/15/18 1:30,128.775238,OK,10/15/18 1:30,140.430954,OK,10/15/18 1:30,18485.69336,OK,10/15/18 1:30,0,OK,10/15/18 1:30,1168986,OK,10/15/18 1:30,-0.376041532,OK,10/15/18 1:30,0,OK,10/15/18 1:30,280737.3438,OK,10/15/18 1:30,527810.8125,OK,10/15/18 1:30,110.4793854,OK,10/15/18 1:30,110.1033478,OK,10/15/18 1:30,50.7304254,OK,10/15/18 1:30,59.76801109,OK,10/15/18 1:30,9038112,OK,
10/15/18 1:45,2993,OK,10/15/18 1:45,43824,OK,10/15/18 1:45,3.204843521,OK,10/15/18 1:45,4.532361984,OK,10/15/18 1:45,753177.125,OK,10/15/18 1:45,46.58961487,OK,10/15/18 1:45,43.38476944,OK,10/15/18 1:45,33.78968538,OK,,,,,,,,,,,,,10/15/18 1:45,7.159779549,OK,10/15/18 1:45,4.247694016,OK,10/15/18 1:45,131.1493835,OK,10/15/18 1:45,138.3091583,OK,10/15/18 1:45,18486.72461,OK,10/15/18 1:45,1.330349561,OK,10/15/18 1:45,1168997,OK,10/15/18 1:45,-0.411010444,OK,10/15/18 1:45,0,OK,10/15/18 1:45,280737.3438,OK,10/15/18 1:45,527817.4375,OK,10/15/18 1:45,107.3155594,OK,10/15/18 1:45,106.904541,OK,10/15/18 1:45,53.42607257,OK,10/15/18 1:45,54.38834381,OK,10/15/18 1:45,9038125.5,OK,
10/15/18 2:00,2993,OK,10/15/18 2:00,43824,OK,10/15/18 2:00,3.204124928,OK,10/15/18 2:00,4.520255089,OK,10/15/18 2:00,753178.3125,OK,10/15/18 2:00,46.57081604,OK,10/15/18 2:00,43.36669159,OK,10/15/18 2:00,33.70652942,OK,,,,,,,,,,,,,10/15/18 2:00,13.62691212,OK,10/15/18 2:00,0,OK,10/15/18 2:00,127.9637375,OK,10/15/18 2:00,141.5906525,OK,10/15/18 2:00,18486.99219,OK,10/15/18 2:00,0,OK,10/15/18 2:00,1169009,OK,10/15/18 2:00,15.45172119,OK,10/15/18 2:00,421.7407532,OK,10/15/18 2:00,280753.0313,OK,10/15/18 2:00,527824.1875,OK,10/15/18 2:00,103.3873901,OK,10/15/18 2:00,118.8391113,OK,10/15/18 2:00,55.20281709,OK,10/15/18 2:00,54.24306107,OK,10/15/18 2:00,9038139.75,OK,
10/15/18 2:15,2993,OK,10/15/18 2:15,43825,OK,10/15/18 2:15,3.328416109,OK,10/15/18 2:15,4.737997055,OK,10/15/18 2:15,753179.4375,OK,10/15/18 2:15,46.54932785,OK,10/15/18 2:15,43.22090912,OK,10/15/18 2:15,34.00922306,OK,,,,,,,,,,,,,10/15/18 2:15,19.27749062,OK,10/15/18 2:15,0,OK,10/15/18 2:15,125.3006058,OK,10/15/18 2:15,144.5780945,OK,10/15/18 2:15,18487.42969,OK,10/15/18 2:15,0,OK,10/15/18 2:15,1169020,OK,10/15/18 2:15,2.741631031,OK,10/15/18 2:15,74.41516876,OK,10/15/18 2:15,280808.4688,OK,10/15/18 2:15,527830.9375,OK,10/15/18 2:15,109.0655365,OK,10/15/18 2:15,111.8071671,OK,10/15/18 2:15,54.80466459,OK,10/15/18 2:15,56.85596466,OK,10/15/18 2:15,9038153.25,OK,
