OSU_RTS.CALC.1110_DW1 Time [SNAP],OSU_RTS.CALC.1110_DW1 Value [SNAP],OSU_RTS.CALC.1110_DW1 Status [SNAP],OSU_RTS.CALC.1110_DW2 Time [SNAP],OSU_RTS.CALC.1110_DW2 Value [SNAP],OSU_RTS.CALC.1110_DW2 Status [SNAP],OSU_RTS.MDBUS_RH.1110_CD Time [SNAP],OSU_RTS.MDBUS_RH.1110_CD Value [SNAP],OSU_RTS.MDBUS_RH.1110_CD Status [SNAP],OSU_RTS.MDBUS_RH.1110_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1110_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1110_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1110_CF Time [SNAP],OSU_RTS.MDBUS_RH.1110_CF Value [SNAP],OSU_RTS.MDBUS_RH.1110_CF Status [SNAP],OSU_RTS.MDBUS_RH.1110_CH Time [SNAP],OSU_RTS.MDBUS_RH.1110_CH Value [SNAP],OSU_RTS.MDBUS_RH.1110_CH Status [SNAP],OSU_RTS.MDBUS_RH.1110_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1110_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1110_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1110_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1110_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1110_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1110_CR Time [SNAP],OSU_RTS.MDBUS_RH.1110_CR Value [SNAP],OSU_RTS.MDBUS_RH.1110_CR Status [SNAP],OSU_RTS.MDBUS_RH.1110_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1110_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1110_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1110_CS Time [SNAP],OSU_RTS.MDBUS_RH.1110_CS Value [SNAP],OSU_RTS.MDBUS_RH.1110_CS Status [SNAP],OSU_RTS.MDBUS_RH.1110_CST Time [SNAP],OSU_RTS.MDBUS_RH.1110_CST Value [SNAP],OSU_RTS.MDBUS_RH.1110_CST Status [SNAP],OSU_RTS.MDBUS_RH.1110_CV Time [SNAP],OSU_RTS.MDBUS_RH.1110_CV Value [SNAP],OSU_RTS.MDBUS_RH.1110_CV Status [SNAP],OSU_RTS.MDBUS_RH.1110_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1110_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1110_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1110_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1110_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1110_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1110_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1110_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1110_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1110_D2H Time [SNAP],OSU_RTS.MDBUS_RH.1110_D2H Value [SNAP],OSU_RTS.MDBUS_RH.1110_D2H Status [SNAP],OSU_RTS.MDBUS_RH.1110_D2L Time [SNAP],OSU_RTS.MDBUS_RH.1110_D2L Value [SNAP],OSU_RTS.MDBUS_RH.1110_D2L Status [SNAP],OSU_RTS.MDBUS_RH.1110_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1110_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1110_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1110_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1110_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1110_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1110_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1110_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1110_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1110_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1110_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1110_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1110_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1110_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1110_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1110_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1110_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1110_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1110_EC Time [SNAP],OSU_RTS.MDBUS_RH.1110_EC Value [SNAP],OSU_RTS.MDBUS_RH.1110_EC Status [SNAP],OSU_RTS.MDBUS_RH.1110_GBV Time [SNAP],OSU_RTS.MDBUS_RH.1110_GBV Value [SNAP],OSU_RTS.MDBUS_RH.1110_GBV Status [SNAP],OSU_RTS.MDBUS_RH.1110_GCV Time [SNAP],OSU_RTS.MDBUS_RH.1110_GCV Value [SNAP],OSU_RTS.MDBUS_RH.1110_GCV Status [SNAP],OSU_RTS.MDBUS_RH.1110_GP Time [SNAP],OSU_RTS.MDBUS_RH.1110_GP Value [SNAP],OSU_RTS.MDBUS_RH.1110_GP Status [SNAP],OSU_RTS.MDBUS_RH.1110_GT Time [SNAP],OSU_RTS.MDBUS_RH.1110_GT Value [SNAP],OSU_RTS.MDBUS_RH.1110_GT Status [SNAP],OSU_RTS.MDBUS_RH.1110_GUV Time [SNAP],OSU_RTS.MDBUS_RH.1110_GUV Value [SNAP],OSU_RTS.MDBUS_RH.1110_GUV Status [SNAP],OSU_RTS.MDBUS_RH.1110_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1110_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1110_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1110_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1110_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1110_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1110_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1110_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1110_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1110_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1110_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1110_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1110_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1110_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1110_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1110_HST Time [SNAP],OSU_RTS.MDBUS_RH.1110_HST Value [SNAP],OSU_RTS.MDBUS_RH.1110_HST Status [SNAP],OSU_RTS.MDBUS_RH.1110_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1110_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1110_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1110C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1110C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1110C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1110C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1110C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1110C_HG Status [SNAP],Comments
10/15/18 0:00,905039,OK,10/15/18 0:00,174436,OK,10/15/18 0:00,1.878689885,OK,10/15/18 0:00,8.254103661,OK,10/15/18 0:00,17.48968124,OK,10/15/18 0:00,2328817.25,OK,10/15/18 0:00,8.824555397,OK,10/15/18 0:00,761170.9375,OK,10/15/18 0:00,43.12112427,OK,10/15/18 0:00,51.51400375,OK,10/15/18 0:00,41.24243164,OK,10/15/18 0:00,43.25989914,OK,10/15/18 0:00,222.235955,OK,10/15/18 0:00,25.56790026,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,17.87176132,OK,10/15/18 0:00,84.11968994,OK,10/15/18 0:00,129.8331604,OK,10/15/18 0:00,147.7049255,OK,10/15/18 0:00,842761.875,OK,10/15/18 0:00,9.585146533,OK,10/15/18 0:00,2259781,OK,10/15/18 0:00,3.79E-37,OK,10/15/18 0:00,3.79E-37,OK,10/15/18 0:00,3.79E-37,LOW ALARM,10/15/18 0:00,3.79E-37,OK,10/15/18 0:00,0,OK,10/15/18 0:00,3.513326645,OK,10/15/18 0:00,126.2960892,OK,10/15/18 0:00,3981402.25,OK,10/15/18 0:00,998152.8125,OK,10/15/18 0:00,108.3809204,OK,10/15/18 0:00,111.894249,OK,10/15/18 0:00,72.58419905,OK,10/15/18 0:00,209.8761749,OK,10/15/18 0:00,27945807,OK,
10/15/18 0:15,905074,OK,10/15/18 0:15,174441,OK,10/15/18 0:15,1.962218046,OK,10/15/18 0:15,8.418207169,OK,10/15/18 0:15,18.45535851,OK,10/15/18 0:15,2328821.75,OK,10/15/18 0:15,8.744589806,OK,10/15/18 0:15,761173.1875,OK,10/15/18 0:15,43.10270309,OK,10/15/18 0:15,51.67073441,OK,10/15/18 0:15,41.14048767,OK,10/15/18 0:15,43.25252533,OK,10/15/18 0:15,222.9858724,OK,10/15/18 0:15,24.84260703,OK,,,,,,,,,,,,,10/15/18 0:15,19.26019478,OK,10/15/18 0:15,70.01062775,OK,10/15/18 0:15,130.1459351,OK,10/15/18 0:15,149.4061279,OK,10/15/18 0:15,842782.5,OK,10/15/18 0:15,7.406115323,OK,10/15/18 0:15,2259808,OK,10/15/18 0:15,3.79E-37,OK,10/15/18 0:15,3.79E-37,OK,10/15/18 0:15,3.79E-37,LOW ALARM,10/15/18 0:15,3.79E-37,OK,10/15/18 0:15,0,OK,10/15/18 0:15,1.659822941,OK,10/15/18 0:15,59.6932373,OK,10/15/18 0:15,3981444,OK,10/15/18 0:15,998161.8125,OK,10/15/18 0:15,109.6784668,OK,10/15/18 0:15,111.338295,OK,10/15/18 0:15,72.6072708,OK,10/15/18 0:15,219.9462662,OK,10/15/18 0:15,27945861,OK,
10/15/18 0:30,905101,OK,10/15/18 0:30,174445,OK,10/15/18 0:30,2.031885624,OK,10/15/18 0:30,7.693329811,OK,10/15/18 0:30,19.08511353,OK,10/15/18 0:30,2328826.5,OK,10/15/18 0:30,8.094560623,OK,10/15/18 0:30,761175.3125,OK,10/15/18 0:30,43.16309738,OK,10/15/18 0:30,50.84365845,OK,10/15/18 0:30,41.13121033,OK,10/15/18 0:30,43.15032959,OK,10/15/18 0:30,224.224569,OK,10/15/18 0:30,25.1602973,OK,,,,,,,,,,,,,10/15/18 0:30,15.2818737,OK,10/15/18 0:30,48.26037216,OK,10/15/18 0:30,129.8629456,OK,10/15/18 0:30,145.1448059,OK,10/15/18 0:30,842794.375,OK,10/15/18 0:30,6.427038939,OK,10/15/18 0:30,2259833,OK,10/15/18 0:30,3.79E-37,OK,10/15/18 0:30,3.79E-37,OK,10/15/18 0:30,3.79E-37,LOW ALARM,10/15/18 0:30,3.79E-37,OK,10/15/18 0:30,0,OK,10/15/18 0:30,1.055589437,OK,10/15/18 0:30,37.61507797,OK,10/15/18 0:30,3981451.5,OK,10/15/18 0:30,998170.75,OK,10/15/18 0:30,106.703186,OK,10/15/18 0:30,107.7587814,OK,10/15/18 0:30,71.88043335,OK,10/15/18 0:30,229.0213623,OK,10/15/18 0:30,27945918,OK,
10/15/18 0:45,905126,OK,10/15/18 0:45,174449,OK,10/15/18 0:45,2.034793854,OK,10/15/18 0:45,7.019179821,OK,10/15/18 0:45,19.26262665,OK,10/15/18 0:45,2328831,OK,10/15/18 0:45,8.441915512,OK,10/15/18 0:45,761177.375,OK,10/15/18 0:45,43.05705261,OK,10/15/18 0:45,50.13321304,OK,10/15/18 0:45,41.02226257,OK,10/15/18 0:45,43.11403275,OK,10/15/18 0:45,225.9865509,OK,10/15/18 0:45,28.75777729,OK,,,,,,,,,,,,,10/15/18 0:45,14.62492943,OK,10/15/18 0:45,49.47447586,OK,10/15/18 0:45,128.659256,OK,10/15/18 0:45,143.2841797,OK,10/15/18 0:45,842803.625,OK,10/15/18 0:45,6.881953229,OK,10/15/18 0:45,2259859,OK,10/15/18 0:45,3.79E-37,OK,10/15/18 0:45,3.79E-37,OK,10/15/18 0:45,3.79E-37,LOW ALARM,10/15/18 0:45,3.79E-37,OK,10/15/18 0:45,0,OK,10/15/18 0:45,1.048437357,OK,10/15/18 0:45,37.0434761,OK,10/15/18 0:45,3981499.5,OK,10/15/18 0:45,998179.6875,OK,10/15/18 0:45,108.2541504,OK,10/15/18 0:45,109.3025818,OK,10/15/18 0:45,71.29741388,OK,10/15/18 0:45,231.1515198,OK,10/15/18 0:45,27945972,OK,
10/15/18 1:00,905146,OK,10/15/18 1:00,174452,OK,10/15/18 1:00,2.093654871,OK,10/15/18 1:00,7.26939249,OK,10/15/18 1:00,19.44805145,OK,10/15/18 1:00,2328835.75,OK,10/15/18 1:00,10.36094666,OK,10/15/18 1:00,761179.625,OK,10/15/18 1:00,43.25201416,OK,10/15/18 1:00,50.35544968,OK,10/15/18 1:00,41.15835953,OK,10/15/18 1:00,43.08605957,OK,10/15/18 1:00,221.7473385,OK,10/15/18 1:00,34.08081059,OK,,,,,,,,,,,,,10/15/18 1:00,22.78543854,OK,10/15/18 1:00,65.97476959,OK,10/15/18 1:00,128.9694672,OK,10/15/18 1:00,151.7549133,OK,10/15/18 1:00,842819.5,OK,10/15/18 1:00,5.980419492,OK,10/15/18 1:00,2259884,OK,10/15/18 1:00,3.79E-37,OK,10/15/18 1:00,3.79E-37,OK,10/15/18 1:00,3.79E-37,LOW ALARM,10/15/18 1:00,3.79E-37,OK,10/15/18 1:00,0,OK,10/15/18 1:00,1.90431118,OK,10/15/18 1:00,68.83882904,OK,10/15/18 1:00,3981508,OK,10/15/18 1:00,998188.625,OK,10/15/18 1:00,106.1542664,OK,10/15/18 1:00,108.0585785,OK,10/15/18 1:00,72.92430188,OK,10/15/18 1:00,233.3766174,OK,10/15/18 1:00,27946029,OK,
10/15/18 1:15,905165,OK,10/15/18 1:15,174455,OK,10/15/18 1:15,1.968946099,OK,10/15/18 1:15,7.384158134,OK,10/15/18 1:15,18.41022491,OK,10/15/18 1:15,2328840.5,OK,10/15/18 1:15,8.619020462,OK,10/15/18 1:15,761182.0625,OK,10/15/18 1:15,42.88423157,OK,10/15/18 1:15,50.4790802,OK,10/15/18 1:15,40.9152832,OK,10/15/18 1:15,43.09492493,OK,10/15/18 1:15,223.2093957,OK,10/15/18 1:15,27.91081415,OK,,,,,,,,,,,,,10/15/18 1:15,18.69213676,OK,10/15/18 1:15,85.53203583,OK,10/15/18 1:15,129.5740051,OK,10/15/18 1:15,148.2661438,OK,10/15/18 1:15,842837.125,OK,10/15/18 1:15,9.319703399,OK,10/15/18 1:15,2259908,OK,10/15/18 1:15,3.79E-37,OK,10/15/18 1:15,3.79E-37,OK,10/15/18 1:15,3.79E-37,LOW ALARM,10/15/18 1:15,3.79E-37,OK,10/15/18 1:15,0,OK,10/15/18 1:15,10.91303253,OK,10/15/18 1:15,398.8230286,OK,10/15/18 1:15,3981546.75,OK,10/15/18 1:15,998197.75,OK,10/15/18 1:15,105.6151886,OK,10/15/18 1:15,116.5282211,OK,10/15/18 1:15,73.87314898,OK,10/15/18 1:15,220.922699,OK,10/15/18 1:15,27946086,OK,
10/15/18 1:30,905178,OK,10/15/18 1:30,174457,OK,10/15/18 1:30,1.70741868,OK,10/15/18 1:30,7.003083229,OK,10/15/18 1:30,16.03108788,OK,10/15/18 1:30,2328844.75,OK,10/15/18 1:30,6.623062611,OK,10/15/18 1:30,761183.9375,OK,10/15/18 1:30,43.01168442,OK,10/15/18 1:30,50.05360413,OK,10/15/18 1:30,41.30426788,OK,10/15/18 1:30,43.05052185,OK,10/15/18 1:30,224.1351141,OK,10/15/18 1:30,22.61305398,OK,,,,,,,,,,,,,10/15/18 1:30,15.60919189,OK,10/15/18 1:30,30.25787926,OK,10/15/18 1:30,130.1492004,OK,10/15/18 1:30,145.7583923,OK,10/15/18 1:30,842846.9375,OK,10/15/18 1:30,3.945611137,OK,10/15/18 1:30,2259931,OK,10/15/18 1:30,3.79E-37,OK,10/15/18 1:30,3.79E-37,OK,10/15/18 1:30,3.79E-37,LOW ALARM,10/15/18 1:30,3.79E-37,OK,10/15/18 1:30,0,OK,10/15/18 1:30,1.542713523,OK,10/15/18 1:30,54.75785065,OK,10/15/18 1:30,3981584.5,OK,10/15/18 1:30,998206.75,OK,10/15/18 1:30,108.4976349,OK,10/15/18 1:30,110.0403595,OK,10/15/18 1:30,71.63758181,OK,10/15/18 1:30,192.3730545,OK,10/15/18 1:30,27946137,OK,
10/15/18 1:45,905197,OK,10/15/18 1:45,174461,OK,10/15/18 1:45,1.598498106,OK,10/15/18 1:45,7.265915871,OK,10/15/18 1:45,15.11165237,OK,10/15/18 1:45,2328848.75,OK,10/15/18 1:45,6.375207424,OK,10/15/18 1:45,761185.5,OK,10/15/18 1:45,42.83494186,OK,10/15/18 1:45,50.43386841,OK,10/15/18 1:45,41.23644257,OK,10/15/18 1:45,43.16795349,OK,10/15/18 1:45,225.677072,OK,10/15/18 1:45,20.98094126,OK,,,,,,,,,,,,,10/15/18 1:45,12.72256374,OK,10/15/18 1:45,36.90563202,OK,10/15/18 1:45,130.5489807,OK,10/15/18 1:45,143.2715454,OK,10/15/18 1:45,842855.5625,OK,10/15/18 1:45,5.902026404,OK,10/15/18 1:45,2259954,OK,10/15/18 1:45,3.79E-37,OK,10/15/18 1:45,3.79E-37,OK,10/15/18 1:45,3.79E-37,LOW ALARM,10/15/18 1:45,3.79E-37,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0.565642715,OK,10/15/18 1:45,0,OK,10/15/18 1:45,3981585.75,OK,10/15/18 1:45,998215.5625,OK,10/15/18 1:45,106.2384796,OK,10/15/18 1:45,106.8041229,OK,10/15/18 1:45,71.64332737,OK,10/15/18 1:45,181.3398285,OK,10/15/18 1:45,27946185,OK,
10/15/18 2:00,905207,OK,10/15/18 2:00,174462,OK,10/15/18 2:00,1.672016382,OK,10/15/18 2:00,7.529523849,OK,10/15/18 2:00,15.61467743,OK,10/15/18 2:00,2328852.5,OK,10/15/18 2:00,6.358368397,OK,10/15/18 2:00,761187.0625,OK,10/15/18 2:00,42.89294434,OK,10/15/18 2:00,50.79088593,OK,10/15/18 2:00,41.22092438,OK,10/15/18 2:00,43.26136017,OK,10/15/18 2:00,222.9359039,OK,10/15/18 2:00,20.19406639,OK,,,,,,,,,,,,,10/15/18 2:00,20.91864014,OK,10/15/18 2:00,0,OK,10/15/18 2:00,129.4903259,OK,10/15/18 2:00,150.4089661,OK,10/15/18 2:00,842862.3125,OK,10/15/18 2:00,0,OK,10/15/18 2:00,2259978,OK,10/15/18 2:00,3.79E-37,OK,10/15/18 2:00,3.79E-37,OK,10/15/18 2:00,3.79E-37,LOW ALARM,10/15/18 2:00,3.79E-37,OK,10/15/18 2:00,0,OK,10/15/18 2:00,14.8885746,OK,10/15/18 2:00,548.8775635,OK,10/15/18 2:00,3981612.75,OK,10/15/18 2:00,998224.5625,OK,10/15/18 2:00,103.9695587,OK,10/15/18 2:00,118.858139,OK,10/15/18 2:00,74.07589555,OK,10/15/18 2:00,187.3761292,OK,10/15/18 2:00,27946230,OK,
10/15/18 2:15,905210,OK,10/15/18 2:15,174463,OK,10/15/18 2:15,1.857606173,OK,10/15/18 2:15,8.137270927,OK,10/15/18 2:15,17.37134743,OK,10/15/18 2:15,2328856.75,OK,10/15/18 2:15,8.206454277,OK,10/15/18 2:15,761188.9375,OK,10/15/18 2:15,42.94307327,OK,10/15/18 2:15,51.25432968,OK,10/15/18 2:15,41.08546448,OK,10/15/18 2:15,43.1170578,OK,10/15/18 2:15,223.2372283,OK,10/15/18 2:15,24.11570447,OK,,,,,,,,,,,,,10/15/18 2:15,22.94826317,OK,10/15/18 2:15,31.0525074,OK,10/15/18 2:15,127.68647,OK,10/15/18 2:15,150.6347351,OK,10/15/18 2:15,842871.625,OK,10/15/18 2:15,2.757859264,OK,10/15/18 2:15,2260002,OK,10/15/18 2:15,3.79E-37,OK,10/15/18 2:15,3.79E-37,OK,10/15/18 2:15,3.79E-37,LOW ALARM,10/15/18 2:15,3.79E-37,OK,10/15/18 2:15,0,OK,10/15/18 2:15,1.19527781,OK,10/15/18 2:15,43.07312775,OK,10/15/18 2:15,3981667.75,OK,10/15/18 2:15,998233.6875,OK,10/15/18 2:15,110.6798706,OK,10/15/18 2:15,111.8751373,OK,10/15/18 2:15,72.7633042,OK,10/15/18 2:15,208.4561691,OK,10/15/18 2:15,27946281,OK,
