OSU_RTS.MDBUS_E3.102_E1 Time [SNAP],OSU_RTS.MDBUS_E3.102_E1 Value [SNAP],OSU_RTS.MDBUS_E3.102_E1 Status [SNAP],OSU_RTS.MDBUS_RT.102_C Time [SNAP],OSU_RTS.MDBUS_RT.102_C Value [SNAP],OSU_RTS.MDBUS_RT.102_C Status [SNAP],OSU_RTS.MDBUS_RT.102_DP Time [SNAP],OSU_RTS.MDBUS_RT.102_DP Value [SNAP],OSU_RTS.MDBUS_RT.102_DP Status [SNAP],OSU_RTS.MDBUS_RT.102_I Time [SNAP],OSU_RTS.MDBUS_RT.102_I Value [SNAP],OSU_RTS.MDBUS_RT.102_I Status [SNAP],OSU_RTS.MDBUS_RT.102_P Time [SNAP],OSU_RTS.MDBUS_RT.102_P Value [SNAP],OSU_RTS.MDBUS_RT.102_P Status [SNAP],OSU_RTS.MDBUS_RT.102_T Time [SNAP],OSU_RTS.MDBUS_RT.102_T Value [SNAP],OSU_RTS.MDBUS_RT.102_T Status [SNAP],OSU_RTS.MDBUS_RT.102S_HF Time [SNAP],OSU_RTS.MDBUS_RT.102S_HF Value [SNAP],OSU_RTS.MDBUS_RT.102S_HF Status [SNAP],OSU_RTS.MDBUS_RT.102S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.102S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.102S_HGT Status [SNAP],Comments
10/15/18 0:00,276663,OK,10/15/18 0:00,306716.5625,OK,10/15/18 0:00,6.488988876,OK,10/15/18 0:00,0,OK,10/15/18 0:00,184.024704,OK,10/15/18 0:00,364.5718689,OK,10/15/18 0:00,0,OK,10/15/18 0:00,677403.875,OK,
10/15/18 0:15,276668,OK,10/15/18 0:15,306728.7813,OK,10/15/18 0:15,1.703552127,OK,10/15/18 0:15,0,OK,10/15/18 0:15,182.411026,OK,10/15/18 0:15,364.6507263,OK,10/15/18 0:15,0,OK,10/15/18 0:15,677418.5,OK,
10/15/18 0:30,276674,OK,10/15/18 0:30,306747.0313,OK,10/15/18 0:30,8.557182312,OK,10/15/18 0:30,0,OK,10/15/18 0:30,182.7184906,OK,10/15/18 0:30,364.1630249,OK,10/15/18 0:30,0,OK,10/15/18 0:30,677440.375,OK,
10/15/18 0:45,276681,OK,10/15/18 0:45,306758.8438,OK,10/15/18 0:45,6.128089905,OK,10/15/18 0:45,0,OK,10/15/18 0:45,181.4485626,OK,10/15/18 0:45,363.7287598,OK,10/15/18 0:45,0,OK,10/15/18 0:45,677454.5625,OK,
10/15/18 1:00,276687,OK,10/15/18 1:00,306766.9063,OK,10/15/18 1:00,53.11803818,OK,10/15/18 1:00,0.38458847,OK,10/15/18 1:00,180.4518433,OK,10/15/18 1:00,363.9942627,OK,10/15/18 1:00,460.7217407,OK,10/15/18 1:00,677464.1875,OK,
10/15/18 1:15,276692,OK,10/15/18 1:15,306782.4375,OK,10/15/18 1:15,17.87332153,OK,10/15/18 1:15,0.08600515,OK,10/15/18 1:15,183.9541168,OK,10/15/18 1:15,364.7794189,OK,10/15/18 1:15,103.051857,OK,10/15/18 1:15,677482.8125,OK,
10/15/18 1:30,276698,OK,10/15/18 1:30,306789.8125,OK,10/15/18 1:30,1.337191939,OK,10/15/18 1:30,0,OK,10/15/18 1:30,183.0855255,OK,10/15/18 1:30,364.5961304,OK,10/15/18 1:30,0,OK,10/15/18 1:30,677491.625,OK,
10/15/18 1:45,276705,OK,10/15/18 1:45,306805,OK,10/15/18 1:45,57.21446991,OK,10/15/18 1:45,0.438580902,OK,10/15/18 1:45,182.912796,OK,10/15/18 1:45,365.0788574,OK,10/15/18 1:45,525.4780884,OK,10/15/18 1:45,677509.875,OK,
10/15/18 2:00,276712,OK,10/15/18 2:00,306815.0313,OK,10/15/18 2:00,2.930768728,OK,10/15/18 2:00,0,OK,10/15/18 2:00,183.6303558,OK,10/15/18 2:00,364.5032349,OK,10/15/18 2:00,0,OK,10/15/18 2:00,677521.875,OK,
10/15/18 2:15,276717,OK,10/15/18 2:15,306827.4688,OK,10/15/18 2:15,0.600572586,OK,10/15/18 2:15,0,OK,10/15/18 2:15,182.7678375,OK,10/15/18 2:15,364.6203308,OK,10/15/18 2:15,0,OK,10/15/18 2:15,677536.75,OK,
10/15/18 2:30,276723,OK,10/15/18 2:30,306844.3438,OK,10/15/18 2:30,19.58808899,OK,10/15/18 2:30,0.090728828,OK,10/15/18 2:30,181.8997955,OK,10/15/18 2:30,364.2454224,OK,10/15/18 2:30,108.6988602,OK,10/15/18 2:30,677557,OK,
10/15/18 2:45,276729,OK,10/15/18 2:45,306854.4688,OK,10/15/18 2:45,57.46487045,OK,10/15/18 2:45,0.440772705,OK,10/15/18 2:45,182.0683746,OK,10/15/18 2:45,364.5285034,OK,10/15/18 2:45,528.078064,OK,10/15/18 2:45,677569.125,OK,
