OSU_RTS.MDBUS_C1.070_CDT Time [SNAP],OSU_RTS.MDBUS_C1.070_CDT Value [SNAP],OSU_RTS.MDBUS_C1.070_CDT Status [SNAP],OSU_RTS.MDBUS_C1.070_CHF Time [SNAP],OSU_RTS.MDBUS_C1.070_CHF Value [SNAP],OSU_RTS.MDBUS_C1.070_CHF Status [SNAP],OSU_RTS.MDBUS_C1.070_CHT Time [SNAP],OSU_RTS.MDBUS_C1.070_CHT Value [SNAP],OSU_RTS.MDBUS_C1.070_CHT Status [SNAP],OSU_RTS.MDBUS_C1.070_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.070_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.070_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.070_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.070_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.070_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.070_CVF Time [SNAP],OSU_RTS.MDBUS_C1.070_CVF Value [SNAP],OSU_RTS.MDBUS_C1.070_CVF Status [SNAP],OSU_RTS.MDBUS_C1.070_HF Time [SNAP],OSU_RTS.MDBUS_C1.070_HF Value [SNAP],OSU_RTS.MDBUS_C1.070_HF Status [SNAP],OSU_RTS.MDBUS_C1.070_HGT Time [SNAP],OSU_RTS.MDBUS_C1.070_HGT Value [SNAP],OSU_RTS.MDBUS_C1.070_HGT Status [SNAP],OSU_RTS.MDBUS_CC.070_MHT Time [SNAP],OSU_RTS.MDBUS_CC.070_MHT Value [SNAP],OSU_RTS.MDBUS_CC.070_MHT Status [SNAP],OSU_RTS.MDBUS_CC.070_PHT Time [SNAP],OSU_RTS.MDBUS_CC.070_PHT Value [SNAP],OSU_RTS.MDBUS_CC.070_PHT Status [SNAP],OSU_RTS.MDBUS_E1.070E1 Time [SNAP],OSU_RTS.MDBUS_E1.070E1 Value [SNAP],OSU_RTS.MDBUS_E1.070E1 Status [SNAP],OSU_RTS.MDBUS_E1.070E1_C Time [SNAP],OSU_RTS.MDBUS_E1.070E1_C Value [SNAP],OSU_RTS.MDBUS_E1.070E1_C Status [SNAP],OSU_RTS.MDBUS_E1.070E1_C1 Time [SNAP],OSU_RTS.MDBUS_E1.070E1_C1 Value [SNAP],OSU_RTS.MDBUS_E1.070E1_C1 Status [SNAP],OSU_RTS.MDBUS_E1.070E1_1 Time [SNAP],OSU_RTS.MDBUS_E1.070E1_1 Value [SNAP],OSU_RTS.MDBUS_E1.070E1_1 Status [SNAP],OSU_RTS.MDBUS_E1.070E1ID1 Time [SNAP],OSU_RTS.MDBUS_E1.070E1ID1 Value [SNAP],OSU_RTS.MDBUS_E1.070E1ID1 Status [SNAP],OSU_RTS.MDBUS_E1.070E1ID2 Time [SNAP],OSU_RTS.MDBUS_E1.070E1ID2 Value [SNAP],OSU_RTS.MDBUS_E1.070E1ID2 Status [SNAP],OSU_RTS.MDBUS_E1.070E1ID3 Time [SNAP],OSU_RTS.MDBUS_E1.070E1ID3 Value [SNAP],OSU_RTS.MDBUS_E1.070E1ID3 Status [SNAP],OSU_RTS.MDBUS_E1.070E1VD1 Time [SNAP],OSU_RTS.MDBUS_E1.070E1VD1 Value [SNAP],OSU_RTS.MDBUS_E1.070E1VD1 Status [SNAP],OSU_RTS.MDBUS_E1.070E1VD2 Time [SNAP],OSU_RTS.MDBUS_E1.070E1VD2 Value [SNAP],OSU_RTS.MDBUS_E1.070E1VD2 Status [SNAP],OSU_RTS.MDBUS_E1.070E1VD3 Time [SNAP],OSU_RTS.MDBUS_E1.070E1VD3 Value [SNAP],OSU_RTS.MDBUS_E1.070E1VD3 Status [SNAP],OSU_RTS.MDBUS_E1.070E2 Time [SNAP],OSU_RTS.MDBUS_E1.070E2 Value [SNAP],OSU_RTS.MDBUS_E1.070E2 Status [SNAP],OSU_RTS.MDBUS_E1.070E2_C Time [SNAP],OSU_RTS.MDBUS_E1.070E2_C Value [SNAP],OSU_RTS.MDBUS_E1.070E2_C Status [SNAP],OSU_RTS.MDBUS_E1.070E2_C1 Time [SNAP],OSU_RTS.MDBUS_E1.070E2_C1 Value [SNAP],OSU_RTS.MDBUS_E1.070E2_C1 Status [SNAP],OSU_RTS.MDBUS_E1.070E2_I Time [SNAP],OSU_RTS.MDBUS_E1.070E2_I Value [SNAP],OSU_RTS.MDBUS_E1.070E2_I Status [SNAP],OSU_RTS.MDBUS_E1.070E2ID1 Time [SNAP],OSU_RTS.MDBUS_E1.070E2ID1 Value [SNAP],OSU_RTS.MDBUS_E1.070E2ID1 Status [SNAP],OSU_RTS.MDBUS_E1.070E2ID2 Time [SNAP],OSU_RTS.MDBUS_E1.070E2ID2 Value [SNAP],OSU_RTS.MDBUS_E1.070E2ID2 Status [SNAP],OSU_RTS.MDBUS_E1.070E2ID3 Time [SNAP],OSU_RTS.MDBUS_E1.070E2ID3 Value [SNAP],OSU_RTS.MDBUS_E1.070E2ID3 Status [SNAP],OSU_RTS.MDBUS_E1.070E2VD1 Time [SNAP],OSU_RTS.MDBUS_E1.070E2VD1 Value [SNAP],OSU_RTS.MDBUS_E1.070E2VD1 Status [SNAP],OSU_RTS.MDBUS_E1.070E2VD2 Time [SNAP],OSU_RTS.MDBUS_E1.070E2VD2 Value [SNAP],OSU_RTS.MDBUS_E1.070E2VD2 Status [SNAP],OSU_RTS.MDBUS_E1.070E2VD3 Time [SNAP],OSU_RTS.MDBUS_E1.070E2VD3 Value [SNAP],OSU_RTS.MDBUS_E1.070E2VD3 Status [SNAP],OSU_RTS.MDBUS_G1.070_GBV Time [SNAP],OSU_RTS.MDBUS_G1.070_GBV Value [SNAP],OSU_RTS.MDBUS_G1.070_GBV Status [SNAP],OSU_RTS.MDBUS_G1.070_GCV Time [SNAP],OSU_RTS.MDBUS_G1.070_GCV Value [SNAP],OSU_RTS.MDBUS_G1.070_GCV Status [SNAP],OSU_RTS.MDBUS_G1.070_GUV Time [SNAP],OSU_RTS.MDBUS_G1.070_GUV Value [SNAP],OSU_RTS.MDBUS_G1.070_GUV Status [SNAP],OSU_RTS.MDBUS_RT.070_TEST Time [SNAP],OSU_RTS.MDBUS_RT.070_TEST Value [SNAP],OSU_RTS.MDBUS_RT.070_TEST Status [SNAP],OSU_RTS.MDBUS_RT.070S_1 Time [SNAP],OSU_RTS.MDBUS_RT.070S_1 Value [SNAP],OSU_RTS.MDBUS_RT.070S_1 Status [SNAP],OSU_RTS.MDBUS_RT.070S_2 Time [SNAP],OSU_RTS.MDBUS_RT.070S_2 Value [SNAP],OSU_RTS.MDBUS_RT.070S_2 Status [SNAP],OSU_RTS.MDBUS_RT.070S_C Time [SNAP],OSU_RTS.MDBUS_RT.070S_C Value [SNAP],OSU_RTS.MDBUS_RT.070S_C Status [SNAP],OSU_RTS.MDBUS_RT.070S_CB Time [SNAP],OSU_RTS.MDBUS_RT.070S_CB Value [SNAP],OSU_RTS.MDBUS_RT.070S_CB Status [SNAP],OSU_RTS.MDBUS_RT.070S_HF Time [SNAP],OSU_RTS.MDBUS_RT.070S_HF Value [SNAP],OSU_RTS.MDBUS_RT.070S_HF Status [SNAP],OSU_RTS.MDBUS_RT.070S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.070S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.070S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.070S_HSE Time [SNAP],OSU_RTS.MDBUS_RT.070S_HSE Value [SNAP],OSU_RTS.MDBUS_RT.070S_HSE Status [SNAP],OSU_RTS.MDBUS_RT.070S_I Time [SNAP],OSU_RTS.MDBUS_RT.070S_I Value [SNAP],OSU_RTS.MDBUS_RT.070S_I Status [SNAP],OSU_RTS.MDBUS_RT.070S_P Time [SNAP],OSU_RTS.MDBUS_RT.070S_P Value [SNAP],OSU_RTS.MDBUS_RT.070S_P Status [SNAP],OSU_RTS.MDBUS_RT.070S_T Time [SNAP],OSU_RTS.MDBUS_RT.070S_T Value [SNAP],OSU_RTS.MDBUS_RT.070S_T Status [SNAP],Comments
10/15/18 0:00,13.04488754,OK,10/15/18 0:00,204.2032623,OK,10/15/18 0:00,36297468,OK,10/15/18 0:00,54.13824463,OK,10/15/18 0:00,41.09335709,OK,10/15/18 0:00,374.4610596,OK,10/15/18 0:00,2450.439148,OK,10/15/18 0:00,435569616,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,64538040,OK,10/15/18 0:00,50616,OK,10/15/18 0:00,984,OK,10/15/18 0:00,737,OK,10/15/18 0:00,12.4,OK,10/15/18 0:00,13.3,OK,10/15/18 0:00,11.3,OK,10/15/18 0:00,4.2,OK,10/15/18 0:00,3.6,OK,10/15/18 0:00,3.8,OK,10/15/18 0:00,10814657,OK,10/15/18 0:00,1217,OK,10/15/18 0:00,165,OK,10/15/18 0:00,199,OK,10/15/18 0:00,4.8,OK,10/15/18 0:00,7.5,OK,10/15/18 0:00,0,OK,10/15/18 0:00,2.8,OK,10/15/18 0:00,2.5,OK,10/15/18 0:00,2.8,OK,10/15/18 0:00,4.860000134,OK,10/15/18 0:00,32,OK,10/15/18 0:00,33,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,3407621,OK,01/01/70 0:00,0,No Records.,10/15/18 0:00,3639.687256,OK,10/15/18 0:00,4200240,OK,10/15/18 0:00,1262.007324,OK,10/15/18 0:00,2.884045898,OK,10/15/18 0:00,188.0197296,OK,10/15/18 0:00,488.2122192,OK,
10/15/18 0:15,13.36940575,OK,10/15/18 0:15,214.510376,OK,10/15/18 0:15,36297520,OK,10/15/18 0:15,54.25582886,OK,10/15/18 0:15,40.8864212,OK,10/15/18 0:15,384.166687,OK,10/15/18 0:15,2574.124512,OK,10/15/18 0:15,435570240,OK,,,,,,,10/15/18 0:15,64538212,OK,10/15/18 0:15,50788,OK,10/15/18 0:15,984,OK,10/15/18 0:15,687,OK,10/15/18 0:15,14,OK,10/15/18 0:15,13.8,OK,10/15/18 0:15,12.4,OK,10/15/18 0:15,4.4,OK,10/15/18 0:15,3.9,OK,10/15/18 0:15,4.1,OK,10/15/18 0:15,10814707,OK,10/15/18 0:15,1267,OK,10/15/18 0:15,165,OK,10/15/18 0:15,198,OK,10/15/18 0:15,6.9,OK,10/15/18 0:15,6.9,OK,10/15/18 0:15,0,OK,10/15/18 0:15,2.9,OK,10/15/18 0:15,2.6,OK,10/15/18 0:15,2.9,OK,10/15/18 0:15,4.860000134,OK,10/15/18 0:15,32,OK,10/15/18 0:15,33,OK,,,,,,,,,,10/15/18 0:15,3408276.5,OK,,,,10/15/18 0:15,2915.39502,OK,10/15/18 0:15,4201067.5,OK,10/15/18 0:15,1260.15979,OK,10/15/18 0:15,2.313512451,OK,10/15/18 0:15,186.9448395,OK,10/15/18 0:15,484.7611084,OK,
10/15/18 0:30,13.28099632,OK,10/15/18 0:30,213.4409637,OK,10/15/18 0:30,36297572,OK,10/15/18 0:30,54.23562241,OK,10/15/18 0:30,40.95462799,OK,10/15/18 0:30,384.3296509,OK,10/15/18 0:30,2561.291565,OK,10/15/18 0:30,435570864,OK,,,,,,,10/15/18 0:30,64538383,OK,10/15/18 0:30,50959,OK,10/15/18 0:30,984,OK,10/15/18 0:30,684,OK,10/15/18 0:30,13.5,OK,10/15/18 0:30,14.6,OK,10/15/18 0:30,11.6,OK,10/15/18 0:30,4.1,OK,10/15/18 0:30,3.7,OK,10/15/18 0:30,3.5,OK,10/15/18 0:30,10814756,OK,10/15/18 0:30,1316,OK,10/15/18 0:30,165,OK,10/15/18 0:30,197,OK,10/15/18 0:30,5.5,OK,10/15/18 0:30,7.1,OK,10/15/18 0:30,0,OK,10/15/18 0:30,2.8,OK,10/15/18 0:30,2.5,OK,10/15/18 0:30,2.8,OK,10/15/18 0:30,4.880000114,OK,10/15/18 0:30,32,OK,10/15/18 0:30,33,OK,,,,,,,,,,10/15/18 0:30,3408888.5,OK,,,,10/15/18 0:30,3284.414307,OK,10/15/18 0:30,4201837.5,OK,10/15/18 0:30,1258.456055,OK,10/15/18 0:30,2.609870361,OK,10/15/18 0:30,187.7383423,OK,10/15/18 0:30,481.9273071,OK,
10/15/18 0:45,13.67081451,OK,10/15/18 0:45,225.6121674,OK,10/15/18 0:45,36297628,OK,10/15/18 0:45,54.5591011,OK,10/15/18 0:45,40.88828278,OK,10/15/18 0:45,394.6829529,OK,10/15/18 0:45,2707.346008,OK,10/15/18 0:45,435571536,OK,,,,,,,10/15/18 0:45,64538556,OK,10/15/18 0:45,51132,OK,10/15/18 0:45,984,OK,10/15/18 0:45,689,OK,10/15/18 0:45,13.6,OK,10/15/18 0:45,13.8,OK,10/15/18 0:45,12,OK,10/15/18 0:45,4.2,OK,10/15/18 0:45,3.7,OK,10/15/18 0:45,4,OK,10/15/18 0:45,10814805,OK,10/15/18 0:45,1365,OK,10/15/18 0:45,165,OK,10/15/18 0:45,197,OK,10/15/18 0:45,6.7,OK,10/15/18 0:45,5.3,OK,10/15/18 0:45,0,OK,10/15/18 0:45,3,OK,10/15/18 0:45,2.6,OK,10/15/18 0:45,3,OK,10/15/18 0:45,4.880000114,OK,10/15/18 0:45,32,OK,10/15/18 0:45,33,OK,,,,,,,,,,10/15/18 0:45,3409535.5,OK,,,,10/15/18 0:45,3403.348633,OK,10/15/18 0:45,4202652,OK,10/15/18 0:45,1258.370972,OK,10/15/18 0:45,2.704590332,OK,10/15/18 0:45,186.8803253,OK,10/15/18 0:45,481.5825195,OK,
10/15/18 1:00,13.37454033,OK,10/15/18 1:00,216.4580994,OK,10/15/18 1:00,36297680,OK,10/15/18 1:00,54.46059799,OK,10/15/18 1:00,41.08605957,OK,10/15/18 1:00,387.0603943,OK,10/15/18 1:00,2597.497192,OK,10/15/18 1:00,435572160,OK,,,,,,,10/15/18 1:00,64538727,OK,10/15/18 1:00,51303,OK,10/15/18 1:00,984,OK,10/15/18 1:00,688,OK,10/15/18 1:00,13.6,OK,10/15/18 1:00,14.1,OK,10/15/18 1:00,11.9,OK,10/15/18 1:00,4.3,OK,10/15/18 1:00,3.6,OK,10/15/18 1:00,3.8,OK,10/15/18 1:00,10814855,OK,10/15/18 1:00,1415,OK,10/15/18 1:00,165,OK,10/15/18 1:00,197,OK,10/15/18 1:00,5.3,OK,10/15/18 1:00,7.3,OK,10/15/18 1:00,3.9,OK,10/15/18 1:00,2.9,OK,10/15/18 1:00,2.7,OK,10/15/18 1:00,2.9,OK,10/15/18 1:00,4.860000134,OK,10/15/18 1:00,32,OK,10/15/18 1:00,33,OK,,,,,,,,,,10/15/18 1:00,3410169,OK,,,,10/15/18 1:00,3269.968506,OK,10/15/18 1:00,4203448.5,OK,10/15/18 1:00,1257.940796,OK,10/15/18 1:00,2.599461426,OK,10/15/18 1:00,187.473465,OK,10/15/18 1:00,480.9696655,OK,
10/15/18 1:15,13.69455719,OK,10/15/18 1:15,221.1558685,OK,10/15/18 1:15,36297736,OK,10/15/18 1:15,54.50363159,OK,10/15/18 1:15,40.8090744,OK,10/15/18 1:15,386.2083435,OK,10/15/18 1:15,2653.870422,OK,10/15/18 1:15,435572832,OK,,,,,,,10/15/18 1:15,64538898,OK,10/15/18 1:15,51474,OK,10/15/18 1:15,984,OK,10/15/18 1:15,684,OK,10/15/18 1:15,14.8,OK,10/15/18 1:15,15.3,OK,10/15/18 1:15,12.6,OK,10/15/18 1:15,4.3,OK,10/15/18 1:15,3.6,OK,10/15/18 1:15,3.6,OK,10/15/18 1:15,10814904,OK,10/15/18 1:15,1464,OK,10/15/18 1:15,165,OK,10/15/18 1:15,196,OK,10/15/18 1:15,5.4,OK,10/15/18 1:15,7,OK,10/15/18 1:15,0,OK,10/15/18 1:15,2.8,OK,10/15/18 1:15,2.5,OK,10/15/18 1:15,2.8,OK,10/15/18 1:15,4.890000343,OK,10/15/18 1:15,32,OK,10/15/18 1:15,33,OK,,,,,,,,,,10/15/18 1:15,3410811.5,OK,,,,10/15/18 1:15,3659.11499,OK,10/15/18 1:15,4204257,OK,10/15/18 1:15,1257.874756,OK,10/15/18 1:15,2.908982666,OK,10/15/18 1:15,188.0217743,OK,10/15/18 1:15,480.9645386,OK,
10/15/18 1:30,13.53538704,OK,10/15/18 1:30,217.0134277,OK,10/15/18 1:30,36297792,OK,10/15/18 1:30,54.79675674,OK,10/15/18 1:30,41.2613678,OK,10/15/18 1:30,383.4763489,OK,10/15/18 1:30,2604.161133,OK,10/15/18 1:30,435573504,OK,,,,,,,10/15/18 1:30,64539069,OK,10/15/18 1:30,51645,OK,10/15/18 1:30,984,OK,10/15/18 1:30,687,OK,10/15/18 1:30,13.7,OK,10/15/18 1:30,14,OK,10/15/18 1:30,12,OK,10/15/18 1:30,4.1,OK,10/15/18 1:30,3.6,OK,10/15/18 1:30,3.8,OK,10/15/18 1:30,10814953,OK,10/15/18 1:30,1513,OK,10/15/18 1:30,165,OK,10/15/18 1:30,197,OK,10/15/18 1:30,7.4,OK,10/15/18 1:30,7,OK,10/15/18 1:30,0,OK,10/15/18 1:30,2.7,OK,10/15/18 1:30,2.5,OK,10/15/18 1:30,2.9,OK,10/15/18 1:30,4.860000134,OK,10/15/18 1:30,32,OK,10/15/18 1:30,33,OK,,,,,,,,,,10/15/18 1:30,3411430,OK,,,,10/15/18 1:30,3491.044434,OK,10/15/18 1:30,4205035,OK,10/15/18 1:30,1257.252075,OK,10/15/18 1:30,2.776731689,OK,10/15/18 1:30,187.0347748,OK,10/15/18 1:30,479.6654053,OK,
10/15/18 1:45,13.48937035,OK,10/15/18 1:45,224.2769928,OK,10/15/18 1:45,36297848,OK,10/15/18 1:45,54.68464279,OK,10/15/18 1:45,41.19527435,OK,10/15/18 1:45,397.6513062,OK,10/15/18 1:45,2691.323914,OK,10/15/18 1:45,435574176,OK,,,,,,,10/15/18 1:45,64539241,OK,10/15/18 1:45,51817,OK,10/15/18 1:45,984,OK,10/15/18 1:45,683,OK,10/15/18 1:45,14.9,OK,10/15/18 1:45,15.6,OK,10/15/18 1:45,13.4,OK,10/15/18 1:45,4.3,OK,10/15/18 1:45,3.7,OK,10/15/18 1:45,4,OK,10/15/18 1:45,10815002,OK,10/15/18 1:45,1562,OK,10/15/18 1:45,165,OK,10/15/18 1:45,197,OK,10/15/18 1:45,5.3,OK,10/15/18 1:45,7.3,OK,10/15/18 1:45,0,OK,10/15/18 1:45,2.8,OK,10/15/18 1:45,2.6,OK,10/15/18 1:45,2.8,OK,10/15/18 1:45,4.860000134,OK,10/15/18 1:45,32,OK,10/15/18 1:45,33,OK,,,,,,,,,,10/15/18 1:45,3412063.75,OK,,,,10/15/18 1:45,3020.432129,OK,10/15/18 1:45,4205831.5,OK,10/15/18 1:45,1257.301025,OK,10/15/18 1:45,2.402313965,OK,10/15/18 1:45,188.3811035,OK,10/15/18 1:45,480.0317383,OK,
10/15/18 2:00,13.51186085,OK,10/15/18 2:00,218.0041199,OK,10/15/18 2:00,36297904,OK,10/15/18 2:00,54.45632935,OK,10/15/18 2:00,40.94446564,OK,10/15/18 2:00,385.8552856,OK,10/15/18 2:00,2616.049438,OK,10/15/18 2:00,435574848,OK,,,,,,,10/15/18 2:00,64539413,OK,10/15/18 2:00,51989,OK,10/15/18 2:00,984,OK,10/15/18 2:00,690,OK,10/15/18 2:00,14.7,OK,10/15/18 2:00,16.1,OK,10/15/18 2:00,12.3,OK,10/15/18 2:00,3.7,OK,10/15/18 2:00,3.4,OK,10/15/18 2:00,3.3,OK,10/15/18 2:00,10815051,OK,10/15/18 2:00,1611,OK,10/15/18 2:00,165,OK,10/15/18 2:00,196,OK,10/15/18 2:00,8.3,OK,10/15/18 2:00,8.5,OK,10/15/18 2:00,0,OK,10/15/18 2:00,2.6,OK,10/15/18 2:00,2.6,OK,10/15/18 2:00,2.8,OK,10/15/18 2:00,4.890000343,OK,10/15/18 2:00,32,OK,10/15/18 2:00,33,OK,,,,,,,,,,10/15/18 2:00,3412655.5,OK,,,,10/15/18 2:00,2935.29541,OK,10/15/18 2:00,4206575.5,OK,10/15/18 2:00,1255.855225,OK,10/15/18 2:00,2.337287842,OK,10/15/18 2:00,187.8632202,OK,10/15/18 2:00,477.3897705,OK,
10/15/18 2:15,13.10904694,OK,10/15/18 2:15,212.1033783,OK,10/15/18 2:15,36297956,OK,10/15/18 2:15,54.01385117,OK,10/15/18 2:15,40.90480423,OK,10/15/18 2:15,387.1409607,OK,10/15/18 2:15,2545.24054,OK,10/15/18 2:15,435575472,OK,,,,,,,10/15/18 2:15,64539586,OK,10/15/18 2:15,52162,OK,10/15/18 2:15,984,OK,10/15/18 2:15,689,OK,10/15/18 2:15,14.7,OK,10/15/18 2:15,15.4,OK,10/15/18 2:15,13.2,OK,10/15/18 2:15,4.2,OK,10/15/18 2:15,3.7,OK,10/15/18 2:15,4,OK,10/15/18 2:15,10815100,OK,10/15/18 2:15,1660,OK,10/15/18 2:15,165,OK,10/15/18 2:15,195,OK,10/15/18 2:15,7.5,OK,10/15/18 2:15,8,OK,10/15/18 2:15,0,OK,10/15/18 2:15,2.8,OK,10/15/18 2:15,2.7,OK,10/15/18 2:15,2.8,OK,10/15/18 2:15,4.880000114,OK,10/15/18 2:15,32,OK,10/15/18 2:15,33,OK,,,,,,,,,,10/15/18 2:15,3413259.5,OK,,,,10/15/18 2:15,2971.354248,OK,10/15/18 2:15,4207333.5,OK,10/15/18 2:15,1255.561035,OK,10/15/18 2:15,2.366554932,OK,10/15/18 2:15,187.5378113,OK,10/15/18 2:15,476.8060303,OK,
