OSU_RTS.CALC.1103_DWC Time [SNAP],OSU_RTS.CALC.1103_DWC Value [SNAP],OSU_RTS.CALC.1103_DWC Status [SNAP],OSU_RTS.CALC.1103_GPALARM Time [SNAP],OSU_RTS.CALC.1103_GPALARM Value [SNAP],OSU_RTS.CALC.1103_GPALARM Status [SNAP],OSU_RTS.MDBUS_RH.1103_CD Time [SNAP],OSU_RTS.MDBUS_RH.1103_CD Value [SNAP],OSU_RTS.MDBUS_RH.1103_CD Status [SNAP],OSU_RTS.MDBUS_RH.1103_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1103_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1103_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1103_CF Time [SNAP],OSU_RTS.MDBUS_RH.1103_CF Value [SNAP],OSU_RTS.MDBUS_RH.1103_CF Status [SNAP],OSU_RTS.MDBUS_RH.1103_CH Time [SNAP],OSU_RTS.MDBUS_RH.1103_CH Value [SNAP],OSU_RTS.MDBUS_RH.1103_CH Status [SNAP],OSU_RTS.MDBUS_RH.1103_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1103_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1103_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1103_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1103_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1103_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1103_CR Time [SNAP],OSU_RTS.MDBUS_RH.1103_CR Value [SNAP],OSU_RTS.MDBUS_RH.1103_CR Status [SNAP],OSU_RTS.MDBUS_RH.1103_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1103_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1103_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1103_CS Time [SNAP],OSU_RTS.MDBUS_RH.1103_CS Value [SNAP],OSU_RTS.MDBUS_RH.1103_CS Status [SNAP],OSU_RTS.MDBUS_RH.1103_CST Time [SNAP],OSU_RTS.MDBUS_RH.1103_CST Value [SNAP],OSU_RTS.MDBUS_RH.1103_CST Status [SNAP],OSU_RTS.MDBUS_RH.1103_CV Time [SNAP],OSU_RTS.MDBUS_RH.1103_CV Value [SNAP],OSU_RTS.MDBUS_RH.1103_CV Status [SNAP],OSU_RTS.MDBUS_RH.1103_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1103_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1103_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1103_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1103_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1103_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1103_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1103_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1103_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1103_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1103_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1103_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1103_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1103_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1103_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1103_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1103_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1103_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1103_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1103_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1103_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1103_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1103_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1103_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1103_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1103_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1103_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1103_DWC Time [SNAP],OSU_RTS.MDBUS_RH.1103_DWC Value [SNAP],OSU_RTS.MDBUS_RH.1103_DWC Status [SNAP],OSU_RTS.MDBUS_RH.1103_EC Time [SNAP],OSU_RTS.MDBUS_RH.1103_EC Value [SNAP],OSU_RTS.MDBUS_RH.1103_EC Status [SNAP],OSU_RTS.MDBUS_RH.1103_GBV Time [SNAP],OSU_RTS.MDBUS_RH.1103_GBV Value [SNAP],OSU_RTS.MDBUS_RH.1103_GBV Status [SNAP],OSU_RTS.MDBUS_RH.1103_GCV Time [SNAP],OSU_RTS.MDBUS_RH.1103_GCV Value [SNAP],OSU_RTS.MDBUS_RH.1103_GCV Status [SNAP],OSU_RTS.MDBUS_RH.1103_GP Time [SNAP],OSU_RTS.MDBUS_RH.1103_GP Value [SNAP],OSU_RTS.MDBUS_RH.1103_GP Status [SNAP],OSU_RTS.MDBUS_RH.1103_GT Time [SNAP],OSU_RTS.MDBUS_RH.1103_GT Value [SNAP],OSU_RTS.MDBUS_RH.1103_GT Status [SNAP],OSU_RTS.MDBUS_RH.1103_GUV Time [SNAP],OSU_RTS.MDBUS_RH.1103_GUV Value [SNAP],OSU_RTS.MDBUS_RH.1103_GUV Status [SNAP],OSU_RTS.MDBUS_RH.1103_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1103_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1103_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1103_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1103_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1103_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1103_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1103_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1103_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1103_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1103_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1103_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1103_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1103_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1103_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1103_HST Time [SNAP],OSU_RTS.MDBUS_RH.1103_HST Value [SNAP],OSU_RTS.MDBUS_RH.1103_HST Status [SNAP],OSU_RTS.MDBUS_RH.1103_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1103_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1103_HVF Status [SNAP],OSU_RTS.MDBUS_RH.1103C_HF Time [SNAP],OSU_RTS.MDBUS_RH.1103C_HF Value [SNAP],OSU_RTS.MDBUS_RH.1103C_HF Status [SNAP],OSU_RTS.MDBUS_RH.1103C_HG Time [SNAP],OSU_RTS.MDBUS_RH.1103C_HG Value [SNAP],OSU_RTS.MDBUS_RH.1103C_HG Status [SNAP],Comments
10/15/18 0:00,2356300,OK,10/15/18 0:00,0,OK,10/15/18 0:00,5.076200485,OK,10/15/18 0:00,2.967744827,OK,10/15/18 0:00,12.77008533,OK,10/15/18 0:00,1132821.25,OK,10/15/18 0:00,34.72899628,OK,10/15/18 0:00,3408740.25,OK,10/15/18 0:00,50.35516357,OK,10/15/18 0:00,44.13298798,OK,10/15/18 0:00,45.27896118,OK,10/15/18 0:00,41.16524506,OK,10/15/18 0:00,60.19710642,OK,10/15/18 0:00,279.3530479,OK,10/15/18 0:00,3,OK,10/15/18 0:00,39022,OK,10/15/18 0:00,19.60847473,OK,10/15/18 0:00,0,OK,10/15/18 0:00,129.3106689,OK,10/15/18 0:00,148.9191437,OK,10/15/18 0:00,1366119,OK,10/15/18 0:00,0,OK,10/15/18 0:00,390220,OK,10/15/18 0:00,3210277,OK,10/15/18 0:00,5.199999809,OK,10/15/18 0:00,373506,OK,10/15/18 0:00,5.059999943,OK,10/15/18 0:00,60.09000015,OK,10/15/18 0:00,2765186,OK,10/15/18 0:00,0.841312051,OK,10/15/18 0:00,0,OK,10/15/18 0:00,10017655,OK,10/15/18 0:00,2947221.25,OK,10/15/18 0:00,114.1070404,OK,10/15/18 0:00,114.948349,OK,10/15/18 0:00,134.9420461,OK,10/15/18 0:00,153.241024,OK,10/15/18 0:00,13593855,OK,
10/15/18 0:15,2356340,OK,10/15/18 0:15,0,OK,10/15/18 0:15,5.10960865,OK,10/15/18 0:15,2.895813942,OK,10/15/18 0:15,12.52728462,OK,10/15/18 0:15,1132824.5,OK,10/15/18 0:15,33.15917587,OK,10/15/18 0:15,3408748.5,OK,10/15/18 0:15,50.15003204,OK,10/15/18 0:15,44.00588608,OK,10/15/18 0:15,45.04042435,OK,10/15/18 0:15,41.11007309,OK,10/15/18 0:15,58.65974658,OK,10/15/18 0:15,273.3503888,OK,10/15/18 0:15,3,OK,10/15/18 0:15,39026,OK,10/15/18 0:15,21.95025635,OK,10/15/18 0:15,0,OK,10/15/18 0:15,127.1997604,OK,10/15/18 0:15,149.1500244,OK,10/15/18 0:15,1366119,OK,10/15/18 0:15,0,OK,10/15/18 0:15,390260,OK,10/15/18 0:15,3210301,OK,10/15/18 0:15,5.230000019,OK,10/15/18 0:15,373506,OK,10/15/18 0:15,5.279999733,OK,10/15/18 0:15,58.28000259,OK,10/15/18 0:15,2765186,OK,10/15/18 0:15,0.840950251,OK,10/15/18 0:15,0,OK,10/15/18 0:15,10017666,OK,10/15/18 0:15,2947238,OK,10/15/18 0:15,111.3011932,OK,10/15/18 0:15,112.1421356,OK,10/15/18 0:15,135.4321764,OK,10/15/18 0:15,150.3274155,OK,10/15/18 0:15,13593894,OK,
10/15/18 0:30,2356390,OK,10/15/18 0:30,0,OK,10/15/18 0:30,5.120881081,OK,10/15/18 0:30,2.247668028,OK,10/15/18 0:30,11.57436562,OK,10/15/18 0:30,1132827.375,OK,10/15/18 0:30,26.2203064,OK,10/15/18 0:30,3408756,OK,10/15/18 0:30,50.24684525,OK,10/15/18 0:30,43.37118912,OK,10/15/18 0:30,45.1259613,OK,10/15/18 0:30,41.1235199,OK,10/15/18 0:30,54.08059412,OK,10/15/18 0:30,278.4790395,OK,10/15/18 0:30,3,OK,10/15/18 0:30,39031,OK,10/15/18 0:30,24.10159111,OK,10/15/18 0:30,0,OK,10/15/18 0:30,126.2720032,OK,10/15/18 0:30,150.3735962,OK,10/15/18 0:30,1366119,OK,10/15/18 0:30,0,OK,10/15/18 0:30,390310,OK,10/15/18 0:30,3210324,OK,10/15/18 0:30,5.21999979,OK,10/15/18 0:30,373508,OK,10/15/18 0:30,5.090000153,OK,10/15/18 0:30,58.44000244,OK,10/15/18 0:30,2765205,OK,10/15/18 0:30,0.832004666,OK,10/15/18 0:30,0,OK,10/15/18 0:30,10017669,OK,10/15/18 0:30,2947255,OK,10/15/18 0:30,108.5294952,OK,10/15/18 0:30,109.361496,OK,10/15/18 0:30,136.7268556,OK,10/15/18 0:30,138.8923874,OK,10/15/18 0:30,13593928.5,OK,
10/15/18 0:45,2356430,OK,10/15/18 0:45,0,OK,10/15/18 0:45,5.43400526,OK,10/15/18 0:45,2.037094831,OK,10/15/18 0:45,0,OK,10/15/18 0:45,1132828.75,OK,10/15/18 0:45,0,OK,10/15/18 0:45,3408759,OK,10/15/18 0:45,50.71750259,OK,10/15/18 0:45,43.22759628,OK,10/15/18 0:45,45.28350067,OK,10/15/18 0:45,41.19050217,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,3,OK,10/15/18 0:45,39035,OK,10/15/18 0:45,23.30434418,OK,10/15/18 0:45,0,OK,10/15/18 0:45,127.0356674,OK,10/15/18 0:45,150.3400116,OK,10/15/18 0:45,1366119,OK,10/15/18 0:45,0,OK,10/15/18 0:45,390350,OK,10/15/18 0:45,3210346,OK,10/15/18 0:45,5.210000038,OK,10/15/18 0:45,373511,OK,10/15/18 0:45,5.320000172,OK,10/15/18 0:45,60.75,OK,10/15/18 0:45,2765227,OK,10/15/18 0:45,10.77288437,OK,10/15/18 0:45,741.2598877,OK,10/15/18 0:45,10017684,OK,10/15/18 0:45,2947272,OK,10/15/18 0:45,105.7188721,OK,10/15/18 0:45,116.4917526,OK,10/15/18 0:45,139.0872706,OK,10/15/18 0:45,0,OK,10/15/18 0:45,13593945,OK,
10/15/18 1:00,2356450,OK,10/15/18 1:00,0,OK,10/15/18 1:00,4.944548607,OK,10/15/18 1:00,4.219304562,OK,10/15/18 1:00,21.73339844,OK,10/15/18 1:00,1132829.75,OK,10/15/18 1:00,32.12224197,OK,10/15/18 1:00,3408760.25,OK,10/15/18 1:00,50.95098877,OK,10/15/18 1:00,45.65559387,OK,10/15/18 1:00,46.00643921,OK,10/15/18 1:00,41.43629074,OK,10/15/18 1:00,105.1884888,OK,10/15/18 1:00,181.7623103,OK,10/15/18 1:00,3,OK,10/15/18 1:00,39037,OK,10/15/18 1:00,20.33658981,OK,10/15/18 1:00,0,OK,10/15/18 1:00,129.5144348,OK,10/15/18 1:00,149.8510437,OK,10/15/18 1:00,1366119,OK,10/15/18 1:00,0,OK,10/15/18 1:00,390370,OK,10/15/18 1:00,3210368,OK,10/15/18 1:00,5.210000038,OK,10/15/18 1:00,373515,OK,10/15/18 1:00,5.03000021,OK,10/15/18 1:00,60.92000198,OK,10/15/18 1:00,2765258,OK,10/15/18 1:00,4.425149918,OK,10/15/18 1:00,292.2559204,OK,10/15/18 1:00,10017787,OK,10/15/18 1:00,2947288.75,OK,10/15/18 1:00,116.8108368,OK,10/15/18 1:00,121.2359848,OK,10/15/18 1:00,133.6516801,OK,10/15/18 1:00,260.8007813,OK,10/15/18 1:00,13593957,OK,
10/15/18 1:15,2356470,OK,10/15/18 1:15,0,OK,10/15/18 1:15,4.12467289,OK,10/15/18 1:15,5.50180769,OK,10/15/18 1:15,15.97366619,OK,10/15/18 1:15,1132834.625,OK,10/15/18 1:15,41.94203186,OK,10/15/18 1:15,3408772.75,OK,10/15/18 1:15,50.49909973,OK,10/15/18 1:15,46.64844513,OK,10/15/18 1:15,46.3744278,OK,10/15/18 1:15,41.14663696,OK,10/15/18 1:15,92.6805401,OK,10/15/18 1:15,182.080676,OK,10/15/18 1:15,3,OK,10/15/18 1:15,39039,OK,10/15/18 1:15,19.96761894,OK,10/15/18 1:15,0,OK,10/15/18 1:15,129.2753906,OK,10/15/18 1:15,149.2430115,OK,10/15/18 1:15,1366119,OK,10/15/18 1:15,0,OK,10/15/18 1:15,390390,OK,10/15/18 1:15,3210391,OK,10/15/18 1:15,5.21999979,OK,10/15/18 1:15,373518,OK,10/15/18 1:15,5.289999962,OK,10/15/18 1:15,59.43000031,OK,10/15/18 1:15,2765281,OK,10/15/18 1:15,-1.924055696,OK,10/15/18 1:15,0,OK,10/15/18 1:15,10017840,OK,10/15/18 1:15,2947305.75,OK,10/15/18 1:15,120.6193237,OK,10/15/18 1:15,118.6952667,OK,10/15/18 1:15,136.1283166,OK,10/15/18 1:15,191.6839943,OK,10/15/18 1:15,13594015.5,OK,
10/15/18 1:30,2356490,OK,10/15/18 1:30,0,OK,10/15/18 1:30,3.953264475,OK,10/15/18 1:30,3.262874126,OK,10/15/18 1:30,10.86602592,OK,10/15/18 1:30,1132837.875,OK,10/15/18 1:30,24.79344368,OK,10/15/18 1:30,3408780.25,OK,10/15/18 1:30,50.04494095,OK,10/15/18 1:30,44.74529266,OK,10/15/18 1:30,46.0916748,OK,10/15/18 1:30,41.48242188,OK,10/15/18 1:30,65.77841515,OK,10/15/18 1:30,181.3941063,OK,10/15/18 1:30,3,OK,10/15/18 1:30,39041,OK,10/15/18 1:30,20.90986443,OK,10/15/18 1:30,0,OK,10/15/18 1:30,128.584259,OK,10/15/18 1:30,149.4941101,OK,10/15/18 1:30,1366119,OK,10/15/18 1:30,0,OK,10/15/18 1:30,390410,OK,10/15/18 1:30,3210413,OK,10/15/18 1:30,5.21999979,OK,10/15/18 1:30,373520,OK,10/15/18 1:30,5.190000057,OK,10/15/18 1:30,58.93000031,OK,10/15/18 1:30,2765292,OK,10/15/18 1:30,0.479634404,OK,10/15/18 1:30,0,OK,10/15/18 1:30,10017846,OK,10/15/18 1:30,2947322.5,OK,10/15/18 1:30,115.0189438,OK,10/15/18 1:30,115.4985809,OK,10/15/18 1:30,136.5977026,OK,10/15/18 1:30,130.3923111,OK,10/15/18 1:30,13594054.5,OK,
10/15/18 1:45,2356510,OK,10/15/18 1:45,0,OK,10/15/18 1:45,4.224635601,OK,10/15/18 1:45,3.224456787,OK,10/15/18 1:45,0,OK,10/15/18 1:45,1132838,OK,10/15/18 1:45,0,OK,10/15/18 1:45,3408780.25,OK,10/15/18 1:45,50.56528473,OK,10/15/18 1:45,44.71720886,OK,10/15/18 1:45,46.34065247,OK,10/15/18 1:45,41.49274826,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,3,OK,10/15/18 1:45,39043,OK,10/15/18 1:45,21.36947632,OK,10/15/18 1:45,0,OK,10/15/18 1:45,128.2002106,OK,10/15/18 1:45,149.5697021,OK,10/15/18 1:45,1366119,OK,10/15/18 1:45,0,OK,10/15/18 1:45,390430,OK,10/15/18 1:45,3210433,OK,10/15/18 1:45,5.21999979,OK,10/15/18 1:45,373521,OK,10/15/18 1:45,5.230000019,OK,10/15/18 1:45,60.09000015,OK,10/15/18 1:45,2765303,OK,10/15/18 1:45,0.830191553,OK,10/15/18 1:45,0,OK,10/15/18 1:45,10017846,OK,10/15/18 1:45,2947339.5,OK,10/15/18 1:45,112.2117538,OK,10/15/18 1:45,113.0419464,OK,10/15/18 1:45,135.2558219,OK,10/15/18 1:45,0,OK,10/15/18 1:45,13594056,OK,
10/15/18 2:00,2356520,OK,10/15/18 2:00,0,OK,10/15/18 2:00,5.058047771,OK,10/15/18 2:00,5.957665443,OK,10/15/18 2:00,17.14089203,OK,10/15/18 2:00,1132840.625,OK,10/15/18 2:00,45.07624817,OK,10/15/18 2:00,3408787.25,OK,10/15/18 2:00,51.29193115,OK,10/15/18 2:00,47.08409882,OK,10/15/18 2:00,46.2338829,OK,10/15/18 2:00,41.12643433,OK,10/15/18 2:00,81.10016527,OK,10/15/18 2:00,180.7389825,OK,10/15/18 2:00,3,OK,10/15/18 2:00,39044,OK,10/15/18 2:00,19.09008026,OK,10/15/18 2:00,0,OK,10/15/18 2:00,130.2325897,OK,10/15/18 2:00,149.3226624,OK,10/15/18 2:00,1366119,OK,10/15/18 2:00,0,OK,10/15/18 2:00,390440,OK,10/15/18 2:00,3210452,OK,10/15/18 2:00,5.21999979,OK,10/15/18 2:00,373522,OK,10/15/18 2:00,5.320000172,OK,10/15/18 2:00,57.78000259,OK,10/15/18 2:00,2765307,OK,10/15/18 2:00,0.46255064,OK,10/15/18 2:00,0,OK,10/15/18 2:00,10017846,OK,10/15/18 2:00,2947356,OK,10/15/18 2:00,110.0921478,OK,10/15/18 2:00,110.5547028,OK,10/15/18 2:00,136.4691437,OK,10/15/18 2:00,205.6907043,OK,10/15/18 2:00,13594087.5,OK,
10/15/18 2:15,2356520,OK,10/15/18 2:15,0,OK,10/15/18 2:15,4.021938801,OK,10/15/18 2:15,4.250571251,OK,10/15/18 2:15,13.21378613,OK,10/15/18 2:15,1132844.5,OK,10/15/18 2:15,32.27508545,OK,10/15/18 2:15,3408797.75,OK,10/15/18 2:15,50.10471344,OK,10/15/18 2:15,45.62507629,OK,10/15/18 2:15,46.08277512,OK,10/15/18 2:15,41.37450409,OK,10/15/18 2:15,78.62494486,OK,10/15/18 2:15,181.2804485,OK,10/15/18 2:15,3,OK,10/15/18 2:15,39044,OK,10/15/18 2:15,19.59907532,OK,10/15/18 2:15,0,OK,10/15/18 2:15,129.5848846,OK,10/15/18 2:15,149.18396,OK,10/15/18 2:15,1366119,OK,10/15/18 2:15,0,OK,10/15/18 2:15,390440,OK,10/15/18 2:15,3210472,OK,10/15/18 2:15,5.239999771,OK,10/15/18 2:15,373522,OK,10/15/18 2:15,5.279999733,OK,10/15/18 2:15,57.61999893,OK,10/15/18 2:15,2765311,OK,10/15/18 2:15,0.66522634,OK,10/15/18 2:15,0,OK,10/15/18 2:15,10017846,OK,10/15/18 2:15,2947373,OK,10/15/18 2:15,107.2979584,OK,10/15/18 2:15,107.9631958,OK,10/15/18 2:15,136.0362086,OK,10/15/18 2:15,158.5654335,OK,10/15/18 2:15,13594134,OK,
