OSU_RTS.MDBUS_C1.251_CDT Time [SNAP],OSU_RTS.MDBUS_C1.251_CDT Value [SNAP],OSU_RTS.MDBUS_C1.251_CDT Status [SNAP],OSU_RTS.MDBUS_C1.251_CHF Time [SNAP],OSU_RTS.MDBUS_C1.251_CHF Value [SNAP],OSU_RTS.MDBUS_C1.251_CHF Status [SNAP],OSU_RTS.MDBUS_C1.251_CHT Time [SNAP],OSU_RTS.MDBUS_C1.251_CHT Value [SNAP],OSU_RTS.MDBUS_C1.251_CHT Status [SNAP],OSU_RTS.MDBUS_C1.251_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.251_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.251_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.251_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.251_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.251_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.251_CVF Time [SNAP],OSU_RTS.MDBUS_C1.251_CVF Value [SNAP],OSU_RTS.MDBUS_C1.251_CVF Status [SNAP],OSU_RTS.MDBUS_C1.251_HF Time [SNAP],OSU_RTS.MDBUS_C1.251_HF Value [SNAP],OSU_RTS.MDBUS_C1.251_HF Status [SNAP],OSU_RTS.MDBUS_C1.251_HGT Time [SNAP],OSU_RTS.MDBUS_C1.251_HGT Value [SNAP],OSU_RTS.MDBUS_C1.251_HGT Status [SNAP],OSU_RTS.MDBUS_E3.251E_1C Time [SNAP],OSU_RTS.MDBUS_E3.251E_1C Value [SNAP],OSU_RTS.MDBUS_E3.251E_1C Status [SNAP],OSU_RTS.MDBUS_RT.251S_C Time [SNAP],OSU_RTS.MDBUS_RT.251S_C Value [SNAP],OSU_RTS.MDBUS_RT.251S_C Status [SNAP],OSU_RTS.MDBUS_RT.251S_DP Time [SNAP],OSU_RTS.MDBUS_RT.251S_DP Value [SNAP],OSU_RTS.MDBUS_RT.251S_DP Status [SNAP],OSU_RTS.MDBUS_RT.251S_HF Time [SNAP],OSU_RTS.MDBUS_RT.251S_HF Value [SNAP],OSU_RTS.MDBUS_RT.251S_HF Status [SNAP],OSU_RTS.MDBUS_RT.251S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.251S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.251S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.251S_I Time [SNAP],OSU_RTS.MDBUS_RT.251S_I Value [SNAP],OSU_RTS.MDBUS_RT.251S_I Status [SNAP],OSU_RTS.MDBUS_RT.251S_P Time [SNAP],OSU_RTS.MDBUS_RT.251S_P Value [SNAP],OSU_RTS.MDBUS_RT.251S_P Status [SNAP],OSU_RTS.MDBUS_RT.251S_T Time [SNAP],OSU_RTS.MDBUS_RT.251S_T Value [SNAP],OSU_RTS.MDBUS_RT.251S_T Status [SNAP],Comments
10/15/18 0:00,2.50535965,OK,10/15/18 0:00,1.344036818,OK,10/15/18 0:00,1330058.5,OK,10/15/18 0:00,44.45211792,OK,10/15/18 0:00,41.94675827,OK,10/15/18 0:00,12.79789287,OK,10/15/18 0:00,16.12844181,OK,10/15/18 0:00,15960702,OK,10/15/18 0:00,1770839,OK,10/15/18 0:00,20615.92383,OK,10/15/18 0:00,6.112950325,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0.119245514,OK,10/15/18 0:00,40.62844849,OK,10/15/18 0:00,283.9202271,OK,
10/15/18 0:15,2.707157612,OK,10/15/18 0:15,1.469790816,OK,10/15/18 0:15,1330058.875,OK,10/15/18 0:15,44.42380524,OK,10/15/18 0:15,41.71664429,OK,10/15/18 0:15,12.96076234,OK,10/15/18 0:15,17.6374898,OK,10/15/18 0:15,15960706.5,OK,10/15/18 0:15,1770851,OK,10/15/18 0:15,20615.96875,OK,10/15/18 0:15,9.458744049,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0.190147156,OK,10/15/18 0:15,40.49119568,OK,10/15/18 0:15,283.9867554,OK,
10/15/18 0:30,2.478720188,OK,10/15/18 0:30,1.269340634,OK,10/15/18 0:30,1330059.125,OK,10/15/18 0:30,44.48011017,OK,10/15/18 0:30,42.00138855,OK,10/15/18 0:30,12.22442865,OK,10/15/18 0:30,15.23208761,OK,10/15/18 0:30,15960709.5,OK,10/15/18 0:30,1770862,OK,10/15/18 0:30,20616.01367,OK,10/15/18 0:30,4.355447292,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0.083279549,OK,10/15/18 0:30,40.71733093,OK,10/15/18 0:30,283.918335,OK,
10/15/18 0:45,3.237816334,OK,10/15/18 0:45,1.715536118,OK,10/15/18 0:45,1330059.5,OK,10/15/18 0:45,45.14467621,OK,10/15/18 0:45,41.90686417,OK,10/15/18 0:45,12.64808316,OK,10/15/18 0:45,20.58594847,OK,10/15/18 0:45,15960714,OK,10/15/18 0:45,1770877,OK,10/15/18 0:45,20616.06055,OK,10/15/18 0:45,3.551801205,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0.070902977,OK,10/15/18 0:45,41.14569092,OK,10/15/18 0:45,283.9331055,OK,
10/15/18 1:00,3.751308918,OK,10/15/18 1:00,2.035041332,OK,10/15/18 1:00,1330060,OK,10/15/18 1:00,45.69054794,OK,10/15/18 1:00,41.9392395,OK,10/15/18 1:00,12.95227727,OK,10/15/18 1:00,24.42049599,OK,10/15/18 1:00,15960720,OK,10/15/18 1:00,1770888,OK,10/15/18 1:00,20616.10938,OK,10/15/18 1:00,9.737573624,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0.197294922,OK,10/15/18 1:00,41.4123764,OK,10/15/18 1:00,283.6386719,OK,
10/15/18 1:15,2.712574244,OK,10/15/18 1:15,1.450273275,OK,10/15/18 1:15,1330060.5,OK,10/15/18 1:15,44.68173981,OK,10/15/18 1:15,41.9691658,OK,10/15/18 1:15,12.73249341,OK,10/15/18 1:15,17.4032793,OK,10/15/18 1:15,15960726,OK,10/15/18 1:15,1770902,OK,10/15/18 1:15,20616.16797,OK,10/15/18 1:15,7.017907143,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0.142197678,OK,10/15/18 1:15,41.73239136,OK,10/15/18 1:15,284.223175,OK,
10/15/18 1:30,2.851129532,OK,10/15/18 1:30,1.544817686,OK,10/15/18 1:30,1330060.875,OK,10/15/18 1:30,44.56879425,OK,10/15/18 1:30,41.717659,OK,10/15/18 1:30,12.93440887,OK,10/15/18 1:30,18.53781223,OK,10/15/18 1:30,15960730.5,OK,10/15/18 1:30,1770914,OK,10/15/18 1:30,20616.2207,OK,10/15/18 1:30,4.006052971,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0.084356491,OK,10/15/18 1:30,40.71739197,OK,10/15/18 1:30,283.626709,OK,
10/15/18 1:45,2.67075634,OK,10/15/18 1:45,1.368088245,OK,10/15/18 1:45,1330061.125,OK,10/15/18 1:45,44.61833191,OK,10/15/18 1:45,41.94757843,OK,10/15/18 1:45,12.22362297,OK,10/15/18 1:45,16.41705894,OK,10/15/18 1:45,15960733.5,OK,10/15/18 1:45,1770926,OK,10/15/18 1:45,20616.26367,OK,10/15/18 1:45,12.48591518,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0.259410004,OK,10/15/18 1:45,40.35542679,OK,10/15/18 1:45,283.7849121,OK,
10/15/18 2:00,2.791312218,OK,10/15/18 2:00,1.527748466,OK,10/15/18 2:00,1330061.5,OK,10/15/18 2:00,44.60552216,OK,10/15/18 2:00,41.81420898,OK,10/15/18 2:00,13.0657734,OK,10/15/18 2:00,18.33298159,OK,10/15/18 2:00,15960738,OK,10/15/18 2:00,1770938,OK,10/15/18 2:00,20616.30664,OK,10/15/18 2:00,18.45015907,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0.408917145,OK,10/15/18 2:00,40.16767883,OK,10/15/18 2:00,284.2671509,OK,
10/15/18 2:15,3.849745989,OK,10/15/18 2:15,2.060552359,OK,10/15/18 2:15,1330062,OK,10/15/18 2:15,45.69217682,OK,10/15/18 2:15,41.84243011,OK,10/15/18 2:15,12.77924423,OK,10/15/18 2:15,24.7266283,OK,10/15/18 2:15,15960744,OK,10/15/18 2:15,1770950,OK,10/15/18 2:15,20616.35156,OK,10/15/18 2:15,13.90502739,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0.293012177,OK,10/15/18 2:15,40.29573441,OK,10/15/18 2:15,283.9696655,OK,
10/15/18 2:30,2.809016228,OK,10/15/18 2:30,1.474241138,OK,10/15/18 2:30,1330062.5,OK,10/15/18 2:30,44.79956055,OK,10/15/18 2:30,41.99054718,OK,10/15/18 2:30,12.62308774,OK,10/15/18 2:30,17.69089365,OK,10/15/18 2:30,15960750,OK,10/15/18 2:30,1770962,OK,10/15/18 2:30,20616.39648,OK,10/15/18 2:30,10.92692852,OK,10/15/18 2:30,0,OK,10/15/18 2:30,0,OK,10/15/18 2:30,0.221324951,OK,10/15/18 2:30,41.28378296,OK,10/15/18 2:30,284.6392212,OK,
10/15/18 2:45,2.89141655,OK,10/15/18 2:45,1.528848648,OK,10/15/18 2:45,1330062.875,OK,10/15/18 2:45,44.69797897,OK,10/15/18 2:45,41.80656052,OK,10/15/18 2:45,12.62238582,OK,10/15/18 2:45,18.34618378,OK,10/15/18 2:45,15960754.5,OK,10/15/18 2:45,1770973,OK,10/15/18 2:45,20616.4375,OK,10/15/18 2:45,6.296795845,OK,10/15/18 2:45,0,OK,10/15/18 2:45,0,OK,10/15/18 2:45,0.126429192,OK,10/15/18 2:45,40.79336166,OK,10/15/18 2:45,283.9839172,OK,
10/15/18 3:00,15.6227417,OK,10/15/18 3:00,84.11352539,OK,10/15/18 3:00,1330066.375,OK,10/15/18 3:00,57.48414612,OK,10/15/18 3:00,41.86140442,OK,10/15/18 3:00,128.8433402,OK,10/15/18 3:00,1009.362305,OK,10/15/18 3:00,15960796.5,OK,10/15/18 3:00,1770985,OK,10/15/18 3:00,20616.48438,OK,10/15/18 3:00,9.377149582,OK,10/15/18 3:00,0,OK,10/15/18 3:00,0,OK,10/15/18 3:00,0.188471008,OK,10/15/18 3:00,40.47663116,OK,10/15/18 3:00,283.9515381,OK,
10/15/18 3:15,2.671115875,OK,10/15/18 3:15,14.12787342,OK,10/15/18 3:15,1330070,OK,10/15/18 3:15,44.08436584,OK,10/15/18 3:15,41.41324997,OK,10/15/18 3:15,125.9762093,OK,10/15/18 3:15,169.534481,OK,10/15/18 3:15,15960840,OK,10/15/18 3:15,1770997,OK,10/15/18 3:15,20616.54297,OK,10/15/18 3:15,9.48452282,OK,10/15/18 3:15,0,OK,10/15/18 3:15,0,OK,10/15/18 3:15,0.190706207,OK,10/15/18 3:15,40.50410461,OK,10/15/18 3:15,284.1573486,OK,
