OSU_RTS.MDBUS_C1.148_CDT Time [SNAP],OSU_RTS.MDBUS_C1.148_CDT Value [SNAP],OSU_RTS.MDBUS_C1.148_CDT Status [SNAP],OSU_RTS.MDBUS_C1.148_CHF Time [SNAP],OSU_RTS.MDBUS_C1.148_CHF Value [SNAP],OSU_RTS.MDBUS_C1.148_CHF Status [SNAP],OSU_RTS.MDBUS_C1.148_CHT Time [SNAP],OSU_RTS.MDBUS_C1.148_CHT Value [SNAP],OSU_RTS.MDBUS_C1.148_CHT Status [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.148_CVF Time [SNAP],OSU_RTS.MDBUS_C1.148_CVF Value [SNAP],OSU_RTS.MDBUS_C1.148_CVF Status [SNAP],OSU_RTS.MDBUS_C1.148_HF Time [SNAP],OSU_RTS.MDBUS_C1.148_HF Value [SNAP],OSU_RTS.MDBUS_C1.148_HF Status [SNAP],OSU_RTS.MDBUS_C1.148_HGT Time [SNAP],OSU_RTS.MDBUS_C1.148_HGT Value [SNAP],OSU_RTS.MDBUS_C1.148_HGT Status [SNAP],OSU_RTS.MDBUS_CC.148_MHT Time [SNAP],OSU_RTS.MDBUS_CC.148_MHT Value [SNAP],OSU_RTS.MDBUS_CC.148_MHT Status [SNAP],OSU_RTS.MDBUS_CC.148_PHT Time [SNAP],OSU_RTS.MDBUS_CC.148_PHT Value [SNAP],OSU_RTS.MDBUS_CC.148_PHT Status [SNAP],OSU_RTS.MDBUS_E1.148E1_C Time [SNAP],OSU_RTS.MDBUS_E1.148E1_C Value [SNAP],OSU_RTS.MDBUS_E1.148E1_C Status [SNAP],OSU_RTS.MDBUS_E1.148E2_C Time [SNAP],OSU_RTS.MDBUS_E1.148E2_C Value [SNAP],OSU_RTS.MDBUS_E1.148E2_C Status [SNAP],OSU_RTS.MDBUS_G1.148_GBV Time [SNAP],OSU_RTS.MDBUS_G1.148_GBV Value [SNAP],OSU_RTS.MDBUS_G1.148_GBV Status [SNAP],OSU_RTS.MDBUS_G1.148_GUV Time [SNAP],OSU_RTS.MDBUS_G1.148_GUV Value [SNAP],OSU_RTS.MDBUS_G1.148_GUV Status [SNAP],OSU_RTS.MDBUS_RT.148S_C Time [SNAP],OSU_RTS.MDBUS_RT.148S_C Value [SNAP],OSU_RTS.MDBUS_RT.148S_C Status [SNAP],OSU_RTS.MDBUS_RT.148S_HF Time [SNAP],OSU_RTS.MDBUS_RT.148S_HF Value [SNAP],OSU_RTS.MDBUS_RT.148S_HF Status [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.148S_I Time [SNAP],OSU_RTS.MDBUS_RT.148S_I Value [SNAP],OSU_RTS.MDBUS_RT.148S_I Status [SNAP],OSU_RTS.MDBUS_RT.148S_P Time [SNAP],OSU_RTS.MDBUS_RT.148S_P Value [SNAP],OSU_RTS.MDBUS_RT.148S_P Status [SNAP],OSU_RTS.MDBUS_RT.148S_T Time [SNAP],OSU_RTS.MDBUS_RT.148S_T Value [SNAP],OSU_RTS.MDBUS_RT.148S_T Status [SNAP],Comments
10/15/18 0:00,6.271798134,OK,10/15/18 0:00,143.2232208,OK,10/15/18 0:00,21106892,OK,10/15/18 0:00,47.43516541,OK,10/15/18 0:00,41.16336823,OK,10/15/18 0:00,545.5533447,OK,10/15/18 0:00,1718.67865,OK,10/15/18 0:00,253282704,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,5308059,OK,10/15/18 0:00,9327961,OK,10/15/18 0:00,5.820000172,OK,10/15/18 0:00,5280,OK,10/15/18 0:00,225103.6875,OK,10/15/18 0:00,2.863245249,OK,10/15/18 0:00,292847.6563,OK,10/15/18 0:00,2.212847168,OK,10/15/18 0:00,181.787735,OK,10/15/18 0:00,545.2130127,OK,
10/15/18 0:15,5.554176331,OK,10/15/18 0:15,127.0475693,OK,10/15/18 0:15,21106926,OK,10/15/18 0:15,46.6215744,OK,10/15/18 0:15,41.06739807,OK,10/15/18 0:15,546.8574829,OK,10/15/18 0:15,1524.570831,OK,10/15/18 0:15,253283112,OK,,,,,,,10/15/18 0:15,5308153,OK,10/15/18 0:15,9328045,OK,10/15/18 0:15,5.820000172,OK,10/15/18 0:15,5280,OK,10/15/18 0:15,225104.3438,OK,10/15/18 0:15,2.637880802,OK,10/15/18 0:15,292848.5,OK,10/15/18 0:15,2.038436768,OK,10/15/18 0:15,180.6721344,OK,10/15/18 0:15,545.3029175,OK,
10/15/18 0:30,7.0744133,OK,10/15/18 0:30,162.2937317,OK,10/15/18 0:30,21106958,OK,10/15/18 0:30,48.14504623,OK,10/15/18 0:30,41.07063293,OK,10/15/18 0:30,548.1461792,OK,10/15/18 0:30,1947.52478,OK,10/15/18 0:30,253283496,OK,,,,,,,10/15/18 0:30,5308243,OK,10/15/18 0:30,9328129,OK,10/15/18 0:30,5.820000172,OK,10/15/18 0:30,5280,OK,10/15/18 0:30,225105.0781,OK,10/15/18 0:30,2.794878006,OK,10/15/18 0:30,292849.4688,OK,10/15/18 0:30,2.157732666,OK,10/15/18 0:30,181.4817352,OK,10/15/18 0:30,547.6785889,OK,
10/15/18 0:45,6.849851608,OK,10/15/18 0:45,160.8603821,OK,10/15/18 0:45,21106996,OK,10/15/18 0:45,47.88994217,OK,10/15/18 0:45,41.04009247,OK,10/15/18 0:45,561.0828857,OK,10/15/18 0:45,1930.324585,OK,10/15/18 0:45,253283952,OK,,,,,,,10/15/18 0:45,5308337,OK,10/15/18 0:45,9328212,OK,10/15/18 0:45,5.830000401,OK,10/15/18 0:45,5280,OK,10/15/18 0:45,225105.75,OK,10/15/18 0:45,2.896959543,OK,10/15/18 0:45,292850.3125,OK,10/15/18 0:45,2.238176758,OK,10/15/18 0:45,180.66716,OK,10/15/18 0:45,545.7976074,OK,
10/15/18 1:00,5.480383873,OK,10/15/18 1:00,126.7319107,OK,10/15/18 1:00,21107032,OK,10/15/18 1:00,46.58470917,OK,10/15/18 1:00,41.10432434,OK,10/15/18 1:00,553.5383301,OK,10/15/18 1:00,1520.782928,OK,10/15/18 1:00,253284384,OK,,,,,,,10/15/18 1:00,5308428,OK,10/15/18 1:00,9328296,OK,10/15/18 1:00,5.820000172,OK,10/15/18 1:00,5280,OK,10/15/18 1:00,225106.5,OK,10/15/18 1:00,5.47320652,OK,10/15/18 1:00,292851.3125,OK,10/15/18 1:00,4.223286133,OK,10/15/18 1:00,181.1575775,OK,10/15/18 1:00,548.8684082,OK,
10/15/18 1:15,5.530299187,OK,10/15/18 1:15,127.7375641,OK,10/15/18 1:15,21107068,OK,10/15/18 1:15,46.44534683,OK,10/15/18 1:15,40.91504669,OK,10/15/18 1:15,551.6194458,OK,10/15/18 1:15,1532.850769,OK,10/15/18 1:15,253284816,OK,,,,,,,10/15/18 1:15,5308521,OK,10/15/18 1:15,9328380,OK,10/15/18 1:15,5.830000401,OK,10/15/18 1:15,5280,OK,10/15/18 1:15,225107.2031,OK,10/15/18 1:15,5.570337772,OK,10/15/18 1:15,292852.2188,OK,10/15/18 1:15,4.301269531,OK,10/15/18 1:15,181.5714417,OK,10/15/18 1:15,547.2522583,OK,
10/15/18 1:30,6.966936111,OK,10/15/18 1:30,160.7261047,OK,10/15/18 1:30,21107104,OK,10/15/18 1:30,48.14117813,OK,10/15/18 1:30,41.17424393,OK,10/15/18 1:30,551.234314,OK,10/15/18 1:30,1928.713257,OK,10/15/18 1:30,253285248,OK,,,,,,,10/15/18 1:30,5308611,OK,10/15/18 1:30,9328464,OK,10/15/18 1:30,5.830000401,OK,10/15/18 1:30,5280,OK,10/15/18 1:30,225108,OK,10/15/18 1:30,3.746019125,OK,10/15/18 1:30,292853.25,OK,10/15/18 1:30,2.890053711,OK,10/15/18 1:30,180.6914825,OK,10/15/18 1:30,549.1767578,OK,
10/15/18 1:45,6.193305016,OK,10/15/18 1:45,145.0278473,OK,10/15/18 1:45,21107140,OK,10/15/18 1:45,47.37752914,OK,10/15/18 1:45,41.18422699,OK,10/15/18 1:45,559.421936,OK,10/15/18 1:45,1740.334167,OK,10/15/18 1:45,253285680,OK,,,,,,,10/15/18 1:45,5308705,OK,10/15/18 1:45,9328548,OK,10/15/18 1:45,5.830000401,OK,10/15/18 1:45,5280,OK,10/15/18 1:45,225108.6563,OK,10/15/18 1:45,3.635480404,OK,10/15/18 1:45,292854.0938,OK,10/15/18 1:45,2.809059814,OK,10/15/18 1:45,182.0070648,OK,10/15/18 1:45,545.7645264,OK,
10/15/18 2:00,6.546416759,OK,10/15/18 2:00,150.8194275,OK,10/15/18 2:00,21107176,OK,10/15/18 2:00,47.73809052,OK,10/15/18 2:00,41.19168091,OK,10/15/18 2:00,550.4345703,OK,10/15/18 2:00,1809.83313,OK,10/15/18 2:00,253286112,OK,,,,,,,10/15/18 2:00,5308798,OK,10/15/18 2:00,9328631,OK,10/15/18 2:00,5.830000401,OK,10/15/18 2:00,5280,OK,10/15/18 2:00,225109.375,OK,10/15/18 2:00,3.360459328,OK,10/15/18 2:00,292855.0313,OK,10/15/18 2:00,2.596924316,OK,10/15/18 2:00,181.5975189,OK,10/15/18 2:00,545.3581543,OK,
10/15/18 2:15,7.303636074,OK,10/15/18 2:15,168.1237183,OK,10/15/18 2:15,21107220,OK,10/15/18 2:15,48.28842163,OK,10/15/18 2:15,40.98478317,OK,10/15/18 2:15,550.0269165,OK,10/15/18 2:15,2017.484619,OK,10/15/18 2:15,253286640,OK,,,,,,,10/15/18 2:15,5308887,OK,10/15/18 2:15,9328715,OK,10/15/18 2:15,5.830000401,OK,10/15/18 2:15,5280,OK,10/15/18 2:15,225110.0781,OK,10/15/18 2:15,3.002905607,OK,10/15/18 2:15,292855.9375,OK,10/15/18 2:15,2.321051025,OK,10/15/18 2:15,181.2593842,OK,10/15/18 2:15,544.8477783,OK,
