OSU_RTS.MDBUS_RH.099_CDT Time [SNAP],OSU_RTS.MDBUS_RH.099_CDT Value [SNAP],OSU_RTS.MDBUS_RH.099_CDT Status [SNAP],OSU_RTS.MDBUS_RH.099_CHF Time [SNAP],OSU_RTS.MDBUS_RH.099_CHF Value [SNAP],OSU_RTS.MDBUS_RH.099_CHF Status [SNAP],OSU_RTS.MDBUS_RH.099_CHT Time [SNAP],OSU_RTS.MDBUS_RH.099_CHT Value [SNAP],OSU_RTS.MDBUS_RH.099_CHT Status [SNAP],OSU_RTS.MDBUS_RH.099_CRT Time [SNAP],OSU_RTS.MDBUS_RH.099_CRT Value [SNAP],OSU_RTS.MDBUS_RH.099_CRT Status [SNAP],OSU_RTS.MDBUS_RH.099_CST Time [SNAP],OSU_RTS.MDBUS_RH.099_CST Value [SNAP],OSU_RTS.MDBUS_RH.099_CST Status [SNAP],OSU_RTS.MDBUS_RH.099_CVF Time [SNAP],OSU_RTS.MDBUS_RH.099_CVF Value [SNAP],OSU_RTS.MDBUS_RH.099_CVF Status [SNAP],OSU_RTS.MDBUS_RH.099_DCT Time [SNAP],OSU_RTS.MDBUS_RH.099_DCT Value [SNAP],OSU_RTS.MDBUS_RH.099_DCT Status [SNAP],OSU_RTS.MDBUS_RH.099_DHDT Time [SNAP],OSU_RTS.MDBUS_RH.099_DHDT Value [SNAP],OSU_RTS.MDBUS_RH.099_DHDT Status [SNAP],OSU_RTS.MDBUS_RH.099_DHHF Time [SNAP],OSU_RTS.MDBUS_RH.099_DHHF Value [SNAP],OSU_RTS.MDBUS_RH.099_DHHF Status [SNAP],OSU_RTS.MDBUS_RH.099_DHHT Time [SNAP],OSU_RTS.MDBUS_RH.099_DHHT Value [SNAP],OSU_RTS.MDBUS_RH.099_DHHT Status [SNAP],OSU_RTS.MDBUS_RH.099_DHRT Time [SNAP],OSU_RTS.MDBUS_RH.099_DHRT Value [SNAP],OSU_RTS.MDBUS_RH.099_DHRT Status [SNAP],OSU_RTS.MDBUS_RH.099_DHST Time [SNAP],OSU_RTS.MDBUS_RH.099_DHST Value [SNAP],OSU_RTS.MDBUS_RH.099_DHST Status [SNAP],OSU_RTS.MDBUS_RH.099_DHVF Time [SNAP],OSU_RTS.MDBUS_RH.099_DHVF Value [SNAP],OSU_RTS.MDBUS_RH.099_DHVF Status [SNAP],OSU_RTS.MDBUS_RH.099_DLDT Time [SNAP],OSU_RTS.MDBUS_RH.099_DLDT Value [SNAP],OSU_RTS.MDBUS_RH.099_DLDT Status [SNAP],OSU_RTS.MDBUS_RH.099_DLHF Time [SNAP],OSU_RTS.MDBUS_RH.099_DLHF Value [SNAP],OSU_RTS.MDBUS_RH.099_DLHF Status [SNAP],OSU_RTS.MDBUS_RH.099_DLHT Time [SNAP],OSU_RTS.MDBUS_RH.099_DLHT Value [SNAP],OSU_RTS.MDBUS_RH.099_DLHT Status [SNAP],OSU_RTS.MDBUS_RH.099_DLRT Time [SNAP],OSU_RTS.MDBUS_RH.099_DLRT Value [SNAP],OSU_RTS.MDBUS_RH.099_DLRT Status [SNAP],OSU_RTS.MDBUS_RH.099_DLST Time [SNAP],OSU_RTS.MDBUS_RH.099_DLST Value [SNAP],OSU_RTS.MDBUS_RH.099_DLST Status [SNAP],OSU_RTS.MDBUS_RH.099_DLVF Time [SNAP],OSU_RTS.MDBUS_RH.099_DLVF Value [SNAP],OSU_RTS.MDBUS_RH.099_DLVF Status [SNAP],OSU_RTS.MDBUS_RH.099_EC Time [SNAP],OSU_RTS.MDBUS_RH.099_EC Value [SNAP],OSU_RTS.MDBUS_RH.099_EC Status [SNAP],OSU_RTS.MDBUS_RH.099_HDT Time [SNAP],OSU_RTS.MDBUS_RH.099_HDT Value [SNAP],OSU_RTS.MDBUS_RH.099_HDT Status [SNAP],OSU_RTS.MDBUS_RH.099_HF Time [SNAP],OSU_RTS.MDBUS_RH.099_HF Value [SNAP],OSU_RTS.MDBUS_RH.099_HF Status [SNAP],OSU_RTS.MDBUS_RH.099_HGT Time [SNAP],OSU_RTS.MDBUS_RH.099_HGT Value [SNAP],OSU_RTS.MDBUS_RH.099_HGT Status [SNAP],OSU_RTS.MDBUS_RH.099_HHF Time [SNAP],OSU_RTS.MDBUS_RH.099_HHF Value [SNAP],OSU_RTS.MDBUS_RH.099_HHF Status [SNAP],OSU_RTS.MDBUS_RH.099_HHT Time [SNAP],OSU_RTS.MDBUS_RH.099_HHT Value [SNAP],OSU_RTS.MDBUS_RH.099_HHT Status [SNAP],OSU_RTS.MDBUS_RH.099_HRT Time [SNAP],OSU_RTS.MDBUS_RH.099_HRT Value [SNAP],OSU_RTS.MDBUS_RH.099_HRT Status [SNAP],OSU_RTS.MDBUS_RH.099_HST Time [SNAP],OSU_RTS.MDBUS_RH.099_HST Value [SNAP],OSU_RTS.MDBUS_RH.099_HST Status [SNAP],OSU_RTS.MDBUS_RH.099_HVF Time [SNAP],OSU_RTS.MDBUS_RH.099_HVF Value [SNAP],OSU_RTS.MDBUS_RH.099_HVF Status [SNAP],OSU_RTS.MDBUS_RH.099_SC Time [SNAP],OSU_RTS.MDBUS_RH.099_SC Value [SNAP],OSU_RTS.MDBUS_RH.099_SC Status [SNAP],OSU_RTS.MDBUS_RH.099_SF Time [SNAP],OSU_RTS.MDBUS_RH.099_SF Value [SNAP],OSU_RTS.MDBUS_RH.099_SF Status [SNAP],OSU_RTS.MDBUS_RH.099_SHF Time [SNAP],OSU_RTS.MDBUS_RH.099_SHF Value [SNAP],OSU_RTS.MDBUS_RH.099_SHF Status [SNAP],OSU_RTS.MDBUS_RH.099_SHT Time [SNAP],OSU_RTS.MDBUS_RH.099_SHT Value [SNAP],OSU_RTS.MDBUS_RH.099_SHT Status [SNAP],OSU_RTS.MDBUS_RH.099_SP Time [SNAP],OSU_RTS.MDBUS_RH.099_SP Value [SNAP],OSU_RTS.MDBUS_RH.099_SP Status [SNAP],OSU_RTS.MDBUS_RH.099_ST Time [SNAP],OSU_RTS.MDBUS_RH.099_ST Value [SNAP],OSU_RTS.MDBUS_RH.099_ST Status [SNAP],Comments
10/15/18 0:00,5.27253437,OK,10/15/18 0:00,36.44390869,OK,10/15/18 0:00,1033455.313,OK,10/15/18 0:00,48.07128906,OK,10/15/18 0:00,42.79875183,OK,10/15/18 0:00,165.2053548,OK,10/15/18 0:00,924850,OK,10/15/18 0:00,60.96598434,OK,10/15/18 0:00,19.91578674,OK,10/15/18 0:00,1563317,OK,10/15/18 0:00,74.12368774,OK,10/15/18 0:00,135.0896759,OK,10/15/18 0:00,0.663682605,OK,10/15/18 0:00,57.03832626,OK,10/15/18 0:00,8.131728172,OK,10/15/18 0:00,1115707.25,OK,10/15/18 0:00,75.32528687,OK,10/15/18 0:00,132.3636169,OK,10/15/18 0:00,0.289435199,OK,10/15/18 0:00,4234669,OK,10/15/18 0:00,2.636482239,OK,10/15/18 0:00,437.3269043,OK,10/15/18 0:00,12401463.75,OK,10/15/18 0:00,296.7301941,OK,10/15/18 0:00,13764953,OK,10/15/18 0:00,78.96812439,OK,10/15/18 0:00,81.604599,OK,10/15/18 0:00,226.0648239,OK,10/15/18 0:00,17831.58203,OK,10/15/18 0:00,0.207335999,OK,10/15/18 0:00,254.9042358,OK,10/15/18 0:00,22299620,OK,10/15/18 0:00,181.7437286,OK,10/15/18 0:00,430.7522583,OK,
10/15/18 0:15,8.174217224,OK,10/15/18 0:15,24.355793,OK,10/15/18 0:15,1033461.375,OK,10/15/18 0:15,51.00199127,OK,10/15/18 0:15,42.82777405,OK,10/15/18 0:15,71.25146569,OK,10/15/18 0:15,924870,OK,10/15/18 0:15,57.25468063,OK,10/15/18 0:15,83.41098022,OK,10/15/18 0:15,1563331.75,OK,10/15/18 0:15,73.75080109,OK,10/15/18 0:15,131.0054779,OK,10/15/18 0:15,2.956749096,OK,10/15/18 0:15,57.30067825,OK,10/15/18 0:15,21.56338692,OK,10/15/18 0:15,1115709.625,OK,10/15/18 0:15,75.06764221,OK,10/15/18 0:15,132.3683167,OK,10/15/18 0:15,0.763998243,OK,10/15/18 0:15,4234693,OK,10/15/18 0:15,4.307471275,OK,10/15/18 0:15,292.2858353,OK,10/15/18 0:15,12401536.5,OK,10/15/18 0:15,497.6529236,OK,10/15/18 0:15,13765061,OK,10/15/18 0:15,77.20066071,OK,10/15/18 0:15,81.50813293,OK,10/15/18 0:15,232.0567407,OK,10/15/18 0:15,17831.66797,OK,10/15/18 0:15,1.143493042,OK,10/15/18 0:15,1406.235107,OK,10/15/18 0:15,22299724,OK,10/15/18 0:15,179.267746,OK,10/15/18 0:15,430.6715698,OK,
10/15/18 0:30,8.169089317,OK,10/15/18 0:30,23.77696419,OK,10/15/18 0:30,1033467.25,OK,10/15/18 0:30,50.92434692,OK,10/15/18 0:30,42.75525665,OK,10/15/18 0:30,69.59632191,OK,10/15/18 0:30,924890,OK,10/15/18 0:30,54.9765358,OK,10/15/18 0:30,102.9193878,OK,10/15/18 0:30,1563351.5,OK,10/15/18 0:30,73.49897766,OK,10/15/18 0:30,128.4755096,OK,10/15/18 0:30,3.796771897,OK,10/15/18 0:30,57.36828613,OK,10/15/18 0:30,0,OK,10/15/18 0:30,1115711.625,OK,10/15/18 0:30,75.04173279,OK,10/15/18 0:30,132.4100189,OK,10/15/18 0:30,0,OUT OF RANGE,10/15/18 0:30,4234717,OK,10/15/18 0:30,1.773179054,OK,10/15/18 0:30,285.3235703,OK,10/15/18 0:30,12401607,OK,10/15/18 0:30,211.0455933,OK,10/15/18 0:30,13765183,OK,10/15/18 0:30,79.02488708,OK,10/15/18 0:30,80.79806519,OK,10/15/18 0:30,239.0396277,OK,10/15/18 0:30,17831.76172,OK,10/15/18 0:30,0.233473923,OK,10/15/18 0:30,287.9100342,OK,10/15/18 0:30,22299840,OK,10/15/18 0:30,178.7974396,OK,10/15/18 0:30,436.1574707,OK,
10/15/18 0:45,4.375520229,OK,10/15/18 0:45,19.46717453,OK,10/15/18 0:45,1033472.563,OK,10/15/18 0:45,51.15222168,OK,10/15/18 0:45,46.77670288,OK,10/15/18 0:45,106.4864314,OK,10/15/18 0:45,924910,OK,10/15/18 0:45,53.65879059,OK,10/15/18 0:45,20.90217972,OK,10/15/18 0:45,1563374.125,OK,10/15/18 0:45,73.38562012,OK,10/15/18 0:45,127.0444183,OK,10/15/18 0:45,0.789802325,OK,10/15/18 0:45,57.70972443,OK,10/15/18 0:45,17.68687439,OK,10/15/18 0:45,1115713.75,OK,10/15/18 0:45,74.87171936,OK,10/15/18 0:45,132.5814514,OK,10/15/18 0:45,0.622247616,OK,10/15/18 0:45,4234740,OK,10/15/18 0:45,16.33027649,OK,10/15/18 0:45,233.6279068,OK,10/15/18 0:45,12401670.75,OK,10/15/18 0:45,2404.463135,OK,10/15/18 0:45,13765498,OK,10/15/18 0:45,76.21980286,OK,10/15/18 0:45,92.55008698,OK,10/15/18 0:45,296.1949212,OK,10/15/18 0:45,17831.85352,OK,10/15/18 0:45,1.359423828,OK,10/15/18 0:45,1683.049805,OK,10/15/18 0:45,22299954,OK,10/15/18 0:45,176.6506195,OK,10/15/18 0:45,443.7633057,OK,
10/15/18 1:00,3.074424744,OK,10/15/18 1:00,13.91455364,OK,10/15/18 1:00,1033476.75,OK,10/15/18 1:00,53.44816971,OK,10/15/18 1:00,50.37374115,OK,10/15/18 1:00,108.3505475,OK,10/15/18 1:00,924920,OK,10/15/18 1:00,58.22952271,OK,10/15/18 1:00,19.04160118,OK,10/15/18 1:00,1563384.25,OK,10/15/18 1:00,73.90040588,OK,10/15/18 1:00,132.1299286,OK,10/15/18 1:00,0.663745867,OK,10/15/18 1:00,57.11011124,OK,10/15/18 1:00,12.30299377,OK,10/15/18 1:00,1115715,OK,10/15/18 1:00,75.49749756,OK,10/15/18 1:00,132.607605,OK,10/15/18 1:00,0.437379111,OK,10/15/18 1:00,4234762,OK,10/15/18 1:00,9.032172203,OK,10/15/18 1:00,166.9746437,OK,10/15/18 1:00,12401721,OK,10/15/18 1:00,1267.149414,OK,10/15/18 1:00,13765945,OK,10/15/18 1:00,90.60983276,OK,10/15/18 1:00,99.64200592,OK,10/15/18 1:00,282.7236882,OK,10/15/18 1:00,17831.94141,OK,10/15/18 1:00,0.230413666,OK,10/15/18 1:00,286.3729553,OK,10/15/18 1:00,22300062,OK,10/15/18 1:00,176.2855682,OK,10/15/18 1:00,451.7810059,OK,
10/15/18 1:15,3.136520863,OK,10/15/18 1:15,14.2082243,OK,10/15/18 1:15,1033480.375,OK,10/15/18 1:15,55.5753212,OK,10/15/18 1:15,52.43880081,OK,10/15/18 1:15,108.6037101,OK,10/15/18 1:15,924940,OK,10/15/18 1:15,58.917202,OK,10/15/18 1:15,0,OK,10/15/18 1:15,1563392.375,OK,10/15/18 1:15,74.1488266,OK,10/15/18 1:15,133.06604,OK,10/15/18 1:15,0,OK,10/15/18 1:15,56.78363037,OK,10/15/18 1:15,17.61255646,OK,10/15/18 1:15,1115716,OK,10/15/18 1:15,75.87249756,OK,10/15/18 1:15,132.6561279,OK,10/15/18 1:15,0.629743964,OK,10/15/18 1:15,4234783,OK,10/15/18 1:15,12.87719345,OK,10/15/18 1:15,170.4986916,OK,10/15/18 1:15,12401764.5,OK,10/15/18 1:15,1776.866943,OK,10/15/18 1:15,13766302,OK,10/15/18 1:15,95.80329895,OK,10/15/18 1:15,108.6804962,OK,10/15/18 1:15,278.6968499,OK,10/15/18 1:15,17832.01953,OK,10/15/18 1:15,0.220756973,OK,10/15/18 1:15,274.6131287,OK,10/15/18 1:15,22300160,OK,10/15/18 1:15,181.7010651,OK,10/15/18 1:15,455.0489502,OK,
10/15/18 1:30,3.214261293,OK,10/15/18 1:30,14.59957409,OK,10/15/18 1:30,1033483.938,OK,10/15/18 1:30,56.80760574,OK,10/15/18 1:30,53.59334564,OK,10/15/18 1:30,108.9542298,OK,10/15/18 1:30,924940,OK,10/15/18 1:30,60.63920975,OK,10/15/18 1:30,8.464574814,OK,10/15/18 1:30,1563394.25,OK,10/15/18 1:30,74.93423462,OK,10/15/18 1:30,135.5734558,OK,10/15/18 1:30,0.283631657,OK,10/15/18 1:30,56.86151123,OK,10/15/18 1:30,0,OK,10/15/18 1:30,1115717.375,OK,10/15/18 1:30,75.82106781,OK,10/15/18 1:30,132.6825867,OK,10/15/18 1:30,0,OUT OF RANGE,10/15/18 1:30,4234804,OK,10/15/18 1:30,-3.318460464,OK,10/15/18 1:30,175.1948891,OK,10/15/18 1:30,12401807.25,OK,10/15/18 1:30,0,OK,10/15/18 1:30,13766439,OK,10/15/18 1:30,99.68032074,OK,10/15/18 1:30,96.36186218,OK,10/15/18 1:30,273.2994112,OK,10/15/18 1:30,17832.09766,OK,10/15/18 1:30,0.219718094,OK,10/15/18 1:30,272.9941711,OK,10/15/18 1:30,22300258,OK,10/15/18 1:30,180.7963715,OK,10/15/18 1:30,452.1973267,OK,
10/15/18 1:45,2.937381744,OK,10/15/18 1:45,13.29197121,OK,10/15/18 1:45,1033487.375,OK,10/15/18 1:45,57.75035477,OK,10/15/18 1:45,54.81297302,OK,10/15/18 1:45,108.5591943,OK,10/15/18 1:45,924940,OK,10/15/18 1:45,61.62730789,OK,10/15/18 1:45,0,OK,10/15/18 1:45,1563395,OK,10/15/18 1:45,75.73568726,OK,10/15/18 1:45,137.3629913,OK,10/15/18 1:45,0,OK,10/15/18 1:45,56.06513977,OK,10/15/18 1:45,0,OK,10/15/18 1:45,1115717.625,OK,10/15/18 1:45,76.76182556,OK,10/15/18 1:45,132.8269653,OK,10/15/18 1:45,0,OUT OF RANGE,10/15/18 1:45,4234826,OK,10/15/18 1:45,1.098607779,OK,10/15/18 1:45,159.5036545,OK,10/15/18 1:45,12401848.5,OK,10/15/18 1:45,143.7547302,OK,10/15/18 1:45,13766456,OK,10/15/18 1:45,93.78923035,OK,10/15/18 1:45,94.88784027,OK,10/15/18 1:45,263.3996852,OK,10/15/18 1:45,17832.18164,OK,10/15/18 1:45,0.266351196,OK,10/15/18 1:45,330.1217346,OK,10/15/18 1:45,22300362,OK,10/15/18 1:45,182.2175446,OK,10/15/18 1:45,447.3490601,OK,
10/15/18 2:00,2.656885147,OK,10/15/18 2:00,12.03098392,OK,10/15/18 2:00,1033490.5,OK,10/15/18 2:00,58.78240204,OK,10/15/18 2:00,56.12551498,OK,10/15/18 2:00,108.6479656,OK,10/15/18 2:00,924950,OK,10/15/18 2:00,62.51924896,OK,10/15/18 2:00,0,OK,10/15/18 2:00,1563397.625,OK,10/15/18 2:00,75.70568085,OK,10/15/18 2:00,138.2249298,OK,10/15/18 2:00,0,OK,10/15/18 2:00,57.64359283,OK,10/15/18 2:00,27.39678764,OK,10/15/18 2:00,1115725.75,OK,10/15/18 2:00,74.67904663,OK,10/15/18 2:00,132.3226318,OK,10/15/18 2:00,0.964897189,OK,10/15/18 2:00,4234847,OK,10/15/18 2:00,1.041851521,OK,10/15/18 2:00,144.3718071,OK,10/15/18 2:00,12401886,OK,10/15/18 2:00,137.6613617,OK,10/15/18 2:00,13766459,OK,10/15/18 2:00,91.86025238,OK,10/15/18 2:00,92.90209961,OK,10/15/18 2:00,265.7025307,OK,10/15/18 2:00,17832.26758,OK,10/15/18 2:00,0.23057019,OK,10/15/18 2:00,285.0765991,OK,10/15/18 2:00,22300468,OK,10/15/18 2:00,181.1707153,OK,10/15/18 2:00,442.1099854,OK,
10/15/18 2:15,2.499387026,OK,10/15/18 2:15,11.34261036,OK,10/15/18 2:15,1033493.375,OK,10/15/18 2:15,59.78049469,OK,10/15/18 2:15,57.28110504,OK,10/15/18 2:15,108.8986135,OK,10/15/18 2:15,924960,OK,10/15/18 2:15,63.71548462,OK,10/15/18 2:15,8.972063065,OK,10/15/18 2:15,1563407.5,OK,10/15/18 2:15,74.63720703,OK,10/15/18 2:15,138.3526917,OK,10/15/18 2:15,0.286336935,OK,10/15/18 2:15,57.29392242,OK,10/15/18 2:15,0,OK,10/15/18 2:15,1115732,OK,10/15/18 2:15,74.45233154,OK,10/15/18 2:15,131.7462616,OK,10/15/18 2:15,0,OUT OF RANGE,10/15/18 2:15,4234868,OK,10/15/18 2:15,1.983446717,OK,10/15/18 2:15,136.1113243,OK,10/15/18 2:15,12401920.5,OK,10/15/18 2:15,261.5578308,OK,10/15/18 2:15,13766513,OK,10/15/18 2:15,90.47066498,OK,10/15/18 2:15,92.45411682,OK,10/15/18 2:15,265.156247,OK,10/15/18 2:15,17832.36133,OK,10/15/18 2:15,0.215386261,OK,10/15/18 2:15,266.005249,OK,10/15/18 2:15,22300582,OK,10/15/18 2:15,179.7430267,OK,10/15/18 2:15,439.4721985,OK,
