OSU_RTS.MDBUS_RH.852_CDT Time [SNAP],OSU_RTS.MDBUS_RH.852_CDT Value [SNAP],OSU_RTS.MDBUS_RH.852_CDT Status [SNAP],OSU_RTS.MDBUS_RH.852_CHF Time [SNAP],OSU_RTS.MDBUS_RH.852_CHF Value [SNAP],OSU_RTS.MDBUS_RH.852_CHF Status [SNAP],OSU_RTS.MDBUS_RH.852_CHT Time [SNAP],OSU_RTS.MDBUS_RH.852_CHT Value [SNAP],OSU_RTS.MDBUS_RH.852_CHT Status [SNAP],OSU_RTS.MDBUS_RH.852_CRT Time [SNAP],OSU_RTS.MDBUS_RH.852_CRT Value [SNAP],OSU_RTS.MDBUS_RH.852_CRT Status [SNAP],OSU_RTS.MDBUS_RH.852_CST Time [SNAP],OSU_RTS.MDBUS_RH.852_CST Value [SNAP],OSU_RTS.MDBUS_RH.852_CST Status [SNAP],OSU_RTS.MDBUS_RH.852_CVF Time [SNAP],OSU_RTS.MDBUS_RH.852_CVF Value [SNAP],OSU_RTS.MDBUS_RH.852_CVF Status [SNAP],OSU_RTS.MDBUS_RH.852_DCT Time [SNAP],OSU_RTS.MDBUS_RH.852_DCT Value [SNAP],OSU_RTS.MDBUS_RH.852_DCT Status [SNAP],OSU_RTS.MDBUS_RH.852_DHDT Time [SNAP],OSU_RTS.MDBUS_RH.852_DHDT Value [SNAP],OSU_RTS.MDBUS_RH.852_DHDT Status [SNAP],OSU_RTS.MDBUS_RH.852_DHHF Time [SNAP],OSU_RTS.MDBUS_RH.852_DHHF Value [SNAP],OSU_RTS.MDBUS_RH.852_DHHF Status [SNAP],OSU_RTS.MDBUS_RH.852_DHHT Time [SNAP],OSU_RTS.MDBUS_RH.852_DHHT Value [SNAP],OSU_RTS.MDBUS_RH.852_DHHT Status [SNAP],OSU_RTS.MDBUS_RH.852_DHRT Time [SNAP],OSU_RTS.MDBUS_RH.852_DHRT Value [SNAP],OSU_RTS.MDBUS_RH.852_DHRT Status [SNAP],OSU_RTS.MDBUS_RH.852_DHST Time [SNAP],OSU_RTS.MDBUS_RH.852_DHST Value [SNAP],OSU_RTS.MDBUS_RH.852_DHST Status [SNAP],OSU_RTS.MDBUS_RH.852_DHVF Time [SNAP],OSU_RTS.MDBUS_RH.852_DHVF Value [SNAP],OSU_RTS.MDBUS_RH.852_DHVF Status [SNAP],OSU_RTS.MDBUS_RH.852_DLDT Time [SNAP],OSU_RTS.MDBUS_RH.852_DLDT Value [SNAP],OSU_RTS.MDBUS_RH.852_DLDT Status [SNAP],OSU_RTS.MDBUS_RH.852_DLHF Time [SNAP],OSU_RTS.MDBUS_RH.852_DLHF Value [SNAP],OSU_RTS.MDBUS_RH.852_DLHF Status [SNAP],OSU_RTS.MDBUS_RH.852_DLHT Time [SNAP],OSU_RTS.MDBUS_RH.852_DLHT Value [SNAP],OSU_RTS.MDBUS_RH.852_DLHT Status [SNAP],OSU_RTS.MDBUS_RH.852_DLRT Time [SNAP],OSU_RTS.MDBUS_RH.852_DLRT Value [SNAP],OSU_RTS.MDBUS_RH.852_DLRT Status [SNAP],OSU_RTS.MDBUS_RH.852_DLST Time [SNAP],OSU_RTS.MDBUS_RH.852_DLST Value [SNAP],OSU_RTS.MDBUS_RH.852_DLST Status [SNAP],OSU_RTS.MDBUS_RH.852_DLVF Time [SNAP],OSU_RTS.MDBUS_RH.852_DLVF Value [SNAP],OSU_RTS.MDBUS_RH.852_DLVF Status [SNAP],OSU_RTS.MDBUS_RH.852_EC Time [SNAP],OSU_RTS.MDBUS_RH.852_EC Value [SNAP],OSU_RTS.MDBUS_RH.852_EC Status [SNAP],OSU_RTS.MDBUS_RH.852_HDT Time [SNAP],OSU_RTS.MDBUS_RH.852_HDT Value [SNAP],OSU_RTS.MDBUS_RH.852_HDT Status [SNAP],OSU_RTS.MDBUS_RH.852_HF Time [SNAP],OSU_RTS.MDBUS_RH.852_HF Value [SNAP],OSU_RTS.MDBUS_RH.852_HF Status [SNAP],OSU_RTS.MDBUS_RH.852_HGT Time [SNAP],OSU_RTS.MDBUS_RH.852_HGT Value [SNAP],OSU_RTS.MDBUS_RH.852_HGT Status [SNAP],OSU_RTS.MDBUS_RH.852_HHF Time [SNAP],OSU_RTS.MDBUS_RH.852_HHF Value [SNAP],OSU_RTS.MDBUS_RH.852_HHF Status [SNAP],OSU_RTS.MDBUS_RH.852_HHT Time [SNAP],OSU_RTS.MDBUS_RH.852_HHT Value [SNAP],OSU_RTS.MDBUS_RH.852_HHT Status [SNAP],OSU_RTS.MDBUS_RH.852_HRT Time [SNAP],OSU_RTS.MDBUS_RH.852_HRT Value [SNAP],OSU_RTS.MDBUS_RH.852_HRT Status [SNAP],OSU_RTS.MDBUS_RH.852_HST Time [SNAP],OSU_RTS.MDBUS_RH.852_HST Value [SNAP],OSU_RTS.MDBUS_RH.852_HST Status [SNAP],OSU_RTS.MDBUS_RH.852_HVF Time [SNAP],OSU_RTS.MDBUS_RH.852_HVF Value [SNAP],OSU_RTS.MDBUS_RH.852_HVF Status [SNAP],OSU_RTS.MDBUS_RH.852_SC Time [SNAP],OSU_RTS.MDBUS_RH.852_SC Value [SNAP],OSU_RTS.MDBUS_RH.852_SC Status [SNAP],OSU_RTS.MDBUS_RH.852_SF Time [SNAP],OSU_RTS.MDBUS_RH.852_SF Value [SNAP],OSU_RTS.MDBUS_RH.852_SF Status [SNAP],OSU_RTS.MDBUS_RH.852_SHF Time [SNAP],OSU_RTS.MDBUS_RH.852_SHF Value [SNAP],OSU_RTS.MDBUS_RH.852_SHF Status [SNAP],OSU_RTS.MDBUS_RH.852_SHT Time [SNAP],OSU_RTS.MDBUS_RH.852_SHT Value [SNAP],OSU_RTS.MDBUS_RH.852_SHT Status [SNAP],OSU_RTS.MDBUS_RH.852_SP Time [SNAP],OSU_RTS.MDBUS_RH.852_SP Value [SNAP],OSU_RTS.MDBUS_RH.852_SP Status [SNAP],OSU_RTS.MDBUS_RH.852_ST Time [SNAP],OSU_RTS.MDBUS_RH.852_ST Value [SNAP],OSU_RTS.MDBUS_RH.852_ST Status [SNAP],OSU_RTS.MDBUS_RH.852DC_T Time [SNAP],OSU_RTS.MDBUS_RH.852DC_T Value [SNAP],OSU_RTS.MDBUS_RH.852DC_T Status [SNAP],Comments
10/15/18 0:00,2.778285027,OK,10/15/18 0:00,48.53995132,OK,10/15/18 0:00,1894120.375,OK,10/15/18 0:00,45.35902405,OK,10/15/18 0:00,42.58074188,OK,10/15/18 0:00,417.0693438,OK,10/15/18 0:00,995960,OK,10/15/18 0:00,74.63758087,OK,10/15/18 0:00,198.4303284,OK,10/15/18 0:00,5409681,OK,10/15/18 0:00,71.69606781,OK,10/15/18 0:00,146.3336487,OK,10/15/18 0:00,5.417894509,OK,10/15/18 0:00,70.17566681,OK,10/15/18 0:00,160.854248,OK,10/15/18 0:00,2814278.75,OK,10/15/18 0:00,71.57500458,OK,10/15/18 0:00,141.7506714,OK,10/15/18 0:00,4.665246298,OK,10/15/18 0:00,11015656,OK,10/15/18 0:00,0.41858235,OK,10/15/18 0:00,582.4794159,OK,10/15/18 0:00,22729444.5,OK,10/15/18 0:00,0,OK,10/15/18 0:00,20019988,OK,10/15/18 0:00,81.13999176,OK,10/15/18 0:00,81.55857849,OK,10/15/18 0:00,150.4177056,OK,10/15/18 0:00,18993.28711,OK,10/15/18 0:00,0.294994751,OK,10/15/18 0:00,353.3882141,OK,10/15/18 0:00,22789932,OK,10/15/18 0:00,180.2657623,OK,10/15/18 0:00,379.4802856,OK,10/15/18 0:00,995960,OK,
10/15/18 0:15,7.986934662,OK,10/15/18 0:15,45.33039856,OK,10/15/18 0:15,1894129.625,OK,10/15/18 0:15,50.47732925,OK,10/15/18 0:15,42.49039459,OK,10/15/18 0:15,135.6968138,OK,10/15/18 0:15,996030,OK,10/15/18 0:15,73.92014313,OK,10/15/18 0:15,250.2524109,OK,10/15/18 0:15,5409745,OK,10/15/18 0:15,71.70001221,OK,10/15/18 0:15,145.6201477,OK,10/15/18 0:15,6.897805393,OK,10/15/18 0:15,70.48014832,OK,10/15/18 0:15,156.995575,OK,10/15/18 0:15,2814316.75,OK,10/15/18 0:15,71.61705017,OK,10/15/18 0:15,142.0971985,OK,10/15/18 0:15,4.401935368,OK,10/15/18 0:15,11015735,OK,10/15/18 0:15,-1.62845552,OK,10/15/18 0:15,543.9647827,OK,10/15/18 0:15,22729555.5,OK,10/15/18 0:15,0,OK,10/15/18 0:15,20020020,OK,10/15/18 0:15,80.58004761,OK,10/15/18 0:15,78.95158386,OK,10/15/18 0:15,186.5510128,OK,10/15/18 0:15,18993.49219,OK,10/15/18 0:15,2.168670166,OK,10/15/18 0:15,2597.469238,OK,10/15/18 0:15,22790176,OK,10/15/18 0:15,177.0602875,OK,10/15/18 0:15,379.1799011,OK,10/15/18 0:15,996030,OK,
10/15/18 0:30,5.365066528,OK,10/15/18 0:30,31.45575333,OK,10/15/18 0:30,1894138.75,OK,10/15/18 0:30,51.79131317,OK,10/15/18 0:30,46.42624664,OK,10/15/18 0:30,140.313467,OK,10/15/18 0:30,996120,OK,10/15/18 0:30,71.05249023,OK,10/15/18 0:30,299.3472595,OK,10/15/18 0:30,5409849,OK,10/15/18 0:30,71.8130722,OK,10/15/18 0:30,142.8655701,OK,10/15/18 0:30,8.577509193,OK,10/15/18 0:30,70.63427734,OK,10/15/18 0:30,17.1397438,OK,10/15/18 0:30,2814339.75,OK,10/15/18 0:30,71.80876923,OK,10/15/18 0:30,142.4430542,OK,10/15/18 0:30,0.493971245,OK,10/15/18 0:30,11015815,OK,10/15/18 0:30,8.008296013,OK,10/15/18 0:30,377.4690399,OK,10/15/18 0:30,22729665,OK,10/15/18 0:30,817.9194336,OK,10/15/18 0:30,20020148,OK,10/15/18 0:30,81.19692993,OK,10/15/18 0:30,89.20521545,OK,10/15/18 0:30,205.3243864,OK,10/15/18 0:30,18993.72266,OK,10/15/18 0:30,1.248351807,OK,10/15/18 0:30,1495.135132,OK,10/15/18 0:30,22790454,OK,10/15/18 0:30,176.5205841,OK,10/15/18 0:30,378.0977783,OK,10/15/18 0:30,996120,OK,
10/15/18 0:45,4.299553871,OK,10/15/18 0:45,21.51528931,OK,10/15/18 0:45,1894146,OK,10/15/18 0:45,52.8789444,OK,10/15/18 0:45,48.57939148,OK,10/15/18 0:45,119.7661323,OK,10/15/18 0:45,996170,OK,10/15/18 0:45,74.70944214,OK,10/15/18 0:45,256.3035583,OK,10/15/18 0:45,5409919,OK,10/15/18 0:45,71.8841095,OK,10/15/18 0:45,146.5935516,OK,10/15/18 0:45,6.991873131,OK,10/15/18 0:45,72.13987732,OK,10/15/18 0:45,152.7939148,OK,10/15/18 0:45,2814352.5,OK,10/15/18 0:45,71.82878876,OK,10/15/18 0:45,143.9686737,OK,10/15/18 0:45,4.313471786,OK,10/15/18 0:45,11015891,OK,10/15/18 0:45,17.85603142,OK,10/15/18 0:45,258.1834717,OK,10/15/18 0:45,22729752,OK,10/15/18 0:45,2424.846924,OK,10/15/18 0:45,20020634,OK,10/15/18 0:45,80.08615112,OK,10/15/18 0:45,97.94218445,OK,10/15/18 0:45,273.4902353,OK,10/15/18 0:45,18993.9082,OK,10/15/18 0:45,0.427476105,OK,10/15/18 0:45,511.8263245,OK,10/15/18 0:45,22790676,OK,10/15/18 0:45,172.5253448,OK,10/15/18 0:45,376.3926086,OK,10/15/18 0:45,996170,OK,
10/15/18 1:00,3.155521393,OK,10/15/18 1:00,19.05350494,OK,10/15/18 1:00,1894150.75,OK,10/15/18 1:00,54.36145782,OK,10/15/18 1:00,51.20593643,OK,10/15/18 1:00,144.6423296,OK,10/15/18 1:00,996220,OK,10/15/18 1:00,75.25889587,OK,10/15/18 1:00,143.4173889,OK,10/15/18 1:00,5409969.5,OK,10/15/18 1:00,71.98428345,OK,10/15/18 1:00,147.2431793,OK,10/15/18 1:00,3.884531526,OK,10/15/18 1:00,71.16864014,OK,10/15/18 1:00,127.972496,OK,10/15/18 1:00,2814384.25,OK,10/15/18 1:00,71.88521576,OK,10/15/18 1:00,143.0538483,OK,10/15/18 1:00,3.661122619,OK,10/15/18 1:00,11015967,OK,10/15/18 1:00,10.34535789,OK,10/15/18 1:00,228.6420593,OK,10/15/18 1:00,22729809,OK,10/15/18 1:00,1421.49231,OK,10/15/18 1:00,20021076,OK,10/15/18 1:00,93.86108398,OK,10/15/18 1:00,104.2064438,OK,10/15/18 1:00,277.2277124,OK,10/15/18 1:00,18994.05078,OK,10/15/18 1:00,0.36462384,OK,10/15/18 1:00,436.6875305,OK,10/15/18 1:00,22790848,OK,10/15/18 1:00,175.8531189,OK,10/15/18 1:00,378.0906677,OK,10/15/18 1:00,996220,OK,
10/15/18 1:15,1.589159369,OK,10/15/18 1:15,12.95852947,OK,10/15/18 1:15,1894154.625,OK,10/15/18 1:15,54.78552246,OK,10/15/18 1:15,53.19636536,OK,10/15/18 1:15,195.5941625,OK,10/15/18 1:15,996260,OK,10/15/18 1:15,75.22064209,OK,10/15/18 1:15,194.2883301,OK,10/15/18 1:15,5410009,OK,10/15/18 1:15,72.05342102,OK,10/15/18 1:15,147.2740631,OK,10/15/18 1:15,5.265097569,OK,10/15/18 1:15,71.75115967,OK,10/15/18 1:15,0,OK,10/15/18 1:15,2814391,OK,10/15/18 1:15,72.2881012,OK,10/15/18 1:15,144.0392761,OK,10/15/18 1:15,0,OUT OF RANGE,10/15/18 1:15,11016040,OK,10/15/18 1:15,-4.560297966,OK,10/15/18 1:15,155.5023537,OK,10/15/18 1:15,22729855.5,OK,10/15/18 1:15,0,OK,10/15/18 1:15,20021358,OK,10/15/18 1:15,101.5173569,OK,10/15/18 1:15,96.95706177,OK,10/15/18 1:15,276.6548494,OK,10/15/18 1:15,18994.17188,OK,10/15/18 1:15,0.712006836,OK,10/15/18 1:15,852.9381714,OK,10/15/18 1:15,22790992,OK,10/15/18 1:15,180.0664063,OK,10/15/18 1:15,379.7791138,OK,10/15/18 1:15,996260,OK,
10/15/18 1:30,1.411353588,OK,10/15/18 1:30,12.39822865,OK,10/15/18 1:30,1894158.125,OK,10/15/18 1:30,55.87490463,OK,10/15/18 1:30,54.46355057,OK,10/15/18 1:30,210.7396477,OK,10/15/18 1:30,996280,OK,10/15/18 1:30,74.70978546,OK,10/15/18 1:30,181.7214813,OK,10/15/18 1:30,5410034,OK,10/15/18 1:30,72.17167664,OK,10/15/18 1:30,146.8814697,OK,10/15/18 1:30,4.957642588,OK,10/15/18 1:30,70.1954422,OK,10/15/18 1:30,40.40682602,OK,10/15/18 1:30,2814393.5,OK,10/15/18 1:30,72.38015747,OK,10/15/18 1:30,142.5756073,OK,10/15/18 1:30,1.171866139,OK,10/15/18 1:30,11016110,OK,10/15/18 1:30,0.54640609,OK,10/15/18 1:30,148.7787437,OK,10/15/18 1:30,22729897.5,OK,10/15/18 1:30,0,OK,10/15/18 1:30,20021412,OK,10/15/18 1:30,94.17887115,OK,10/15/18 1:30,94.72528076,OK,10/15/18 1:30,300.1095177,OK,10/15/18 1:30,18994.27148,OK,10/15/18 1:30,0.478087677,OK,10/15/18 1:30,572.6883545,OK,10/15/18 1:30,22791112,OK,10/15/18 1:30,179.2041626,OK,10/15/18 1:30,379.2329102,OK,10/15/18 1:30,996280,OK,
10/15/18 1:45,1.230038881,OK,10/15/18 1:45,10.82642269,OK,10/15/18 1:45,1894161.125,OK,10/15/18 1:45,56.9523201,OK,10/15/18 1:45,55.72228241,OK,10/15/18 1:45,211.175187,OK,10/15/18 1:45,996320,OK,10/15/18 1:45,74.84501648,OK,10/15/18 1:45,44.56490326,OK,10/15/18 1:45,5410082.5,OK,10/15/18 1:45,72.17758179,OK,10/15/18 1:45,147.022583,OK,10/15/18 1:45,1.213668555,OK,10/15/18 1:45,69.64701843,OK,10/15/18 1:45,12.11084557,OK,10/15/18 1:45,2814406.25,OK,10/15/18 1:45,72.17042542,OK,10/15/18 1:45,141.8174438,OK,10/15/18 1:45,0.353925885,OK,10/15/18 1:45,11016180,OK,10/15/18 1:45,-0.35031414,OK,10/15/18 1:45,129.9170723,OK,10/15/18 1:45,22729933.5,OK,10/15/18 1:45,0,OK,10/15/18 1:45,20021412,OK,10/15/18 1:45,93.27492523,OK,10/15/18 1:45,92.92461395,OK,10/15/18 1:45,286.329522,OK,10/15/18 1:45,18994.4043,OK,10/15/18 1:45,0.277912872,OK,10/15/18 1:45,332.9337463,OK,10/15/18 1:45,22791270,OK,10/15/18 1:45,180.7033691,OK,10/15/18 1:45,380.065155,OK,10/15/18 1:45,996320,OK,
10/15/18 2:00,1.118564844,OK,10/15/18 2:00,9.86231041,OK,10/15/18 2:00,1894163.75,OK,10/15/18 2:00,57.98336029,OK,10/15/18 2:00,56.86479568,OK,10/15/18 2:00,211.6046552,OK,10/15/18 2:00,996340,OK,10/15/18 2:00,73.82011414,OK,10/15/18 2:00,47.13778687,OK,10/15/18 2:00,5410098.5,OK,10/15/18 2:00,72.35900879,OK,10/15/18 2:00,146.1791229,OK,10/15/18 2:00,1.301261097,OK,10/15/18 2:00,71.59124756,OK,10/15/18 2:00,25.19338989,OK,10/15/18 2:00,2814409.25,OK,10/15/18 2:00,72.48027802,OK,10/15/18 2:00,144.0715332,OK,10/15/18 2:00,0.716699947,OK,10/15/18 2:00,11016249,OK,10/15/18 2:00,0.081453294,OK,10/15/18 2:00,118.3477249,OK,10/15/18 2:00,22729965,OK,10/15/18 2:00,0,OK,10/15/18 2:00,20021420,OK,10/15/18 2:00,92.18687439,OK,10/15/18 2:00,92.26832581,OK,10/15/18 2:00,272.119342,OK,10/15/18 2:00,18994.49414,OK,10/15/18 2:00,0.592431824,OK,10/15/18 2:00,709.6714478,OK,10/15/18 2:00,22791378,OK,10/15/18 2:00,179.5246124,OK,10/15/18 2:00,379.3178101,OK,10/15/18 2:00,996340,OK,
10/15/18 2:15,1.082524538,OK,10/15/18 2:15,9.548736572,OK,10/15/18 2:15,1894166.125,OK,10/15/18 2:15,58.9344902,OK,10/15/18 2:15,57.85196686,OK,10/15/18 2:15,211.6765153,OK,10/15/18 2:15,996350,OK,10/15/18 2:15,73.44125366,OK,10/15/18 2:15,40.38646317,OK,10/15/18 2:15,5410108.5,OK,10/15/18 2:15,72.48384094,OK,10/15/18 2:15,145.9251099,OK,10/15/18 2:15,1.120548534,OK,10/15/18 2:15,70.135849,OK,10/15/18 2:15,26.11393738,OK,10/15/18 2:15,2814419.5,OK,10/15/18 2:15,72.41117859,OK,10/15/18 2:15,142.5470276,OK,10/15/18 2:15,0.757986033,OK,10/15/18 2:15,11016317,OK,10/15/18 2:15,5.977810383,OK,10/15/18 2:15,114.5848389,OK,10/15/18 2:15,22729993.5,OK,10/15/18 2:15,833.3865967,OK,10/15/18 2:15,20021508,OK,10/15/18 2:15,92.58406067,OK,10/15/18 2:15,98.56187439,OK,10/15/18 2:15,280.9362176,OK,10/15/18 2:15,18994.58984,OK,10/15/18 2:15,0.292627472,OK,10/15/18 2:15,350.5044861,OK,10/15/18 2:15,22791492,OK,10/15/18 2:15,177.9146423,OK,10/15/18 2:15,378.9455566,OK,10/15/18 2:15,996350,OK,
