OSU_RTS.MDBUS_CC.388_THF Time [SNAP],OSU_RTS.MDBUS_CC.388_THF Value [SNAP],OSU_RTS.MDBUS_CC.388_THF Status [SNAP],OSU_RTS.MDBUS_CC.388C_HF Time [SNAP],OSU_RTS.MDBUS_CC.388C_HF Value [SNAP],OSU_RTS.MDBUS_CC.388C_HF Status [SNAP],OSU_RTS.MDBUS_CC.388C_HGT Time [SNAP],OSU_RTS.MDBUS_CC.388C_HGT Value [SNAP],OSU_RTS.MDBUS_CC.388C_HGT Status [SNAP],OSU_RTS.MDBUS_RT.388S_C Time [SNAP],OSU_RTS.MDBUS_RT.388S_C Value [SNAP],OSU_RTS.MDBUS_RT.388S_C Status [SNAP],OSU_RTS.MDBUS_RT.388S_DP Time [SNAP],OSU_RTS.MDBUS_RT.388S_DP Value [SNAP],OSU_RTS.MDBUS_RT.388S_DP Status [SNAP],OSU_RTS.MDBUS_RT.388S_HF Time [SNAP],OSU_RTS.MDBUS_RT.388S_HF Value [SNAP],OSU_RTS.MDBUS_RT.388S_HF Status [SNAP],OSU_RTS.MDBUS_RT.388S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.388S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.388S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.388S_I Time [SNAP],OSU_RTS.MDBUS_RT.388S_I Value [SNAP],OSU_RTS.MDBUS_RT.388S_I Status [SNAP],OSU_RTS.MDBUS_RT.388S_P Time [SNAP],OSU_RTS.MDBUS_RT.388S_P Value [SNAP],OSU_RTS.MDBUS_RT.388S_P Status [SNAP],OSU_RTS.MDBUS_RT.388S_T Time [SNAP],OSU_RTS.MDBUS_RT.388S_T Value [SNAP],OSU_RTS.MDBUS_RT.388S_T Status [SNAP],OSU_RTS.OPCRTS.388__CHF Time [SNAP],OSU_RTS.OPCRTS.388__CHF Value [SNAP],OSU_RTS.OPCRTS.388__CHF Status [SNAP],OSU_RTS.OPCRTS.388_AT Time [SNAP],OSU_RTS.OPCRTS.388_AT Value [SNAP],OSU_RTS.OPCRTS.388_AT Status [SNAP],OSU_RTS.OPCRTS.388_C1T Time [SNAP],OSU_RTS.OPCRTS.388_C1T Value [SNAP],OSU_RTS.OPCRTS.388_C1T Status [SNAP],OSU_RTS.OPCRTS.388_C2T Time [SNAP],OSU_RTS.OPCRTS.388_C2T Value [SNAP],OSU_RTS.OPCRTS.388_C2T Status [SNAP],OSU_RTS.OPCRTS.388_C3T Time [SNAP],OSU_RTS.OPCRTS.388_C3T Value [SNAP],OSU_RTS.OPCRTS.388_C3T Status [SNAP],OSU_RTS.OPCRTS.388_C4T Time [SNAP],OSU_RTS.OPCRTS.388_C4T Value [SNAP],OSU_RTS.OPCRTS.388_C4T Status [SNAP],OSU_RTS.OPCRTS.388_C5T Time [SNAP],OSU_RTS.OPCRTS.388_C5T Value [SNAP],OSU_RTS.OPCRTS.388_C5T Status [SNAP],OSU_RTS.OPCRTS.388_C6T Time [SNAP],OSU_RTS.OPCRTS.388_C6T Value [SNAP],OSU_RTS.OPCRTS.388_C6T Status [SNAP],OSU_RTS.OPCRTS.388_C7T Time [SNAP],OSU_RTS.OPCRTS.388_C7T Value [SNAP],OSU_RTS.OPCRTS.388_C7T Status [SNAP],OSU_RTS.OPCRTS.388_C8T Time [SNAP],OSU_RTS.OPCRTS.388_C8T Value [SNAP],OSU_RTS.OPCRTS.388_C8T Status [SNAP],OSU_RTS.OPCRTS.388_CDT Time [SNAP],OSU_RTS.OPCRTS.388_CDT Value [SNAP],OSU_RTS.OPCRTS.388_CDT Status [SNAP],OSU_RTS.OPCRTS.388_CHT Time [SNAP],OSU_RTS.OPCRTS.388_CHT Value [SNAP],OSU_RTS.OPCRTS.388_CHT Status [SNAP],OSU_RTS.OPCRTS.388_CRWT Time [SNAP],OSU_RTS.OPCRTS.388_CRWT Value [SNAP],OSU_RTS.OPCRTS.388_CRWT Status [SNAP],OSU_RTS.OPCRTS.388_CSWT Time [SNAP],OSU_RTS.OPCRTS.388_CSWT Value [SNAP],OSU_RTS.OPCRTS.388_CSWT Status [SNAP],OSU_RTS.OPCRTS.388_CVF Time [SNAP],OSU_RTS.OPCRTS.388_CVF Value [SNAP],OSU_RTS.OPCRTS.388_CVF Status [SNAP],OSU_RTS.OPCRTS..388_CWP Time [SNAP],OSU_RTS.OPCRTS..388_CWP Value [SNAP],OSU_RTS.OPCRTS..388_CWP Status [SNAP],OSU_RTS.OPCRTS..388_CWST Time [SNAP],OSU_RTS.OPCRTS..388_CWST Value [SNAP],OSU_RTS.OPCRTS..388_CWST Status [SNAP],OSU_RTS.OPCRTS..388_E1C Time [SNAP],OSU_RTS.OPCRTS..388_E1C Value [SNAP],OSU_RTS.OPCRTS..388_E1C Status [SNAP],OSU_RTS.OPCRTS..388_E2C Time [SNAP],OSU_RTS.OPCRTS..388_E2C Value [SNAP],OSU_RTS.OPCRTS..388_E2C Status [SNAP],OSU_RTS.OPCRTS..388_E3C Time [SNAP],OSU_RTS.OPCRTS..388_E3C Value [SNAP],OSU_RTS.OPCRTS..388_E3C Status [SNAP],OSU_RTS.OPCRTS..388_E4C Time [SNAP],OSU_RTS.OPCRTS..388_E4C Value [SNAP],OSU_RTS.OPCRTS..388_E4C Status [SNAP],OSU_RTS.OPCRTS..388_E5C Time [SNAP],OSU_RTS.OPCRTS..388_E5C Value [SNAP],OSU_RTS.OPCRTS..388_E5C Status [SNAP],OSU_RTS.OPCRTS..388_KWPT Time [SNAP],OSU_RTS.OPCRTS..388_KWPT Value [SNAP],OSU_RTS.OPCRTS..388_KWPT Status [SNAP],OSU_RTS.OPCRTS.388_TONA Time [SNAP],OSU_RTS.OPCRTS.388_TONA Value [SNAP],OSU_RTS.OPCRTS.388_TONA Status [SNAP],OSU_RTS.OPCRTS.388_WB Time [SNAP],OSU_RTS.OPCRTS.388_WB Value [SNAP],OSU_RTS.OPCRTS.388_WB Status [SNAP],Comments
01/01/70 0:00,0,No Records.,10/15/18 0:00,0,OK,10/15/18 0:00,683862,OK,10/15/18 0:00,10108.52637,OK,10/15/18 0:00,0,OK,10/15/18 0:00,0,OK,10/15/18 0:00,12971237,OK,10/15/18 0:00,0,OK,10/15/18 0:00,2.173228264,OK,10/15/18 0:00,61.23135757,OK,10/15/18 0:00,0,OK,10/15/18 0:00,53.87289,OK,10/15/18 0:00,20848580,OK,10/15/18 0:00,22434450,OK,10/15/18 0:00,23824870,OK,10/15/18 0:00,22734450,OK,10/15/18 0:00,22225320,OK,10/15/18 0:00,22964610,OK,10/15/18 0:00,22894920,OK,10/15/18 0:00,23920440,OK,10/15/18 0:00,0,OK,10/15/18 0:00,56988.5,OK,10/15/18 0:00,63.63817,OK,10/15/18 0:00,48.01515,OK,10/15/18 0:00,0.1144409,OK,10/15/18 0:00,71.45782,OK,10/15/18 0:00,41.43071,OK,10/15/18 0:00,8415273,OK,10/15/18 0:00,2194.007,OK,10/15/18 0:00,333252.6,OK,10/15/18 0:00,9324483,OK,10/15/18 0:00,5061244,OK,10/15/18 0:00,0.7742481,OK,10/15/18 0:00,2431.005,OK,10/15/18 0:00,53.18698,OK,
,,,10/15/18 0:15,0,OK,10/15/18 0:15,683862,OK,10/15/18 0:15,10108.52637,OK,10/15/18 0:15,0,OK,10/15/18 0:15,0,OK,10/15/18 0:15,12971237,OK,10/15/18 0:15,0,OK,10/15/18 0:15,2.162676811,OK,10/15/18 0:15,61.27639771,OK,10/15/18 0:15,0,OK,10/15/18 0:15,53.99008,OK,10/15/18 0:15,20848890,OK,10/15/18 0:15,22434450,OK,10/15/18 0:15,23824870,OK,10/15/18 0:15,22734450,OK,10/15/18 0:15,22225320,OK,10/15/18 0:15,22964610,OK,10/15/18 0:15,22895240,OK,10/15/18 0:15,23920440,OK,10/15/18 0:15,0,OK,10/15/18 0:15,56988.5,OK,10/15/18 0:15,63.66628,OK,10/15/18 0:15,47.94676,OK,10/15/18 0:15,0.1116333,OK,10/15/18 0:15,71.52655,OK,10/15/18 0:15,41.12302,OK,10/15/18 0:15,8415655,OK,10/15/18 0:15,2194.007,OK,10/15/18 0:15,333252.6,OK,10/15/18 0:15,9324569,OK,10/15/18 0:15,5061262,OK,10/15/18 0:15,0.8213873,OK,10/15/18 0:15,2533.757,OK,10/15/18 0:15,53.20871,OK,
,,,10/15/18 0:30,0,OK,10/15/18 0:30,683862,OK,10/15/18 0:30,10108.52637,OK,10/15/18 0:30,0,OK,10/15/18 0:30,0,OK,10/15/18 0:30,12971237,OK,10/15/18 0:30,0,OK,10/15/18 0:30,2.165308952,OK,10/15/18 0:30,61.29838562,OK,10/15/18 0:30,0,OK,10/15/18 0:30,53.92429,OK,10/15/18 0:30,20849240,OK,10/15/18 0:30,22434450,OK,10/15/18 0:30,23824870,OK,10/15/18 0:30,22734450,OK,10/15/18 0:30,22225320,OK,10/15/18 0:30,22964610,OK,10/15/18 0:30,22895590,OK,10/15/18 0:30,23920440,OK,10/15/18 0:30,0,OK,10/15/18 0:30,56988.5,OK,10/15/18 0:30,63.69334,OK,10/15/18 0:30,48.00349,OK,10/15/18 0:30,0.1118774,OK,10/15/18 0:30,71.33441,OK,10/15/18 0:30,41.88756,OK,10/15/18 0:30,8416084,OK,10/15/18 0:30,2194.007,OK,10/15/18 0:30,333252.6,OK,10/15/18 0:30,9324656,OK,10/15/18 0:30,5061280,OK,10/15/18 0:30,0.7607263,OK,10/15/18 0:30,2670.797,OK,10/15/18 0:30,53.35562,OK,
,,,10/15/18 0:45,0,OK,10/15/18 0:45,683862,OK,10/15/18 0:45,10108.52637,OK,10/15/18 0:45,0,OK,10/15/18 0:45,0,OK,10/15/18 0:45,12971237,OK,10/15/18 0:45,0,OK,10/15/18 0:45,2.162827492,OK,10/15/18 0:45,61.37146759,OK,10/15/18 0:45,0,OK,10/15/18 0:45,54.0134,OK,10/15/18 0:45,20849600,OK,10/15/18 0:45,22434450,OK,10/15/18 0:45,23824870,OK,10/15/18 0:45,22734450,OK,10/15/18 0:45,22225320,OK,10/15/18 0:45,22964610,OK,10/15/18 0:45,22895930,OK,10/15/18 0:45,23920440,OK,10/15/18 0:45,0,OK,10/15/18 0:45,56988.5,OK,10/15/18 0:45,63.70677,OK,10/15/18 0:45,48.21422,OK,10/15/18 0:45,0.1119385,OK,10/15/18 0:45,71.55609,OK,10/15/18 0:45,40.43201,OK,10/15/18 0:45,8416509,OK,10/15/18 0:45,2194.007,OK,10/15/18 0:45,333252.6,OK,10/15/18 0:45,9324745,OK,10/15/18 0:45,5061299,OK,10/15/18 0:45,0.7564011,OK,10/15/18 0:45,2877.577,OK,10/15/18 0:45,53.82016,OK,
,,,10/15/18 1:00,0,OK,10/15/18 1:00,683862,OK,10/15/18 1:00,10108.52637,OK,10/15/18 1:00,0,OK,10/15/18 1:00,0,OK,10/15/18 1:00,12971237,OK,10/15/18 1:00,0,OK,10/15/18 1:00,2.170947075,OK,10/15/18 1:00,61.3584137,OK,10/15/18 1:00,0,OK,10/15/18 1:00,54.00894,OK,10/15/18 1:00,20849960,OK,10/15/18 1:00,22434450,OK,10/15/18 1:00,23824870,OK,10/15/18 1:00,22734450,OK,10/15/18 1:00,22225320,OK,10/15/18 1:00,22964610,OK,10/15/18 1:00,22896290,OK,10/15/18 1:00,23920440,OK,10/15/18 1:00,0,OK,10/15/18 1:00,56988.5,OK,10/15/18 1:00,63.72081,OK,10/15/18 1:00,48.31856,OK,10/15/18 1:00,0.1162109,OK,10/15/18 1:00,71.33435,OK,10/15/18 1:00,40.86443,OK,10/15/18 1:00,8416948,OK,10/15/18 1:00,2194.007,OK,10/15/18 1:00,333252.6,OK,10/15/18 1:00,9324832,OK,10/15/18 1:00,5061318,OK,10/15/18 1:00,0.750936,OK,10/15/18 1:00,2861.684,OK,10/15/18 1:00,53.80338,OK,
,,,10/15/18 1:15,0,OK,10/15/18 1:15,683862,OK,10/15/18 1:15,10108.52637,OK,10/15/18 1:15,0,OK,10/15/18 1:15,0,OK,10/15/18 1:15,12971237,OK,10/15/18 1:15,0,OK,10/15/18 1:15,2.174948692,OK,10/15/18 1:15,61.4651947,OK,10/15/18 1:15,0,OK,10/15/18 1:15,54.29971,OK,10/15/18 1:15,20850320,OK,10/15/18 1:15,22434450,OK,10/15/18 1:15,23824870,OK,10/15/18 1:15,22734450,OK,10/15/18 1:15,22225320,OK,10/15/18 1:15,22964610,OK,10/15/18 1:15,22896650,OK,10/15/18 1:15,23920440,OK,10/15/18 1:15,0,OK,10/15/18 1:15,56988.5,OK,10/15/18 1:15,63.70903,OK,10/15/18 1:15,48.25777,OK,10/15/18 1:15,0.1143799,OK,10/15/18 1:15,71.25061,OK,10/15/18 1:15,40.80379,OK,10/15/18 1:15,8417388,OK,10/15/18 1:15,2194.007,OK,10/15/18 1:15,333252.6,OK,10/15/18 1:15,9324918,OK,10/15/18 1:15,5061337,OK,10/15/18 1:15,0.7496773,OK,10/15/18 1:15,2879.699,OK,10/15/18 1:15,53.88895,OK,
,,,10/15/18 1:30,0,OK,10/15/18 1:30,683862,OK,10/15/18 1:30,10108.52637,OK,10/15/18 1:30,0,OK,10/15/18 1:30,0,OK,10/15/18 1:30,12971237,OK,10/15/18 1:30,0,OK,10/15/18 1:30,2.172245979,OK,10/15/18 1:30,61.47425079,OK,10/15/18 1:30,0,OK,10/15/18 1:30,54.62845,OK,10/15/18 1:30,20850670,OK,10/15/18 1:30,22434450,OK,10/15/18 1:30,23824870,OK,10/15/18 1:30,22734450,OK,10/15/18 1:30,22225320,OK,10/15/18 1:30,22964610,OK,10/15/18 1:30,22896990,OK,10/15/18 1:30,23920440,OK,10/15/18 1:30,0,OK,10/15/18 1:30,56988.5,OK,10/15/18 1:30,63.72023,OK,10/15/18 1:30,48.28993,OK,10/15/18 1:30,0.1118774,OK,10/15/18 1:30,71.38947,OK,10/15/18 1:30,41.54672,OK,10/15/18 1:30,8417814,OK,10/15/18 1:30,2194.007,OK,10/15/18 1:30,333252.6,OK,10/15/18 1:30,9325004,OK,10/15/18 1:30,5061356,OK,10/15/18 1:30,0.7729797,OK,10/15/18 1:30,2730.623,OK,10/15/18 1:30,54.46524,OK,
,,,10/15/18 1:45,0,OK,10/15/18 1:45,683862,OK,10/15/18 1:45,10108.52637,OK,10/15/18 1:45,0,OK,10/15/18 1:45,0,OK,10/15/18 1:45,12971237,OK,10/15/18 1:45,0,OK,10/15/18 1:45,2.168242455,OK,10/15/18 1:45,61.49625397,OK,10/15/18 1:45,0,OK,10/15/18 1:45,54.73312,OK,10/15/18 1:45,20851030,OK,10/15/18 1:45,22434450,OK,10/15/18 1:45,23824870,OK,10/15/18 1:45,22734450,OK,10/15/18 1:45,22225320,OK,10/15/18 1:45,22964610,OK,10/15/18 1:45,22897370,OK,10/15/18 1:45,23920440,OK,10/15/18 1:45,0,OK,10/15/18 1:45,56988.5,OK,10/15/18 1:45,63.75935,OK,10/15/18 1:45,48.29716,OK,10/15/18 1:45,0.1112671,OK,10/15/18 1:45,71.47406,OK,10/15/18 1:45,40.70853,OK,10/15/18 1:45,8418261,OK,10/15/18 1:45,2194.007,OK,10/15/18 1:45,333252.6,OK,10/15/18 1:45,9325090,OK,10/15/18 1:45,5061374,OK,10/15/18 1:45,0.740695,OK,10/15/18 1:45,2940.729,OK,10/15/18 1:45,54.52219,OK,
,,,10/15/18 2:00,0,OK,10/15/18 2:00,683862,OK,10/15/18 2:00,10108.52637,OK,10/15/18 2:00,0,OK,10/15/18 2:00,0,OK,10/15/18 2:00,12971237,OK,10/15/18 2:00,0,OK,10/15/18 2:00,2.169600487,OK,10/15/18 2:00,61.50954437,OK,10/15/18 2:00,0,OK,10/15/18 2:00,54.61777,OK,10/15/18 2:00,20851390,OK,10/15/18 2:00,22434450,OK,10/15/18 2:00,23824870,OK,10/15/18 2:00,22734450,OK,10/15/18 2:00,22225320,OK,10/15/18 2:00,22964610,OK,10/15/18 2:00,22897740,OK,10/15/18 2:00,23920440,OK,10/15/18 2:00,0,OK,10/15/18 2:00,56988.5,OK,10/15/18 2:00,63.76701,OK,10/15/18 2:00,48.35448,OK,10/15/18 2:00,0.1143799,OK,10/15/18 2:00,71.71826,OK,10/15/18 2:00,40.82376,OK,10/15/18 2:00,8418710,OK,10/15/18 2:00,2194.007,OK,10/15/18 2:00,333252.6,OK,10/15/18 2:00,9325177,OK,10/15/18 2:00,5061393,OK,10/15/18 2:00,0.7455572,OK,10/15/18 2:00,2929.18,OK,10/15/18 2:00,54.35318,OK,
,,,10/15/18 2:15,0,OK,10/15/18 2:15,683862,OK,10/15/18 2:15,10108.52637,OK,10/15/18 2:15,0,OK,10/15/18 2:15,0,OK,10/15/18 2:15,12971237,OK,10/15/18 2:15,0,OK,10/15/18 2:15,2.16898632,OK,10/15/18 2:15,61.51639175,OK,10/15/18 2:15,0,OK,10/15/18 2:15,54.74222,OK,10/15/18 2:15,20851780,OK,10/15/18 2:15,22434450,OK,10/15/18 2:15,23824870,OK,10/15/18 2:15,22734450,OK,10/15/18 2:15,22225320,OK,10/15/18 2:15,22964610,OK,10/15/18 2:15,22898140,OK,10/15/18 2:15,23920440,OK,10/15/18 2:15,0,OK,10/15/18 2:15,56988.5,OK,10/15/18 2:15,63.76982,OK,10/15/18 2:15,48.55162,OK,10/15/18 2:15,0.1159058,OK,10/15/18 2:15,71.15985,OK,10/15/18 2:15,41.33575,OK,10/15/18 2:15,8419177,OK,10/15/18 2:15,2194.007,OK,10/15/18 2:15,333252.6,OK,10/15/18 2:15,9325262,OK,10/15/18 2:15,5061414,OK,10/15/18 2:15,0.707503,OK,10/15/18 2:15,3353.831,OK,10/15/18 2:15,54.55984,OK,
