OSU_RTS.MDBUS_E3.106E_1C Time [SNAP],OSU_RTS.MDBUS_E3.106E_1C Value [SNAP],OSU_RTS.MDBUS_E3.106E_1C Status [SNAP],OSU_RTS.MDBUS_RT.106S_C Time [SNAP],OSU_RTS.MDBUS_RT.106S_C Value [SNAP],OSU_RTS.MDBUS_RT.106S_C Status [SNAP],OSU_RTS.MDBUS_RT.106S_DP Time [SNAP],OSU_RTS.MDBUS_RT.106S_DP Value [SNAP],OSU_RTS.MDBUS_RT.106S_DP Status [SNAP],OSU_RTS.MDBUS_RT.106S_HF Time [SNAP],OSU_RTS.MDBUS_RT.106S_HF Value [SNAP],OSU_RTS.MDBUS_RT.106S_HF Status [SNAP],OSU_RTS.MDBUS_RT.106S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.106S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.106S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.106S_I Time [SNAP],OSU_RTS.MDBUS_RT.106S_I Value [SNAP],OSU_RTS.MDBUS_RT.106S_I Status [SNAP],OSU_RTS.MDBUS_RT.106S_P Time [SNAP],OSU_RTS.MDBUS_RT.106S_P Value [SNAP],OSU_RTS.MDBUS_RT.106S_P Status [SNAP],OSU_RTS.MDBUS_RT.106S_T Time [SNAP],OSU_RTS.MDBUS_RT.106S_T Value [SNAP],OSU_RTS.MDBUS_RT.106S_T Status [SNAP],Comments
10/15/18 0:00,3303931,OK,10/15/18 0:00,54255.46094,OK,10/15/18 0:00,49.26674652,OK,10/15/18 0:00,1680.102783,OK,10/15/18 0:00,65598700,OK,10/15/18 0:00,1.402470581,OK,10/15/18 0:00,180.4508667,OK,10/15/18 0:00,374.8041382,OK,
10/15/18 0:15,3303957,OK,10/15/18 0:15,54255.80469,OK,10/15/18 0:15,48.25631714,OK,10/15/18 0:15,1636.797974,OK,10/15/18 0:15,65599112,OK,10/15/18 0:15,1.366452637,OK,10/15/18 0:15,178.797226,OK,10/15/18 0:15,374.9131775,OK,
10/15/18 0:30,3303982,OK,10/15/18 0:30,54256.14063,OK,10/15/18 0:30,47.04867935,OK,10/15/18 0:30,1594.693115,OK,10/15/18 0:30,65599512,OK,10/15/18 0:30,1.331209351,OK,10/15/18 0:30,179.9907074,OK,10/15/18 0:30,374.6498413,OK,
10/15/18 0:45,3304007,OK,10/15/18 0:45,54256.46875,OK,10/15/18 0:45,48.09394073,OK,10/15/18 0:45,1626.807007,OK,10/15/18 0:45,65599908,OK,10/15/18 0:45,1.358180054,OK,10/15/18 0:45,177.9371185,OK,10/15/18 0:45,373.8584595,OK,
10/15/18 1:00,3304034,OK,10/15/18 1:00,54256.80078,OK,10/15/18 1:00,46.89715576,OK,10/15/18 1:00,1587.916626,OK,10/15/18 1:00,65600308,OK,10/15/18 1:00,1.325635742,OK,10/15/18 1:00,178.9323578,OK,10/15/18 1:00,374.6585693,OK,
10/15/18 1:15,3304060,OK,10/15/18 1:15,54257.1875,OK,10/15/18 1:15,54.96281815,OK,10/15/18 1:15,1902.165161,OK,10/15/18 1:15,65600768,OK,10/15/18 1:15,1.58788623,OK,10/15/18 1:15,179.9121857,OK,10/15/18 1:15,375.039093,OK,
10/15/18 1:30,3304084,OK,10/15/18 1:30,54257.53516,OK,10/15/18 1:30,48.16400528,OK,10/15/18 1:30,1637.333496,OK,10/15/18 1:30,65601184,OK,10/15/18 1:30,1.366819214,OK,10/15/18 1:30,179.806076,OK,10/15/18 1:30,374.4616394,OK,
10/15/18 1:45,3304111,OK,10/15/18 1:45,54257.875,OK,10/15/18 1:45,48.74647522,OK,10/15/18 1:45,1662.893921,OK,10/15/18 1:45,65601592,OK,10/15/18 1:45,1.388102173,OK,10/15/18 1:45,180.4763947,OK,10/15/18 1:45,375.4614563,OK,
10/15/18 2:00,3304139,OK,10/15/18 2:00,54258.24609,OK,10/15/18 2:00,48.67861176,OK,10/15/18 2:00,1700.909668,OK,10/15/18 2:00,65602036,OK,10/15/18 2:00,1.419822632,OK,10/15/18 2:00,180.6580963,OK,10/15/18 2:00,374.7268066,OK,
10/15/18 2:15,3304165,OK,10/15/18 2:15,54258.59375,OK,10/15/18 2:15,47.9030304,OK,10/15/18 2:15,1626.794189,OK,10/15/18 2:15,65602456,OK,10/15/18 2:15,1.358029297,OK,10/15/18 2:15,179.7019501,OK,10/15/18 2:15,375.0208435,OK,
