OSU_RTS.CALC.1101_DWC Time [SNAP],OSU_RTS.CALC.1101_DWC Value [SNAP],OSU_RTS.CALC.1101_DWC Status [SNAP],OSU_RTS.CALC.1101_GPALARM Time [SNAP],OSU_RTS.CALC.1101_GPALARM Value [SNAP],OSU_RTS.CALC.1101_GPALARM Status [SNAP],OSU_RTS.MDBUS_RH.1101_CDT Time [SNAP],OSU_RTS.MDBUS_RH.1101_CDT Value [SNAP],OSU_RTS.MDBUS_RH.1101_CDT Status [SNAP],OSU_RTS.MDBUS_RH.1101_CHF Time [SNAP],OSU_RTS.MDBUS_RH.1101_CHF Value [SNAP],OSU_RTS.MDBUS_RH.1101_CHF Status [SNAP],OSU_RTS.MDBUS_RH.1101_CHT Time [SNAP],OSU_RTS.MDBUS_RH.1101_CHT Value [SNAP],OSU_RTS.MDBUS_RH.1101_CHT Status [SNAP],OSU_RTS.MDBUS_RH.1101_CRT Time [SNAP],OSU_RTS.MDBUS_RH.1101_CRT Value [SNAP],OSU_RTS.MDBUS_RH.1101_CRT Status [SNAP],OSU_RTS.MDBUS_RH.1101_CST Time [SNAP],OSU_RTS.MDBUS_RH.1101_CST Value [SNAP],OSU_RTS.MDBUS_RH.1101_CST Status [SNAP],OSU_RTS.MDBUS_RH.1101_CVF Time [SNAP],OSU_RTS.MDBUS_RH.1101_CVF Value [SNAP],OSU_RTS.MDBUS_RH.1101_CVF Status [SNAP],OSU_RTS.MDBUS_RH.1101_D1H Time [SNAP],OSU_RTS.MDBUS_RH.1101_D1H Value [SNAP],OSU_RTS.MDBUS_RH.1101_D1H Status [SNAP],OSU_RTS.MDBUS_RH.1101_D1L Time [SNAP],OSU_RTS.MDBUS_RH.1101_D1L Value [SNAP],OSU_RTS.MDBUS_RH.1101_D1L Status [SNAP],OSU_RTS.MDBUS_RH.1101_DHD Time [SNAP],OSU_RTS.MDBUS_RH.1101_DHD Value [SNAP],OSU_RTS.MDBUS_RH.1101_DHD Status [SNAP],OSU_RTS.MDBUS_RH.1101_DHF Time [SNAP],OSU_RTS.MDBUS_RH.1101_DHF Value [SNAP],OSU_RTS.MDBUS_RH.1101_DHF Status [SNAP],OSU_RTS.MDBUS_RH.1101_DHR Time [SNAP],OSU_RTS.MDBUS_RH.1101_DHR Value [SNAP],OSU_RTS.MDBUS_RH.1101_DHR Status [SNAP],OSU_RTS.MDBUS_RH.1101_DHS Time [SNAP],OSU_RTS.MDBUS_RH.1101_DHS Value [SNAP],OSU_RTS.MDBUS_RH.1101_DHS Status [SNAP],OSU_RTS.MDBUS_RH.1101_DHT Time [SNAP],OSU_RTS.MDBUS_RH.1101_DHT Value [SNAP],OSU_RTS.MDBUS_RH.1101_DHT Status [SNAP],OSU_RTS.MDBUS_RH.1101_DVF Time [SNAP],OSU_RTS.MDBUS_RH.1101_DVF Value [SNAP],OSU_RTS.MDBUS_RH.1101_DVF Status [SNAP],OSU_RTS.MDBUS_RH.1101_DWC Time [SNAP],OSU_RTS.MDBUS_RH.1101_DWC Value [SNAP],OSU_RTS.MDBUS_RH.1101_DWC Status [SNAP],OSU_RTS.MDBUS_RH.1101_EC Time [SNAP],OSU_RTS.MDBUS_RH.1101_EC Value [SNAP],OSU_RTS.MDBUS_RH.1101_EC Status [SNAP],OSU_RTS.MDBUS_RH.1101_GBV Time [SNAP],OSU_RTS.MDBUS_RH.1101_GBV Value [SNAP],OSU_RTS.MDBUS_RH.1101_GBV Status [SNAP],OSU_RTS.MDBUS_RH.1101_GCV Time [SNAP],OSU_RTS.MDBUS_RH.1101_GCV Value [SNAP],OSU_RTS.MDBUS_RH.1101_GCV Status [SNAP],OSU_RTS.MDBUS_RH.1101_GP Time [SNAP],OSU_RTS.MDBUS_RH.1101_GP Value [SNAP],OSU_RTS.MDBUS_RH.1101_GP Status [SNAP],OSU_RTS.MDBUS_RH.1101_GT Time [SNAP],OSU_RTS.MDBUS_RH.1101_GT Value [SNAP],OSU_RTS.MDBUS_RH.1101_GT Status [SNAP],OSU_RTS.MDBUS_RH.1101_GUV Time [SNAP],OSU_RTS.MDBUS_RH.1101_GUV Value [SNAP],OSU_RTS.MDBUS_RH.1101_GUV Status [SNAP],OSU_RTS.MDBUS_RH.1101_HDT Time [SNAP],OSU_RTS.MDBUS_RH.1101_HDT Value [SNAP],OSU_RTS.MDBUS_RH.1101_HDT Status [SNAP],OSU_RTS.MDBUS_RH.1101_HF Time [SNAP],OSU_RTS.MDBUS_RH.1101_HF Value [SNAP],OSU_RTS.MDBUS_RH.1101_HF Status [SNAP],OSU_RTS.MDBUS_RH.1101_HGT Time [SNAP],OSU_RTS.MDBUS_RH.1101_HGT Value [SNAP],OSU_RTS.MDBUS_RH.1101_HGT Status [SNAP],OSU_RTS.MDBUS_RH.1101_HHF Time [SNAP],OSU_RTS.MDBUS_RH.1101_HHF Value [SNAP],OSU_RTS.MDBUS_RH.1101_HHF Status [SNAP],OSU_RTS.MDBUS_RH.1101_HHT Time [SNAP],OSU_RTS.MDBUS_RH.1101_HHT Value [SNAP],OSU_RTS.MDBUS_RH.1101_HHT Status [SNAP],OSU_RTS.MDBUS_RH.1101_HMT Time [SNAP],OSU_RTS.MDBUS_RH.1101_HMT Value [SNAP],OSU_RTS.MDBUS_RH.1101_HMT Status [SNAP],OSU_RTS.MDBUS_RH.1101_HRT Time [SNAP],OSU_RTS.MDBUS_RH.1101_HRT Value [SNAP],OSU_RTS.MDBUS_RH.1101_HRT Status [SNAP],OSU_RTS.MDBUS_RH.1101_HST Time [SNAP],OSU_RTS.MDBUS_RH.1101_HST Value [SNAP],OSU_RTS.MDBUS_RH.1101_HST Status [SNAP],OSU_RTS.MDBUS_RH.1101_HVF Time [SNAP],OSU_RTS.MDBUS_RH.1101_HVF Value [SNAP],OSU_RTS.MDBUS_RH.1101_HVF Status [SNAP],Comments
10/15/18 0:00,1714450,UNRELIABLE,10/15/18 0:00,0,OK,10/15/18 0:00,2.051105976,OK,10/15/18 0:00,11.56516647,OK,10/15/18 0:00,1184872.75,OK,10/15/18 0:00,43.44199371,OK,10/15/18 0:00,41.3908844,OK,10/15/18 0:00,134.6020084,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,17.57301331,OK,10/15/18 0:00,128.0716705,OK,10/15/18 0:00,127.0732422,OK,10/15/18 0:00,144.6462555,OK,10/15/18 0:00,1974051.875,OK,10/15/18 0:00,14.8312333,OK,10/15/18 0:00,403730,UNRELIABLE,10/15/18 0:00,3179876,OK,10/15/18 0:00,5.710000038,OK,10/15/18 0:00,214133,OK,10/15/18 0:00,5.079999924,OK,10/15/18 0:00,58.28000259,OK,10/15/18 0:00,1577225,OK,10/15/18 0:00,-1.910379052,OK,10/15/18 0:00,138.7819977,OK,10/15/18 0:00,14218473,OK,10/15/18 0:00,0,OK,10/15/18 0:00,6786354,OK,10/15/18 0:00,2215999,OK,10/15/18 0:00,102.7339478,OK,10/15/18 0:00,100.8235779,OK,10/15/18 0:00,154.8184121,OK,
10/15/18 0:15,1714450,UNRELIABLE,10/15/18 0:15,0,OK,10/15/18 0:15,2.091384411,OK,10/15/18 0:15,11.9147377,OK,10/15/18 0:15,1184875.75,OK,10/15/18 0:15,43.55163574,OK,10/15/18 0:15,41.46025085,OK,10/15/18 0:15,136.0002704,OK,,,,,,,10/15/18 0:15,18.22806168,OK,10/15/18 0:15,126.3957367,OK,10/15/18 0:15,126.7451324,OK,10/15/18 0:15,144.9732056,OK,10/15/18 0:15,1974080.375,OK,10/15/18 0:15,14.11229803,OK,10/15/18 0:15,403730,UNRELIABLE,10/15/18 0:15,3179909,OK,10/15/18 0:15,5.71999979,OK,10/15/18 0:15,214134,OK,10/15/18 0:15,5.300000191,OK,10/15/18 0:15,57.79000092,OK,10/15/18 0:15,1577232,OK,10/15/18 0:15,0.652971745,OK,10/15/18 0:15,142.9768524,OK,10/15/18 0:15,14218509,OK,10/15/18 0:15,0,OK,10/15/18 0:15,6786361.5,OK,10/15/18 0:15,2216018.25,OK,10/15/18 0:15,96.31843567,OK,10/15/18 0:15,96.97140503,OK,10/15/18 0:15,155.28862,OK,
10/15/18 0:30,1714450,UNRELIABLE,10/15/18 0:30,0,OK,10/15/18 0:30,2.16889286,OK,10/15/18 0:30,12.30781651,OK,10/15/18 0:30,1184878.75,OK,10/15/18 0:30,43.58094788,OK,10/15/18 0:30,41.41205597,OK,10/15/18 0:30,135.4659091,OK,,,,,,,10/15/18 0:30,18.91740608,OK,10/15/18 0:30,112.6091156,OK,10/15/18 0:30,125.7778931,OK,10/15/18 0:30,144.6952972,OK,10/15/18 0:30,1974110,OK,10/15/18 0:30,12.11431902,OK,10/15/18 0:30,403730,UNRELIABLE,10/15/18 0:30,3179941,OK,10/15/18 0:30,5.710000038,OK,10/15/18 0:30,214137,OK,10/15/18 0:30,5.079999924,OK,10/15/18 0:30,60.1099968,OK,10/15/18 0:30,1577255,OK,10/15/18 0:30,7.992144585,OK,10/15/18 0:30,147.6937981,OK,10/15/18 0:30,14218545,OK,10/15/18 0:30,618.8919067,OK,10/15/18 0:30,6786471.5,OK,10/15/18 0:30,2216037.5,OK,10/15/18 0:30,106.0144806,OK,10/15/18 0:30,114.0066299,OK,10/15/18 0:30,156.4383826,OK,
10/15/18 0:45,1714450,UNRELIABLE,10/15/18 0:45,0,OK,10/15/18 0:45,2.354233027,OK,10/15/18 0:45,13.45449162,OK,10/15/18 0:45,1184882,OK,10/15/18 0:45,43.65023804,OK,10/15/18 0:45,41.29600525,OK,10/15/18 0:45,136.4285911,OK,,,,,,,10/15/18 0:45,17.66094589,OK,10/15/18 0:45,74.63491821,OK,10/15/18 0:45,126.8449097,OK,10/15/18 0:45,144.5058594,OK,10/15/18 0:45,1974135.25,OK,10/15/18 0:45,8.599745763,OK,10/15/18 0:45,403730,UNRELIABLE,10/15/18 0:45,3179971,OK,10/15/18 0:45,5.710000038,OK,10/15/18 0:45,214138,OK,10/15/18 0:45,5.340000153,OK,10/15/18 0:45,58.6099968,OK,10/15/18 0:45,1577263,OK,10/15/18 0:45,0.638171792,OK,10/15/18 0:45,161.4538994,OK,10/15/18 0:45,14218584,OK,10/15/18 0:45,0,OK,10/15/18 0:45,6786499,OK,10/15/18 0:45,2216056.25,OK,10/15/18 0:45,103.1628113,OK,10/15/18 0:45,103.8009796,OK,10/15/18 0:45,146.4096664,OK,
10/15/18 1:00,1714450,UNRELIABLE,10/15/18 1:00,0,OK,10/15/18 1:00,2.287789822,OK,10/15/18 1:00,12.9014492,OK,10/15/18 1:00,1184885.25,OK,10/15/18 1:00,43.56771469,OK,10/15/18 1:00,41.27992249,OK,10/15/18 1:00,134.6200914,OK,,,,,,,10/15/18 1:00,17.52782822,OK,10/15/18 1:00,55.92546463,OK,10/15/18 1:00,126.9060211,OK,10/15/18 1:00,144.4338531,OK,10/15/18 1:00,1974154.25,OK,10/15/18 1:00,6.492775117,OK,10/15/18 1:00,403730,UNRELIABLE,10/15/18 1:00,3180000,OK,10/15/18 1:00,5.739999771,OK,10/15/18 1:00,214138,OK,10/15/18 1:00,5.079999924,OK,10/15/18 1:00,57.61999893,OK,10/15/18 1:00,1577266,OK,10/15/18 1:00,0.655451417,OK,10/15/18 1:00,154.8173904,OK,10/15/18 1:00,14218623,OK,10/15/18 1:00,0,OK,10/15/18 1:00,6786499,OK,10/15/18 1:00,2216075,OK,10/15/18 1:00,96.31162262,OK,10/15/18 1:00,96.96707153,OK,10/15/18 1:00,155.8254635,OK,
10/15/18 1:15,1714450,UNRELIABLE,10/15/18 1:15,0,OK,10/15/18 1:15,2.161605597,OK,10/15/18 1:15,12.27805519,OK,10/15/18 1:15,1184888.5,OK,10/15/18 1:15,43.48426819,OK,10/15/18 1:15,41.32266235,OK,10/15/18 1:15,135.8670728,OK,,,,,,,10/15/18 1:15,17.30938911,OK,10/15/18 1:15,73.76947784,OK,10/15/18 1:15,127.1578445,OK,10/15/18 1:15,144.4672241,OK,10/15/18 1:15,1974170.625,OK,10/15/18 1:15,8.672543849,OK,10/15/18 1:15,403730,UNRELIABLE,10/15/18 1:15,3180030,OK,10/15/18 1:15,5.699999809,OK,10/15/18 1:15,214140,OK,10/15/18 1:15,5.300000191,OK,10/15/18 1:15,58.94000244,OK,10/15/18 1:15,1577278,OK,10/15/18 1:15,2.672322035,OK,10/15/18 1:15,147.6328583,OK,10/15/18 1:15,14218662,OK,10/15/18 1:15,208.0811005,OK,10/15/18 1:15,6786582.5,OK,10/15/18 1:15,2216094.5,OK,10/15/18 1:15,97.60224915,OK,10/15/18 1:15,100.2745743,OK,10/15/18 1:15,157.0294101,OK,
10/15/18 1:30,1714450,UNRELIABLE,10/15/18 1:30,0,OK,10/15/18 1:30,2.041396141,OK,10/15/18 1:30,11.62025452,OK,10/15/18 1:30,1184891.5,OK,10/15/18 1:30,43.15382004,OK,10/15/18 1:30,41.11242294,OK,10/15/18 1:30,135.8866288,OK,,,,,,,10/15/18 1:30,17.09566498,OK,10/15/18 1:30,74.21482086,OK,10/15/18 1:30,127.5639496,OK,10/15/18 1:30,144.6596069,OK,10/15/18 1:30,1974189.5,OK,10/15/18 1:30,8.834303473,OK,10/15/18 1:30,403730,UNRELIABLE,10/15/18 1:30,3180057,OK,10/15/18 1:30,5.739999771,OK,10/15/18 1:30,214141,OK,10/15/18 1:30,5.210000038,OK,10/15/18 1:30,57.79000092,OK,10/15/18 1:30,1577285,OK,10/15/18 1:30,0.676054835,OK,10/15/18 1:30,139.4430542,OK,10/15/18 1:30,14218698,OK,10/15/18 1:30,0,OK,10/15/18 1:30,6786591,OK,10/15/18 1:30,2216114.25,OK,10/15/18 1:30,96.42221069,OK,10/15/18 1:30,97.0982666,OK,10/15/18 1:30,157.2510291,OK,
10/15/18 1:45,1714450,UNRELIABLE,10/15/18 1:45,0,OK,10/15/18 1:45,1.828525424,OK,10/15/18 1:45,10.40582275,OK,10/15/18 1:45,1184894,OK,10/15/18 1:45,43.3184433,OK,10/15/18 1:45,41.48991394,OK,10/15/18 1:45,135.8511382,OK,,,,,,,10/15/18 1:45,17.69835854,OK,10/15/18 1:45,59.57875061,OK,10/15/18 1:45,127.1316605,OK,10/15/18 1:45,144.8300171,OK,10/15/18 1:45,1974207.25,OK,10/15/18 1:45,6.850883678,OK,10/15/18 1:45,403730,UNRELIABLE,10/15/18 1:45,3180084,OK,10/15/18 1:45,5.739999771,OK,10/15/18 1:45,214142,OK,10/15/18 1:45,5.300000191,OK,10/15/18 1:45,60.43000031,OK,10/15/18 1:45,1577297,OK,10/15/18 1:45,26.01113892,OK,10/15/18 1:45,124.869873,OK,10/15/18 1:45,14218728,OK,10/15/18 1:45,2049.590088,OK,10/15/18 1:45,6786642,OK,10/15/18 1:45,2216133.75,OK,10/15/18 1:45,95.39324951,OK,10/15/18 1:45,121.4043884,OK,10/15/18 1:45,159.5222985,OK,
10/15/18 2:00,1714450,UNRELIABLE,10/15/18 2:00,0,OK,10/15/18 2:00,1.987768292,OK,10/15/18 2:00,11.21246338,OK,10/15/18 2:00,1184896.75,OK,10/15/18 2:00,43.37967682,OK,10/15/18 2:00,41.39191055,OK,10/15/18 2:00,134.6548252,OK,,,,,,,10/15/18 2:00,18.08388329,OK,10/15/18 2:00,59.96854782,OK,10/15/18 2:00,126.6560211,OK,10/15/18 2:00,144.7398987,OK,10/15/18 2:00,1974222.5,OK,10/15/18 2:00,6.748602987,OK,10/15/18 2:00,403730,UNRELIABLE,10/15/18 2:00,3180111,OK,10/15/18 2:00,5.730000019,OK,10/15/18 2:00,214143,OK,10/15/18 2:00,5.340000153,OK,10/15/18 2:00,57.79000092,OK,10/15/18 2:00,1577301,OK,10/15/18 2:00,0.617170334,OK,10/15/18 2:00,134.5495605,OK,10/15/18 2:00,14218761,OK,10/15/18 2:00,0,OK,10/15/18 2:00,6786683,OK,10/15/18 2:00,2216153.5,OK,10/15/18 2:00,98.17791748,OK,10/15/18 2:00,98.79508209,OK,10/15/18 2:00,159.0956135,OK,
10/15/18 2:15,1714450,UNRELIABLE,10/15/18 2:15,0,OK,10/15/18 2:15,2.069419384,OK,10/15/18 2:15,11.75255203,OK,10/15/18 2:15,1184899.625,OK,10/15/18 2:15,43.33554077,OK,10/15/18 2:15,41.26612091,OK,10/15/18 2:15,135.5720717,OK,,,,,,,10/15/18 2:15,18.30960083,OK,10/15/18 2:15,51.20617294,OK,10/15/18 2:15,126.6185837,OK,10/15/18 2:15,144.9281921,OK,10/15/18 2:15,1974239.125,OK,10/15/18 2:15,5.691742861,OK,10/15/18 2:15,403730,UNRELIABLE,10/15/18 2:15,3180138,OK,10/15/18 2:15,5.710000038,OK,10/15/18 2:15,214144,OK,10/15/18 2:15,5.259999752,OK,10/15/18 2:15,58.28000259,OK,10/15/18 2:15,1577308,OK,10/15/18 2:15,1.01376605,OK,10/15/18 2:15,141.0306244,OK,10/15/18 2:15,14218795.5,OK,10/15/18 2:15,41.12541962,OK,10/15/18 2:15,6786683,OK,10/15/18 2:15,2216173.25,OK,10/15/18 2:15,92.28710938,OK,10/15/18 2:15,93.3008728,OK,10/15/18 2:15,159.5449389,OK,
