OSU_RTS.MDBUS_C1.087_CDT Time [SNAP],OSU_RTS.MDBUS_C1.087_CDT Value [SNAP],OSU_RTS.MDBUS_C1.087_CDT Status [SNAP],OSU_RTS.MDBUS_C1.087_CHF Time [SNAP],OSU_RTS.MDBUS_C1.087_CHF Value [SNAP],OSU_RTS.MDBUS_C1.087_CHF Status [SNAP],OSU_RTS.MDBUS_C1.087_CHT Time [SNAP],OSU_RTS.MDBUS_C1.087_CHT Value [SNAP],OSU_RTS.MDBUS_C1.087_CHT Status [SNAP],OSU_RTS.MDBUS_C1.087_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.087_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.087_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.087_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.087_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.087_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.087_CVF Time [SNAP],OSU_RTS.MDBUS_C1.087_CVF Value [SNAP],OSU_RTS.MDBUS_C1.087_CVF Status [SNAP],OSU_RTS.MDBUS_C1.087_HF Time [SNAP],OSU_RTS.MDBUS_C1.087_HF Value [SNAP],OSU_RTS.MDBUS_C1.087_HF Status [SNAP],OSU_RTS.MDBUS_C1.087_HGT Time [SNAP],OSU_RTS.MDBUS_C1.087_HGT Value [SNAP],OSU_RTS.MDBUS_C1.087_HGT Status [SNAP],OSU_RTS.MDBUS_CC.087_MHT Time [SNAP],OSU_RTS.MDBUS_CC.087_MHT Value [SNAP],OSU_RTS.MDBUS_CC.087_MHT Status [SNAP],OSU_RTS.MDBUS_CC.087_PHT Time [SNAP],OSU_RTS.MDBUS_CC.087_PHT Value [SNAP],OSU_RTS.MDBUS_CC.087_PHT Status [SNAP],OSU_RTS.MDBUS_E3.087_E01 Time [SNAP],OSU_RTS.MDBUS_E3.087_E01 Value [SNAP],OSU_RTS.MDBUS_E3.087_E01 Status [SNAP],OSU_RTS.MDBUS_RT.087S_C Time [SNAP],OSU_RTS.MDBUS_RT.087S_C Value [SNAP],OSU_RTS.MDBUS_RT.087S_C Status [SNAP],OSU_RTS.MDBUS_RT.087S_HF Time [SNAP],OSU_RTS.MDBUS_RT.087S_HF Value [SNAP],OSU_RTS.MDBUS_RT.087S_HF Status [SNAP],OSU_RTS.MDBUS_RT.087S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.087S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.087S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.087S_I Time [SNAP],OSU_RTS.MDBUS_RT.087S_I Value [SNAP],OSU_RTS.MDBUS_RT.087S_I Status [SNAP],OSU_RTS.MDBUS_RT.087S_P Time [SNAP],OSU_RTS.MDBUS_RT.087S_P Value [SNAP],OSU_RTS.MDBUS_RT.087S_P Status [SNAP],OSU_RTS.MDBUS_RT.087S_T Time [SNAP],OSU_RTS.MDBUS_RT.087S_T Value [SNAP],OSU_RTS.MDBUS_RT.087S_T Status [SNAP],Comments
10/15/18 0:00,6.903761387,OK,10/15/18 0:00,32.0748024,OK,10/15/18 0:00,1454838.5,OK,10/15/18 0:00,49.09613037,OK,10/15/18 0:00,42.19236755,OK,10/15/18 0:00,109.3658754,OK,10/15/18 0:00,383.9491196,OK,10/15/18 0:00,17458062,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,10/15/18 0:00,436115.827,OK,10/15/18 0:00,14495.85352,OK,10/15/18 0:00,278.5014343,OK,10/15/18 0:00,17935770,OK,10/15/18 0:00,0.230954605,OK,10/15/18 0:00,184.8323822,OK,10/15/18 0:00,393.0487671,OK,
10/15/18 0:15,7.738526344,OK,10/15/18 0:15,31.38024521,OK,10/15/18 0:15,1454846.25,OK,10/15/18 0:15,49.28580475,OK,10/15/18 0:15,41.54727936,OK,10/15/18 0:15,98.41826064,OK,10/15/18 0:15,378.62146,OK,10/15/18 0:15,17458155,OK,,,,,,,10/15/18 0:15,436134.899,OK,10/15/18 0:15,14495.92969,OK,10/15/18 0:15,330.4101868,OK,10/15/18 0:15,17935862,OK,10/15/18 0:15,0.273909607,OK,10/15/18 0:15,183.7082825,OK,10/15/18 0:15,393.3608398,OK,
10/15/18 0:30,6.607212067,OK,10/15/18 0:30,33.45755768,OK,10/15/18 0:30,1454854,OK,10/15/18 0:30,48.85620117,OK,10/15/18 0:30,42.24898911,OK,10/15/18 0:30,122.7427461,OK,10/15/18 0:30,403.8346252,OK,10/15/18 0:30,17458248,OK,,,,,,,10/15/18 0:30,436153.797,OK,10/15/18 0:30,14496.00879,OK,10/15/18 0:30,345.29953,OK,10/15/18 0:30,17935956,OK,10/15/18 0:30,0.286092072,OK,10/15/18 0:30,184.4011688,OK,10/15/18 0:30,394.6595154,OK,
10/15/18 0:45,6.658530235,OK,10/15/18 0:45,30.93714333,OK,10/15/18 0:45,1454861.75,OK,10/15/18 0:45,48.96482849,OK,10/15/18 0:45,42.30630112,OK,10/15/18 0:45,111.6785844,OK,10/15/18 0:45,372.7414398,OK,10/15/18 0:45,17458341,OK,,,,,,,10/15/18 0:45,436172.925,OK,10/15/18 0:45,14496.08301,OK,10/15/18 0:45,290.8158569,OK,10/15/18 0:45,17936048,OK,10/15/18 0:45,0.241105804,OK,10/15/18 0:45,183.4982758,OK,10/15/18 0:45,393.1380005,OK,
10/15/18 1:00,6.880193233,OK,10/15/18 1:00,30.81080627,OK,10/15/18 1:00,1454869.5,OK,10/15/18 1:00,48.8125,OK,10/15/18 1:00,41.93230438,OK,10/15/18 1:00,107.2951634,OK,10/15/18 1:00,370.171669,OK,10/15/18 1:00,17458434,OK,,,,,,,10/15/18 1:00,436191.95,OK,10/15/18 1:00,14496.16016,OK,10/15/18 1:00,337.7487488,OK,10/15/18 1:00,17936140,OK,10/15/18 1:00,0.279900421,OK,10/15/18 1:00,184.1128998,OK,10/15/18 1:00,394.1258545,OK,
10/15/18 1:15,6.710817337,OK,10/15/18 1:15,30.41197777,OK,10/15/18 1:15,1454877.625,OK,10/15/18 1:15,49.21308136,OK,10/15/18 1:15,42.50226212,OK,10/15/18 1:15,109.0925545,OK,10/15/18 1:15,366.7836914,OK,10/15/18 1:15,17458531.5,OK,,,,,,,10/15/18 1:15,436211.11,OK,10/15/18 1:15,14496.24902,OK,10/15/18 1:15,355.1748047,OK,10/15/18 1:15,17936248,OK,10/15/18 1:15,0.293782776,OK,10/15/18 1:15,184.8562775,OK,10/15/18 1:15,398.0455627,OK,
10/15/18 1:30,6.996776581,OK,10/15/18 1:30,31.78623199,OK,10/15/18 1:30,1454885.875,OK,10/15/18 1:30,48.92647934,OK,10/15/18 1:30,41.92970276,OK,10/15/18 1:30,107.3685373,OK,10/15/18 1:30,380.3705978,OK,10/15/18 1:30,17458632,OK,,,,,,,10/15/18 1:30,436230.693,OK,10/15/18 1:30,14496.33496,OK,10/15/18 1:30,436.6687317,OK,10/15/18 1:30,17936352,OK,10/15/18 1:30,0.361034576,OK,10/15/18 1:30,183.7918243,OK,10/15/18 1:30,398.5612183,OK,
10/15/18 1:45,6.837897778,OK,10/15/18 1:45,36.36323166,OK,10/15/18 1:45,1454894.25,OK,10/15/18 1:45,49.08876801,OK,10/15/18 1:45,42.25086975,OK,10/15/18 1:45,125.9470827,OK,10/15/18 1:45,434.7932739,OK,10/15/18 1:45,17458732.5,OK,,,,,,,10/15/18 1:45,436249.866,OK,10/15/18 1:45,14496.41992,OK,10/15/18 1:45,480.1881104,OK,10/15/18 1:45,17936454,OK,10/15/18 1:45,0.397277435,OK,10/15/18 1:45,185.127533,OK,10/15/18 1:45,397.687561,OK,
10/15/18 2:00,6.945054531,OK,10/15/18 2:00,30.71010399,OK,10/15/18 2:00,1454902.625,OK,10/15/18 2:00,49.06511688,OK,10/15/18 2:00,42.12006378,OK,10/15/18 2:00,105.4649104,OK,10/15/18 2:00,368.6336975,OK,10/15/18 2:00,17458831.5,OK,,,,,,,10/15/18 2:00,436269.447,OK,10/15/18 2:00,14496.50977,OK,10/15/18 2:00,368.1665344,OK,10/15/18 2:00,17936562,OK,10/15/18 2:00,0.304133942,OK,10/15/18 2:00,184.5271149,OK,10/15/18 2:00,400.4752197,OK,
10/15/18 2:15,7.021766186,OK,10/15/18 2:15,36.93683624,OK,10/15/18 2:15,1454910.375,OK,10/15/18 2:15,48.85797882,OK,10/15/18 2:15,41.83621216,OK,10/15/18 2:15,124.8185445,OK,10/15/18 2:15,441.0021057,OK,10/15/18 2:15,17458924.5,OK,,,,,,,10/15/18 2:15,436289.065,OK,10/15/18 2:15,14496.58594,OK,10/15/18 2:15,301.0050049,OK,10/15/18 2:15,17936656,OK,10/15/18 2:15,0.248912247,OK,10/15/18 2:15,184.0693817,OK,10/15/18 2:15,398.3060913,OK,
