OSU_RTS.MDBUS_C1.339_CDT Time [SNAP],OSU_RTS.MDBUS_C1.339_CDT Value [SNAP],OSU_RTS.MDBUS_C1.339_CDT Status [SNAP],OSU_RTS.MDBUS_C1.339_CHF Time [SNAP],OSU_RTS.MDBUS_C1.339_CHF Value [SNAP],OSU_RTS.MDBUS_C1.339_CHF Status [SNAP],OSU_RTS.MDBUS_C1.339_CHT Time [SNAP],OSU_RTS.MDBUS_C1.339_CHT Value [SNAP],OSU_RTS.MDBUS_C1.339_CHT Status [SNAP],OSU_RTS.MDBUS_C1.339_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.339_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.339_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.339_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.339_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.339_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.339_CVF Time [SNAP],OSU_RTS.MDBUS_C1.339_CVF Value [SNAP],OSU_RTS.MDBUS_C1.339_CVF Status [SNAP],OSU_RTS.MDBUS_C1.339_HF Time [SNAP],OSU_RTS.MDBUS_C1.339_HF Value [SNAP],OSU_RTS.MDBUS_C1.339_HF Status [SNAP],OSU_RTS.MDBUS_C1.339_HGT Time [SNAP],OSU_RTS.MDBUS_C1.339_HGT Value [SNAP],OSU_RTS.MDBUS_C1.339_HGT Status [SNAP],OSU_RTS.MDBUS_E3.339_E01 Time [SNAP],OSU_RTS.MDBUS_E3.339_E01 Value [SNAP],OSU_RTS.MDBUS_E3.339_E01 Status [SNAP],OSU_RTS.MDBUS_H1.339_HDT Time [SNAP],OSU_RTS.MDBUS_H1.339_HDT Value [SNAP],OSU_RTS.MDBUS_H1.339_HDT Status [SNAP],OSU_RTS.MDBUS_H1.339_HHF Time [SNAP],OSU_RTS.MDBUS_H1.339_HHF Value [SNAP],OSU_RTS.MDBUS_H1.339_HHF Status [SNAP],OSU_RTS.MDBUS_H1.339_HHT Time [SNAP],OSU_RTS.MDBUS_H1.339_HHT Value [SNAP],OSU_RTS.MDBUS_H1.339_HHT Status [SNAP],OSU_RTS.MDBUS_H1.339_HMT Time [SNAP],OSU_RTS.MDBUS_H1.339_HMT Value [SNAP],OSU_RTS.MDBUS_H1.339_HMT Status [SNAP],OSU_RTS.MDBUS_H1.339_HRWT Time [SNAP],OSU_RTS.MDBUS_H1.339_HRWT Value [SNAP],OSU_RTS.MDBUS_H1.339_HRWT Status [SNAP],OSU_RTS.MDBUS_H1.339_HSWT Time [SNAP],OSU_RTS.MDBUS_H1.339_HSWT Value [SNAP],OSU_RTS.MDBUS_H1.339_HSWT Status [SNAP],OSU_RTS.MDBUS_H1.339_HVF Time [SNAP],OSU_RTS.MDBUS_H1.339_HVF Value [SNAP],OSU_RTS.MDBUS_H1.339_HVF Status [SNAP],Comments
10/15/18 0:00,0.441640079,OK,10/15/18 0:00,3.529937744,OK,10/15/18 0:00,1015629.375,OK,10/15/18 0:00,65.78873444,OK,10/15/18 0:00,65.34709167,OK,10/15/18 0:00,191.9482237,OK,10/15/18 0:00,42.35925293,OK,10/15/18 0:00,12187552.5,OK,10/15/18 0:00,487804,OK,10/15/18 0:00,-0.295419633,OK,10/15/18 0:00,0,OK,10/15/18 0:00,11554906,OK,10/15/18 0:00,2375549,OK,10/15/18 0:00,147.5976257,OK,10/15/18 0:00,147.3021851,OK,10/15/18 0:00,130.2447842,OK,
10/15/18 0:15,0.427386433,OK,10/15/18 0:15,3.421705246,OK,10/15/18 0:15,1015630.25,OK,10/15/18 0:15,66.11568451,OK,10/15/18 0:15,65.68829346,OK,10/15/18 0:15,192.5371026,OK,10/15/18 0:15,41.06046295,OK,10/15/18 0:15,12187563,OK,10/15/18 0:15,487819,OK,10/15/18 0:15,-0.315046787,OK,10/15/18 0:15,0,OK,10/15/18 0:15,11554906,OK,10/15/18 0:15,2375565,OK,10/15/18 0:15,147.5202637,OK,10/15/18 0:15,147.2052307,OK,10/15/18 0:15,130.1013569,OK,
10/15/18 0:30,0.497756958,OK,10/15/18 0:30,3.975114107,OK,10/15/18 0:30,1015631.188,OK,10/15/18 0:30,66.48318481,OK,10/15/18 0:30,65.98542786,OK,10/15/18 0:30,191.8005156,OK,10/15/18 0:30,47.70136929,OK,10/15/18 0:30,12187574.25,OK,10/15/18 0:30,487835,OK,10/15/18 0:30,-0.247366801,OK,10/15/18 0:30,0,OK,10/15/18 0:30,11554906,OK,10/15/18 0:30,2375581,OK,10/15/18 0:30,147.4343109,OK,10/15/18 0:30,147.1869507,OK,10/15/18 0:30,130.3974891,OK,
10/15/18 0:45,0.432809651,OK,10/15/18 0:45,3.451145649,OK,10/15/18 0:45,1015632.063,OK,10/15/18 0:45,66.71231842,OK,10/15/18 0:45,66.2795105,OK,10/15/18 0:45,190.8764249,OK,10/15/18 0:45,41.41374779,OK,10/15/18 0:45,12187584.75,OK,10/15/18 0:45,487853,OK,10/15/18 0:45,-0.184467882,OK,10/15/18 0:45,0,OK,10/15/18 0:45,11554906,OK,10/15/18 0:45,2375597,OK,10/15/18 0:45,147.3683472,OK,10/15/18 0:45,147.1838837,OK,10/15/18 0:45,130.0958148,OK,
10/15/18 1:00,0.420217842,OK,10/15/18 1:00,3.35528636,OK,10/15/18 1:00,1015632.938,OK,10/15/18 1:00,66.96162415,OK,10/15/18 1:00,66.54141235,OK,10/15/18 1:00,191.7755802,OK,10/15/18 1:00,40.26343632,OK,10/15/18 1:00,12187595.25,OK,10/15/18 1:00,487871,OK,10/15/18 1:00,-0.146283358,OK,10/15/18 1:00,0,OK,10/15/18 1:00,11554906,OK,10/15/18 1:00,2375613,OK,10/15/18 1:00,147.3029022,OK,10/15/18 1:00,147.1566162,OK,10/15/18 1:00,130.2367844,OK,
10/15/18 1:15,0.45067811,OK,10/15/18 1:15,3.601578951,OK,10/15/18 1:15,1015633.813,OK,10/15/18 1:15,67.21513367,OK,10/15/18 1:15,66.76445007,OK,10/15/18 1:15,191.9429989,OK,10/15/18 1:15,43.21894741,OK,10/15/18 1:15,12187605.75,OK,10/15/18 1:15,487887,OK,10/15/18 1:15,-0.096518606,OK,10/15/18 1:15,0,OK,10/15/18 1:15,11554906,OK,10/15/18 1:15,2375629,OK,10/15/18 1:15,147.1575317,OK,10/15/18 1:15,147.0610046,OK,10/15/18 1:15,130.1486885,OK,
10/15/18 1:30,0.412735432,OK,10/15/18 1:30,3.293360949,OK,10/15/18 1:30,1015634.688,OK,10/15/18 1:30,67.39871216,OK,10/15/18 1:30,66.98597717,OK,10/15/18 1:30,191.6554281,OK,10/15/18 1:30,39.52033138,OK,10/15/18 1:30,12187616.25,OK,10/15/18 1:30,487904,OK,10/15/18 1:30,-0.008085442,OK,10/15/18 1:30,0,OK,10/15/18 1:30,11554906,OK,10/15/18 1:30,2375644.75,OK,10/15/18 1:30,147.1031342,OK,10/15/18 1:30,147.095047,OK,10/15/18 1:30,130.2000079,OK,
10/15/18 1:45,0.382620394,OK,10/15/18 1:45,3.06632781,OK,10/15/18 1:45,1015635.5,OK,10/15/18 1:45,67.57096863,OK,10/15/18 1:45,67.18834686,OK,10/15/18 1:45,192.4937261,OK,10/15/18 1:45,36.79593372,OK,10/15/18 1:45,12187626,OK,10/15/18 1:45,487920,OK,10/15/18 1:45,-0.014923772,OK,10/15/18 1:45,0,OK,10/15/18 1:45,11554906,OK,10/15/18 1:45,2375661,OK,10/15/18 1:45,147.0339203,OK,10/15/18 1:45,147.0189972,OK,10/15/18 1:45,130.2994402,OK,
10/15/18 2:00,0.443885565,OK,10/15/18 2:00,3.55130434,OK,10/15/18 2:00,1015636.375,OK,10/15/18 2:00,67.81809998,OK,10/15/18 2:00,67.37421417,OK,10/15/18 2:00,192.1720888,OK,10/15/18 2:00,42.61565208,OK,10/15/18 2:00,12187636.5,OK,10/15/18 2:00,487941,OK,10/15/18 2:00,0.119336434,OK,10/15/18 2:00,8.25520134,OK,10/15/18 2:00,11554907,OK,10/15/18 2:00,2375677,OK,10/15/18 2:00,146.9549255,OK,10/15/18 2:00,147.0742645,OK,10/15/18 2:00,130.2509774,OK,
10/15/18 2:15,0.440926135,OK,10/15/18 2:15,3.521126986,OK,10/15/18 2:15,1015637.188,OK,10/15/18 2:15,68.00119019,OK,10/15/18 2:15,67.56025696,OK,10/15/18 2:15,191.8212354,OK,10/15/18 2:15,42.25352383,OK,10/15/18 2:15,12187646.25,OK,10/15/18 2:15,487957,OK,10/15/18 2:15,0.143301442,OK,10/15/18 2:15,9.340693474,OK,10/15/18 2:15,11554908,OK,10/15/18 2:15,2375692.75,OK,10/15/18 2:15,146.9831848,OK,10/15/18 2:15,147.1264954,OK,10/15/18 2:15,130.3770785,OK,
