OSU_RTS.MDBUS_E3.107_E02 Time [SNAP],OSU_RTS.MDBUS_E3.107_E02 Value [SNAP],OSU_RTS.MDBUS_E3.107_E02 Status [SNAP],OSU_RTS.MDBUS_RT.107S_C Time [SNAP],OSU_RTS.MDBUS_RT.107S_C Value [SNAP],OSU_RTS.MDBUS_RT.107S_C Status [SNAP],OSU_RTS.MDBUS_RT.107S_HF Time [SNAP],OSU_RTS.MDBUS_RT.107S_HF Value [SNAP],OSU_RTS.MDBUS_RT.107S_HF Status [SNAP],OSU_RTS.MDBUS_RT.107S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.107S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.107S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.107S_I Time [SNAP],OSU_RTS.MDBUS_RT.107S_I Value [SNAP],OSU_RTS.MDBUS_RT.107S_I Status [SNAP],OSU_RTS.MDBUS_RT.107S_P Time [SNAP],OSU_RTS.MDBUS_RT.107S_P Value [SNAP],OSU_RTS.MDBUS_RT.107S_P Status [SNAP],OSU_RTS.MDBUS_RT.107S_T Time [SNAP],OSU_RTS.MDBUS_RT.107S_T Value [SNAP],OSU_RTS.MDBUS_RT.107S_T Status [SNAP],Comments
10/15/18 0:00,192485.417,OK,10/15/18 0:00,63798.40625,OK,10/15/18 0:00,683.0914307,OK,10/15/18 0:00,77123.85938,OK,10/15/18 0:00,0.561016296,OK,10/15/18 0:00,184.5005646,OK,10/15/18 0:00,412.0567932,OK,
10/15/18 0:15,192496.531,OK,10/15/18 0:15,63932.50781,OK,10/15/18 0:15,632.2861938,OK,10/15/18 0:15,77287.14063,OK,10/15/18 0:15,0.519355591,OK,10/15/18 0:15,183.111496,OK,10/15/18 0:15,411.3968506,OK,
10/15/18 0:30,192508.128,OK,10/15/18 0:30,64065.10156,OK,10/15/18 0:30,661.5408936,OK,10/15/18 0:30,77448.52344,OK,10/15/18 0:30,0.54360022,OK,10/15/18 0:30,184.1528778,OK,10/15/18 0:30,410.9089355,OK,
10/15/18 0:45,192519.3,OK,10/15/18 0:45,64196.62891,OK,10/15/18 0:45,699.4788208,OK,10/15/18 0:45,77608.46094,OK,10/15/18 0:45,0.574920776,OK,10/15/18 0:45,183.1103973,OK,10/15/18 0:45,410.0945129,OK,
10/15/18 1:00,192530.658,OK,10/15/18 1:00,64329.87109,OK,10/15/18 1:00,695.7160034,OK,10/15/18 1:00,77770.57813,OK,10/15/18 1:00,0.571905945,OK,10/15/18 1:00,183.7787323,OK,10/15/18 1:00,410.0204468,OK,
10/15/18 1:15,192542.195,OK,10/15/18 1:15,64464.45313,OK,10/15/18 1:15,648.1398926,OK,10/15/18 1:15,77934.39063,OK,10/15/18 1:15,0.532733276,OK,10/15/18 1:15,184.448822,OK,10/15/18 1:15,410.4549866,OK,
10/15/18 1:30,192553.454,OK,10/15/18 1:30,64595.51563,OK,10/15/18 1:30,655.0927124,OK,10/15/18 1:30,78093.83594,OK,10/15/18 1:30,0.538520813,OK,10/15/18 1:30,183.5661774,OK,10/15/18 1:30,409.9244385,OK,
10/15/18 1:45,192564.782,OK,10/15/18 1:45,64725.76953,OK,10/15/18 1:45,617.1168213,OK,10/15/18 1:45,78252.27344,OK,10/15/18 1:45,0.507415894,OK,10/15/18 1:45,184.8121185,OK,10/15/18 1:45,409.8511963,OK,
10/15/18 2:00,192576.284,OK,10/15/18 2:00,64854.51563,OK,10/15/18 2:00,696.187439,OK,10/15/18 2:00,78408.83594,OK,10/15/18 2:00,0.572585449,OK,10/15/18 2:00,184.44487,OK,10/15/18 2:00,409.1870728,OK,
10/15/18 2:15,192587.538,OK,10/15/18 2:15,64986.47656,OK,10/15/18 2:15,634.2763672,OK,10/15/18 2:15,78569.27344,OK,10/15/18 2:15,0.521741821,OK,10/15/18 2:15,183.9321747,OK,10/15/18 2:15,408.7562561,OK,
10/15/18 2:30,192599.153,OK,10/15/18 2:30,65115.30078,OK,10/15/18 2:30,625.8259277,OK,10/15/18 2:30,78725.875,OK,10/15/18 2:30,0.51492041,OK,10/15/18 2:30,183.6416168,OK,10/15/18 2:30,408.1673584,OK,
