Point,Description,ExtendedID
OSU_RTS.MDBUS_RH.851_PHF,P-S PARK CW HEAT FLOW,851_PHF
OSU_RTS.MDBUS_RH.851_PHGT,P-S PARK CW HEAT GRAND,851_PHGT
OSU_RTS.MDBUS_RH.851_SHF,P-S STRADLEY CW HEAT FLO,851_SHF
OSU_RTS.MDBUS_RH.851_SHGT,P-S STRADLEY CW HEAT GRA,851_SHGT
OSU_RTS.MDBUS_RH.851C_PDT,P-S PARK CHW DELTA T,
OSU_RTS.MDBUS_RH.851C_PHF,P-S PARK CHW HEAT FLOW,851C_PHF
OSU_RTS.MDBUS_RH.851C_PHT,P-S PARK CHW HEAT CONS,851C_PHT
OSU_RTS.MDBUS_RH.851C_PRT,P-S PARK CHW RETURN TEMP,
OSU_RTS.MDBUS_RH.851C_PST,P-S PARK CHW SUPPLY TEMP,
OSU_RTS.MDBUS_RH.851C_PVF,P-S PARK CHW VOLUME FLOW,
OSU_RTS.MDBUS_RH.851C_SDT,P-S STRADLEY CW DELTA T,
OSU_RTS.MDBUS_RH.851C_SHF,P-S STRADLEY HEAT FLOW,
OSU_RTS.MDBUS_RH.851C_SHT,P-S STRADLEY HEAT TOTAL,
OSU_RTS.MDBUS_RH.851C_SRT,P-S STRADLEY CW RETURN T,
OSU_RTS.MDBUS_RH.851C_SST,P-S STRADLEY CW SUPPLY T,
OSU_RTS.MDBUS_RH.851C_SVF,P-S STRADLEY CH VOLUME F,
OSU_RTS.MDBUS_RH.851DC_T,P-S DOMESTIC COLD TOTAL,
OSU_RTS.MDBUS_RH.851DH_DT,P-S DHW Delta T,
OSU_RTS.MDBUS_RH.851DH_HF,P-S DHW HEAT FLOW,
OSU_RTS.MDBUS_RH.851DH_HT,P-S DHW HEAT TOTAL,
OSU_RTS.MDBUS_RH.851DH_RT,P-S DHW RETURN TEMP,
OSU_RTS.MDBUS_RH.851DH_ST,P-S DHW SUPPLY TEMP,
OSU_RTS.MDBUS_RH.851DH_VF,P-S DHW VOLUME FLOW,
OSU_RTS.MDBUS_RH.851DL_DT,P-S DHW Delta T,
OSU_RTS.MDBUS_RH.851DL_HF,P-S DHW HEAT FLOW,
OSU_RTS.MDBUS_RH.851DL_HT,P-S DHW HEAT TOTAL,
OSU_RTS.MDBUS_RH.851DL_RT,P-S DHW RETURN TEMP,
OSU_RTS.MDBUS_RH.851DL_ST,P-S DHW SUPPLY TEMP,
OSU_RTS.MDBUS_RH.851DL_VF,P-S DHW VOLUME FLOW,
OSU_RTS.MDBUS_RH.851E1_C,PARK STRADLEY ELECTRIC,
OSU_RTS.MDBUS_RH.851E2_C,P-S Electrical Consum,
OSU_RTS.MDBUS_RH.851E3_C,P-S Electrical Cousum,
OSU_RTS.MDBUS_RH.851E4_C,P-S Electrical Consum,
OSU_RTS.MDBUS_RH.851E5_C,P-S Electrical Consum,
OSU_RTS.MDBUS_RH.851H_PDT,P-S PARK HW DELTA T,
OSU_RTS.MDBUS_RH.851H_PHF,P-S PARK HW HEAT FLOW,
OSU_RTS.MDBUS_RH.851H_PHT,P-S PARK HEAT TOTAL,
OSU_RTS.MDBUS_RH.851H_PRT,P-S PARK HW RETURN TEMP,
OSU_RTS.MDBUS_RH.851H_PST,P-S PARK HW SUPPLY TEMP,
OSU_RTS.MDBUS_RH.851H_PVF,P-S PARK HW VOLUME FLOW,
OSU_RTS.MDBUS_RH.851H_SDT,P-S STRADLEY HW DELTA T,
OSU_RTS.MDBUS_RH.851H_SHF,P-S STRADLEY HEAT FLOW,
OSU_RTS.MDBUS_RH.851H_SHT,P-S STRADLEY HEAT TOTAL,
OSU_RTS.MDBUS_RH.851H_SRT,P-S STRADLEY HW RETURN T,
OSU_RTS.MDBUS_RH.851H_SST,P-S STRADLEY HW SUPPLY T,
OSU_RTS.MDBUS_RH.851H_SVF,P-S STRADLEY HW VOLUME F,
OSU_RTS.MDBUS_RH.851S_C,Park-Stradley Steam Cons,
OSU_RTS.MDBUS_RH.851S_F,Park-Stradley Steam Flow,
OSU_RTS.MDBUS_RH.851S_HF,P-S STEAM HEAT FLOW,
OSU_RTS.MDBUS_RH.851S_HT,PS Steam Heat Total,851S_HT
OSU_RTS.MDBUS_RH.851S_P,Park-Stradley Steam Pres,
OSU_RTS.MDBUS_RH.851S_T,Park-Stradley Steam Temp,
