Point,Description,ExtendedID
OSU_RTS.MDBUS_C1.070_CDT,PRB CW DELTA T,
OSU_RTS.MDBUS_C1.070_CHF,PRB CW HEAT FLOW,070_CHF
OSU_RTS.MDBUS_C1.070_CHT,PRB CW HEAT CONS,070_CHT
OSU_RTS.MDBUS_C1.070_CRWT,PRB CW RET TEMP,
OSU_RTS.MDBUS_C1.070_CSWT,PRB CW SUP TEMP,
OSU_RTS.MDBUS_C1.070_CVF,PRB CW CAMPUS VOL FLOW,
OSU_RTS.MDBUS_C1.070_HF,PRB CW HEAT FLOW,070_HF
OSU_RTS.MDBUS_C1.070_HGT,PRB CW HEAT GRAND,070_HGT
OSU_RTS.MDBUS_CC.070_MHT,PRB MONTHLY HEAT TOT,
OSU_RTS.MDBUS_CC.070_PHT,PRB PREV HEAT TOTAL,
OSU_RTS.MDBUS_E1.070E1,PRB Electric Meter 1,7.00E+02
OSU_RTS.MDBUS_E1.070E1_C,PRB Elec Meter 1 Consum,070E1_C
OSU_RTS.MDBUS_E1.070E1_C1,high order register,
OSU_RTS.MDBUS_E1.070E1_I,PRB Elec Meter 1 Demand,070E1_1
OSU_RTS.MDBUS_E1.070E1ID1,PRB E1 I DIST PH 1,
OSU_RTS.MDBUS_E1.070E1ID2,PRB E1 I DIST PH 2,
OSU_RTS.MDBUS_E1.070E1ID3,PRB E1 I DIST PH 3,
OSU_RTS.MDBUS_E1.070E1VD1,PRB E1 V DIST PH 1,
OSU_RTS.MDBUS_E1.070E1VD2,PRB E1 V DIST PH 2,
OSU_RTS.MDBUS_E1.070E1VD3,PRB E1 V DIST PH 3,
OSU_RTS.MDBUS_E1.070E2,PRB Electric Meter 2 Con,7.00E+03
OSU_RTS.MDBUS_E1.070E2_C,PRB Elec Meter 2 Consum,070E2_C
OSU_RTS.MDBUS_E1.070E2_C1,PRB high order byte cons,
OSU_RTS.MDBUS_E1.070E2_I,PRB Elec Meter 2 Demand,070E2_I
OSU_RTS.MDBUS_E1.070E2ID1,PRB E2 I DIST PH 1,
OSU_RTS.MDBUS_E1.070E2ID2,PRB E2 I DIST PH 2,
OSU_RTS.MDBUS_E1.070E2ID3,PRB E2 I DIST PH 3,
OSU_RTS.MDBUS_E1.070E2VD1,PRB E2 V DIST PH 1,
OSU_RTS.MDBUS_E1.070E2VD2,PRB E2 V DIST PH 2,
OSU_RTS.MDBUS_E1.070E2VD3,PRB E2 V DIST PH 3,
OSU_RTS.MDBUS_G1.070_GBV,PRB BATTERY ÿVOLTAGE,070_GBV
OSU_RTS.MDBUS_G1.070_GCV,PRB CORRECTED VOLUME,070_GCV
OSU_RTS.MDBUS_G1.070_GUV,PRB UNCORRECTED VOL,070_GUV
OSU_RTS.MDBUS_RT.070_TEST,test,
OSU_RTS.MDBUS_RT.070S_1,total 1,
OSU_RTS.MDBUS_RT.070S_2,steam toatl 2,
OSU_RTS.MDBUS_RT.070S_C,PRB STEAM CONS,
OSU_RTS.MDBUS_RT.070S_CB,PRB STEAM HEAT CONS,070S_CB
OSU_RTS.MDBUS_RT.070S_HF,PRB STM HEAT FLOW,070S_HF
OSU_RTS.MDBUS_RT.070S_HGT,PRB STM HEAT GRAND,070S_HGT
OSU_RTS.MDBUS_RT.070S_HSE,PRB STEAM ENTH,
OSU_RTS.MDBUS_RT.070S_I,PRB STEAM FLOW,
OSU_RTS.MDBUS_RT.070S_P,PRB STEAM PRES,
OSU_RTS.MDBUS_RT.070S_T,PRB STEAM TEMP,
