Point,Description,ExtendedID
OSU_RTS.MDBUS_C1.246_1HF,RPAC M1 CW HEAT FLOW,246_1HF
OSU_RTS.MDBUS_C1.246_1HGT,RPAC M1 CW HEAT GRAND,246_1HGT
OSU_RTS.MDBUS_C1.246_2HF,RPAC M2 CW HEAT FLOW,246_2HF
OSU_RTS.MDBUS_C1.246_2HGT,RPAC M2 CW HEAT GRAND,246_2HGT
OSU_RTS.MDBUS_C1.246_3HF,PAES CW HEAT FLOW,246_3HF
OSU_RTS.MDBUS_C1.246_3HGT,PAES CW HEAT GRAND,246_3HGT
OSU_RTS.MDBUS_C1.246_C1DT,RPAC M1 CW DELTA T,
OSU_RTS.MDBUS_C1.246_C1HF,RPAC M1 CW HEAT FLOW,
OSU_RTS.MDBUS_C1.246_C1HT,RPAC M1 CW HEAT CONS,
OSU_RTS.MDBUS_C1.246_C1MF,RPAC M1 MASS FLOW,
OSU_RTS.MDBUS_C1.246_C1MT,RPAC M1 MASS TOTAL,
OSU_RTS.MDBUS_C1.246_C1RT,RPAC M1 CW RET TEMP,
OSU_RTS.MDBUS_C1.246_C1ST,RPAC M1 CW SUP TEMP,
OSU_RTS.MDBUS_C1.246_C1VF,RPAC M1 CW VOL FLOW,246_C1VF
OSU_RTS.MDBUS_C1.246_C2DT,RPAC M2 CW DELTA T,
OSU_RTS.MDBUS_C1.246_C2HF,RPAC M2 CW HEAT FLOW,
OSU_RTS.MDBUS_C1.246_C2HT,RPAC M2 CW HEAT CONS,
OSU_RTS.MDBUS_C1.246_C2MF,RPAC M2 MASS FLOW,
OSU_RTS.MDBUS_C1.246_C2MT,RPAC M2 MASS TOTAL,
OSU_RTS.MDBUS_C1.246_C2RT,RPAC M2 CH RET TEMP,
OSU_RTS.MDBUS_C1.246_C2ST,RPAC M2 CW SUP TEMP,
OSU_RTS.MDBUS_C1.246_C2VF,RPAC M2 CW VOL FLOW,
OSU_RTS.MDBUS_C1.246_C3DT,PAES CW DELTA T,246_C3DT
OSU_RTS.MDBUS_C1.246_C3HF,PAES CW HEAT FLOW,246_C3HF
OSU_RTS.MDBUS_C1.246_C3HT,PAES CW HEAT TOTAL,246_C3HT
OSU_RTS.MDBUS_C1.246_C3MF,PAES ÿCW MASS FLOW,246_C3MF
OSU_RTS.MDBUS_C1.246_C3MT,PAES CW MASS TOTAL,246_C3MT
OSU_RTS.MDBUS_C1.246_C3RT,PAES CW RET TEMP,246_C3RT
OSU_RTS.MDBUS_C1.246_C3ST,PAES CW SUP TEMP,246_C3ST
OSU_RTS.MDBUS_C1.246_C3VF,PAES CW VOL FLOW,246_C3VF
OSU_RTS.MDBUS_CC.246_4HF,RPAC CALC CW HEAT FLOW,246_4HF
