Point,Description,ExtendedID
OSU_RTS.MDBUS_C1.148_CDT,SCOTT LAB CW DELTA T,
OSU_RTS.MDBUS_C1.148_CHF,SCOTT LAB CW HEAT FLOW,
OSU_RTS.MDBUS_C1.148_CHT,SCOTT LAB CW HEAT CONS,
OSU_RTS.MDBUS_C1.148_CRWT,SCOTT LAB CW RET TEMP,
OSU_RTS.MDBUS_C1.148_CSWT,SCOTT LAB CW SUP TEMP,
OSU_RTS.MDBUS_C1.148_CVF,SCOTT LAB CW VOL FLOW,
OSU_RTS.MDBUS_C1.148_HF,SCOTT CW HEAT FLOW,148_HF
OSU_RTS.MDBUS_C1.148_HGT,SCOTT LAB CW HEAT GRAND,148_HGT
OSU_RTS.MDBUS_CC.148_MHT,SCOTT LAB MONTHLY HEAT T,
OSU_RTS.MDBUS_CC.148_PHT,SCOTT LAB PREV HEAT TOTA,
OSU_RTS.MDBUS_E1.148E1_C,Scott Lab Elec 1 Consum,
OSU_RTS.MDBUS_E1.148E2_C,Scott Lab Elec 2 Consum,
OSU_RTS.MDBUS_G1.148_GBV,SCOTT LAB BATTERY VOLTS,148_GBV
OSU_RTS.MDBUS_G1.148_GUV,SCOTT LAB CORR.VOL,148_GUV
OSU_RTS.MDBUS_RT.148S_C,SCOTT LAB STEAM CONS,
OSU_RTS.MDBUS_RT.148S_HF,SCOTT LAB STM HEAT FLOW,148S_HF
OSU_RTS.MDBUS_RT.148S_HGT,SCOTT LAB STM HEAT GRAND,148S_HGT
OSU_RTS.MDBUS_RT.148S_I,SCOTT LAB STEAM FLOW,
OSU_RTS.MDBUS_RT.148S_P,SCOTT LAB STEAM PRES,
OSU_RTS.MDBUS_RT.148S_T,SCOTT LAB STEAM TEMP,
