Point,Description,ExtendedID
OSU_RTS.MDBUS_RH.099_CDT,SIEBERT CHW DELTA T,
OSU_RTS.MDBUS_RH.099_CHF,SIEBERT CHW HEAT FLOW,
OSU_RTS.MDBUS_RH.099_CHT,SIEBERT CHW HEAT TOT,
OSU_RTS.MDBUS_RH.099_CRT,SIEBERT CHW RET TEMP,
OSU_RTS.MDBUS_RH.099_CST,SIEBERT CHW SUP TEMP,
OSU_RTS.MDBUS_RH.099_CVF,SIEBERT CHW VOL FLOW,
OSU_RTS.MDBUS_RH.099_DCT,SIEBERT DOM COLD TOT,
OSU_RTS.MDBUS_RH.099_DHDT,SIEBERT DHW DELTA T,
OSU_RTS.MDBUS_RH.099_DHHF,SIEBERT DHW HEAT FLOW,
OSU_RTS.MDBUS_RH.099_DHHT,SIEBERT DHW HEAT TOT,
OSU_RTS.MDBUS_RH.099_DHRT,SIEBERT DHW RET TEMP,
OSU_RTS.MDBUS_RH.099_DHST,SIEBERT DHW SUP TEMP,
OSU_RTS.MDBUS_RH.099_DHVF,SIEBERT DHW VOL FLOW,
OSU_RTS.MDBUS_RH.099_DLDT,SIEBERT DHW DELTA T,
OSU_RTS.MDBUS_RH.099_DLHF,SIEBERT DHW HEAT FLOW,
OSU_RTS.MDBUS_RH.099_DLHT,SIEBERT DHW HEAT TOT,
OSU_RTS.MDBUS_RH.099_DLRT,SIEBERT DHW RET TEMP,
OSU_RTS.MDBUS_RH.099_DLST,SIEBERT DHW SUP TEMP,
OSU_RTS.MDBUS_RH.099_DLVF,SIEBERT DHW VOL FLOW,
OSU_RTS.MDBUS_RH.099_EC,SIEBERT ELEC CONS,
OSU_RTS.MDBUS_RH.099_HDT,SIEBERT HW DELTA T,
OSU_RTS.MDBUS_RH.099_HF,SIEBERT HALL CW HEAT FLO,099_HF
OSU_RTS.MDBUS_RH.099_HGT,SIEBERT HALL CW HEAT GRA,099_HGT
OSU_RTS.MDBUS_RH.099_HHF,SIEBERT HW HEAT FLOW,
OSU_RTS.MDBUS_RH.099_HHT,SIEBERT HEAT TOTAL,
OSU_RTS.MDBUS_RH.099_HRT,SIEBERT HW RET TEMP,
OSU_RTS.MDBUS_RH.099_HST,SIEBERT HW SUP TEMP,
OSU_RTS.MDBUS_RH.099_HVF,SIEBERT HW VOL FLOW,
OSU_RTS.MDBUS_RH.099_SC,SIEBERT STEAM CONS,
OSU_RTS.MDBUS_RH.099_SF,SIEBERT STEAM FLOW,
OSU_RTS.MDBUS_RH.099_SHF,SIEBERT STEAM HEAT FLW,
OSU_RTS.MDBUS_RH.099_SHT,SIEBERT HEAT TOTAL,099_SHT
OSU_RTS.MDBUS_RH.099_SP,SIEBERT STEAM PRES,
OSU_RTS.MDBUS_RH.099_ST,SIEBERT STEAM TEMP,
